outline	observable_interface	axis_9	axis_12	axis_13	emea_ics
2.9	climate screen 之 REAR DEFROST 按鈕（含灰化）與對外後視鏡除霜之狀態	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3 使其移除）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC 畫面／popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`**（R-C36-1）—— 本批 14 條中 **9 條為 `no`**，其分界見 `ch16_mirror_map.tsv`
2.10	CLIMATE OFF 畫面、category button、status bar 與硬控回復行為	暴露 → 全數補 —— 可觀察量皆在 head unit 之 comfort section（6.3 使其移除）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC 畫面／popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`**（R-C36-1）—— 本節之 ch16 對造與其分界見 `ch16_mirror_map.tsv`
2.11	climate screen 之 SYNC 按鈕與雙側溫度	暴露 → 全數補 —— 可觀察量皆在 head unit 之 comfort section（6.3 使其移除）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC 畫面／popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`**（R-C36-1）—— 本節之 ch16 對造與其分界見 `ch16_mirror_map.tsv`
2.12.1	climate screen 之五個氣流模式按鈕及其作用中呈現	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3 使其移除）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC 畫面／popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`**（R-C36-1）—— 本批 14 條中 **9 條為 `no`**，其分界見 `ch16_mirror_map.tsv`
2.13	climate screen 之 MAX A/C 按鈕	暴露 → 全數補 —— 可觀察量皆在 head unit 之 comfort section（6.3 使其移除）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC 畫面／popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`**（R-C36-1）—— 本節之 ch16 對造與其分界見 `ch16_mirror_map.tsv`
2.14	head unit menu bar／HVAC 畫面／popup	-044/-045/-046 暴露 → 補（見上繳 24 §2.3）	不暴露	-042/-043 暴露 → 補；-044/-045/-046 正向帶該軸值，不加否定式	16.14 ICE13 mirrored → 排除成立
2.15	對外後視鏡除霜之 on/off 狀態	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3 使其移除）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC 畫面／popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`**（R-C36-1）—— 本批 14 條中 **9 條為 `no`**，其分界見 `ch16_mirror_map.tsv`
2.16	climate screen 之風速顯示	不暴露	不暴露	暴露 → 全數補	16.17 mirrored（條文全句相同）→ 排除成立
3.1	Tri-Mode Climate screen（HVAC 畫面）	不暴露 —— 該畫面非 head unit 之 comfort section	不暴露 —— 不觀察 tab	暴露 → 全數補排除式 PC	**ch16 無對應節（no-counterpart，`ch16_mirror_map.tsv`）** —— 16.12 ICE11 為 5 states 之單選，與 tri-mode 三鍵七組合結構不同。EMEA 排除式 PC 與 16.2 引用已依 37 §1 移除
3.2	climate screen 之 MAX DEF 按鈕	不暴露	不暴露	暴露 → 全數補	16.8 ICE7 mirrored → 排除成立
3.3	climate screen 之 MAX DEF／REAR DEF 按鈕	不暴露	不暴露	暴露 → 全數補	16.10 ICE9 **partial**，依 **R-C36** 下放 TC 層逐條判定：-029／-030 之可觀察行為為「climate off 期間 MAX DEF／REAR DEF 之可用性」，而 ICE9 明寫 `grey out remaining buttons except for Front/Max defrost and rear defrost` —— **落在 ch16 涵蓋之部分**，故排除式 PC 成立，維持
3.4	climate screen 之 rear defrost 按鈕	不暴露	不暴露	暴露 → 補	**ch16 無對應節（no-counterpart，`ch16_mirror_map.tsv`）** —— ch16 無 comfort category tabs 之對應節。EMEA 排除式 PC 與 16.2 引用已依 37 §1 移除
6.3	head unit menu 之 comfort section	本節即該軸之正向案例，PC 已正向帶之	不暴露	暴露 → 補（3 旋鈕 ICS 車上亦無 HVAC UI，會以錯誤理由通過）	ch16 無 6.3 之對應節 → 未補
7.1	後排氣候畫面上之前排硬控行為（風扇旋鈕、駕駛／乘客溫度控制）	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3）	不暴露 —— 本節不涉 tab 之存在或順序（`2.1` 之 tab 集合問題見 DR #17）	暴露 → 全數補（出處 2.14 C15，跨節取據 R-C29）	**排除補並逐條答（R-C36-1）** —— 逐條之答皆為 `no`：ch16 十八節無後排氣候之節（見 DR #41）
7.1.1	前排畫面之 popup 有無，以及後排畫面上操作前排控制時之 fan／temperature popup	暴露 → 全數補；本節之 popup 雖為 6.3 之例外，惟 `029-01`／`029-02` 之可觀察量為**前排畫面本身**、`029-03` 之錨為後排 climate screen，皆在 comfort section 內	不暴露 —— 本節不涉 tab 之存在或順序（`2.1` 之 tab 集合問題見 DR #17）	暴露 → 全數補（出處 2.14 C15，跨節取據 R-C29）	**排除補並逐條答（R-C36-1）** —— 逐條之答皆為 `no`：ch16 十八節無後排氣候之節（見 DR #41）
7.2	後排 climate screen 之 AUTO 鍵、風速指示與三個氣流模式鍵	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3）	不暴露 —— 本節不涉 tab 之存在或順序（`2.1` 之 tab 集合問題見 DR #17）	暴露 → 全數補（出處 2.14 C15，跨節取據 R-C29）	**排除補並逐條答（R-C36-1）** —— 逐條之答皆為 `no`：ch16 十八節無後排氣候之節（見 DR #41）
7.3	後排 climate screen 之 LOCK REAR／UNLOCK REAR 文字與 Lock 圖示	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3）	不暴露 —— 本節不涉 tab 之存在或順序（`2.1` 之 tab 集合問題見 DR #17）	暴露 → 全數補（出處 2.14 C15，跨節取據 R-C29）	**排除補並逐條答（R-C36-1）** —— 逐條之答皆為 `no`：ch16 十八節無後排氣候之節（見 DR #41）
7.4	後排 climate screen 之溫度值、TEMP popup、status bar 與 temp slider	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3）	不暴露 —— 本節不涉 tab 之存在或順序（`2.1` 之 tab 集合問題見 DR #17）	暴露 → 全數補（出處 2.14 C15，跨節取據 R-C29）	**排除補並逐條答（R-C36-1）** —— 逐條之答皆為 `no`：ch16 十八節無後排氣候之節（見 DR #41）
7.5	後排 climate screen 之風速格與其高亮	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3）	不暴露 —— 本節不涉 tab 之存在或順序（`2.1` 之 tab 集合問題見 DR #17）	暴露 → 全數補（出處 2.14 C15，跨節取據 R-C29）	**排除補並逐條答（R-C36-1）** —— 逐條之答皆為 `no`：ch16 十八節無後排氣候之節（見 DR #41）
7.6	REAR CLIMATE OFF 畫面、REAR OFF／REAR ON 鍵與其餘後排鍵之空白化	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3）	不暴露 —— 本節不涉 tab 之存在或順序（`2.1` 之 tab 集合問題見 DR #17）	暴露 → 全數補（出處 2.14 C15，跨節取據 R-C29）	**排除補並逐條答（R-C36-1）** —— 逐條之答皆為 `no`：ch16 十八節無後排氣候之節（見 DR #41）
7.7	climate screen 之 SYNC 鍵與前後排之溫度／模式／風速	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3）	不暴露 —— 本節不涉 tab 之存在或順序（`2.1` 之 tab 集合問題見 DR #17）	暴露 → 全數補（出處 2.14 C15，跨節取據 R-C29）	**排除補並逐條答（R-C36-1）** —— 逐條之答皆為 `no`：ch16 十八節無後排氣候之節（見 DR #41）
7.8	後排 climate screen 之三個氣流模式鍵與 Rear Mode 硬鍵	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3）	不暴露 —— 本節不涉 tab 之存在或順序（`2.1` 之 tab 集合問題見 DR #17）	暴露 → 全數補（出處 2.14 C15，跨節取據 R-C29）	**排除補並逐條答（R-C36-1）** —— 逐條之答皆為 `no`：ch16 十八節無後排氣候之節（見 DR #41）
7.9	後排 A/C 之 on／off 狀態	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3）	不暴露 —— 本節不涉 tab 之存在或順序（`2.1` 之 tab 集合問題見 DR #17）	暴露 → 全數補（出處 2.14 C15，跨節取據 R-C29）	**排除補並逐條答（R-C36-1）** —— 逐條之答皆為 `no`：ch16 十八節無後排氣候之節（見 DR #41）
7.10	後排駕駛側與乘客側之兩支溫度滑桿	暴露 → 全數補 —— 可觀察量在 head unit 之 comfort section（6.3）	不暴露 —— 本節不涉 tab 之存在或順序（`2.1` 之 tab 集合問題見 DR #17）	暴露 → 全數補（出處 2.14 C15，跨節取據 R-C29）	**排除補並逐條答（R-C36-1）** —— 逐條之答皆為 `no`：ch16 十八節無後排氣候之節（見 DR #41）
10.1	climate screen 之 AUTO 控制（-02 依 R-C38 為 [BLOCKED-NON-HMI]，無可觀察端）	不暴露 —— 可觀察量為 climate screen 之 AUTO 控制，非 head unit 之 comfort section	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車上無 HVAC 畫面／popup）	**不補** —— ch16 十八節無 ECO HVAC 之對應節（`ch16_mirror_map.tsv` 之 ch10 側全無列），排除即無所依據；本組非 no-counterpart 之「已列而無對造」，而是 ch10 從未進入該表之比對範圍，理由相同：ch16 不承載此章之能力
10.2	climate screen 之 AUTO 狀態	不暴露 —— 可觀察量為 climate screen 之 AUTO 控制，非 head unit 之 comfort section	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車上無 HVAC 畫面／popup）	**不補** —— ch16 十八節無 ECO HVAC 之對應節（`ch16_mirror_map.tsv` 之 ch10 側全無列），排除即無所依據；本組非 no-counterpart 之「已列而無對造」，而是 ch10 從未進入該表之比對範圍，理由相同：ch16 不承載此章之能力
10.3	AUTO 按鈕之標籤文字	不暴露 —— 可觀察量為 climate screen 之 AUTO 控制，非 head unit 之 comfort section	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車上無 HVAC 畫面／popup）	**不補** —— ch16 十八節無 ECO HVAC 之對應節（`ch16_mirror_map.tsv` 之 ch10 側全無列），排除即無所依據；本組非 no-counterpart 之「已列而無對造」，而是 ch10 從未進入該表之比對範圍，理由相同：ch16 不承載此章之能力
10.4	climate screen 之 AUTO 狀態	不暴露 —— 可觀察量為 climate screen 之 AUTO 控制，非 head unit 之 comfort section	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車上無 HVAC 畫面／popup）	**不補** —— ch16 十八節無 ECO HVAC 之對應節（`ch16_mirror_map.tsv` 之 ch10 側全無列），排除即無所依據；本組非 no-counterpart 之「已列而無對造」，而是 ch10 從未進入該表之比對範圍，理由相同：ch16 不承載此章之能力
10.5	climate screen 之 AUTO 狀態	不暴露 —— 可觀察量為 climate screen 之 AUTO 控制，非 head unit 之 comfort section	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車上無 HVAC 畫面／popup）	**不補** —— ch16 十八節無 ECO HVAC 之對應節（`ch16_mirror_map.tsv` 之 ch10 側全無列），排除即無所依據；本組非 no-counterpart 之「已列而無對造」，而是 ch10 從未進入該表之比對範圍，理由相同：ch16 不承載此章之能力
10.6	climate screen 之 airflow mode 選取狀態與風速指示	不暴露 —— 可觀察量為 climate screen 之 AUTO 控制，非 head unit 之 comfort section	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車上無 HVAC 畫面／popup）	**不補** —— ch16 十八節無 ECO HVAC 之對應節（`ch16_mirror_map.tsv` 之 ch10 側全無列），排除即無所依據；本組非 no-counterpart 之「已列而無對造」，而是 ch10 從未進入該表之比對範圍，理由相同：ch16 不承載此章之能力
10.7	climate screen 之 AUTO 狀態（跨點火循環）	不暴露 —— 可觀察量為 climate screen 之 AUTO 控制，非 head unit 之 comfort section	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車上無 HVAC 畫面／popup）	**不補** —— ch16 十八節無 ECO HVAC 之對應節（`ch16_mirror_map.tsv` 之 ch10 側全無列），排除即無所依據；本組非 no-counterpart 之「已列而無對造」，而是 ch10 從未進入該表之比對範圍，理由相同：ch16 不承載此章之能力
10.8	**head unit 之 Comfort main Menu Bar icon**	**暴露 → 補**（6.3 使 comfort section 自 head unit 移除）—— 本組唯一者	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車上無 HVAC 畫面／popup）	**不補** —— ch16 十八節無 ECO HVAC 之對應節（`ch16_mirror_map.tsv` 之 ch10 側全無列），排除即無所依據；本組非 no-counterpart 之「已列而無對造」，而是 ch10 從未進入該表之比對範圍，理由相同：ch16 不承載此章之能力
10.9	硬鍵觸發之 comfort popup	不暴露 —— 6.3 明寫 `except for comfort popups`，popup 仍存	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車上無 HVAC 畫面／popup）	**不補** —— ch16 十八節無 ECO HVAC 之對應節（`ch16_mirror_map.tsv` 之 ch10 側全無列），排除即無所依據；本組非 no-counterpart 之「已列而無對造」，而是 ch10 從未進入該表之比對範圍，理由相同：ch16 不承載此章之能力
10.9.1	AUTO popup 之附加提示文字	不暴露 —— 同 10.9	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車上無 HVAC 畫面／popup）	**不補** —— ch16 十八節無 ECO HVAC 之對應節（`ch16_mirror_map.tsv` 之 ch10 側全無列），排除即無所依據；本組非 no-counterpart 之「已列而無對造」，而是 ch10 從未進入該表之比對範圍，理由相同：ch16 不承載此章之能力
13.2	lower screen Seats tab; -003 另讀 head unit 之 climate section	-003 暴露（讀 climate section），餘二條之可觀察量在下螢幕，6.3 移除者為 head unit 之 comfort section	DR #20 未答前不可陳述 —— 13.x 之 full_text 無句支持「本車非僅前排氣候」（R-C28 第一問）	座椅控制非 HVAC，2.14 之逐字範圍為 no HVAC …；-003 例外，其 climate section 即 HVAC 畫面	ch16 十八節無座椅節，13.x 無 ICS 鏡射（ch16_mirror_map.tsv）
13.2.1	lower screen Seats tab	同 13.2 之非暴露理由	同 DR #20	座椅控制非 HVAC	無 ICS 鏡射
13.3	lower screen Seats tab 與座椅控制	同上	同 DR #20	座椅控制非 HVAC	無 ICS 鏡射
13.3.1	lower screen 之 selected option	同上	同 DR #20	座椅控制非 HVAC	無 ICS 鏡射
13.4	lower screen Seats tab	同上	同 DR #20	座椅控制非 HVAC	無 ICS 鏡射
13.5	lower screen Seats tab	同上	同 DR #20	座椅控制非 HVAC	無 ICS 鏡射
13.6	lower screen Seats tab 與 error tone	同上	同 DR #20	座椅控制非 HVAC	無 ICS 鏡射
14.1.1	HVAC popup 本身（其顯示、內容與逾時）	**不補** —— 6.3 之移除對象為 head unit 之 comfort section，而其明文例外正是 `except for comfort popups`；本節之可觀察量即 popup，故下螢幕車上仍在（**本批首次以證據放下該排除**）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`** —— `ch16_mirror_map.tsv` 之 **ch14 側全無列**（ch16 十八節無 popup 專章），故全批皆為 `no-counterpart` 而 verdict `yes`
14.2	HVAC popup 本身（其顯示、內容與逾時）	**不補** —— 6.3 之移除對象為 head unit 之 comfort section，而其明文例外正是 `except for comfort popups`；本節之可觀察量即 popup，故下螢幕車上仍在（**本批首次以證據放下該排除**）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`** —— `ch16_mirror_map.tsv` 之 **ch14 側全無列**（ch16 十八節無 popup 專章），故全批皆為 `no-counterpart` 而 verdict `yes`
14.3	HVAC popup 本身（其顯示、內容與逾時）	**不補** —— 6.3 之移除對象為 head unit 之 comfort section，而其明文例外正是 `except for comfort popups`；本節之可觀察量即 popup，故下螢幕車上仍在（**本批首次以證據放下該排除**）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`** —— `ch16_mirror_map.tsv` 之 **ch14 側全無列**（ch16 十八節無 popup 專章），故全批皆為 `no-counterpart` 而 verdict `yes`
14.4	HVAC popup 本身（其顯示、內容與逾時）	**不補** —— 6.3 之移除對象為 head unit 之 comfort section，而其明文例外正是 `except for comfort popups`；本節之可觀察量即 popup，故下螢幕車上仍在（**本批首次以證據放下該排除**）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`** —— `ch16_mirror_map.tsv` 之 **ch14 側全無列**（ch16 十八節無 popup 專章），故全批皆為 `no-counterpart` 而 verdict `yes`
14.5	HVAC popup 本身（其顯示、內容與逾時）	**不補** —— 6.3 之移除對象為 head unit 之 comfort section，而其明文例外正是 `except for comfort popups`；本節之可觀察量即 popup，故下螢幕車上仍在（**本批首次以證據放下該排除**）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`** —— `ch16_mirror_map.tsv` 之 **ch14 側全無列**（ch16 十八節無 popup 專章），故全批皆為 `no-counterpart` 而 verdict `yes`
14.6	HVAC popup 本身（其顯示、內容與逾時）	**不補** —— 6.3 之移除對象為 head unit 之 comfort section，而其明文例外正是 `except for comfort popups`；本節之可觀察量即 popup，故下螢幕車上仍在（**本批首次以證據放下該排除**）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`** —— `ch16_mirror_map.tsv` 之 **ch14 側全無列**（ch16 十八節無 popup 專章），故全批皆為 `no-counterpart` 而 verdict `yes`
14.7	HVAC popup 本身（其顯示、內容與逾時）	**不補** —— 6.3 之移除對象為 head unit 之 comfort section，而其明文例外正是 `except for comfort popups`；本節之可觀察量即 popup，故下螢幕車上仍在（**本批首次以證據放下該排除**）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`** —— `ch16_mirror_map.tsv` 之 **ch14 側全無列**（ch16 十八節無 popup 專章），故全批皆為 `no-counterpart` 而 verdict `yes`
14.8	HVAC popup 本身（其顯示、內容與逾時）	**不補** —— 6.3 之移除對象為 head unit 之 comfort section，而其明文例外正是 `except for comfort popups`；本節之可觀察量即 popup，故下螢幕車上仍在（**本批首次以證據放下該排除**）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`** —— `ch16_mirror_map.tsv` 之 **ch14 側全無列**（ch16 十八節無 popup 專章），故全批皆為 `no-counterpart` 而 verdict `yes`
14.9	HVAC popup 本身（其顯示、內容與逾時）	**不補** —— 6.3 之移除對象為 head unit 之 comfort section，而其明文例外正是 `except for comfort popups`；本節之可觀察量即 popup，故下螢幕車上仍在（**本批首次以證據放下該排除**）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`** —— `ch16_mirror_map.tsv` 之 **ch14 側全無列**（ch16 十八節無 popup 專章），故全批皆為 `no-counterpart` 而 verdict `yes`
14.10	HVAC popup 本身（其顯示、內容與逾時）	**不補** —— 6.3 之移除對象為 head unit 之 comfort section，而其明文例外正是 `except for comfort popups`；本節之可觀察量即 popup，故下螢幕車上仍在（**本批首次以證據放下該排除**）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`** —— `ch16_mirror_map.tsv` 之 **ch14 側全無列**（ch16 十八節無 popup 專章），故全批皆為 `no-counterpart` 而 verdict `yes`
14.10.1	HVAC popup 本身（其顯示、內容與逾時）	**不補** —— 6.3 之移除對象為 head unit 之 comfort section，而其明文例外正是 `except for comfort popups`；本節之可觀察量即 popup，故下螢幕車上仍在（**本批首次以證據放下該排除**）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`** —— `ch16_mirror_map.tsv` 之 **ch14 側全無列**（ch16 十八節無 popup 專章），故全批皆為 `no-counterpart` 而 verdict `yes`
14.11	HVAC popup 本身（其顯示、內容與逾時）	**不補** —— 6.3 之移除對象為 head unit 之 comfort section，而其明文例外正是 `except for comfort popups`；本節之可觀察量即 popup，故下螢幕車上仍在（**本批首次以證據放下該排除**）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`** —— `ch16_mirror_map.tsv` 之 **ch14 側全無列**（ch16 十八節無 popup 專章），故全批皆為 `no-counterpart` 而 verdict `yes`
14.13	下 HVAC 螢幕之操作與 head unit 上之 popup（其不出現）	**取其另一值** —— 條文明文「For vehicles with a lower hvac screen」，故 PC 為**有**下螢幕（出處 14.13）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`** —— `ch16_mirror_map.tsv` 之 **ch14 側全無列**（ch16 十八節無 popup 專章），故全批皆為 `no-counterpart` 而 verdict `yes`
14.16	狀態列之舒適座椅圖示與其 popup	**不補** —— 6.3 之移除對象為 head unit 之 comfort section，而其明文例外正是 `except for comfort popups`；本節之可觀察量即 popup，故下螢幕車上仍在（**本批首次以證據放下該排除**）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`** —— `ch16_mirror_map.tsv` 之 **ch14 側全無列**（ch16 十八節無 popup 專章），故全批皆為 `no-counterpart` 而 verdict `yes`
14.16.1	狀態列之舒適座椅圖示與其 popup	**不補** —— 6.3 之移除對象為 head unit 之 comfort section，而其明文例外正是 `except for comfort popups`；本節之可觀察量即 popup，故下螢幕車上仍在（**本批首次以證據放下該排除**）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`** —— `ch16_mirror_map.tsv` 之 **ch14 側全無列**（ch16 十八節無 popup 專章），故全批皆為 `no-counterpart` 而 verdict `yes`
14.17	狀態列之舒適座椅圖示與其 popup	**不補** —— 6.3 之移除對象為 head unit 之 comfort section，而其明文例外正是 `except for comfort popups`；本節之可觀察量即 popup，故下螢幕車上仍在（**本批首次以證據放下該排除**）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`** —— `ch16_mirror_map.tsv` 之 **ch14 側全無列**（ch16 十八節無 popup 專章），故全批皆為 `no-counterpart` 而 verdict `yes`
14.18	狀態列之舒適座椅圖示與其 popup	**不補** —— 6.3 之移除對象為 head unit 之 comfort section，而其明文例外正是 `except for comfort popups`；本節之可觀察量即 popup，故下螢幕車上仍在（**本批首次以證據放下該排除**）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`** —— `ch16_mirror_map.tsv` 之 **ch14 側全無列**（ch16 十八節無 popup 專章），故全批皆為 `no-counterpart` 而 verdict `yes`
14.19	Climate widget 顯示時之八類 popup 行為	**不補** —— 6.3 之移除對象為 head unit 之 comfort section，而其明文例外正是 `except for comfort popups`；本節之可觀察量即 popup，故下螢幕車上仍在（**本批首次以證據放下該排除**）	不暴露 —— 不觀察 tab	暴露 → 全數補（3 旋鈕 ICS 車無 HVAC popup，出處 2.14）	補排除；**逐條答見各 TC 之 `emea_ics_review`** —— `ch16_mirror_map.tsv` 之 **ch14 側全無列**（ch16 十八節無 popup 專章），故全批皆為 `no-counterpart` 而 verdict `yes`
