req_id	outline	test_set	tc_count	q1	q1_why	q2	q2_why	q3	q3_why	q4	q4_why	q5	q5_why	q6	q6_why	q7	q7_why
002-08	2.2	Front Climate Anatomy	1	不適用	條文未列舉支援項／有效值／可選項	有	限值 `highest`；TC 之 ER 觸及端點 `second`	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	有	條文 `timeout`；TC 之 ER 覆蓋該交互 `is not displayed`	有	條文 `do not`；TC 之 ER 覆蓋否定側 `not `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
003-01	2.3	Climate Modes	1	不適用	條文未列舉支援項／有效值／可選項	有	限值 `15h`；TC 之 ER 觸及端點 `off`	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	有	條文 `mutually exclusive`；TC 之 ER 覆蓋該交互 `no longer`	有	條文 `greyed`；TC 之 ER 覆蓋否定側 `greyed`	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
003-02	2.3	Climate Modes	1	不適用	條文未列舉支援項／有效值／可選項	有	限值 `15h`；TC 之 ER 觸及端點 `off`	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	有	條文 `mutually exclusive`；TC 之 ER 覆蓋該交互 `no longer`	有	條文 `gray`；TC 之 ER 覆蓋否定側 `greyed`	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
003-03	2.3	Climate Modes	1	不適用	條文未列舉支援項／有效值／可選項	有	限值 `15h`；TC 之 ER 觸及端點 `off`	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	有	條文 `mutually exclusive`；TC 之 ER 覆蓋該交互 `no longer`	有	條文 `greyed`；TC 之 ER 覆蓋否定側 `greyed`	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
003-04	2.3	Climate Modes	1	不適用	條文未列舉支援項／有效值／可選項	有	限值 `15h`；TC 之 ER 觸及端點 `no longer`	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	有	條文 `mutually exclusive`；TC 之 ER 覆蓋該交互 `no longer`	有	條文 `greyed`；TC 之 ER 覆蓋否定側 `no `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
003-05	2.3	Climate Modes	1	不適用	條文未列舉支援項／有效值／可選項	有	限值 `15h`；TC 之 ER 觸及端點 `off`	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	有	條文 `mutually exclusive`；TC 之 ER 覆蓋該交互 `unchanged`	有	條文 `not shown`；TC 之 ER 覆蓋否定側 `greyed`	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
003-06	2.3	Climate Modes	3	不適用	條文未列舉支援項／有效值／可選項	有	限值 `15h`；TC 之 ER 觸及端點 `no longer`	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	有	條文 `break`；TC 之 ER 覆蓋該交互 `no longer`	有	條文 `greyed`；TC 之 ER 覆蓋否定側 `no `	有	本 leaf 已拆為 3 條
003-07	2.3	Climate Modes	1	不適用	條文未列舉支援項／有效值／可選項	有	限值 `15h`；TC 之 ER 觸及端點 `no longer`	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	有	條文 `break`；TC 之 ER 覆蓋該交互 `no longer`	有	條文 `greyed`；TC 之 ER 覆蓋否定側 `no `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
003-08	2.3	Climate Modes	1	不適用	條文未列舉支援項／有效值／可選項	有	限值 `15h`；TC 之 ER 觸及端點 `off`	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	有	條文 `break`；TC 之 ER 覆蓋該交互 `still`	有	條文 `do not`；TC 之 ER 覆蓋否定側 `greyed`	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
003-09	2.3	Climate Modes	1	不適用	條文未列舉支援項／有效值／可選項	有	限值 `15h`；TC 之 ER 觸及端點 `off`	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	有	條文 `mutually exclusive`；TC 之 ER 覆蓋該交互 `no longer`	有	條文 `not shown`；TC 之 ER 覆蓋否定側 `No `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
004-01	2.3.1	Climate Modes	1	不適用	條文未列舉支援項／有效值／可選項	不適用	條文未給限值、範圍或計數	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	不適用	條文未述及中斷、並行或與他功能之交互	不適用	條文未述及無效操作、不可用狀態或被拒之輸入	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
004-02	2.3.1	Climate Modes	1	不適用	條文未列舉支援項／有效值／可選項	不適用	條文未給限值、範圍或計數	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	不適用	條文未述及中斷、並行或與他功能之交互	不適用	條文未述及無效操作、不可用狀態或被拒之輸入	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
005-01	2.4	Climate Modes	1	不適用	條文未列舉支援項／有效值／可選項	不適用	條文未給限值、範圍或計數	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	有	條文 `break`；TC 之 ER 覆蓋該交互 `no longer`	有	條文 `Do not`；TC 之 ER 覆蓋否定側 `no `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
005-02	2.4	Climate Modes	1	不適用	條文未列舉支援項／有效值／可選項	不適用	條文未給限值、範圍或計數	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	有	條文 `automatically turns`；TC 之 ER 覆蓋該交互 `no longer`	有	條文 `Do not`；TC 之 ER 覆蓋否定側 `no `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
005-03	2.4	Climate Modes	1	不適用	條文未列舉支援項／有效值／可選項	不適用	條文未給限值、範圍或計數	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	有	條文 `break`；TC 之 ER 覆蓋該交互 `no longer`	有	條文 `Do not`；TC 之 ER 覆蓋否定側 `no `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
005-04	2.4	Climate Modes	1	不適用	條文未列舉支援項／有效值／可選項	不適用	條文未給限值、範圍或計數	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	有	條文 `break`；TC 之 ER 覆蓋該交互 `no longer`	有	條文 `not shown`；TC 之 ER 覆蓋否定側 `not `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
006-01	2.5	Climate Modes	1	有	列舉句 `available`；本 leaf 之 ER 自帶反向側 `no longer`	不適用	條文未給限值、範圍或計數	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	不適用	條文未述及中斷、並行或與他功能之交互	有	條文 `not available`；TC 之 ER 覆蓋否定側 `no `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
006-02	2.5	Climate Modes	1	有	列舉句 `available`；本 leaf 之 ER 自帶反向側 `unavailable`	不適用	條文未給限值、範圍或計數	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	不適用	條文未述及中斷、並行或與他功能之交互	有	條文 `gray`；TC 之 ER 覆蓋否定側 `greyed`	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
006-03	2.5	Climate Modes	1	有	列舉句 `available`；同節他條之 ER 為反向側 `no longer`	不適用	條文未給限值、範圍或計數	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	不適用	條文未述及中斷、並行或與他功能之交互	有	條文 `not available`；TC 之 ER 覆蓋否定側 `no `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
006-04	2.5	Climate Modes	1	有	列舉句 `available`；本 leaf 之 ER 自帶反向側 `cannot`	不適用	條文未給限值、範圍或計數	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	不適用	條文未述及中斷、並行或與他功能之交互	有	條文 `not available`；TC 之 ER 覆蓋否定側 `cannot`	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
007-01	2.5.1	Climate Modes	2	不適用	條文未列舉支援項／有效值／可選項	不適用	條文未給限值、範圍或計數	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	不適用	條文未述及中斷、並行或與他功能之交互	不適用	條文未述及無效操作、不可用狀態或被拒之輸入	有	本 leaf 已拆為 2 條
007-02	2.5.1	Climate Modes	1	不適用	條文未列舉支援項／有效值／可選項	不適用	條文未給限值、範圍或計數	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	不適用	條文未述及中斷、並行或與他功能之交互	不適用	條文未述及無效操作、不可用狀態或被拒之輸入	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
008-01	2.6	Temperature and Fan	1	有	列舉句 `ranges:`；同節他條之 ER 為反向側 `is not`	有	限值 `LO`；TC 之 ER 觸及端點 `highest`	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	不適用	條文未述及中斷、並行或與他功能之交互	有	條文 `do not`；TC 之 ER 覆蓋否定側 `not `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
008-02	2.6	Temperature and Fan	2	有	列舉句 `ranges:`；同節他條之 ER 為反向側 `is not`	有	限值 `highest`；TC 之 ER 觸及端點 `highest`	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	不適用	條文未述及中斷、並行或與他功能之交互	有	條文 `do not`；TC 之 ER 覆蓋否定側 `not `	有	本 leaf 已拆為 2 條
008-03	2.6	Temperature and Fan	1	有	列舉句 `ranges:`；同節他條之 ER 為反向側 `is not`	有	限值 `LO`；TC 之 ER 觸及端點 `highest`	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	不適用	條文未述及中斷、並行或與他功能之交互	有	條文 `do not`；TC 之 ER 覆蓋否定側 `not `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
008-04	2.6	Temperature and Fan	1	有	列舉句 `ranges:`；本 leaf 之 ER 自帶反向側 `is not`	有	限值 `LO`；TC 之 ER 觸及端點 `highest`	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	不適用	條文未述及中斷、並行或與他功能之交互	有	條文 `do not`；TC 之 ER 覆蓋否定側 `not `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
008-05	2.6	Temperature and Fan	1	有	列舉句 `ranges:`；同節他條之 ER 為反向側 `is not`	有	限值 `LO`；TC 之 ER 觸及端點 `highest`	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	不適用	條文未述及中斷、並行或與他功能之交互	有	條文 `do not`；TC 之 ER 覆蓋否定側 `not `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
009-01	2.6.1	Temperature and Fan	1	不適用	條文未列舉支援項／有效值／可選項	不適用	條文未給限值、範圍或計數	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	有	條文 `break`；TC 之 ER 覆蓋該交互 `is off`	有	條文 `does not`；TC 之 ER 覆蓋否定側 `does not`	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
009-02	2.6.1	Temperature and Fan	1	不適用	條文未列舉支援項／有效值／可選項	不適用	條文未給限值、範圍或計數	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	有	條文 `break`；TC 之 ER 覆蓋該交互 `is off`	有	條文 `does not`；TC 之 ER 覆蓋否定側 `does not`	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
009-03	2.6.1	Temperature and Fan	2	不適用	條文未列舉支援項／有效值／可選項	不適用	條文未給限值、範圍或計數	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	有	條文 `break`；TC 之 ER 覆蓋該交互 `is off`	有	條文 `does not`；TC 之 ER 覆蓋否定側 `does not`	有	本 leaf 已拆為 2 條
009-04	2.6.1	Temperature and Fan	1	不適用	條文未列舉支援項／有效值／可選項	不適用	條文未給限值、範圍或計數	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	有	條文 `break`；TC 之 ER 覆蓋該交互 `is off`	有	條文 `does not`；TC 之 ER 覆蓋否定側 `does not`	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
009-05	2.6.1	Temperature and Fan	2	不適用	條文未列舉支援項／有效值／可選項	不適用	條文未給限值、範圍或計數	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	有	條文 `break`；TC 之 ER 覆蓋該交互 `is off`	有	條文 `does not`；TC 之 ER 覆蓋否定側 `does not`	有	本 leaf 已拆為 2 條
009-06	2.6.1	Temperature and Fan	2	不適用	條文未列舉支援項／有效值／可選項	不適用	條文未給限值、範圍或計數	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	有	條文 `break`；TC 之 ER 覆蓋該交互 `does not`	有	條文 `ignore`；TC 之 ER 覆蓋否定側 `does not`	有	本 leaf 已拆為 2 條
010-01	2.7	Temperature and Fan	1	有	列舉句 `ranges:`；同節他條之 ER 為反向側 `is not`	有	限值 `Off, 1`；TC 之 ER 觸及端點 `off`	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	不適用	條文未述及中斷、並行或與他功能之交互	有	條文 `shall not`；TC 之 ER 覆蓋否定側 `not `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
010-02	2.7	Temperature and Fan	1	有	列舉句 `ranges:`；本 leaf 之 ER 自帶反向側 `is not`	有	限值 `Off, 1`；TC 之 ER 觸及端點 `off`	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	不適用	條文未述及中斷、並行或與他功能之交互	有	條文 `shall not`；TC 之 ER 覆蓋否定側 `not `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
010-03	2.7	Temperature and Fan	3	有	列舉句 `ranges:`；同節他條之 ER 為反向側 `is not`	有	限值 `Off, 1`；TC 之 ER 觸及端點 `off`	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	不適用	條文未述及中斷、並行或與他功能之交互	有	條文 `shall not`；TC 之 ER 覆蓋否定側 `not `	有	本 leaf 已拆為 3 條
010-04	2.7	Temperature and Fan	2	有	列舉句 `ranges:`；本 leaf 之 ER 自帶反向側 `is not`	有	限值 `Off, 1`；TC 之 ER 觸及端點 `off`	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	不適用	條文未述及中斷、並行或與他功能之交互	有	條文 `cannot`；TC 之 ER 覆蓋否定側 `not `	有	本 leaf 已拆為 2 條
010-05	2.7	Temperature and Fan	1	有	列舉句 `ranges:`；本 leaf 之 ER 自帶反向側 `greyed`	有	限值 `Off, 1`；TC 之 ER 觸及端點 `off`	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	不適用	條文未述及中斷、並行或與他功能之交互	有	條文 `gray`；TC 之 ER 覆蓋否定側 `greyed`	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
011	2.7.1	Temperature and Fan	1	不適用	條文未列舉支援項／有效值／可選項	無	限值 `Off, 1`；TC 未觸及 limit／limit±1／=0	不適用	條文未述及電源／啟動，且本 leaf 非狀態型	不適用	條文未述及保留，且本 leaf 非狀態型	不適用	條文未述及中斷、並行或與他功能之交互	不適用	條文未述及無效操作、不可用狀態或被拒之輸入	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
012-01	2.8	Airflow and Defrost	1	有	列舉句 `available`；本 leaf 之 ER 自帶反向側 `no longer`	不適用	條文未給限值、範圍或計數	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	有	條文 `mutually exclusive`；TC 之 ER 覆蓋該交互 `no longer`	有	條文 `do not`；TC 之 ER 覆蓋否定側 `no `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
012-02	2.8	Airflow and Defrost	1	有	列舉句 `available`；本 leaf 之 ER 自帶反向側 `is not`	不適用	條文未給限值、範圍或計數	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	有	條文 `automatically turns`；TC 之 ER 覆蓋該交互 `no longer`	有	條文 `not shown`；TC 之 ER 覆蓋否定側 `not `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
012-03	2.8	Airflow and Defrost	1	有	列舉句 `available`；同節他條之 ER 為反向側 `no longer`	不適用	條文未給限值、範圍或計數	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	有	條文 `mutually exclusive`；TC 之 ER 覆蓋該交互 `no longer`	有	條文 `do not`；TC 之 ER 覆蓋否定側 `no `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
012-04	2.8	Airflow and Defrost	1	有	列舉句 `available`；同節他條之 ER 為反向側 `no longer`	不適用	條文未給限值、範圍或計數	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	有	條文 `mutually exclusive`；TC 之 ER 覆蓋該交互 `no longer`	有	條文 `do not`；TC 之 ER 覆蓋否定側 `No `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
012-05	2.8	Airflow and Defrost	2	有	列舉句 `available`；本 leaf 之 ER 自帶反向側 `no longer`	不適用	條文未給限值、範圍或計數	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	有	條文 `while`；TC 之 ER 覆蓋該交互 `no longer`	有	條文 `do not`；TC 之 ER 覆蓋否定側 `no `	有	本 leaf 已拆為 2 條
012-06	2.8	Airflow and Defrost	1	有	列舉句 `available`；本 leaf 之 ER 自帶反向側 `unavailable`	不適用	條文未給限值、範圍或計數	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	有	條文 `mutually exclusive`；TC 之 ER 覆蓋該交互 `no longer`	有	條文 `gray`；TC 之 ER 覆蓋否定側 `greyed`	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
013-01	2.9	Airflow and Defrost	1	有	列舉句 `available`；本 leaf 之 ER 自帶反向側 `no longer`	不適用	條文未給限值、範圍或計數	無明文	本 leaf 有可設定之狀態，惟條文未述及 cold boot／power cycle 後之行為 → RD-1 候選	無明文	本 leaf 之狀態由使用者設定，惟條文未述及其於 reboot／ignition cycle 後是否保留 → RD-1 候選	有	條文 `automatically turns`；TC 之 ER 覆蓋該交互 `no longer`	有	條文 `not available`；TC 之 ER 覆蓋否定側 `no `	不適用	單一觸發；其後果不論幾項，依 §5.7 同屬一條
