chapter	chapter_title	outline	section_title	leaf_count	req_ids
16	ICS CLIMATE EMEA – CARRYOVER	16.11	ICE10.) SYNC has on/ off state that is indicated on climate 	4	SWE1-HVAC-116
16	ICS CLIMATE EMEA – CARRYOVER	16.12	ICE11.) Airflow Modes has 5 states (1.Face, 2.Mix of Face & 	3	SWE1-HVAC-117
16	ICS CLIMATE EMEA – CARRYOVER	16.12.1	ICE11.1) If the Mode hard control is pressed the user will b	10	SWE1-HVAC-118
16	ICS CLIMATE EMEA – CARRYOVER	16.13	ICE12.) If the system supports Max A/C it will be displayed 	12	SWE1-HVAC-119
16	ICS CLIMATE EMEA – CARRYOVER	16.14	ICE13.) MTC screens/popups are to be used when CCM relays MT	3	SWE1-HVAC-120
16	ICS CLIMATE EMEA – CARRYOVER	16.15	ICE14.) EXTERIOR REAR-VIEW MIRROR DEFROST has on/ off state.	2	SWE1-HVAC-121
16	ICS CLIMATE EMEA – CARRYOVER	16.16	ICE15.) Always show 'Driver' or 'Passenger'. Off icon of sea	5	SWE1-HVAC-122
16	ICS CLIMATE EMEA – CARRYOVER	16.17	C16.) If blower reduction occurs automatically due to an act	1	SWE1-HVAC-123
17	Home screen - Comfort Widget	17.1	W0.) The Comfort widget will have two screens: Comfort and S	3	SWE1-HVAC-124
17	Home screen - Comfort Widget	17.2	CW1.) The default screen for the Comfort widget is the Clima	8	SWE1-HVAC-125
17	Home screen - Comfort Widget	17.3	CW2.) The second Comfort widget screen includes all Comfort 	3	SWE1-HVAC-126
17	Home screen - Comfort Widget	17.4	CW3.) For 8.4/10.1/12 landscaped screens, there will be a to	2	SWE1-HVAC-127
17	Home screen - Comfort Widget	17.5	CW4.) For dual zone climate with dual airflow modes equipped	2	SWE1-HVAC-128
18	10.25" Home screen - Comfort Widget	18.1	W0.) The Comfort widget will have two screens: Comfort and S	3	SWE1-HVAC-129
