leaf_id	reqid_list	layer3	writable	derivable	quoted_form_risk	blocker_class	blocker_detail	dr_id	blocked_layer	blocked_ref	evidence_note	dr_dependent	driver_reason
SWE1-VC-LeftFrontHeatedSeat-011	4858317;4858347;4858377;4858408	CrossZone Common	W2			B2	[4858317] `EngRun_Stat` 之值無匯流排對應：IDLE_STBL//UNLIMITED//LIMITED//RUN ‖ [4858317] `Hybrid_Type` 之值無匯流排對應：PHEV ‖ [4858347] `EngRun_Stat` 之值無匯流排對應：IDLE_STBL//UNLIMITED//LIMITED//RUN ‖ [4858347] `Hybrid_Type` 之值無匯流排對應：PHEV ‖ [4858377] `EngRun_Stat` 之值無匯流排對應：IDLE_STBL//UNLIMITED//LIMITED//RUN ‖ [4858377] `Hybrid_Type` 之值無匯流排對應：PHEV ‖ [4858408] `EngRun_Stat` 之值無匯流排對應：IDLE_STBL//UNLIMITED//LIMITED//RUN ‖ [4858408] `Hybrid_Type` 之值無匯流排對應：PHEV	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-LeftFrontHeatedSeat-012	4858318	LeftFrontHeatedSeat	W0										無未解值
SWE1-VC-LeftFrontHeatedSeat-013	4858319	LeftFrontHeatedSeat	W2			B2	[4858319] `FL_HS_RQ` 之值無匯流排對應：Heated Seat Pressed / HS_PSD	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-LeftFrontHeatedSeat-014	4858320	LeftFrontHeatedSeat	W2										未解值位於後件 —— 驗證目標即該值
SWE1-VC-LeftFrontHeatedSeat-015	4858325	LeftFrontHeatedSeat	W2			B2	[4858325] `FL_HS_RQ` 之值無匯流排對應：High；Low；Medium	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-LeftFrontHeatedSeat-016	4858326	LeftFrontHeatedSeat	W2			B2	[4858326] `HeatedSeatFL` 之值無匯流排對應：Heated Seat Off / HS_OFF	DR-21					前件無已解條件 —— 扣除 PENDING 後不足 2 個可執行步驟
SWE1-VC-LeftFrontHeatedSeat-017	4858327	LeftFrontHeatedSeat	W2			B2	[4858327] `HeatedSeatFL` 之值無匯流排對應：Heated Seat High / HS_HI	DR-21					前件無已解條件 —— 扣除 PENDING 後不足 2 個可執行步驟
SWE1-VC-LeftFrontHeatedSeat-018	4858328	LeftFrontHeatedSeat	W2			B2	[4858328] `HeatedSeatFL` 之值無匯流排對應：Heated Seat Medium / HS_MED	DR-21					前件無已解條件 —— 扣除 PENDING 後不足 2 個可執行步驟
SWE1-VC-LeftFrontHeatedSeat-019	4858329	LeftFrontHeatedSeat	W2			B2	[4858329] `HeatedSeatFL` 之值無匯流排對應：Heated Seat Low / HS_LO	DR-21					前件無已解條件 —— 扣除 PENDING 後不足 2 個可執行步驟
SWE1-VC-RightFrontHeatedSeat-022	4858332	RightFrontHeatedSeat	W0										無未解值
SWE1-VC-RightFrontHeatedSeat-023	4858337	RightFrontHeatedSeat	W2			B2	[4858337] `HeatedSeatFR` 之值無匯流排對應：Heated Seat High / HS_HI；Heated Seat Low / HS_LO；Heated Seat Off / HS_OFF	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-RightFrontHeatedSeat-024	4858338	RightFrontHeatedSeat	W2			B2	[4858338] `HeatedSeatFR` 之值無匯流排對應：Heated Seat High / HS_HI；Heated Seat Low / HS_LO；Heated Seat Medium / HS_MED	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-RightFrontHeatedSeat-025	4858339	RightFrontHeatedSeat	W0										無未解值
SWE1-VC-RightFrontHeatedSeat-026	4858340	RightFrontHeatedSeat	W0										無未解值
SWE1-VC-RightFrontHeatedSeat-027	4858341	RightFrontHeatedSeat	W2			B2	[4858341] `PrplsnSysAtv` 之值無匯流排對應：Not Active ‖ [4858341] `Hybrid_Type` 之值無匯流排對應：PHEV	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-RightFrontHeatedSeat-028	4858346	RightFrontHeatedSeat	W2			B2	[4858346] `EngRun_Stat` 之值無匯流排對應：IDLE_STBL//UNLIMITED//LIMITED//RUN ‖ [4858346] `Hybrid_Type` 之值無匯流排對應：PHEV	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-RightFrontHeatedSeat-029	4858348	RightFrontHeatedSeat	W0										無未解值
SWE1-VC-RightFrontHeatedSeat-030	4858349	RightFrontHeatedSeat	W2			B2	[4858349] `FR_HS_RQ` 之值無匯流排對應：Heated Seat Pressed / HS_PSD	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-RightFrontHeatedSeat-031	4858350	RightFrontHeatedSeat	W2										未解值位於後件 —— 驗證目標即該值
SWE1-VC-RightFrontHeatedSeat-032	4858355	RightFrontHeatedSeat	W2			B2	[4858355] `FR_HS_RQ` 之值無匯流排對應：High；Low；Medium	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-RightFrontHeatedSeat-033	4858356	RightFrontHeatedSeat	W2			B2	[4858356] `HeatedSeatFR` 之值無匯流排對應：Heated Seat Off / HS_OFF	DR-21					前件無已解條件 —— 扣除 PENDING 後不足 2 個可執行步驟
SWE1-VC-RightFrontHeatedSeat-034	4858357	RightFrontHeatedSeat	W2			B2	[4858357] `HeatedSeatFR` 之值無匯流排對應：Heated Seat High / HS_HI	DR-21					前件無已解條件 —— 扣除 PENDING 後不足 2 個可執行步驟
SWE1-VC-RightFrontHeatedSeat-035	4858358	RightFrontHeatedSeat	W2			B2	[4858358] `HeatedSeatFR` 之值無匯流排對應：Heated Seat Medium / HS_MED	DR-21					前件無已解條件 —— 扣除 PENDING 後不足 2 個可執行步驟
SWE1-VC-RightFrontHeatedSeat-036	4858359	RightFrontHeatedSeat	W2			B2	[4858359] `HeatedSeatFR` 之值無匯流排對應：Heated Seat Low / HS_LO	DR-21					前件無已解條件 —— 扣除 PENDING 後不足 2 個可執行步驟
SWE1-VC-OneStageHeatedSeat-039	4859360	OneStageHeatedSeat	W2		yes	B4-preamble					R-VS51(2)：條文 4859360 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）		唯一來源條文為適用性前言，無可測之功能行為
SWE1-VC-OneStageHeatedSeat-040	4859361	OneStageHeatedSeat	W0		yes	B2	[引號形態] `Heated_Seat_Levels` 之值無匯流排對應：One Level	DR-21			VF664-inferred		無未解值
SWE1-VC-OneStageHeatedSeat-041	4859362	OneStageHeatedSeat	W0										無未解值
SWE1-VC-OneStageHeatedSeat-042	4859363	OneStageHeatedSeat	W2		yes	B2	[引號形態] `FL_HS_Cmd_Tlm` 之值無匯流排對應：Heated_seat_high；Heated_seat_low；Heated_seat_mid	DR-21				DR-25	未解值位於後件 —— 驗證目標即該值
SWE1-VC-OneStageHeatedSeat-043	4859364	OneStageHeatedSeat	W2		yes	B2	[引號形態] `FL_HS_Cmd_Tlm` 之值無匯流排對應：Heated_seat_high；Heated_seat_low；Heated_seat_mid	DR-21				DR-25	未解值位於後件 —— 驗證目標即該值
SWE1-VC-OneStageHeatedSeat-044	4859365	OneStageHeatedSeat	W2		yes	B2	[引號形態] `FR_HS_Cmd_Tlm` 之值無匯流排對應：Heated_seat_high；Heated_seat_low；Heated_seat_mid	DR-21				DR-25	未解值位於後件 —— 驗證目標即該值
SWE1-VC-OneStageHeatedSeat-045	4859366	OneStageHeatedSeat	W2		yes	B2	[引號形態] `FR_HS_Cmd_Tlm` 之值無匯流排對應：Heated_seat_high；Heated_seat_low；Heated_seat_mid	DR-21				DR-25	未解值位於後件 —— 驗證目標即該值
SWE1-VC-OneStageHeatedSeat-046	4859367	OneStageHeatedSeat	W0										無未解值
SWE1-VC-OneStageHeatedSeat-047	4859368	OneStageHeatedSeat	W0		yes	B2	[引號形態] `HeatedSeatFL` 之值無匯流排對應：Heated_seat_mid	DR-21					無未解值
SWE1-VC-OneStageHeatedSeat-048	4859369	OneStageHeatedSeat	W0		yes	B2	[引號形態] `HeatedSeatFL` 之值無匯流排對應：Heated_seat_mid	DR-21					無未解值
SWE1-VC-OneStageHeatedSeat-049	4859370	OneStageHeatedSeat	W0		yes	B2	[引號形態] `HeatedSeatFR` 之值無匯流排對應：Heated_seat_mid	DR-21					無未解值
SWE1-VC-OneStageHeatedSeat-050	4859371	OneStageHeatedSeat	W0		yes	B2	[引號形態] `HeatedSeatFR` 之值無匯流排對應：Heated_seat_mid	DR-21					無未解值
SWE1-VC-OneStageHeatedSeat-051	4859372	OneStageHeatedSeat	W0										無未解值
SWE1-VC-OneStageHeatedSeat-052	4859373	OneStageHeatedSeat	W0										無未解值
SWE1-VC-TwoStagesHeatedSeat-055	4859376	TwoStagesHeatedSeat	W2		yes	B4-preamble					R-VS51(2)：條文 4859376 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）		唯一來源條文為適用性前言，無可測之功能行為
SWE1-VC-TwoStagesHeatedSeat-056	4859377;4859378	TwoStagesHeatedSeat	W2		yes	B2	[引號形態] `Heated_Steats_Levels` 之值無匯流排對應：Three Levels；Two Levels	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-TwoStagesHeatedSeat-057	4859379	TwoStagesHeatedSeat	W0										無未解值
SWE1-VC-TwoStagesHeatedSeat-058	4859380	TwoStagesHeatedSeat	W0		yes						R-VS51(2)：條文 4859380 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-TwoStagesHeatedSeat-059	4859381	TwoStagesHeatedSeat	W0		yes						R-VS51(2)：條文 4859381 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-TwoStagesHeatedSeat-060	4859382	TwoStagesHeatedSeat	W0		yes						R-VS51(2)：條文 4859382 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-TwoStagesHeatedSeat-061	4859383	TwoStagesHeatedSeat	W0		yes						R-VS51(2)：條文 4859383 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-TwoStagesHeatedSeat-062	4859384	TwoStagesHeatedSeat	W0		yes						R-VS51(2)：條文 4859384 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-TwoStagesHeatedSeat-063	4859385	TwoStagesHeatedSeat	W0		yes						R-VS51(2)：條文 4859385 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-TwoStagesHeatedSeat-064	4859386	TwoStagesHeatedSeat	W0						screen	DR-5-B			無未解值
SWE1-VC-TwoStagesHeatedSeat-065	4859387	TwoStagesHeatedSeat	W0						screen	DR-5-B			無未解值
SWE1-VC-TwoStagesHeatedSeat-066	4859388	TwoStagesHeatedSeat	W0										無未解值
SWE1-VC-TwoStagesHeatedSeat-067	4859389	TwoStagesHeatedSeat	W0		yes						R-VS51(2)：條文 4859389 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-TwoStagesHeatedSeat-068	4859390	TwoStagesHeatedSeat	W0		yes						R-VS51(2)：條文 4859390 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-TwoStagesHeatedSeat-069	4859391	TwoStagesHeatedSeat	W0		yes						R-VS51(2)：條文 4859391 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-TwoStagesHeatedSeat-070	4859392	TwoStagesHeatedSeat	W0		yes						R-VS51(2)：條文 4859392 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-TwoStagesHeatedSeat-071	4859393	TwoStagesHeatedSeat	W0		yes						R-VS51(2)：條文 4859393 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-TwoStagesHeatedSeat-072	4859394	TwoStagesHeatedSeat	W0		yes						R-VS51(2)：條文 4859394 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-TwoStagesHeatedSeat-073	4859395	TwoStagesHeatedSeat	W0										無未解值
SWE1-VC-TwoStagesHeatedSeat-074	4859396	TwoStagesHeatedSeat	W0										無未解值
SWE1-VC-ThreeStagesHeatedSeat-078	4859400	ThreeStagesHeatedSeat	W2		yes	B4-preamble					R-VS51(2)：條文 4859400 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）		唯一來源條文為適用性前言，無可測之功能行為
SWE1-VC-ThreeStagesHeatedSeat-079	4859401	ThreeStagesHeatedSeat	W2		yes	B2	[引號形態] `Heated_Steats_Levels` 之值無匯流排對應：Three Levels；Two Levels	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-ThreeStagesHeatedSeat-080	4859402	ThreeStagesHeatedSeat	W0										無未解值
SWE1-VC-ThreeStagesHeatedSeat-081	4859403	ThreeStagesHeatedSeat	W0		yes						R-VS51(2)：條文 4859403 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-ThreeStagesHeatedSeat-082	4859404	ThreeStagesHeatedSeat	W2		yes	B2	[引號形態] `FL_HS_Cmd_Tlm` 之值無匯流排對應：Heated_seat_high；Heated_seat_low；Heated_seat_mid ‖ [引號形態] `HeatedSeatFL` 之值無匯流排對應：Heated_seat_mid	DR-21				DR-25	未解值位於後件 —— 驗證目標即該值
SWE1-VC-ThreeStagesHeatedSeat-083	4859405	ThreeStagesHeatedSeat	W2		yes	B2	[引號形態] `FL_HS_Cmd_Tlm` 之值無匯流排對應：Heated_seat_high；Heated_seat_low；Heated_seat_mid ‖ [引號形態] `HeatedSeatFL` 之值無匯流排對應：Heated_seat_mid	DR-21				DR-25	未解值位於後件 —— 驗證目標即該值
SWE1-VC-ThreeStagesHeatedSeat-084	4859406	ThreeStagesHeatedSeat	W0		yes						R-VS51(2)：條文 4859406 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-ThreeStagesHeatedSeat-085	4859407	ThreeStagesHeatedSeat	W0		yes						R-VS51(2)：條文 4859407 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-ThreeStagesHeatedSeat-086	4859408	ThreeStagesHeatedSeat	W2		yes	B2	[引號形態] `FR_HS_Cmd_Tlm` 之值無匯流排對應：Heated_seat_high；Heated_seat_low；Heated_seat_mid ‖ [引號形態] `HeatedSeatFR` 之值無匯流排對應：Heated_seat_mid	DR-21				DR-25	未解值位於後件 —— 驗證目標即該值
SWE1-VC-ThreeStagesHeatedSeat-087	4859409	ThreeStagesHeatedSeat	W2		yes	B2	[引號形態] `FR_HS_Cmd_Tlm` 之值無匯流排對應：Heated_seat_high；Heated_seat_low；Heated_seat_mid ‖ [引號形態] `HeatedSeatFR` 之值無匯流排對應：Heated_seat_mid	DR-21				DR-25	未解值位於後件 —— 驗證目標即該值
SWE1-VC-ThreeStagesHeatedSeat-088	4859410	ThreeStagesHeatedSeat	W0		yes						R-VS51(2)：條文 4859410 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-ThreeStagesHeatedSeat-089	4859413	ThreeStagesHeatedSeat	W0										無未解值
SWE1-VC-ThreeStagesHeatedSeat-090	4859414	ThreeStagesHeatedSeat	W0		yes						R-VS51(2)：條文 4859414 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-ThreeStagesHeatedSeat-091	4859415	ThreeStagesHeatedSeat	W0		yes						R-VS51(2)：條文 4859415 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-ThreeStagesHeatedSeat-092	4859416	ThreeStagesHeatedSeat	W2		yes	B2	[引號形態] `FL_HS_Cmd_Tlm` 之值無匯流排對應：Heated_seat_high；Heated_seat_low；Heated_seat_mid ‖ [引號形態] `HeatedSeatFL` 之值無匯流排對應：Heated_seat_mid	DR-21				DR-25	未解值位於後件 —— 驗證目標即該值
SWE1-VC-ThreeStagesHeatedSeat-093	4859417	ThreeStagesHeatedSeat	W0		yes						R-VS51(2)：條文 4859417 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-ThreeStagesHeatedSeat-094	4859418	ThreeStagesHeatedSeat	W0		yes						R-VS51(2)：條文 4859418 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-ThreeStagesHeatedSeat-095	4859419	ThreeStagesHeatedSeat	W0		yes						R-VS51(2)：條文 4859419 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-ThreeStagesHeatedSeat-096	4859420	ThreeStagesHeatedSeat	W2		yes	B2	[引號形態] `FR_HS_Cmd_Tlm` 之值無匯流排對應：Heated_seat_high；Heated_seat_low；Heated_seat_mid ‖ [引號形態] `HeatedSeatFR` 之值無匯流排對應：Heated_seat_mid	DR-21				DR-25	未解值位於後件 —— 驗證目標即該值
SWE1-VC-ThreeStagesHeatedSeat-097	4859421	ThreeStagesHeatedSeat	W0		yes						R-VS51(2)：條文 4859421 標 Atlantis Mid，值域取 LID `Atlantis` 欄組（32 輪 W-90）	DR-25	無未解值
SWE1-VC-ThreeStagesHeatedSeat-098	4859422	ThreeStagesHeatedSeat	W0										無未解值
SWE1-VC-ThreeStagesHeatedSeat-099	4859423	ThreeStagesHeatedSeat	W0										無未解值
SWE1-VC-HeatedSteeringWheel-003	4858513	HeatedSteeringWheel	W0										無未解值
SWE1-VC-HeatedSteeringWheel-004	4858516	HeatedSteeringWheel	W2			B2|B3	[4858516] `Heated_Steering_Levels` 之值無匯流排對應：1_Level ‖ [4858516] `HSW_StatS` 於 LID／DBC／值域資料皆無記載	DR-21|DR-22					未解值位於後件 —— 驗證目標即該值
SWE1-VC-HeatedSteeringWheel-005	4858517	HeatedSteeringWheel	W2			B2	[4858517] `HSW_Stat_2` 之值無匯流排對應：Heated steering wheel high / HSW_HI；Heated steering wheel low / HSW_LO；Heated steering wheel medium / HSW_MED	DR-21					未解值位於後件 —— 驗證目標即該值
SWE1-VC-HeatedSteeringWheel-006	4858519	HeatedSteeringWheel	W0										無未解值
SWE1-VC-HeatedSteeringWheel-007	4858521	HeatedSteeringWheel	W0										無未解值
