leaf_id	test_set	layer3	delegate	target_feature	basis	screen_source
SWE1-VC-AutoOnDriverComfort-3Option-097	Driver Convenience	Auto On Driver Comfort - 3 Option	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoOnDriverComfort-3Option-098	Driver Convenience	Auto On Driver Comfort - 3 Option	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoOnDriverComfort-3Option-099	Driver Convenience	Auto On Driver Comfort - 3 Option	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoOnDriverComfort-3Option-100	Driver Convenience	Auto On Driver Comfort - 3 Option	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoOnDriverComfort-3Option-101	Driver Convenience	Auto On Driver Comfort - 3 Option	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoParkBrake-021	Driver Convenience	Auto Park Brake	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoParkBrake-022	Driver Convenience	Auto Park Brake	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoParkBrake-023	Driver Convenience	Auto Park Brake	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoParkBrake-024	Driver Convenience	Auto Park Brake	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoParkBrake-025	Driver Convenience	Auto Park Brake	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoUnlockonExit-040	Driver Convenience	Auto Unlock on Exit	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoUnlockonExit-041	Driver Convenience	Auto Unlock on Exit	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoUnlockonExit-042	Driver Convenience	Auto Unlock on Exit	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoUnlockonExit-043	Driver Convenience	Auto Unlock on Exit	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutoUnlockonExit-044	Driver Convenience	Auto Unlock on Exit	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutomaticTrailerLight Check-039	Trailer and Signage	Automatic Trailer Light Check	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutomaticTrailerLight Check-040	Trailer and Signage	Automatic Trailer Light Check	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutomaticTrailerLight Check-041	Trailer and Signage	Automatic Trailer Light Check	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutomaticTrailerLight Check-042	Trailer and Signage	Automatic Trailer Light Check	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-AutomaticTrailerLight Check-043	Trailer and Signage	Automatic Trailer Light Check	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-BlindSpotAlert-002	Driver Convenience	Blind Spot Alert	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-BlindSpotAlert-003	Driver Convenience	Blind Spot Alert	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-BlindSpotAlert-004	Driver Convenience	Blind Spot Alert	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-BlindSpotAlert-005	Driver Convenience	Blind Spot Alert	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-BlindSpotAlert-006	Driver Convenience	Blind Spot Alert	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-BlindSpotAlert-007	Driver Convenience	Blind Spot Alert	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-Blind Spot with Trailer Detection-045	Trailer and Signage	Blind Spot with Trailer Detection	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-Blind Spot with Trailer Detection-046	Trailer and Signage	Blind Spot with Trailer Detection	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-Blind Spot with Trailer Detection-047	Trailer and Signage	Blind Spot with Trailer Detection	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-Blind Spot with Trailer Detection-048	Trailer and Signage	Blind Spot with Trailer Detection	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-Blind Spot with Trailer Detection-049	Trailer and Signage	Blind Spot with Trailer Detection	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-CHMSL CAMERA DYNAMIC CENTERLINE-134	Trailer and Signage	CHMSL CAMERA DYNAMIC CENTERLINE	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-CHMSL CAMERA DYNAMIC CENTERLINE-135	Trailer and Signage	CHMSL CAMERA DYNAMIC CENTERLINE	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-CHMSL CAMERA DYNAMIC CENTERLINE-136	Trailer and Signage	CHMSL CAMERA DYNAMIC CENTERLINE	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-CHMSL CAMERA DYNAMIC CENTERLINE-137	Trailer and Signage	CHMSL CAMERA DYNAMIC CENTERLINE	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-CHMSL CAMERA DYNAMIC CENTERLINE-138	Trailer and Signage	CHMSL CAMERA DYNAMIC CENTERLINE	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ChargePowerLevel-044	Approach and Tailgate	Charge Power Level	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ChargePowerLevel-045	Approach and Tailgate	Charge Power Level	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ChargePowerLevel-046	Approach and Tailgate	Charge Power Level	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ChargePowerLevel-047	Approach and Tailgate	Charge Power Level	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ChargePowerLevel-048	Approach and Tailgate	Charge Power Level	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ChargePowerLevel-049	Approach and Tailgate	Charge Power Level	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ChargePowerLevel-050	Approach and Tailgate	Charge Power Level	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ChargePowerLevel-051	Approach and Tailgate	Charge Power Level	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ConsumptionUnit-031	Units and Cameras	Consumption Unit	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ConsumptionUnit-032	Units and Cameras	Consumption Unit	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ConsumptionUnit-033	Units and Cameras	Consumption Unit	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ConsumptionUnit-034	Units and Cameras	Consumption Unit	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ConsumptionUnit-035	Units and Cameras	Consumption Unit	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ConsumptionUnit-036	Units and Cameras	Consumption Unit	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ConsumptionUnit-037	Units and Cameras	Consumption Unit	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-CorneringLights-002	Lane and Lighting	Cornering Lights	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-CorneringLights-003	Lane and Lighting	Cornering Lights	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-CorneringLights-004	Lane and Lighting	Cornering Lights	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-CorneringLights-005	Lane and Lighting	Cornering Lights	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-CorneringLights-006	Lane and Lighting	Cornering Lights	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-DaytimeRunningLights-002	Daytime Lighting	Daytime Running Lights	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-DaytimeRunningLights-003	Daytime Lighting	Daytime Running Lights	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-DaytimeRunningLights-004	Daytime Lighting	Daytime Running Lights	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-DaytimeRunningLights-005	Daytime Lighting	Daytime Running Lights	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-DaytimeRunningLights-006	Daytime Lighting	Daytime Running Lights	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-DistanceUnit-021	Units and Cameras	Distance Unit	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-DistanceUnit-022	Units and Cameras	Distance Unit	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-DistanceUnit-023	Units and Cameras	Distance Unit	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-DistanceUnit-024	Units and Cameras	Distance Unit	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-DriverEasyExitSeat-038	Suspension and Comfort	Driver Easy Exit Seat	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-DriverEasyExitSeat-039	Suspension and Comfort	Driver Easy Exit Seat	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-DriverEasyExitSeat-040	Suspension and Comfort	Driver Easy Exit Seat	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-DriverEasyExitSeat-041	Suspension and Comfort	Driver Easy Exit Seat	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-DriverEasyExitSeat-042	Suspension and Comfort	Driver Easy Exit Seat	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-E-Save-090	Auxiliary Switches	E-Save	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-E-Save-091	Auxiliary Switches	E-Save	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-E-Save-092	Auxiliary Switches	E-Save	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-E-Save-093	Auxiliary Switches	E-Save	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-E-Save-094	Auxiliary Switches	E-Save	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-E-Save-095	Auxiliary Switches	E-Save	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-EngineOffPowerDelay-044	Suspension and Comfort	Engine Off Power Delay	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-EngineOffPowerDelay-045	Suspension and Comfort	Engine Off Power Delay	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-EngineOffPowerDelay-046	Suspension and Comfort	Engine Off Power Delay	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-EngineOffPowerDelay-047	Suspension and Comfort	Engine Off Power Delay	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-EngineOffPowerDelay-048	Suspension and Comfort	Engine Off Power Delay	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-EngineOffPowerDelay-049	Suspension and Comfort	Engine Off Power Delay	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-EngineOffPowerDelay-050	Suspension and Comfort	Engine Off Power Delay	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-EnhancedDisplaySynchronization-127	Trailer and Signage	Enhanced Display Synchronization	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-EnhancedDisplaySynchronization-128	Trailer and Signage	Enhanced Display Synchronization	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-EnhancedDisplaySynchronization-129	Trailer and Signage	Enhanced Display Synchronization	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-EnhancedDisplaySynchronization-130	Trailer and Signage	Enhanced Display Synchronization	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-EnhancedDisplaySynchronization-131	Trailer and Signage	Enhanced Display Synchronization	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-EnhancedDisplaySynchronization-132	Trailer and Signage	Enhanced Display Synchronization	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-FlashLightWithLock-046	Driver Convenience	Flash Light With Lock	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-FlashLightWithLock-047	Driver Convenience	Flash Light With Lock	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-FlashLightWithLock-048	Driver Convenience	Flash Light With Lock	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-FlashLightWithLock-049	Driver Convenience	Flash Light With Lock	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-FlashLightWithLock-050	Driver Convenience	Flash Light With Lock	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ForwardCollisionWarning-034	Lane and Lighting	Forward Collision Warning	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ForwardCollisionWarning-035	Lane and Lighting	Forward Collision Warning	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ForwardCollisionWarning-036	Lane and Lighting	Forward Collision Warning	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ForwardCollisionWarning-037	Lane and Lighting	Forward Collision Warning	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ForwardCollisionWarning-038	Lane and Lighting	Forward Collision Warning	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ForwardCollisionWarning-039	Lane and Lighting	Forward Collision Warning	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ForwardCollisionWarningSensitivity-041	Lane and Lighting	Forward Collision Warning Sensitivity	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ForwardCollisionWarningSensitivity-042	Lane and Lighting	Forward Collision Warning Sensitivity	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ForwardCollisionWarningSensitivity-043	Lane and Lighting	Forward Collision Warning Sensitivity	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ForwardCollisionWarningSensitivity-044	Lane and Lighting	Forward Collision Warning Sensitivity	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ForwardCollisionWarningSensitivity-045	Lane and Lighting	Forward Collision Warning Sensitivity	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-ForwardCollisionWarningSensitivity-046	Lane and Lighting	Forward Collision Warning Sensitivity	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-GreetingLights-008	Lane and Lighting	Greeting Lights	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-GreetingLights-009	Lane and Lighting	Greeting Lights	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-GreetingLights-010	Lane and Lighting	Greeting Lights	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-GreetingLights-011	Lane and Lighting	Greeting Lights	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-GreetingLights-012	Lane and Lighting	Greeting Lights	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HeadlightsOffDelay-008	Daytime Lighting	Headlights Off Delay	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HeadlightsOffDelay-009	Daytime Lighting	Headlights Off Delay	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HeadlightsOffDelay-010	Daytime Lighting	Headlights Off Delay	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HeadlightsOffDelay-011	Daytime Lighting	Headlights Off Delay	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HeadlightsOffDelay-012	Daytime Lighting	Headlights Off Delay	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HeadlightsOffDelay-013	Daytime Lighting	Headlights Off Delay	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HeadlightsOffDelay-014	Daytime Lighting	Headlights Off Delay	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HeadlightswithWipers-058	Suspension and Comfort	Headlights with Wipers	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HeadlightswithWipers-059	Suspension and Comfort	Headlights with Wipers	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HeadlightswithWipers-060	Suspension and Comfort	Headlights with Wipers	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HeadlightswithWipers-061	Suspension and Comfort	Headlights with Wipers	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HeadlightswithWipers-062	Suspension and Comfort	Headlights with Wipers	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HillStartAssist-052	Suspension and Comfort	Hill Start Assist	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HillStartAssist-053	Suspension and Comfort	Hill Start Assist	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HillStartAssist-054	Suspension and Comfort	Hill Start Assist	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HillStartAssist-055	Suspension and Comfort	Hill Start Assist	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HillStartAssist-056	Suspension and Comfort	Hill Start Assist	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HornWithLock-033	Driver Convenience	Horn With Lock	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HornWithLock-034	Driver Convenience	Horn With Lock	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HornWithLock-035	Driver Convenience	Horn With Lock	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HornWithLock-036	Driver Convenience	Horn With Lock	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HornWithLock-037	Driver Convenience	Horn With Lock	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HornWithLock-038	Driver Convenience	Horn With Lock	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HornWithRemoteStart-027	Driver Convenience	Horn With Remote Start	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HornWithRemoteStart-028	Driver Convenience	Horn With Remote Start	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HornWithRemoteStart-029	Driver Convenience	Horn With Remote Start	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HornWithRemoteStart-030	Driver Convenience	Horn With Remote Start	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HornWithRemoteStart-031	Driver Convenience	Horn With Remote Start	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HourMode-010	Units and Cameras	Hour Mode	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HourMode-011	Units and Cameras	Hour Mode	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HourMode-012	Units and Cameras	Hour Mode	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-HourMode-013	Units and Cameras	Hour Mode	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-IlluminatedApproach-002	Approach and Tailgate	Illuminated Approach	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-IlluminatedApproach-003	Approach and Tailgate	Illuminated Approach	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-IlluminatedApproach-004	Approach and Tailgate	Illuminated Approach	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-IlluminatedApproach-005	Approach and Tailgate	Illuminated Approach	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-IlluminatedApproach-006	Approach and Tailgate	Illuminated Approach	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-IlluminatedApproach-007	Approach and Tailgate	Illuminated Approach	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-IlluminatedApproach-008	Approach and Tailgate	Illuminated Approach	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-LaneSenseStrength-027	Lane and Lighting	Lane Sense Strength	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-LaneSenseStrength-028	Lane and Lighting	Lane Sense Strength	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-LaneSenseStrength-029	Lane and Lighting	Lane Sense Strength	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-LaneSenseStrength-030	Lane and Lighting	Lane Sense Strength	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-LaneSenseStrength-031	Lane and Lighting	Lane Sense Strength	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-LaneSenseStrength-032	Lane and Lighting	Lane Sense Strength	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-LaneSenseWarning-014	Lane and Lighting	Lane Sense Warning	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-LaneSenseWarning-015	Lane and Lighting	Lane Sense Warning	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-LaneSenseWarning-016	Lane and Lighting	Lane Sense Warning	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-LaneSenseWarning-017	Lane and Lighting	Lane Sense Warning	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
SWE1-VC-LaneSenseWarning-018	Lane and Lighting	Lane Sense Warning	no		已比對之 5 個 feature 之 037 全集皆無同一實體功能之對應	
