leaf_id	test_set	layer3	src_ref	writable	blocker_class	blocker_detail	value_source	dr_id	vcvm_not_clear	disagree
SWE1-VC-RKELinkedtoMemory-093	Driver Convenience	RKE Linked to Memory	SYS-RA-VF230_V1-757	W0			RKEMemoryLinkEnable_Req=2-DBC		0	0
SWE1-VC-RKELinkedtoMemory-094	Driver Convenience	RKE Linked to Memory	SYS-RA-VF230_V1-758	W0			RKEMemoryLinkEnable=2-DBC		0	0
SWE1-VC-AutoOnDriverComfort-3Option-096	Driver Convenience	Auto On Driver Comfort - 3 Option	SYS-RA-VF230_V1-760	W0					0	0
SWE1-VC-AutoOnDriverComfort-3Option-097	Driver Convenience	Auto On Driver Comfort - 3 Option	SYS-RA-VF230_V1-761	W0					0	0
SWE1-VC-AutoOnDriverComfort-3Option-098	Driver Convenience	Auto On Driver Comfort - 3 Option	SYS-RA-VF230_V1-762	W0			RemStNrmlStEnbl_Req=2-DBC		0	0
SWE1-VC-AutoOnDriverComfort-3Option-099	Driver Convenience	Auto On Driver Comfort - 3 Option	SYS-RA-VF230_V1-763	W0			RemStNrmlStEnbl_Req=2-DBC		0	0
SWE1-VC-AutoOnDriverComfort-3Option-100	Driver Convenience	Auto On Driver Comfort - 3 Option	SYS-RA-VF230_V1-764	W0			RemStNrmlStEnbl_Req=2-DBC		0	0
SWE1-VC-AutoOnDriverComfort-3Option-101	Driver Convenience	Auto On Driver Comfort - 3 Option	SYS-RA-VF230_V1-765	W0			RemStNrmlStEnbl=2-DBC		0	0
SWE1-VC-AutoOnDriverComfort-2Option-103	Driver Convenience	Auto On Driver Comfort - 2 Option	SYS-RA-VF230_V1-767	W0					0	0
SWE1-VC-AutoOnDriverComfort-2Option-104	Driver Convenience	Auto On Driver Comfort - 2 Option	SYS-RA-VF230_V1-768	W0					0	0
SWE1-VC-AutoOnDriverComfort-2Option-105	Driver Convenience	Auto On Driver Comfort - 2 Option	SYS-RA-VF230_V1-769	W0			RemStNrmlStEnbl_Req=2-DBC		0	0
SWE1-VC-AutoOnDriverComfort-2Option-106	Driver Convenience	Auto On Driver Comfort - 2 Option	SYS-RA-VF230_V1-770	W0			RemStNrmlStEnbl_Req=2-DBC		0	0
SWE1-VC-AutoOnDriverComfort-2Option-107	Driver Convenience	Auto On Driver Comfort - 2 Option	SYS-RA-VF230_V1-771	W0			RemStNrmlStEnbl=2-DBC		0	0
SWE1-VC-RearviewCameraDelay-109	Driver Convenience	Rearview Camera Delay	SYS-RA-VF230_V1-773	W0					0	0
SWE1-VC-RearviewCameraDelay-110	Driver Convenience	Rearview Camera Delay	SYS-RA-VF230_V1-774	W0					0	0
SWE1-VC-RearviewCameraDelay-111	Driver Convenience	Rearview Camera Delay	SYS-RA-VF230_V1-775	W0			Backup_Cam_Delay_Req=2-DBC		0	0
SWE1-VC-RearviewCameraDelay-112	Driver Convenience	Rearview Camera Delay	SYS-RA-VF230_V1-776	W0			Backup_Cam_Delay_Req=2-DBC		0	0
SWE1-VC-RearviewCameraDelay-113	Driver Convenience	Rearview Camera Delay	SYS-RA-VF230_V1-777	W0			Backup_Cam_Delay=2-DBC		0	0
SWE1-VC-RearviewCameraDynamicGuidelines-115	Driver Convenience	Rearview Camera Dynamic Guidelines	SYS-RA-VF230_V1-779	W0					0	0
SWE1-VC-RearviewCameraDynamicGuidelines-116	Driver Convenience	Rearview Camera Dynamic Guidelines	SYS-RA-VF230_V1-780	W0					0	0
SWE1-VC-RearviewCameraDynamicGuidelines-117	Driver Convenience	Rearview Camera Dynamic Guidelines	SYS-RA-VF230_V1-781	W0			DynamicGrid_Req=2-DBC		0	0
SWE1-VC-RearviewCameraDynamicGuidelines-118	Driver Convenience	Rearview Camera Dynamic Guidelines	SYS-RA-VF230_V1-782	W0			DynamicGrid_Req=2-DBC		0	0
SWE1-VC-RearviewCameraDynamicGuidelines-119	Driver Convenience	Rearview Camera Dynamic Guidelines	SYS-RA-VF230_V1-783	W0			DynamicGrid=2-DBC		0	0
SWE1-VC-CorneringLights-002	Lane and Lighting	Cornering Lights	SYS-RA-VF230_V1-525	W0					0	0
SWE1-VC-CorneringLights-003	Lane and Lighting	Cornering Lights	SYS-RA-VF230_V1-526	W0					0	0
SWE1-VC-CorneringLights-004	Lane and Lighting	Cornering Lights	SYS-RA-VF230_V1-527	W0					0	0
SWE1-VC-CorneringLights-005	Lane and Lighting	Cornering Lights	SYS-RA-VF230_V1-528	W0					0	0
SWE1-VC-CorneringLights-006	Lane and Lighting	Cornering Lights	SYS-RA-VF230_V1-529	W0			CorneringEnable=2-DBC		0	0
SWE1-VC-GreetingLights-008	Lane and Lighting	Greeting Lights	SYS-RA-VF230_V1-531	W1		PROXI 參數之值域無來源：Greeting_Light	PROXI:Greeting_Light=PENDING	DR-34	0	0
SWE1-VC-GreetingLights-009	Lane and Lighting	Greeting Lights	SYS-RA-VF230_V1-532	W1		PROXI 參數之值域無來源：Greeting_Light	PROXI:Greeting_Light=PENDING	DR-34	0	0
SWE1-VC-GreetingLights-010	Lane and Lighting	Greeting Lights	SYS-RA-VF230_V1-533	W0					0	0
SWE1-VC-GreetingLights-011	Lane and Lighting	Greeting Lights	SYS-RA-VF230_V1-534	W0					0	0
SWE1-VC-GreetingLights-012	Lane and Lighting	Greeting Lights	SYS-RA-VF230_V1-535	W0			GreetingLightsEnable=2-DBC		0	0
SWE1-VC-LaneSenseWarning-014	Lane and Lighting	Lane Sense Warning	SYS-RA-VF230_V1-537	W0					0	0
SWE1-VC-LaneSenseWarning-015	Lane and Lighting	Lane Sense Warning	SYS-RA-VF230_V1-538	W0					0	0
SWE1-VC-LaneSenseWarning-016	Lane and Lighting	Lane Sense Warning	SYS-RA-VF230_V1-539	W0					0	0
SWE1-VC-LaneSenseWarning-017	Lane and Lighting	Lane Sense Warning	SYS-RA-VF230_V1-540	W0					0	0
SWE1-VC-LaneSenseWarning-018	Lane and Lighting	Lane Sense Warning	SYS-RA-VF230_V1-541	W0					0	0
SWE1-VC-LaneSenseWarning-019	Lane and Lighting	Lane Sense Warning	SYS-RA-VF230_V1-542	W0			LDW_Sensibility=2-DBC		0	0
SWE1-VC-SignatureLighting-021	Lane and Lighting	Signature Lighting	SYS-RA-VF230_V1-544	W0					0	0
SWE1-VC-SignatureLighting-022	Lane and Lighting	Signature Lighting	SYS-RA-VF230_V1-545	W0					0	0
SWE1-VC-SignatureLighting-023	Lane and Lighting	Signature Lighting	SYS-RA-VF230_V1-546	W0					0	0
SWE1-VC-SignatureLighting-024	Lane and Lighting	Signature Lighting	SYS-RA-VF230_V1-547	W0					0	0
SWE1-VC-SignatureLighting-025	Lane and Lighting	Signature Lighting	SYS-RA-VF230_V1-548	W0			SignatureLightingEnable=2-DBC		0	0
SWE1-VC-LaneSenseStrength-027	Lane and Lighting	Lane Sense Strength	SYS-RA-VF230_V1-550	W0					0	0
SWE1-VC-LaneSenseStrength-028	Lane and Lighting	Lane Sense Strength	SYS-RA-VF230_V1-551	W0					0	0
SWE1-VC-LaneSenseStrength-029	Lane and Lighting	Lane Sense Strength	SYS-RA-VF230_V1-552	W0					0	0
SWE1-VC-LaneSenseStrength-030	Lane and Lighting	Lane Sense Strength	SYS-RA-VF230_V1-553	W0					0	0
SWE1-VC-LaneSenseStrength-031	Lane and Lighting	Lane Sense Strength	SYS-RA-VF230_V1-554	W0					0	0
SWE1-VC-LaneSenseStrength-032	Lane and Lighting	Lane Sense Strength	SYS-RA-VF230_V1-555	W0			LDW_Intensity=2-DBC		0	0
SWE1-VC-ForwardCollisionWarning-034	Lane and Lighting	Forward Collision Warning	SYS-RA-VF230_V1-557	W0					0	0
SWE1-VC-ForwardCollisionWarning-035	Lane and Lighting	Forward Collision Warning	SYS-RA-VF230_V1-558	W0					0	0
SWE1-VC-ForwardCollisionWarning-036	Lane and Lighting	Forward Collision Warning	SYS-RA-VF230_V1-559	W0					0	0
SWE1-VC-ForwardCollisionWarning-037	Lane and Lighting	Forward Collision Warning	SYS-RA-VF230_V1-560	W0					0	0
SWE1-VC-ForwardCollisionWarning-038	Lane and Lighting	Forward Collision Warning	SYS-RA-VF230_V1-561	W0					0	0
SWE1-VC-ForwardCollisionWarning-039	Lane and Lighting	Forward Collision Warning	SYS-RA-VF230_V1-562	W0			FSFCWPlusSetting=2-DBC		0	0
SWE1-VC-ForwardCollisionWarningSensitivity-041	Lane and Lighting	Forward Collision Warning Sensitivity	SYS-RA-VF230_V1-564	W0					0	0
SWE1-VC-ForwardCollisionWarningSensitivity-042	Lane and Lighting	Forward Collision Warning Sensitivity	SYS-RA-VF230_V1-565	W0					0	0
SWE1-VC-ForwardCollisionWarningSensitivity-043	Lane and Lighting	Forward Collision Warning Sensitivity	SYS-RA-VF230_V1-566	W0					0	0
SWE1-VC-ForwardCollisionWarningSensitivity-044	Lane and Lighting	Forward Collision Warning Sensitivity	SYS-RA-VF230_V1-567	W0					0	0
SWE1-VC-ForwardCollisionWarningSensitivity-045	Lane and Lighting	Forward Collision Warning Sensitivity	SYS-RA-VF230_V1-568	W0					0	0
SWE1-VC-ForwardCollisionWarningSensitivity-046	Lane and Lighting	Forward Collision Warning Sensitivity	SYS-RA-VF230_V1-569	W0			FSFCWPlusActivationMode=2-DBC		0	0
SWE1-VC-PedestrianEmergencyBrakingorWarning&ActiveBraking-048	Lane and Lighting	Pedestrian Emergency Braking or Warning & Active Braking	SYS-RA-VF230_V1-571	W0					0	0
SWE1-VC-PedestrianEmergencyBrakingorWarning&ActiveBraking-049	Lane and Lighting	Pedestrian Emergency Braking or Warning & Active Braking	SYS-RA-VF230_V1-572	W0					0	0
SWE1-VC-PedestrianEmergencyBrakingorWarning&ActiveBraking-050	Lane and Lighting	Pedestrian Emergency Braking or Warning & Active Braking	SYS-RA-VF230_V1-573	W0					0	0
SWE1-VC-PedestrianEmergencyBrakingorWarning&ActiveBraking-051	Lane and Lighting	Pedestrian Emergency Braking or Warning & Active Braking	SYS-RA-VF230_V1-574	W0					0	0
SWE1-VC-PedestrianEmergencyBrakingorWarning&ActiveBraking-052	Lane and Lighting	Pedestrian Emergency Braking or Warning & Active Braking	SYS-RA-VF230_V1-575	W0			Ped_EM_Brk_Warn_Act=2-DBC		0	0
SWE1-VC-RainSensingWipers-054	Lane and Lighting	Rain Sensing Wipers	SYS-RA-VF230_V1-577	W0					0	0
SWE1-VC-RainSensingWipers-055	Lane and Lighting	Rain Sensing Wipers	SYS-RA-VF230_V1-578	W0					0	0
SWE1-VC-RainSensingWipers-056	Lane and Lighting	Rain Sensing Wipers	SYS-RA-VF230_V1-579	W0					0	0
SWE1-VC-RainSensingWipers-057	Lane and Lighting	Rain Sensing Wipers	SYS-RA-VF230_V1-580	W0					0	0
SWE1-VC-RainSensingWipers-058	Lane and Lighting	Rain Sensing Wipers	SYS-RA-VF230_V1-581	W0			RainSensorLevel=2-DBC		0	0
SWE1-VC-DaytimeRunningLights-002	Daytime Lighting	Daytime Running Lights	SYS-RA-VF230_V1-658	W0					0	0
SWE1-VC-DaytimeRunningLights-003	Daytime Lighting	Daytime Running Lights	SYS-RA-VF230_V1-659	W0					0	0
SWE1-VC-DaytimeRunningLights-004	Daytime Lighting	Daytime Running Lights	SYS-RA-VF230_V1-660	W0			DRLEnable_Req=2-DBC		0	0
SWE1-VC-DaytimeRunningLights-005	Daytime Lighting	Daytime Running Lights	SYS-RA-VF230_V1-661	W0			DRLEnable_Req=2-DBC		0	0
SWE1-VC-DaytimeRunningLights-006	Daytime Lighting	Daytime Running Lights	SYS-RA-VF230_V1-662	W0			DRLEnable=2-DBC		0	0
SWE1-VC-HeadlightsOffDelay-008	Daytime Lighting	Headlights Off Delay	SYS-RA-VF230_V1-664	W0					0	0
SWE1-VC-HeadlightsOffDelay-009	Daytime Lighting	Headlights Off Delay	SYS-RA-VF230_V1-665	W0					0	0
SWE1-VC-HeadlightsOffDelay-010	Daytime Lighting	Headlights Off Delay	SYS-RA-VF230_V1-666	W0			HeadlightsOffDelay_Req=2-DBC		0	0
SWE1-VC-HeadlightsOffDelay-011	Daytime Lighting	Headlights Off Delay	SYS-RA-VF230_V1-667	W0			HeadlightsOffDelay_Req=2-DBC		0	0
SWE1-VC-HeadlightsOffDelay-012	Daytime Lighting	Headlights Off Delay	SYS-RA-VF230_V1-668	W0			HeadlightsOffDelay_Req=2-DBC		0	0
SWE1-VC-HeadlightsOffDelay-013	Daytime Lighting	Headlights Off Delay	SYS-RA-VF230_V1-669	W0			HeadlightsOffDelay_Req=2-DBC		0	0
SWE1-VC-HeadlightsOffDelay-014	Daytime Lighting	Headlights Off Delay	SYS-RA-VF230_V1-670	W0			HeadlightsOffDelay=2-DBC		0	0
SWE1-VC-PressureUnit-002	Measurement Units	Pressure Unit	SYS-RA-VF230_V1-633	W0					0	0
SWE1-VC-PressureUnit-003	Measurement Units	Pressure Unit	SYS-RA-VF230_V1-634	W0					0	0
SWE1-VC-PressureUnit-004	Measurement Units	Pressure Unit	SYS-RA-VF230_V1-635	W0			TyrePress_Unit_Req=2-DBC		0	0
SWE1-VC-PressureUnit-005	Measurement Units	Pressure Unit	SYS-RA-VF230_V1-636	W0			TyrePress_Unit_Req=2-DBC		0	0
SWE1-VC-PressureUnit-006	Measurement Units	Pressure Unit	SYS-RA-VF230_V1-637	W0			TyrePress_Unit_Req=2-DBC		0	0
SWE1-VC-PressureUnit-007	Measurement Units	Pressure Unit	SYS-RA-VF230_V1-638	W0			TyrePress_Unit=1-LID		0	0
SWE1-VC-PowerUnit-009	Measurement Units	Power Unit	SYS-RA-VF230_V1-640	W0					0	0
SWE1-VC-PowerUnit-010	Measurement Units	Power Unit	SYS-RA-VF230_V1-641	W0					0	0
SWE1-VC-PowerUnit-011	Measurement Units	Power Unit	SYS-RA-VF230_V1-642	W0			HP_Unit_Req=2-DBC		0	0
SWE1-VC-PowerUnit-012	Measurement Units	Power Unit	SYS-RA-VF230_V1-643	W0			HP_Unit_Req=2-DBC		0	0
SWE1-VC-PowerUnit-013	Measurement Units	Power Unit	SYS-RA-VF230_V1-644	W0			HP_Unit_Req=2-DBC		0	0
SWE1-VC-PowerUnit-014	Measurement Units	Power Unit	SYS-RA-VF230_V1-645	W0			HP_Unit=2-DBC		0	0
SWE1-VC-TorqueUnit-016	Measurement Units	Torque Unit	SYS-RA-VF230_V1-647	W0					0	0
SWE1-VC-TorqueUnit-017	Measurement Units	Torque Unit	SYS-RA-VF230_V1-648	W0					0	0
SWE1-VC-TorqueUnit-018	Measurement Units	Torque Unit	SYS-RA-VF230_V1-649	W0			Torque_Unit_Req=2-DBC		0	0
SWE1-VC-TorqueUnit-019	Measurement Units	Torque Unit	SYS-RA-VF230_V1-650	W0			Torque_Unit_Req=2-DBC		0	0
SWE1-VC-TorqueUnit-020	Measurement Units	Torque Unit	SYS-RA-VF230_V1-651	W0			HP_Unit=2-DBC;Torque_Unit=2-DBC		0	0
SWE1-VC-TimeandDateSettings-002	Units and Cameras	Time and Date Settings	SYS-RA-VF230_V1-583	W0					0	0
SWE1-VC-TimeandDateSettings-003	Units and Cameras	Time and Date Settings	SYS-RA-VF230_V1-584	W0					0	0
SWE1-VC-TimeandDateSettings-004	Units and Cameras	Time and Date Settings	SYS-RA-VF230_V1-585	W0					1	0
SWE1-VC-TimeandDateSettings-005	Units and Cameras	Time and Date Settings	SYS-RA-VF230_V1-586	W0					1	0
SWE1-VC-TimeandDateSettings-006	Units and Cameras	Time and Date Settings	SYS-RA-VF230_V1-587	W0					0	0
SWE1-VC-TimeandDateSettings-007	Units and Cameras	Time and Date Settings	SYS-RA-VF230_V1-588	W0					0	0
SWE1-VC-TimeandDateSettings-008	Units and Cameras	Time and Date Settings	SYS-RA-VF230_V1-589	W0					0	0
SWE1-VC-HourMode-010	Units and Cameras	Hour Mode	SYS-RA-VF230_V1-591	W0					0	0
SWE1-VC-HourMode-011	Units and Cameras	Hour Mode	SYS-RA-VF230_V1-592	W0					0	0
SWE1-VC-HourMode-012	Units and Cameras	Hour Mode	SYS-RA-VF230_V1-593	W0					0	0
SWE1-VC-HourMode-013	Units and Cameras	Hour Mode	SYS-RA-VF230_V1-594	W0					0	0
SWE1-VC-AutoDoorLocks-015	Units and Cameras	Auto Door Locks	SYS-RA-VF230_V1-596	W0					0	0
SWE1-VC-AutoDoorLocks-016	Units and Cameras	Auto Door Locks	SYS-RA-VF230_V1-597	W0					0	0
SWE1-VC-AutoDoorLocks-017	Units and Cameras	Auto Door Locks	SYS-RA-VF230_V1-598	W0					0	0
SWE1-VC-AutoDoorLocks-018	Units and Cameras	Auto Door Locks	SYS-RA-VF230_V1-599	W0					0	0
SWE1-VC-AutoDoorLocks-019	Units and Cameras	Auto Door Locks	SYS-RA-VF230_V1-600	W0					0	0
SWE1-VC-DistanceUnit-021	Units and Cameras	Distance Unit	SYS-RA-VF230_V1-602	W0					0	0
