leaf_id	layer3	delegate	comfort_leaf_ids	basis	blocked_ref	screen_source
SWE1-VC-HeatedSteeringWheel-010	HeatedSteeringWheel	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheel`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheel-011	HeatedSteeringWheel	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheel`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheel-012	HeatedSteeringWheel	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheel`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheel-013	HeatedSteeringWheel	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheel`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheel-014	HeatedSteeringWheel	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheel`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheel-015	HeatedSteeringWheel	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheel`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheel-016	HeatedSteeringWheel	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheel`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheel-017	HeatedSteeringWheel	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheel`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheel-018	HeatedSteeringWheel	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheel`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheel-019	HeatedSteeringWheel	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheel`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheel-020	HeatedSteeringWheel	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheel`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheel-021	HeatedSteeringWheel	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheel`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheel-022	HeatedSteeringWheel	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheel`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheelManagement-025	HeatedSteeringWheelManagement	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheelManagement`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheelManagement-026	HeatedSteeringWheelManagement	yes		R-VS7(b) 優先，見 26 包 §1 —— 條文明文指向 TLM HMI Document／PDO graphics，不委派	CFTS044-4858298	comfort
SWE1-VC-HeatedSteeringWheelManagement-027	HeatedSteeringWheelManagement	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheelManagement`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheelManagement-028	HeatedSteeringWheelManagement	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheelManagement`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheelManagement-029	HeatedSteeringWheelManagement	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheelManagement`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheelManagement-030	HeatedSteeringWheelManagement	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheelManagement`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheelManagement-031	HeatedSteeringWheelManagement	yes		R-VS7(b) 優先，見 26 包 §1 —— 條文明文指向 TLM HMI Document／PDO graphics，不委派	CFTS044-4859498	comfort
SWE1-VC-HeatedSteeringWheelManagement-032	HeatedSteeringWheelManagement	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheelManagement`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheelManagement-033	HeatedSteeringWheelManagement	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheelManagement`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheelManagement-034	HeatedSteeringWheelManagement	yes	SWE1-HVAC-062;SWE1-HVAC-063;SWE1-HVAC-065;SWE1-HVAC-104;SWE1-HVAC-104-08;SWE1-HVAC-126	同一實體功能：加熱方向盤（Layer 3 `HeatedSteeringWheelManagement`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-HeatedSteeringWheelManagement-035	HeatedSteeringWheelManagement	yes		R-VS7(b) 優先，見 26 包 §1 —— 條文明文指向 TLM HMI Document／PDO graphics，不委派	CFTS044-4859502	comfort
SWE1-VC-LeftFrontHeatedSeat-003	LeftFrontHeatedSeat	yes	SWE1-HVAC-054;SWE1-HVAC-054-01;SWE1-HVAC-057;SWE1-HVAC-057-01;SWE1-HVAC-067;SWE1-HVAC-071;SWE1-HVAC-071-01;SWE1-HVAC-074;SWE1-HVAC-100;SWE1-HVAC-100-03;SWE1-HVAC-104;SWE1-HVAC-104-06	同一實體功能：座椅加熱（Layer 3 `LeftFrontHeatedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontHeatedSeat-004	LeftFrontHeatedSeat	yes	SWE1-HVAC-054;SWE1-HVAC-054-01;SWE1-HVAC-057;SWE1-HVAC-057-01;SWE1-HVAC-067;SWE1-HVAC-071;SWE1-HVAC-071-01;SWE1-HVAC-074;SWE1-HVAC-100;SWE1-HVAC-100-03;SWE1-HVAC-104;SWE1-HVAC-104-06	同一實體功能：座椅加熱（Layer 3 `LeftFrontHeatedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontHeatedSeat-005	LeftFrontHeatedSeat	yes	SWE1-HVAC-054;SWE1-HVAC-054-01;SWE1-HVAC-057;SWE1-HVAC-057-01;SWE1-HVAC-067;SWE1-HVAC-071;SWE1-HVAC-071-01;SWE1-HVAC-074;SWE1-HVAC-100;SWE1-HVAC-100-03;SWE1-HVAC-104;SWE1-HVAC-104-06	同一實體功能：座椅加熱（Layer 3 `LeftFrontHeatedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontHeatedSeat-006	LeftFrontHeatedSeat	yes	SWE1-HVAC-054;SWE1-HVAC-054-01;SWE1-HVAC-057;SWE1-HVAC-057-01;SWE1-HVAC-067;SWE1-HVAC-071;SWE1-HVAC-071-01;SWE1-HVAC-074;SWE1-HVAC-100;SWE1-HVAC-100-03;SWE1-HVAC-104;SWE1-HVAC-104-06	同一實體功能：座椅加熱（Layer 3 `LeftFrontHeatedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontHeatedSeat-007	LeftFrontHeatedSeat	yes	SWE1-HVAC-054;SWE1-HVAC-054-01;SWE1-HVAC-057;SWE1-HVAC-057-01;SWE1-HVAC-067;SWE1-HVAC-071;SWE1-HVAC-071-01;SWE1-HVAC-074;SWE1-HVAC-100;SWE1-HVAC-100-03;SWE1-HVAC-104;SWE1-HVAC-104-06	同一實體功能：座椅加熱（Layer 3 `LeftFrontHeatedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontHeatedSeat-008	LeftFrontHeatedSeat	yes	SWE1-HVAC-054;SWE1-HVAC-054-01;SWE1-HVAC-057;SWE1-HVAC-057-01;SWE1-HVAC-067;SWE1-HVAC-071;SWE1-HVAC-071-01;SWE1-HVAC-074;SWE1-HVAC-100;SWE1-HVAC-100-03;SWE1-HVAC-104;SWE1-HVAC-104-06	同一實體功能：座椅加熱（Layer 3 `LeftFrontHeatedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontHeatedSeat-009	LeftFrontHeatedSeat	yes	SWE1-HVAC-054;SWE1-HVAC-054-01;SWE1-HVAC-057;SWE1-HVAC-057-01;SWE1-HVAC-067;SWE1-HVAC-071;SWE1-HVAC-071-01;SWE1-HVAC-074;SWE1-HVAC-100;SWE1-HVAC-100-03;SWE1-HVAC-104;SWE1-HVAC-104-06	同一實體功能：座椅加熱（Layer 3 `LeftFrontHeatedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontHeatedSeat-010	LeftFrontHeatedSeat	yes	SWE1-HVAC-054;SWE1-HVAC-054-01;SWE1-HVAC-057;SWE1-HVAC-057-01;SWE1-HVAC-067;SWE1-HVAC-071;SWE1-HVAC-071-01;SWE1-HVAC-074;SWE1-HVAC-100;SWE1-HVAC-100-03;SWE1-HVAC-104;SWE1-HVAC-104-06	同一實體功能：座椅加熱（Layer 3 `LeftFrontHeatedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontHeatedSeat-011	LeftFrontHeatedSeat	yes	SWE1-HVAC-054;SWE1-HVAC-054-01;SWE1-HVAC-057;SWE1-HVAC-057-01;SWE1-HVAC-067;SWE1-HVAC-071;SWE1-HVAC-071-01;SWE1-HVAC-074;SWE1-HVAC-100;SWE1-HVAC-100-03;SWE1-HVAC-104;SWE1-HVAC-104-06	同一實體功能：座椅加熱（Layer 3 `LeftFrontHeatedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontHeatedSeat-012	LeftFrontHeatedSeat	yes	SWE1-HVAC-054;SWE1-HVAC-054-01;SWE1-HVAC-057;SWE1-HVAC-057-01;SWE1-HVAC-067;SWE1-HVAC-071;SWE1-HVAC-071-01;SWE1-HVAC-074;SWE1-HVAC-100;SWE1-HVAC-100-03;SWE1-HVAC-104;SWE1-HVAC-104-06	同一實體功能：座椅加熱（Layer 3 `LeftFrontHeatedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontHeatedSeat-013	LeftFrontHeatedSeat	yes	SWE1-HVAC-054;SWE1-HVAC-054-01;SWE1-HVAC-057;SWE1-HVAC-057-01;SWE1-HVAC-067;SWE1-HVAC-071;SWE1-HVAC-071-01;SWE1-HVAC-074;SWE1-HVAC-100;SWE1-HVAC-100-03;SWE1-HVAC-104;SWE1-HVAC-104-06	同一實體功能：座椅加熱（Layer 3 `LeftFrontHeatedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontHeatedSeat-014	LeftFrontHeatedSeat	yes	SWE1-HVAC-054;SWE1-HVAC-054-01;SWE1-HVAC-057;SWE1-HVAC-057-01;SWE1-HVAC-067;SWE1-HVAC-071;SWE1-HVAC-071-01;SWE1-HVAC-074;SWE1-HVAC-100;SWE1-HVAC-100-03;SWE1-HVAC-104;SWE1-HVAC-104-06	同一實體功能：座椅加熱（Layer 3 `LeftFrontHeatedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontHeatedSeat-015	LeftFrontHeatedSeat	yes	SWE1-HVAC-054;SWE1-HVAC-054-01;SWE1-HVAC-057;SWE1-HVAC-057-01;SWE1-HVAC-067;SWE1-HVAC-071;SWE1-HVAC-071-01;SWE1-HVAC-074;SWE1-HVAC-100;SWE1-HVAC-100-03;SWE1-HVAC-104;SWE1-HVAC-104-06	同一實體功能：座椅加熱（Layer 3 `LeftFrontHeatedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontHeatedSeat-016	LeftFrontHeatedSeat	yes	SWE1-HVAC-054;SWE1-HVAC-054-01;SWE1-HVAC-057;SWE1-HVAC-057-01;SWE1-HVAC-067;SWE1-HVAC-071;SWE1-HVAC-071-01;SWE1-HVAC-074;SWE1-HVAC-100;SWE1-HVAC-100-03;SWE1-HVAC-104;SWE1-HVAC-104-06	同一實體功能：座椅加熱（Layer 3 `LeftFrontHeatedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontHeatedSeat-017	LeftFrontHeatedSeat	yes	SWE1-HVAC-054;SWE1-HVAC-054-01;SWE1-HVAC-057;SWE1-HVAC-057-01;SWE1-HVAC-067;SWE1-HVAC-071;SWE1-HVAC-071-01;SWE1-HVAC-074;SWE1-HVAC-100;SWE1-HVAC-100-03;SWE1-HVAC-104;SWE1-HVAC-104-06	同一實體功能：座椅加熱（Layer 3 `LeftFrontHeatedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontHeatedSeat-018	LeftFrontHeatedSeat	yes	SWE1-HVAC-054;SWE1-HVAC-054-01;SWE1-HVAC-057;SWE1-HVAC-057-01;SWE1-HVAC-067;SWE1-HVAC-071;SWE1-HVAC-071-01;SWE1-HVAC-074;SWE1-HVAC-100;SWE1-HVAC-100-03;SWE1-HVAC-104;SWE1-HVAC-104-06	同一實體功能：座椅加熱（Layer 3 `LeftFrontHeatedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontHeatedSeat-019	LeftFrontHeatedSeat	yes	SWE1-HVAC-054;SWE1-HVAC-054-01;SWE1-HVAC-057;SWE1-HVAC-057-01;SWE1-HVAC-067;SWE1-HVAC-071;SWE1-HVAC-071-01;SWE1-HVAC-074;SWE1-HVAC-100;SWE1-HVAC-100-03;SWE1-HVAC-104;SWE1-HVAC-104-06	同一實體功能：座椅加熱（Layer 3 `LeftFrontHeatedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontVentedSeat-003	LeftFrontVentedSeat	yes	SWE1-HVAC-014;SWE1-HVAC-054;SWE1-HVAC-055;SWE1-HVAC-056;SWE1-HVAC-057;SWE1-HVAC-057-02;SWE1-HVAC-058;SWE1-HVAC-059;SWE1-HVAC-059-02;SWE1-HVAC-059-06;SWE1-HVAC-060;SWE1-HVAC-060-02	同一實體功能：座椅通風（Layer 3 `LeftFrontVentedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontVentedSeat-004	LeftFrontVentedSeat	yes	SWE1-HVAC-014;SWE1-HVAC-054;SWE1-HVAC-055;SWE1-HVAC-056;SWE1-HVAC-057;SWE1-HVAC-057-02;SWE1-HVAC-058;SWE1-HVAC-059;SWE1-HVAC-059-02;SWE1-HVAC-059-06;SWE1-HVAC-060;SWE1-HVAC-060-02	同一實體功能：座椅通風（Layer 3 `LeftFrontVentedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontVentedSeat-005	LeftFrontVentedSeat	yes	SWE1-HVAC-014;SWE1-HVAC-054;SWE1-HVAC-055;SWE1-HVAC-056;SWE1-HVAC-057;SWE1-HVAC-057-02;SWE1-HVAC-058;SWE1-HVAC-059;SWE1-HVAC-059-02;SWE1-HVAC-059-06;SWE1-HVAC-060;SWE1-HVAC-060-02	同一實體功能：座椅通風（Layer 3 `LeftFrontVentedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontVentedSeat-006	LeftFrontVentedSeat	yes	SWE1-HVAC-014;SWE1-HVAC-054;SWE1-HVAC-055;SWE1-HVAC-056;SWE1-HVAC-057;SWE1-HVAC-057-02;SWE1-HVAC-058;SWE1-HVAC-059;SWE1-HVAC-059-02;SWE1-HVAC-059-06;SWE1-HVAC-060;SWE1-HVAC-060-02	同一實體功能：座椅通風（Layer 3 `LeftFrontVentedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontVentedSeat-007	LeftFrontVentedSeat	yes	SWE1-HVAC-014;SWE1-HVAC-054;SWE1-HVAC-055;SWE1-HVAC-056;SWE1-HVAC-057;SWE1-HVAC-057-02;SWE1-HVAC-058;SWE1-HVAC-059;SWE1-HVAC-059-02;SWE1-HVAC-059-06;SWE1-HVAC-060;SWE1-HVAC-060-02	同一實體功能：座椅通風（Layer 3 `LeftFrontVentedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontVentedSeat-008	LeftFrontVentedSeat	yes	SWE1-HVAC-014;SWE1-HVAC-054;SWE1-HVAC-055;SWE1-HVAC-056;SWE1-HVAC-057;SWE1-HVAC-057-02;SWE1-HVAC-058;SWE1-HVAC-059;SWE1-HVAC-059-02;SWE1-HVAC-059-06;SWE1-HVAC-060;SWE1-HVAC-060-02	同一實體功能：座椅通風（Layer 3 `LeftFrontVentedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontVentedSeat-009	LeftFrontVentedSeat	yes	SWE1-HVAC-014;SWE1-HVAC-054;SWE1-HVAC-055;SWE1-HVAC-056;SWE1-HVAC-057;SWE1-HVAC-057-02;SWE1-HVAC-058;SWE1-HVAC-059;SWE1-HVAC-059-02;SWE1-HVAC-059-06;SWE1-HVAC-060;SWE1-HVAC-060-02	同一實體功能：座椅通風（Layer 3 `LeftFrontVentedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontVentedSeat-010	LeftFrontVentedSeat	yes	SWE1-HVAC-014;SWE1-HVAC-054;SWE1-HVAC-055;SWE1-HVAC-056;SWE1-HVAC-057;SWE1-HVAC-057-02;SWE1-HVAC-058;SWE1-HVAC-059;SWE1-HVAC-059-02;SWE1-HVAC-059-06;SWE1-HVAC-060;SWE1-HVAC-060-02	同一實體功能：座椅通風（Layer 3 `LeftFrontVentedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
SWE1-VC-LeftFrontVentedSeat-011	LeftFrontVentedSeat	yes	SWE1-HVAC-014;SWE1-HVAC-054;SWE1-HVAC-055;SWE1-HVAC-056;SWE1-HVAC-057;SWE1-HVAC-057-02;SWE1-HVAC-058;SWE1-HVAC-059;SWE1-HVAC-059-02;SWE1-HVAC-059-06;SWE1-HVAC-060;SWE1-HVAC-060-02	同一實體功能：座椅通風（Layer 3 `LeftFrontVentedSeat`）｜**Layer 3 層級，未逐 leaf 收斂**（W-34(1)：側別與階數收斂皆無效，見上繳 §2）		comfort
