old_tc_id	new_tc_id	req_id	batch
NR1L-AMM-013	NR1L-AMM-177	SWE1_AMM_154	B1
NR1L-AMM-221	NR1L-AMM-178	SWE1_AMM_155	B4
NR1L-AMM-065	NR1L-AMM-179	SWE1_AMM_156	B1
NR1L-AMM-066	NR1L-AMM-180	SWE1_AMM_157	B1
NR1L-AMM-199	NR1L-AMM-181	SWE1_AMM_158	B3
NR1L-AMM-014	NR1L-AMM-182	SWE1_AMM_159	B1
NR1L-AMM-288	NR1L-AMM-183	SWE1_AMM_160	B5
NR1L-AMM-307	NR1L-AMM-184	SWE1_AMM_161	B6
NR1L-AMM-217	NR1L-AMM-185	SWE1_AMM_162	B4
NR1L-AMM-218	NR1L-AMM-186	SWE1_AMM_163	B4
NR1L-AMM-219	NR1L-AMM-187	SWE1_AMM_164	B4
NR1L-AMM-220	NR1L-AMM-188	SWE1_AMM_165	B4
NR1L-AMM-048	NR1L-AMM-189	SWE1_AMM_166	B1
NR1L-AMM-049	NR1L-AMM-190	SWE1_AMM_167	B1
NR1L-AMM-289	NR1L-AMM-191	SWE1_AMM_168	B5
NR1L-AMM-015	NR1L-AMM-192	SWE1_AMM_169	B1
NR1L-AMM-308	NR1L-AMM-193	SWE1_AMM_170	B6
NR1L-AMM-310	NR1L-AMM-194	SWE1_AMM_171	B6
NR1L-AMM-309	NR1L-AMM-195	SWE1_AMM_172	B6
NR1L-AMM-311	NR1L-AMM-196	SWE1_AMM_173	B6
NR1L-AMM-352	NR1L-AMM-197	SWE1_AMM_174	B7
NR1L-AMM-222	NR1L-AMM-198	SWE1_AMM_175	B4
NR1L-AMM-223	NR1L-AMM-199	SWE1_AMM_176	B4
NR1L-AMM-353	NR1L-AMM-200	SWE1_AMM_177	B7
NR1L-AMM-354	NR1L-AMM-201	SWE1_AMM_178	B7
NR1L-AMM-131	NR1L-AMM-202	SWE1_AMM_179	B2
NR1L-AMM-132	NR1L-AMM-203	SWE1_AMM_180	B2
NR1L-AMM-133	NR1L-AMM-204	SWE1_AMM_181	B2
NR1L-AMM-134	NR1L-AMM-205	SWE1_AMM_182	B2
NR1L-AMM-142	NR1L-AMM-206	SWE1_AMM_183	B3
NR1L-AMM-135	NR1L-AMM-207	SWE1_AMM_184	B2
NR1L-AMM-136	NR1L-AMM-208	SWE1_AMM_184	B2
NR1L-AMM-137	NR1L-AMM-209	SWE1_AMM_185	B3
NR1L-AMM-138	NR1L-AMM-210	SWE1_AMM_185	B3
NR1L-AMM-139	NR1L-AMM-211	SWE1_AMM_186	B3
NR1L-AMM-140	NR1L-AMM-212	SWE1_AMM_186	B3
NR1L-AMM-141	NR1L-AMM-213	SWE1_AMM_187	B3
NR1L-AMM-355	NR1L-AMM-214	SWE1_AMM_188	B7
NR1L-AMM-050	NR1L-AMM-215	SWE1_AMM_189	B1
NR1L-AMM-051	NR1L-AMM-216	SWE1_AMM_189	B1
NR1L-AMM-144	NR1L-AMM-217	SWE1_AMM_190	B3
NR1L-AMM-143	NR1L-AMM-218	SWE1_AMM_191	B3
NR1L-AMM-145	NR1L-AMM-219	SWE1_AMM_192	B3
NR1L-AMM-146	NR1L-AMM-220	SWE1_AMM_192	B3
NR1L-AMM-147	NR1L-AMM-221	SWE1_AMM_193	B3
NR1L-AMM-148	NR1L-AMM-222	SWE1_AMM_193	B3
NR1L-AMM-237	NR1L-AMM-223	SWE1_AMM_194	B4
NR1L-AMM-149	NR1L-AMM-224	SWE1_AMM_195	B3
NR1L-AMM-238	NR1L-AMM-225	SWE1_AMM_196	B4
NR1L-AMM-239	NR1L-AMM-226	SWE1_AMM_197	B4
NR1L-AMM-052	NR1L-AMM-227	SWE1_AMM_198	B1
NR1L-AMM-053	NR1L-AMM-228	SWE1_AMM_198	B1
NR1L-AMM-054	NR1L-AMM-229	SWE1_AMM_199	B1
NR1L-AMM-067	NR1L-AMM-230	SWE1_AMM_200	B1
NR1L-AMM-016	NR1L-AMM-231	SWE1_AMM_201	B1
NR1L-AMM-017	NR1L-AMM-232	SWE1_AMM_201	B1
NR1L-AMM-224	NR1L-AMM-233	SWE1_AMM_202	B4
NR1L-AMM-018	NR1L-AMM-234	SWE1_AMM_203	B1
NR1L-AMM-019	NR1L-AMM-235	SWE1_AMM_203	B1
NR1L-AMM-225	NR1L-AMM-236	SWE1_AMM_204	B4
NR1L-AMM-068	NR1L-AMM-237	SWE1_AMM_205	B1
NR1L-AMM-020	NR1L-AMM-238	SWE1_AMM_206	B1
NR1L-AMM-226	NR1L-AMM-239	SWE1_AMM_207	B4
NR1L-AMM-021	NR1L-AMM-240	SWE1_AMM_208	B1
NR1L-AMM-022	NR1L-AMM-241	SWE1_AMM_209	B1
NR1L-AMM-227	NR1L-AMM-242	SWE1_AMM_210	B4
NR1L-AMM-055	NR1L-AMM-243	SWE1_AMM_211	B1
NR1L-AMM-023	NR1L-AMM-244	SWE1_AMM_212	B1
NR1L-AMM-024	NR1L-AMM-245	SWE1_AMM_213	B1
NR1L-AMM-025	NR1L-AMM-246	SWE1_AMM_213	B1
NR1L-AMM-026	NR1L-AMM-247	SWE1_AMM_213	B1
NR1L-AMM-228	NR1L-AMM-248	SWE1_AMM_214	B4
NR1L-AMM-056	NR1L-AMM-249	SWE1_AMM_215	B1
NR1L-AMM-057	NR1L-AMM-250	SWE1_AMM_215	B1
NR1L-AMM-027	NR1L-AMM-251	SWE1_AMM_216	B1
NR1L-AMM-028	NR1L-AMM-252	SWE1_AMM_216	B1
NR1L-AMM-229	NR1L-AMM-253	SWE1_AMM_217	B4
NR1L-AMM-058	NR1L-AMM-254	SWE1_AMM_218	B1
NR1L-AMM-059	NR1L-AMM-255	SWE1_AMM_219	B1
NR1L-AMM-060	NR1L-AMM-256	SWE1_AMM_219	B1
NR1L-AMM-240	NR1L-AMM-257	SWE1_AMM_220	B4
NR1L-AMM-356	NR1L-AMM-258	SWE1_AMM_221	B7
NR1L-AMM-290	NR1L-AMM-259	SWE1_AMM_222	B5
NR1L-AMM-029	NR1L-AMM-260	SWE1_AMM_223	B1
NR1L-AMM-030	NR1L-AMM-261	SWE1_AMM_224	B1
NR1L-AMM-031	NR1L-AMM-262	SWE1_AMM_225	B1
NR1L-AMM-061	NR1L-AMM-263	SWE1_AMM_226	B1
NR1L-AMM-062	NR1L-AMM-264	SWE1_AMM_226	B1
NR1L-AMM-063	NR1L-AMM-265	SWE1_AMM_227	B1
NR1L-AMM-230	NR1L-AMM-266	SWE1_AMM_228	B4
NR1L-AMM-071	NR1L-AMM-267	SWE1_AMM_229	B2
NR1L-AMM-072	NR1L-AMM-268	SWE1_AMM_229	B2
NR1L-AMM-079	NR1L-AMM-269	SWE1_AMM_230	B2
NR1L-AMM-081	NR1L-AMM-270	SWE1_AMM_231	B2
NR1L-AMM-075	NR1L-AMM-271	SWE1_AMM_232	B2
NR1L-AMM-076	NR1L-AMM-272	SWE1_AMM_232	B2
NR1L-AMM-100	NR1L-AMM-273	SWE1_AMM_233	B2
NR1L-AMM-083	NR1L-AMM-274	SWE1_AMM_234	B2
NR1L-AMM-084	NR1L-AMM-275	SWE1_AMM_235	B2
NR1L-AMM-073	NR1L-AMM-276	SWE1_AMM_236	B2
NR1L-AMM-074	NR1L-AMM-277	SWE1_AMM_236	B2
NR1L-AMM-080	NR1L-AMM-278	SWE1_AMM_237	B2
NR1L-AMM-082	NR1L-AMM-279	SWE1_AMM_238	B2
NR1L-AMM-077	NR1L-AMM-280	SWE1_AMM_239	B2
NR1L-AMM-078	NR1L-AMM-281	SWE1_AMM_239	B2
NR1L-AMM-069	NR1L-AMM-282	SWE1_AMM_240	B1
NR1L-AMM-070	NR1L-AMM-283	SWE1_AMM_241	B1
NR1L-AMM-367	NR1L-AMM-284	SWE1_AMM_242	B7
NR1L-AMM-368	NR1L-AMM-285	SWE1_AMM_243	B7
NR1L-AMM-369	NR1L-AMM-286	SWE1_AMM_244	B7
NR1L-AMM-357	NR1L-AMM-287	SWE1_AMM_245	B7
NR1L-AMM-358	NR1L-AMM-288	SWE1_AMM_246	B7
NR1L-AMM-359	NR1L-AMM-289	SWE1_AMM_247	B7
NR1L-AMM-337	NR1L-AMM-290	SWE1_AMM_248	B6
NR1L-AMM-338	NR1L-AMM-291	SWE1_AMM_249	B6
NR1L-AMM-339	NR1L-AMM-292	SWE1_AMM_250	B6
NR1L-AMM-340	NR1L-AMM-293	SWE1_AMM_251	B6
NR1L-AMM-341	NR1L-AMM-294	SWE1_AMM_252	B6
NR1L-AMM-342	NR1L-AMM-295	SWE1_AMM_253	B6
NR1L-AMM-343	NR1L-AMM-296	SWE1_AMM_254	B6
NR1L-AMM-344	NR1L-AMM-297	SWE1_AMM_255	B6
NR1L-AMM-231	NR1L-AMM-298	SWE1_AMM_256	B4
NR1L-AMM-232	NR1L-AMM-299	SWE1_AMM_257	B4
NR1L-AMM-345	NR1L-AMM-300	SWE1_AMM_258	B6
NR1L-AMM-085	NR1L-AMM-301	SWE1_AMM_259	B2
NR1L-AMM-086	NR1L-AMM-302	SWE1_AMM_259	B2
NR1L-AMM-087	NR1L-AMM-303	SWE1_AMM_260	B2
NR1L-AMM-346	NR1L-AMM-304	SWE1_AMM_261	B6
NR1L-AMM-241	NR1L-AMM-305	SWE1_AMM_262	B4
NR1L-AMM-233	NR1L-AMM-306	SWE1_AMM_263	B4
NR1L-AMM-242	NR1L-AMM-307	SWE1_AMM_264	B4
NR1L-AMM-326	NR1L-AMM-308	SWE1_AMM_265	B6
NR1L-AMM-243	NR1L-AMM-309	SWE1_AMM_266	B4
NR1L-AMM-347	NR1L-AMM-310	SWE1_AMM_267	B6
NR1L-AMM-348	NR1L-AMM-311	SWE1_AMM_268	B6
NR1L-AMM-349	NR1L-AMM-312	SWE1_AMM_269	B6
NR1L-AMM-351	NR1L-AMM-313	SWE1_AMM_270	B6
NR1L-AMM-350	NR1L-AMM-314	SWE1_AMM_271	B6
NR1L-AMM-244	NR1L-AMM-315	SWE1_AMM_272	B4
NR1L-AMM-245	NR1L-AMM-316	SWE1_AMM_273	B4
NR1L-AMM-246	NR1L-AMM-317	SWE1_AMM_274	B4
NR1L-AMM-032	NR1L-AMM-318	SWE1_AMM_275	B1
NR1L-AMM-033	NR1L-AMM-319	SWE1_AMM_275	B1
NR1L-AMM-034	NR1L-AMM-320	SWE1_AMM_276	B1
NR1L-AMM-035	NR1L-AMM-321	SWE1_AMM_276	B1
NR1L-AMM-036	NR1L-AMM-322	SWE1_AMM_277	B1
NR1L-AMM-037	NR1L-AMM-323	SWE1_AMM_277	B1
NR1L-AMM-038	NR1L-AMM-324	SWE1_AMM_278	B1
NR1L-AMM-039	NR1L-AMM-325	SWE1_AMM_278	B1
NR1L-AMM-291	NR1L-AMM-326	SWE1_AMM_279	B5
NR1L-AMM-292	NR1L-AMM-327	SWE1_AMM_280	B5
NR1L-AMM-261	NR1L-AMM-328	SWE1_AMM_281	B5
NR1L-AMM-293	NR1L-AMM-329	SWE1_AMM_282	B5
NR1L-AMM-294	NR1L-AMM-330	SWE1_AMM_283	B5
NR1L-AMM-296	NR1L-AMM-331	SWE1_AMM_284	B5
NR1L-AMM-295	NR1L-AMM-332	SWE1_AMM_285	B5
NR1L-AMM-101	NR1L-AMM-333	SWE1_AMM_286	B2
NR1L-AMM-102	NR1L-AMM-334	SWE1_AMM_287	B2
NR1L-AMM-150	NR1L-AMM-335	SWE1_AMM_288	B3
NR1L-AMM-151	NR1L-AMM-336	SWE1_AMM_289	B3
NR1L-AMM-152	NR1L-AMM-337	SWE1_AMM_290	B3
NR1L-AMM-153	NR1L-AMM-338	SWE1_AMM_291	B3
NR1L-AMM-297	NR1L-AMM-339	SWE1_AMM_292	B5
NR1L-AMM-301	NR1L-AMM-340	SWE1_AMM_293	B5
NR1L-AMM-298	NR1L-AMM-341	SWE1_AMM_294	B5
NR1L-AMM-154	NR1L-AMM-342	SWE1_AMM_295	B3
NR1L-AMM-155	NR1L-AMM-343	SWE1_AMM_295	B3
NR1L-AMM-156	NR1L-AMM-344	SWE1_AMM_296	B3
NR1L-AMM-360	NR1L-AMM-345	SWE1_AMM_297	B7
NR1L-AMM-361	NR1L-AMM-346	SWE1_AMM_298	B7
NR1L-AMM-366	NR1L-AMM-347	SWE1_AMM_299	B7
NR1L-AMM-362	NR1L-AMM-348	SWE1_AMM_300	B7
NR1L-AMM-363	NR1L-AMM-349	SWE1_AMM_301	B7
NR1L-AMM-364	NR1L-AMM-350	SWE1_AMM_302	B7
NR1L-AMM-365	NR1L-AMM-351	SWE1_AMM_303	B7
NR1L-AMM-299	NR1L-AMM-352	SWE1_AMM_304	B5
NR1L-AMM-300	NR1L-AMM-353	SWE1_AMM_305	B5
NR1L-AMM-247	NR1L-AMM-354	SWE1_AMM_306	B4
NR1L-AMM-248	NR1L-AMM-355	SWE1_AMM_306	B4
NR1L-AMM-249	NR1L-AMM-356	SWE1_AMM_307	B4
NR1L-AMM-250	NR1L-AMM-357	SWE1_AMM_308	B4
NR1L-AMM-103	NR1L-AMM-358	SWE1_AMM_309	B2
NR1L-AMM-088	NR1L-AMM-359	SWE1_AMM_310	B2
NR1L-AMM-089	NR1L-AMM-360	SWE1_AMM_310	B2
NR1L-AMM-234	NR1L-AMM-361	SWE1_AMM_311	B4
NR1L-AMM-104	NR1L-AMM-362	SWE1_AMM_312	B2
NR1L-AMM-105	NR1L-AMM-363	SWE1_AMM_313	B2
NR1L-AMM-106	NR1L-AMM-364	SWE1_AMM_314	B2
NR1L-AMM-107	NR1L-AMM-365	SWE1_AMM_315	B2
NR1L-AMM-108	NR1L-AMM-366	SWE1_AMM_315	B2
NR1L-AMM-109	NR1L-AMM-367	SWE1_AMM_316	B2
NR1L-AMM-110	NR1L-AMM-368	SWE1_AMM_317	B2
NR1L-AMM-111	NR1L-AMM-369	SWE1_AMM_317	B2
