# 本檔為單一全域檔：其重生一律掃描全部 canon 與各 feature 之 RULINGS.md，故其 commit 不可能只含單一變更之列。夾帶之他線列為結構性質，非該次提交之瑕疵（下放包 56 §二 #1）。
ruling_id	kind	sha8	sha256	body_sha8	body_sha256	body_kind	source	line	body_lines	ancestor	slug
R-DIAG8	ruling	afd49bf2	afd49bf24a86e614997aab0c0126f4e276685fa086f09fdc576bd527e426b204	7dbbef22	7dbbef22ad9f84e957edb1d4a33779b2f8795be4b958f1f2478f8e718d731ede	fenced	features/diagnostics/RULINGS.md	85	7		範圍（Pei 裁，2026-09-17）
R-DIAG9	ruling	cc7b5200	cc7b52008eea96e5dc5f47e723f07ba93862b4381df2688e76faa78939382aa3	cfdc9208	cfdc920824a2903f9bb5ec665c84928c580281700924693712c4043b3afe1c62	fenced	features/diagnostics/RULINGS.md	95	7		Test Group、TC ID、Layer 2/3（Pei 裁，2026-09-17）
R-DIAG8(amend)	ruling	3e23ec90	3e23ec90851c72a01d8b39e4141508383375c9582daf24f5c2cdf623f48fe205	a7d66505	a7d665053eb4191c5c73e85a951a154acfe7cd5ce8696e9999d770b209aa2e3e	fenced	features/diagnostics/RULINGS.md	105	5		母體依 037 V1 (3)（Pei 裁，2026-09-17）
R-DIAG5(amend)	ruling	214e6773	214e677382c871f293b5254c150eb0065a2353828a32bd4fde683d30e58acb4e	193116bd	193116bdd8141671af9b160b1d7764784d240d32aaaf79147291d96ab6f1a284	fenced	features/diagnostics/RULINGS.md	113	16		SID／NRC 值之來源層級（Pei 裁，2026-09-17）
R-DIAG9(amend)	ruling	7612c975	7612c975a99e72645965eb290803944b9e24ea410c2088c4c55fc3eeb73ad147	3f9cc4a6	3f9cc4a64f967af95a260d5cf5e7d9c6e7d4d9ea88d7b39281e17bf4605e22e0	fenced	features/diagnostics/RULINGS.md	132	7		Layer 2/3 之實測修正（Pei 裁，2026-09-17）
R-DIAG7(amend)	ruling	9c7fd33f	9c7fd33f19c35fbdc845cd33ee8e309540a55db07997b3cae372bebbda566509	6ddcfc9e	6ddcfc9e935488152182ccfe376f511c564dd321f51a6ef168aa888c5429ae52	fenced	features/diagnostics/RULINGS.md	142	8		Region → Vehicle Model 填法（Pei 裁，2026-09-17）
R-DIAG3(amend)	ruling	e13b53ce	e13b53ce9feb245166e8e47afaf78ffa91d13b1c8d165fecd2d12cbfa2879a4a	2a93e41a	2a93e41a37b5ef4af783a669bdf0a22eb2d8de468f1bd4ddca723c8f3efc1654	fenced	features/diagnostics/RULINGS.md	153	5		Out of Scope 列之處置欄（Pei 裁，2026-09-17）
R-DIAG5(amend2)	ruling	229dee29	229dee297221da1461ac558f9666b2a1f2ae1454cecde5ebcefc6d38b6f25c14	cb2a1735	cb2a1735e4fb466d7b4235937b42f9861bfea845f0cb4bf7826c0b34ce57ec13	fenced	features/diagnostics/RULINGS.md	161	6		`0x11` 之 037 觸發語含標題句式（Pei 裁，2026-09-17）
R-DIAG10	ruling	2908c04e	2908c04e327c255bf89f864b6c99e3e03868460c176b20d3c8f37ef5b53a6433	dd0ec2e0	dd0ec2e0f395f6332260a8787d68f1c437b8625eab7cb2970043917a0ab407d7	fenced	features/diagnostics/RULINGS.md	170	8		Priority 判準（草案，pilot 後 Pei 裁）（Pei 裁，2026-09-17）
R-DIAG11	ruling	41538bf8	41538bf8ba4777bde29afdb7fa20b747a0d45f0b98f4c4473e146da771b5bbf1	8f2c23b5	8f2c23b56bd8bb7d79153823aba965da45d5b7db518b845916c09ef4074f79b8	fenced	features/diagnostics/RULINGS.md	181	6		Out of Scope 佔列之 lint 豁免（Pei 裁，2026-09-17）
R-DIAG12	ruling	890cefe6	890cefe650bbe43d4b9d151d32133f54e91112541fb3085cb566eea8125ec485	00db2024	00db2024e379c0141458dcae2d1fda0a9aa60f2342738e6fb0b3dfb0501bf69a	fenced	features/diagnostics/RULINGS.md	190	4		`I-cross` 之 Diagnostics 豁免（Pei 裁，2026-09-17）
R-DIAG10(amend)	ruling	424da598	424da598b57174dacea4e803e0fdbd0fd2e67969064162c8a6f1c9441a868736	d53f5c55	d53f5c55f210530546613dff4be762f3d7da9f3f063e0292e5bd2278246dcc75	fenced	features/diagnostics/RULINGS.md	197	4		Priority 值域對齊 SWC 0708（Pei 裁，2026-09-17）
R-SEC1	ruling	ba645fac	ba645fac3eb3adf63f1e6987ba745a5eeca13cf166e188e2d123bfa6725f34e2	074b0f30	074b0f308440c29529a6e044d9cc7d9c4c32d2208fcac8b76ab96b39657111fe	fenced	features/security/RULINGS.md	19	21		母體為六本 037（SWRA），全 70 列皆產出；CCVR 五 test item 只決定批次順序（Pei 裁，2026-09-16）
R-SEC2	ruling	87366f76	87366f76950b263907b485657ef9877d84e77772f6708fade402fd3647fde956	1e1eea8d	1e1eea8dc9de2a893463930d6f96caf49e397233fdf8776ce0698c8636c9a023	fenced	features/security/RULINGS.md	45	17		Peer Review 列之處置（Pei 裁，2026-09-16）
R-SEC3	ruling	94ece914	94ece9142006f8f804a1b9cd1da918ddb481f0140d049404c3f8ac81feb227bf	4765c60e	4765c60e2315507266c94f7fb9da7b2ad5a5c368601dd2ca802368b85466c4b9	fenced	features/security/RULINGS.md	67	12		SWE1 原檔異常之處置（R-6 verbatim 原則）（Pei 裁，2026-09-16）
R-SEC4	ruling	f517d368	f517d3689faef081c5e4fe9f92d4e8cb44cc0d7b0024b8a86d14151435efaff0	d8864bf0	d8864bf06c22c34d26bcaca56ae5bfedd14715b10dcaa062e94d72009d283c28	fenced	features/security/RULINGS.md	84	39		Procedure／ER 一律以既有可執行素材落地，不得自造步驟（Pei 裁，2026-09-16）
R-SEC4(a)	ruling	1a696cdf	1a696cdf949f8b3177aef73ff0469be2f1c6634a0873ad74b1edcfb6e5a04fe2	36f4c1b0	36f4c1b0c062a4a6a7ee25c7cf0e72a8a4cae1cef6c994fd80720c9589c9d32c	fenced	features/security/RULINGS.md	109	14		增列第 6～8 類（amend，不改號）
R-SEC5	ruling	dcf2a969	dcf2a969876d3420955f2b0c2191b59b91452cf0d6913fbf8d38de9bf2dde365	84a632e4	84a632e499062c93858002cf8f310fbcb5372482b6a85ccebf7e2eb807e61b57	fenced	features/security/RULINGS.md	128	32		CS.212 之 CCVR 落點以 037 之 log 斷言直接判定，不經 SYS2（Pei 裁，2026-09-16；SEC-01_B §2）
R-SEC6	ruling	f4892661	f48926615837dc3ad7be00b542bcf98fe2fe2714b559d104f5cee01d93b746ab	af6ecf37	af6ecf373a95eb93d636f88ce3d2d125954ca1b91c4a941a9f23b5bf0a1ba338	fenced	features/security/RULINGS.md	165	21		DID／RID 步驟定式（Pei 裁，2026-09-16；SEC-01_C §2，取代 _B §3 末段之 DECISIONS 待定項）
R-SEC7	ruling	2713af6e	2713af6ed49c0e48a6f9648416de79ad091b85d3794c8c731e3888eaf38beea1	2e170f71	2e170f712b96e06ab2fd5cc50f18bfefb2b7f5c66da601db99ba2e7d0ad2e8ef	fenced	features/security/RULINGS.md	191	43		每一 Procedure 步驟與 ER 必須明示執行通道與觀察手段（Pei 裁，2026-09-16；SEC-01_E §1）
R-SEC8	ruling	95c88b25	95c88b2592e8dcee32a44a1f63d54add864701de90999d1ab9900502429bfc20	e620070e	e620070e8326cde6945383b97a0ba8430a34314bf75ba8a143aeba467f105dc3	fenced	features/security/RULINGS.md	239	55		DR 從寬處置（Pei 裁，2026-09-16「一 都裁」；SEC-01_G §1）
R-SEC9	ruling	1ab812ae	1ab812ae006ccddf99a7a516fcbe9e02f7a594796df3931d7a5b6c22b45b2043	13193baa	13193baa836f70ef24d5ff5f1af460d85d0ad3f84b00a05c44320130103496f7	fenced	features/security/RULINGS.md	308	13		SWE1 之 Polarion NRL 對照（Pei 裁，2026-09-16；SEC-02 §1）
R-SEC10	ruling	e9ee630d	e9ee630d59a0db7f4db57e9f24cf107af3392997ce9b13307eb7173ad4fe1943	8fc10b7b	8fc10b7bf55c3ac393af3b8e6cb19e5e34bbf4aba23cd5678ed9a7e6a1dd163a	fenced	features/security/RULINGS.md	326	17		framework 與工作簿形制（Pei 裁，2026-09-16；SEC-02 §2）
R-SEC11	ruling	bf219635	bf219635a2d7e9cd410f10dd82d63afd32a9b3ef4a14b4dc59369df3a1d7f6ff	6c1e8b60	6c1e8b60e770b4c9c90a658ae8e33541887fb157dba3059962d3aee6bc7106bc	fenced	features/security/RULINGS.md	348	28		Peer Review 列之轉換（修正版；Pei 裁，2026-09-16；SEC-02_A §1 取代 SEC-02 §2 之 (b)(c)）
R-SEC12	ruling	1ae12ffc	1ae12ffce2487d936e602b3c61fe367b8a40bc01ce9d81143eca019f7ed0eaf1	e9a57e13	e9a57e1336f2d6873bcfda28f2470ca591743a18f9950b616d206993f031e563	fenced	features/security/RULINGS.md	381	8		batch 人工覆寫（Pei 裁，2026-09-16；SEC-02 §2）
R-SEC13	ruling	25fd1d95	25fd1d953a9b18d1aa8a3c0e738380741818727bef5b385d6ff9e6a783d05bb2	eec34fd5	eec34fd53cca1ad88d222c6148fa4224db13fe461c58dd215d4f027df069e6ef	fenced	features/security/RULINGS.md	394	6		lint 於 Security 之範圍與代號（Pei 裁，2026-09-16；SEC-02 §2）
R-SEC14	ruling	69bdbd8a	69bdbd8a95df8066af53360d487cba381c7d73b9d0d1f72f3572b5485722b39b	5e48ce44	5e48ce4447c0ed343fa55e34943360fcb59958caa0f4a927eb08cd2ba7d50f45	fenced	features/security/RULINGS.md	405	12		雜項（Pei 裁，2026-09-16；SEC-02 §2）
R-SEC5(a)	ruling	e8e62bda	e8e62bda8dee78dbee462933e90ba36b7ae305f5cb99911020259ab48068a018	dfa9ada8	dfa9ada8e5387dcb56f6e2aea37cb6c108556830904ae4fff066f0661d81446d	fenced	features/security/RULINGS.md	422	24		amend（SEC-02_A §2；[A-SE12] 結案，命中 7 列改 5 列）
R-SEC15	ruling	a7d42c6a	a7d42c6a7425a8087f3ab49a034dab802c50f2021093171d0859d5cd9fd32c60	fe4a0ca4	fe4a0ca42d349cfdf485716d40bf77979fdef9f22941de29bc4915dee87a2c87	fenced	features/security/RULINGS.md	451	28		pilot01 所揭違規類型之明文（適用 Security 全 70 列）（Pei 裁，2026-09-16；SEC-03 §2）
R-SEC16	ruling	8d738ebc	8d738ebc4eea9a2134b5b973ee0a21407e137c9b2ad8b80a2dbf7671f8241359	b9bd1927	b9bd1927ea7197bc432a08a46e4ffdaead176d22ab2fb19e360d751ff302ae2c	fenced	features/security/RULINGS.md	484	14		Security 之 Priority 指派（Pei 裁，2026-09-16；SEC-04 §1）
R-SEC15(f)	ruling	166a0589	166a058911c89c1814d23955017ac2019533c6ff92817ae609b9a40b5a1f7c51	fa6ec9e9	fa6ec9e928716794da9fcf031754d4746020798aa690f219c52535aea4246416	fenced	features/security/RULINGS.md	503	7		amend — Description 為中英並列者取英文句（Pei 裁，2026-09-16；SEC-04 §1）
R-SEC17	ruling	1780d5aa	1780d5aa31a5bce15c359779af3155039f3c14a9102e9e9f9fca369c6c22332e	d99fa116	d99fa116436e2b0fb0fe4fbd7e330856b7afedccb68eaf73c7be96c96eb719af	fenced	features/security/RULINGS.md	515	25		Test Set 英文定名（Pei 裁，2026-09-16；SEC-05 §1；A-12 更正）
R-SEC7(c)	ruling	b8a73b78	b8a73b78650b31018acd1bf45a6fe99a58d3d0100efc27be7d91c9fcd1a59652	c884c33e	c884c33e2a59b6be7331007708fac32de7c635b786d720b6f008a20efa46546d	fenced	features/security/RULINGS.md	545	8		amend — 七類為觀察面之類別（Pei 裁，2026-09-16；SEC-05 §1）
R-SEC18	ruling	1f1ee532	1f1ee532f7be7ea103bb3be8eb0869b0802e666a8a6391e8db590f03373455f3	505a625a	505a625a7cea4ab9293d7d1cd2ad94f31dcf2501bb7e46ef308d63a730a058c5	fenced	features/security/RULINGS.md	558	15		batch 2 之 CAN 通道寫法（SAM-0013／0017 首例）（Pei 裁，2026-09-16；SEC-05 §1）
R-SEC16(amend)	ruling	7a1307d8	7a1307d816225cbbf36bac9acf656cc3c3eec1c55418cd4d4aed19acedd4d25d	b63f2dca	b63f2dca90f635c2136c0ca28be3ab18500b64d35a7c798ebebc92a225e4755c	fenced	features/security/RULINGS.md	578	7		batch 2 六列之 Priority 指派（Pei 裁，2026-09-16；SEC-06 §1）
R-SEC17(v03)	ruling	ab1854e3	ab1854e3d73571f118fd52d37a4bbfcf39f977ffb54f611f03f62a4ea37df58d	68d97c28	68d97c2887ffe89af86fc97c1a0d481831fa4449d0533b6ce4a0b94e260b6237	fenced	features/security/RULINGS.md	590	7		SAM-0008 移組（Revise v03；Pei 裁，2026-09-16；SEC-06 §1；A-17 更正）
R-SEC18(amend)	ruling	f4c99d2c	f4c99d2cbf716d141095040cf899928630e56a6413ca8e7d5e790d777527bb86	3fd69564	3fd69564bb1adfa3dfcd40c5507a04b18f25b2e07ca85cd15c421066a9448fe2	fenced	features/security/RULINGS.md	602	7		刪 `POWER_MODE_STS` 對照；路徑更正（Pei 裁，2026-09-16；SEC-06 §1）
R-SEC19	ruling	17336cdd	17336cdda132c86a1d614ec8b06d51670e550fe61dcf1c9fe2064b3134075af7	e1fdd7fd	e1fdd7fd016222a55ca0ddcd535c2d9e2cd939e227dcab70f2cc3fcfa40b23b6	fenced	features/security/RULINGS.md	614	8		SAM-0013 之 resume-from-suspend 分支（Pei 裁，2026-09-16；SEC-06 §1）
R-SEC20	ruling	48837244	48837244fd9c4ad86e25133819d7e9afa2a355fce9c742e68a6a5e7b5ac95448	9d24b57a	9d24b57a12aa19ee1f32944eeadb39fe84a3d81d11595fb866933738a3181b8b	fenced	features/security/RULINGS.md	627	27		原始碼／建置環境類驗證之文件審查定式（Pei 裁，2026-09-17；SEC-08 §1）
R-SEC21	ruling	2764bfcb	2764bfcbd4ab813a25e1ff21e562be89a93d43332090b2cb687a5ed3c28526c5	bde6bbf3	bde6bbf365394afda01563edc2bfd536f6db801fade571a7039a99d73cfd8e44	fenced	features/security/RULINGS.md	659	21		PENDING 之佔位化（Pei 裁，2026-09-17；SEC-08 §2）
R-SEC20(amend)	ruling	d9186d2a	d9186d2a8b2604ff75270dc669b1597bb5f7a7cd2d1afeed7c40500d72778620	6329b3bf	6329b3bfdd82cabd0871e79824600dc584fa59decbed7ba99c1333cab184061d	fenced	features/security/RULINGS.md	685	11		適用面之更正與引文豁免（Pei 准 SEC-08 review §一 #1／#3／#4，2026-09-17；SEC-10 §1）
R-SEC7(amend2)	ruling	721b28a6	721b28a61fdc9c6c188937d3c726c69b32412ca40f2b27bda5a0fcfb3545579f	c3d0f823	c3d0f823ca2ab3e7e92fa58b6a0705d4d2c9fb84f9d2d5fa45b085f2fcff05e8	fenced	features/security/RULINGS.md	701	8		通道與觀察面增列 DOC（Pei 准 SEC-08 review §一 #2，2026-09-17；SEC-10 §1）
R-SEC21(b)	ruling	e6489d82	e6489d82acddf7e746f3202febd532da5d9871855b9395c508e17b94947d222c	44b0d0f2	44b0d0f25c8575b06f3dbe8c8de1cfe3bbbf6735e66c7925063dbfb343965b91	fenced	features/security/RULINGS.md	714	7		(amend) — 第四型「步驟型」（Pei 准 SEC-08 review §一 #5／#6，2026-09-17；SEC-10 §1）
R-SEC22	ruling	b9b65751	b9b657512643a1505eafbb00ffeb455717e8a1262d72d04761f23537b1c0b4f3	b71e8da1	b71e8da186574bfe2ff2dc792d9a062915e753a7aced587d0bb63bbf14e07fc7	fenced	features/security/RULINGS.md	726	16		CCVR 衝突與範圍之 Remarks 定式（Pei 裁，2026-09-17；SEC-09 review §一／SEC-10 §1）
R-SEC23	ruling	9a8f87e3	9a8f87e3e96433a469a0246bd53f69aec2a11173e30bbf13690936f66536a3fe	ea0acc5e	ea0acc5e6ef76f2c7c52b74bdb3d9b9ad846c39980e36fe5400a17ca7dd6c156	fenced	features/security/RULINGS.md	747	12		DEFERRED 列之產出（R-SEC11(b) 之解凍）（Pei 指示「請先繼續產出」，2026-09-17；SEC-11 §1）
R-SEC22(a)	ruling	c37d1ae3	c37d1ae38144edefc3d8b361df5a29cbee026a0cd0c0c06a7ade2ba264d9432a	e3116673	e31166732447322b52b63668a467930acc8e9d4f585551a7e75fb4519a5e2318	fenced	features/security/RULINGS.md	764	7		(amend) — C3 落點加 LOGENC-004 兩 sibling（Pei 准 SEC-11 review §一 #1，2026-09-17；SEC-12 §1）
R-SEC24	ruling	96c19f0f	96c19f0f1410c5a368e3961bee3475b5b1a380c860f5f781703eb38667511a42	9e93e2c0	9e93e2c07d55471fd08883813945b7d47d2818a165a5f4367f6b04b5cc9d4943	fenced	features/security/RULINGS.md	776	14		CertProvider 測試 runner 之 apk 檔名（A-33 更正）（Pei 裁，2026-09-17；SEC-13 §1）
R-SEC25	ruling	d6a4c0ee	d6a4c0ee0e0fb4615302bc3dfbc902bafec909c007080ee127436d86d2009bf5	a480e156	a480e156d37f274ec527cd75a653628010f22c9695823ecc65a20aeaeb4a6324	fenced	features/security/RULINGS.md	795	15		Security 交付形制：六本一元件（取代 R-SEC10(a)）（Pei 裁，2026-09-17；SEC-15 §1）
R-DIAG13	ruling	2fbdc629	2fbdc629b991b04a9f2695cee91d8d24694c552660f9e7eb170a05951a8de20d	e99fa8a7	e99fa8a76c1cfe883ecae007f9a594c24dde7014635dcdb271147ca6a243f0b1	fenced	features/diagnostics/RULINGS.md	204	9		I/O Control TC 之 security 前提（Pei 裁，2026-09-17）
R-DIAG14	ruling	de55c8d5	de55c8d5f4a0df0e591d2d4329bba23c2aa2decc78326523b468b854ddf63244	8c6d685c	8c6d685c06af3f6c13b445aeb4d01c91e3f7cc7446bec42f09c1a7065ffe9dd2	fenced	features/diagnostics/RULINGS.md	216	5		觸發鍵之選擇（Pei 裁，2026-09-17）
R-DIAG13(amend)	ruling	92b2668d	92b2668d9296d7feb008a088c60cea4ed27e14e2781b6e22a509336bd918a8d0	45814b99	45814b993cc1dd39847e7ef1b58cf95bcc5d98605b5f777189decdef8bf57af0	fenced	features/diagnostics/RULINGS.md	224	6		`SEC-DIAG` 母體排除 unsupported 型（Pei 裁，2026-09-17）
R-DIAG15	ruling	f242001f	f242001f2b7cbd10c6911737e4630b13d3c50d6c3246fe5a57ddc8429c7076c5	ace7199a	ace7199a2a2ca5f8b88487c274ee3bbfbed62620e3c34b0059f06f74515b191a	fenced	features/diagnostics/RULINGS.md	233	7		佔位之追蹤（比照 R-SEC21）（Pei 裁，2026-09-17）
R-DIAG16	ruling	67663056	67663056212d42855ee3f27c842871ef273c7e9872697a8807969faae5070c34	187b5abc	187b5abc554e4c7d35a53afae2f2ecb686ced4da77d73d8c2c66121f44a32c0d	fenced	features/diagnostics/RULINGS.md	243	5		觀察不成步（IN §5.1 之本 feature 適用）（Pei 裁，2026-09-17）
R-DIAG17	ruling	cd5cbe75	cd5cbe7504ec3efb3025091d493a1cd15d48a74c0bf791654b473f396c8a75df	b48e9356	b48e935640690462812d2fc25220ca9e7dcfcfc95d52409439374020ab0b059d	fenced	features/diagnostics/RULINGS.md	251	4		lint `X` 之 Diagnostics 豁免（Pei 裁，2026-09-17）
R-DIAG18	ruling	ade3f20d	ade3f20d3737aacc5794256c3d2e77d5010cc487a243638838f0be538b24284f	822a9a21	822a9a21f91352e8130f743cad64a5779a2e520b3dc51f082f67c18d28fd72e0	fenced	features/diagnostics/RULINGS.md	258	5		Pre-Condition 之機械守門（IN §4.4 之本 feature 實作）（Pei 裁，2026-09-17）
R-DIAG19	ruling	490ce544	490ce544c02a5c97ecb907c4afae27f0f3c35f22d5143356ec165c4049a1a030	d03563c4	d03563c470a136e6e87a15d5321913d0c26b25d26b14e99749496ac199fdda29	fenced	features/diagnostics/RULINGS.md	266	5		KeySense HMI Logic and Flow 為缺件（Pei 裁，2026-09-17）
R-DIAG20	ruling	f73a795c	f73a795c0949cb3b3a0bdd1dbc429a21e21f64af36a44723f2f81e192270a6ac	35c37181	35c371810a77fb7966333b339cc7159ef042e04885fc71473947975e2dce5549	fenced	features/diagnostics/RULINGS.md	274	5		常式（RoutineControl）之位元組式（Pei 裁，2026-09-17）
R-DIAG21	ruling	eb0e4065	eb0e40653e77b5d53c3a32617065c4d8b48955c335fd0f543a2dcaf7dbd76df4	0b7275ef	0b7275efab5efceb864a566a6be6fbb5321b4e356ba64dc7846694c06c842193	fenced	features/diagnostics/RULINGS.md	282	5		上半摘句（canon §4.3.1 R-3 之本 feature 適用）（Pei 裁，2026-09-17）
