row	req_id	old_E	old_F	new_F	status	note
20	SWE1-HMI-VC-007-03		newR1L-VC-011	newR1L-VC-011	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
21	SWE1-HMI-VC-007-04		newR1L-VC-012	newR1L-VC-012	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
22	SWE1-HMI-VC-007-05		newR1L-VC-013	newR1L-VC-013	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
23	SWE1-HMI-VC-008		newR1L-VC-014	newR1L-VC-014	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
24	SWE1-HMI-VC-009		newR1L-VC-015	newR1L-VC-015	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
25	SWE1-HMI-VC-010		newR1L-VC-016	newR1L-VC-016	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
26	SWE1-HMI-VC-011		newR1L-VC-017	newR1L-VC-017	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
27	SWE1-HMI-VC-012-01		newR1L-VC-018	newR1L-VC-018	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
28	SWE1-HMI-VC-012-02		newR1L-VC-019	newR1L-VC-019	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
29	SWE1-HMI-VC-012-03		newR1L-VC-020	newR1L-VC-020	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
30	SWE1-HMI-VC-013-01		newR1L-VC-021	newR1L-VC-021	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
31	SWE1-HMI-VC-013-02		newR1L-VC-022	newR1L-VC-022	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
32	SWE1-HMI-VC-013-03		newR1L-VC-023	newR1L-VC-023	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
33	SWE1-HMI-VC-013-04		newR1L-VC-024	newR1L-VC-024	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
34	SWE1-HMI-VC-014		newR1L-VC-025	newR1L-VC-025	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
35	SWE1-HMI-VC-015		newR1L-VC-026	newR1L-VC-026	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
36	SWE1-HMI-VC-016		newR1L-VC-027	newR1L-VC-027	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
37	SWE1-HMI-VC-017		newR1L-VC-028	newR1L-VC-028	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
38	SWE1-HMI-VC-018		newR1L-VC-029	newR1L-VC-029	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
39	SWE1-HMI-VC-019-01		newR1L-VC-030	newR1L-VC-030	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
40	SWE1-HMI-VC-019-02		newR1L-VC-031	newR1L-VC-031	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
41	SWE1-HMI-VC-020		newR1L-VC-032	newR1L-VC-032	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
42	SWE1-HMI-VC-021		newR1L-VC-033	newR1L-VC-033	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
43	SWE1-HMI-VC-022		newR1L-VC-034	newR1L-VC-034	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
44	SWE1-HMI-VC-023		newR1L-VC-035	newR1L-VC-035	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
45	SWE1-HMI-VC-024		newR1L-VC-036	newR1L-VC-036	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
46	SWE1-HMI-VC-025-01		newR1L-VC-037	newR1L-VC-037	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
47	SWE1-HMI-VC-025-02		newR1L-VC-038	newR1L-VC-038	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
48	SWE1-HMI-VC-025-03		newR1L-VC-039	newR1L-VC-039	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
49	SWE1-HMI-VC-025-04		newR1L-VC-040	newR1L-VC-040	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
50	SWE1-HMI-VC-025-05		newR1L-VC-041	newR1L-VC-041	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
51	SWE1-HMI-VC-026-01		newR1L-VC-042	newR1L-VC-042	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
52	SWE1-HMI-VC-026-02		newR1L-VC-043	newR1L-VC-043	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
53	SWE1-HMI-VC-026-03		newR1L-VC-044	newR1L-VC-044	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
54	SWE1-HMI-VC-027		newR1L-VC-045	newR1L-VC-045	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
55	SWE1-HMI-VC-028-01		newR1L-VC-046	newR1L-VC-046	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
56	SWE1-HMI-VC-028-02		newR1L-VC-047	newR1L-VC-047	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
57	SWE1-HMI-VC-029		newR1L-VC-048	newR1L-VC-048	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
58	SWE1-HMI-VC-030		newR1L-VC-049	newR1L-VC-049	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
59	SWE1-HMI-VC-031		newR1L-VC-050	newR1L-VC-050	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
60	SWE1-HMI-VC-032		newR1L-VC-051	newR1L-VC-051	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
61	SWE1-HMI-VC-033-01		newR1L-VC-052	newR1L-VC-052	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
62	SWE1-HMI-VC-033-02		newR1L-VC-053	newR1L-VC-053	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
63	SWE1-HMI-VC-034-01		newR1L-VC-054	newR1L-VC-054	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
64	SWE1-HMI-VC-034-02		newR1L-VC-055	newR1L-VC-055	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
65	SWE1-HMI-VC-035-01		newR1L-VC-056	newR1L-VC-056	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
66	SWE1-HMI-VC-035-02		newR1L-VC-057	newR1L-VC-057	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
67	SWE1-HMI-VC-035-03		newR1L-VC-058	newR1L-VC-058	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
68	SWE1-HMI-VC-036-01		newR1L-VC-059	newR1L-VC-059	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
69	SWE1-HMI-VC-036-02		newR1L-VC-060	newR1L-VC-060	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
70	SWE1-HMI-VC-037-01		newR1L-VC-061	newR1L-VC-061	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
71	SWE1-HMI-VC-037-02		newR1L-VC-062	newR1L-VC-062	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
72	SWE1-HMI-VC-038-01		newR1L-VC-063	newR1L-VC-063	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
73	SWE1-HMI-VC-038-02		newR1L-VC-064	newR1L-VC-064	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
74	SWE1-HMI-VC-038-03		newR1L-VC-065	newR1L-VC-065	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
75	SWE1-HMI-VC-038-03		newR1L-VC-066	newR1L-VC-066	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
76	SWE1-HMI-VC-038-04		newR1L-VC-067	newR1L-VC-067	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
77	SWE1-HMI-VC-038-05		newR1L-VC-068	newR1L-VC-068	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
78	SWE1-HMI-VC-038-05		newR1L-VC-069	newR1L-VC-069	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
79	SWE1-HMI-VC-039		newR1L-VC-070	newR1L-VC-070	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
80	SWE1-HMI-VC-040		newR1L-VC-071	newR1L-VC-071	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
81	SWE1-HMI-VC-041		newR1L-VC-072	newR1L-VC-072	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
82	SWE1-HMI-VC-042-01		newR1L-VC-073	newR1L-VC-073	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
83	SWE1-HMI-VC-042-02		newR1L-VC-074	newR1L-VC-074	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
84	SWE1-HMI-VC-043		newR1L-VC-075	newR1L-VC-075	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
85	SWE1-HMI-VC-044		newR1L-VC-076	newR1L-VC-076	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
86	SWE1-HMI-VC-045		newR1L-VC-077	newR1L-VC-077	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
87	SWE1-HMI-VC-046-01		newR1L-VC-078	newR1L-VC-078	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
88	SWE1-HMI-VC-046-02		newR1L-VC-079	newR1L-VC-079	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
89	SWE1-HMI-VC-046-03		newR1L-VC-080	newR1L-VC-080	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
90	SWE1-HMI-VC-046-04		newR1L-VC-081	newR1L-VC-081	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
91	SWE1-HMI-VC-046-05		newR1L-VC-082	newR1L-VC-082	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
92	SWE1-HMI-VC-046-05		newR1L-VC-083	newR1L-VC-083	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
93	SWE1-HMI-VC-047-01		newR1L-VC-084	newR1L-VC-084	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
94	SWE1-HMI-VC-047-02		newR1L-VC-085	newR1L-VC-085	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
95	SWE1-HMI-VC-047-03		newR1L-VC-086	newR1L-VC-086	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
96	SWE1-HMI-VC-047-04		newR1L-VC-087	newR1L-VC-087	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
97	SWE1-HMI-VC-048-01		newR1L-VC-088	newR1L-VC-088	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
98	SWE1-HMI-VC-048-02		newR1L-VC-089	newR1L-VC-089	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
99	SWE1-HMI-VC-048-02		newR1L-VC-090	newR1L-VC-090	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
100	SWE1-HMI-VC-049		newR1L-VC-091	newR1L-VC-091	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
101	SWE1-HMI-VC-050		newR1L-VC-092	newR1L-VC-092	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
102	SWE1-HMI-VC-051-01		newR1L-VC-093	newR1L-VC-093	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
103	SWE1-HMI-VC-051-02		newR1L-VC-094	newR1L-VC-094	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
104	SWE1-HMI-VC-051-03		newR1L-VC-095	newR1L-VC-095	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
105	SWE1-HMI-VC-052-01		newR1L-VC-096	newR1L-VC-096	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
106	SWE1-HMI-VC-052-02		newR1L-VC-097	newR1L-VC-097	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
107	SWE1-HMI-VC-053		newR1L-VC-098	newR1L-VC-098	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
108	SWE1-HMI-VC-054		newR1L-VC-099	newR1L-VC-099	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
109	SWE1-HMI-VC-055		newR1L-VC-100	newR1L-VC-100	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
110	SWE1-HMI-VC-056-01		newR1L-VC-101	newR1L-VC-101	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
111	SWE1-HMI-VC-056-02		newR1L-VC-102	newR1L-VC-102	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
112	SWE1-HMI-VC-057		newR1L-VC-103	newR1L-VC-103	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
113	SWE1-HMI-VC-058-01		newR1L-VC-104	newR1L-VC-104	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
114	SWE1-HMI-VC-058-02		newR1L-VC-105	newR1L-VC-105	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
115	SWE1-HMI-VC-058-03		newR1L-VC-106	newR1L-VC-106	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
116	SWE1-HMI-VC-058-03		newR1L-VC-107	newR1L-VC-107	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
117	SWE1-HMI-VC-059-01		newR1L-VC-108	newR1L-VC-108	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
118	SWE1-HMI-VC-059-02		newR1L-VC-109	newR1L-VC-109	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
119	SWE1-HMI-VC-060-01		newR1L-VC-110	newR1L-VC-110	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
120	SWE1-HMI-VC-060-02		newR1L-VC-111	newR1L-VC-111	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
121	SWE1-HMI-VC-061		newR1L-VC-112	newR1L-VC-112	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
122	SWE1-HMI-VC-062-01		newR1L-VC-113	newR1L-VC-113	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
123	SWE1-HMI-VC-062-02		newR1L-VC-114	newR1L-VC-114	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
124	SWE1-HMI-VC-062-02		newR1L-VC-115	newR1L-VC-115	kept	kept（包內令已有者不改號）；**前綴 `newR1L-` 不合 R-G42 二之 `NR1L-`**，現行 delivered/ 之形制為 `NR1L-{ABBR}-{nnn}`
