leaf_id	form	class	reason	dr	unblock
SWE1-VC-SignatureLighting-023	訊號送出型	純 propId 式	條文無 TELEMATIC_* 訊號名，TC 之訊號來源未驗		須完成一次書寫式查證（R-VF74）
SWE1-VC-SignatureLighting-024	訊號送出型	純 propId 式	條文無 TELEMATIC_* 訊號名，TC 之訊號來源未驗		須完成一次書寫式查證（R-VF74）
SWE1-VC-LaneSenseStrength-029	訊號送出型	純 propId 式	條文無 TELEMATIC_* 訊號名，TC 之訊號來源未驗		須完成一次書寫式查證（R-VF74）
SWE1-VC-LaneSenseStrength-030	訊號送出型	純 propId 式	條文無 TELEMATIC_* 訊號名，TC 之訊號來源未驗		須完成一次書寫式查證（R-VF74）
SWE1-VC-LaneSenseStrength-031	訊號送出型	純 propId 式	條文無 TELEMATIC_* 訊號名，TC 之訊號來源未驗		須完成一次書寫式查證（R-VF74）
SWE1-VC-ForwardCollisionWarningSensitivity-043	訊號送出型	純 propId 式	條文無 TELEMATIC_* 訊號名，TC 之訊號來源未驗		須完成一次書寫式查證（R-VF74）
SWE1-VC-ForwardCollisionWarningSensitivity-044	訊號送出型	純 propId 式	條文無 TELEMATIC_* 訊號名，TC 之訊號來源未驗		須完成一次書寫式查證（R-VF74）
SWE1-VC-ForwardCollisionWarningSensitivity-045	訊號送出型	純 propId 式	條文無 TELEMATIC_* 訊號名，TC 之訊號來源未驗		須完成一次書寫式查證（R-VF74）
SWE1-VC-RainSensingWipers-056	訊號送出型	純 propId 式	條文無 TELEMATIC_* 訊號名，TC 之訊號來源未驗		須完成一次書寫式查證（R-VF74）
SWE1-VC-RainSensingWipers-057	訊號送出型	純 propId 式	條文無 TELEMATIC_* 訊號名，TC 之訊號來源未驗		須完成一次書寫式查證（R-VF74）
SWE1-VC-TimeandDateSettings-003	其他	<Name>.Info 式	DBC 查無同名；條文之訊號 Day1_Setting.Info, Day2_Setting.Info, Hour1_Setting.Info, Hour2_Setting.Info, Minute1_Setting.Info, Minute2_Setting.Info, Month1_Setting.Info, Month2_Setting.Info, Year1_Setting.Info, Year2_Setting.Info, Year3_Setting.Info, Year4_Setting.Info	DR-36	須先解 DR-36（是否為 CAN 訊號）
SWE1-VC-TimeandDateSettings-006	其他	<Name>.Info 式	DBC 查無同名；條文之訊號 GPS_Automatic_Time_Adj_Setup.Info	DR-36	須先解 DR-36（是否為 CAN 訊號）
SWE1-VC-TimeandDateSettings-007	其他	<Name>.Info 式	DBC 查無同名；條文之訊號 GPS_Automatic_Time_Adj_Setup.Info	DR-36	須先解 DR-36（是否為 CAN 訊號）
SWE1-VC-TimeandDateSettings-008	其他	<Name>.Info 式	DBC 查無同名；條文之訊號 GPS_Automatic_Time_Adj_Setup.Info	DR-36	須先解 DR-36（是否為 CAN 訊號）
SWE1-VC-TrailerName-005	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Boat', 'Car', 'Cargo', 'Dump', 'Equipment', 'Fifth_Wheel', 'Flatbed', 'Gooseneck', 'Horse', 'Livestock', 'Motorcycle', 'Snow_Mobile', 'Trailer', 'Travel', 'Utility']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerName-006	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Boat', 'Car', 'Cargo', 'Dump', 'Equipment', 'Fifth_Wheel', 'Flatbed', 'Gooseneck', 'Horse', 'Livestock', 'Motorcycle', 'Snow_Mobile', 'Trailer', 'Travel', 'Utility']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerName-007	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Boat', 'Car', 'Cargo', 'Dump', 'Equipment', 'Fifth_Wheel', 'Flatbed', 'Gooseneck', 'Horse', 'Livestock', 'Motorcycle', 'Snow_Mobile', 'Trailer', 'Travel', 'Utility']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerName-008	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Boat', 'Car', 'Cargo', 'Dump', 'Equipment', 'Fifth_Wheel', 'Flatbed', 'Gooseneck', 'Horse', 'Livestock', 'Motorcycle', 'Snow_Mobile', 'Trailer', 'Travel', 'Utility']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerName-009	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Boat', 'Car', 'Cargo', 'Dump', 'Equipment', 'Fifth_Wheel', 'Flatbed', 'Gooseneck', 'Horse', 'Livestock', 'Motorcycle', 'Snow_Mobile', 'Trailer', 'Travel', 'Utility']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerName-010	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Boat', 'Car', 'Cargo', 'Dump', 'Equipment', 'Fifth_Wheel', 'Flatbed', 'Gooseneck', 'Horse', 'Livestock', 'Motorcycle', 'Snow_Mobile', 'Trailer', 'Travel', 'Utility']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerName-011	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Boat', 'Car', 'Cargo', 'Dump', 'Equipment', 'Fifth_Wheel', 'Flatbed', 'Gooseneck', 'Horse', 'Livestock', 'Motorcycle', 'Snow_Mobile', 'Trailer', 'Travel', 'Utility']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerName-012	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Boat', 'Car', 'Cargo', 'Dump', 'Equipment', 'Fifth_Wheel', 'Flatbed', 'Gooseneck', 'Horse', 'Livestock', 'Motorcycle', 'Snow_Mobile', 'Trailer', 'Travel', 'Utility']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerName-013	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Boat', 'Car', 'Cargo', 'Dump', 'Equipment', 'Fifth_Wheel', 'Flatbed', 'Gooseneck', 'Horse', 'Livestock', 'Motorcycle', 'Snow_Mobile', 'Trailer', 'Travel', 'Utility']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerName-014	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Boat', 'Car', 'Cargo', 'Dump', 'Equipment', 'Fifth_Wheel', 'Flatbed', 'Gooseneck', 'Horse', 'Livestock', 'Motorcycle', 'Snow_Mobile', 'Trailer', 'Travel', 'Utility']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerName-015	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Boat', 'Car', 'Cargo', 'Dump', 'Equipment', 'Fifth_Wheel', 'Flatbed', 'Gooseneck', 'Horse', 'Livestock', 'Motorcycle', 'Snow_Mobile', 'Trailer', 'Travel', 'Utility']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerName-016	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Boat', 'Car', 'Cargo', 'Dump', 'Equipment', 'Fifth_Wheel', 'Flatbed', 'Gooseneck', 'Horse', 'Livestock', 'Motorcycle', 'Snow_Mobile', 'Trailer', 'Travel', 'Utility']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerName-018	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Boat', 'Car', 'Cargo', 'Dump', 'Equipment', 'Fifth_Wheel', 'Flatbed', 'Gooseneck', 'Horse', 'Livestock', 'Motorcycle', 'Snow_Mobile', 'Trailer', 'Travel', 'Utility']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerName-019	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Boat', 'Car', 'Cargo', 'Dump', 'Equipment', 'Fifth_Wheel', 'Flatbed', 'Gooseneck', 'Horse', 'Livestock', 'Motorcycle', 'Snow_Mobile', 'Trailer', 'Travel', 'Utility']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerName-020	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Boat', 'Car', 'Cargo', 'Dump', 'Equipment', 'Fifth_Wheel', 'Flatbed', 'Gooseneck', 'Horse', 'Livestock', 'Motorcycle', 'Snow_Mobile', 'Trailer', 'Travel', 'Utility']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerName-021	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Boat', 'Car', 'Cargo', 'Dump', 'Equipment', 'Fifth_Wheel', 'Flatbed', 'Gooseneck', 'Horse', 'Livestock', 'Motorcycle', 'Snow_Mobile', 'Trailer', 'Travel', 'Utility']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerName-022	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Heavy_Electric', 'Heavy_Electric_Over_Hydraulic', 'Light_Electric', 'Light_Electric_Over_Hydraulic']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-Language-061	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Arabic', 'Brazilian', 'Canadian', 'Chinese', 'Czech', 'Deutsch', 'Dutch', 'English', 'English_US', 'Espanol', 'Francais', 'Hindi', 'Hungarian', 'Italian', 'Japanese', 'Korean', 'Mexican', 'Polish', 'Portugues', 'Russian', 'Slovakian', 'Turkish']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerName-004	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Boat', 'Car', 'Cargo', 'Dump', 'Equipment', 'Fifth_Wheel', 'Flatbed', 'Gooseneck', 'Horse', 'Livestock', 'Motorcycle', 'Snow_Mobile', 'Trailer', 'Travel', 'Utility']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerName-023	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Boat', 'Car', 'Cargo', 'Dump', 'Equipment', 'Fifth_Wheel', 'Flatbed', 'Gooseneck', 'Horse', 'Livestock', 'Motorcycle', 'Snow_Mobile', 'Trailer', 'Travel', 'Utility']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerBrakeType027	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Heavy_Electric', 'Heavy_Electric_Over_Hydraulic', 'Light_Electric', 'Light_Electric_Over_Hydraulic']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerBrakeType028	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Heavy_Electric', 'Heavy_Electric_Over_Hydraulic', 'Light_Electric', 'Light_Electric_Over_Hydraulic']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerBrakeType029	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Heavy_Electric', 'Heavy_Electric_Over_Hydraulic', 'Light_Electric', 'Light_Electric_Over_Hydraulic']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerBrakeType030	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Heavy_Electric', 'Heavy_Electric_Over_Hydraulic', 'Light_Electric', 'Light_Electric_Over_Hydraulic']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerBrakeType036	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Heavy_Electric', 'Heavy_Electric_Over_Hydraulic', 'Light_Electric', 'Light_Electric_Over_Hydraulic']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrailerBrakeType037	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['Heavy_Electric', 'Heavy_Electric_Over_Hydraulic', 'Light_Electric', 'Light_Electric_Over_Hydraulic']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-110	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['0', '1', '10', '11', '12', '13', '14', '15', '2', '3', '4', '5', '6', '7', '8', '9']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-112	訊號送出型	R-VF81 三：未指名值且無語意對應	條文無 `chooses to enable/disable` 等動作動詞，語意側無從判；DBC 值域 ['0', '1', '10', '11', '12', '13', '14', '15', '2', '3', '4', '5', '6', '7', '8', '9']	DR-39	須裁示條文未指名值時之取值法（DR-39）
SWE1-VC-PowerTailgate-025	訊號送出型	事實不足以書寫（R-VF80 一）	條文指名之值 `Disable] to CarPropertyS` 對不上 `Power_Tailgate_Enable_Req` 之 DBC 值域 ['Disabled', 'Enabled'] —— 不臆造		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-PowerTailgate-026	訊號送出型	事實不足以書寫（R-VF80 一）	條文指名之值 `Enable] to CarPropertySe` 對不上 `Power_Tailgate_Enable_Req` 之 DBC 值域 ['Disabled', 'Enabled'] —— 不臆造		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-SuspensionDefaultRideHeight-020	訊號上行型	事實不足以書寫（R-VF80 一）	訊號上行型 而抽不出 `TELEMATIC_*`／`IPC_*` 訊號名		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-4AUXSwitches-027	PROXI 型	事實不足以書寫（R-VF80 一）	PROXI 型而條文未帶值（無 `If … = [ … ]`，亦無 `receives the value … via signal`）		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-DaytimeRunningLights-005	訊號送出型	事實不足以書寫（R-VF80 一）	條文指名之值 `Early] to CarPropertySer` 對不上 `DRLEnable_Req` 之 DBC 值域 ['False', 'True'] —— 不臆造		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-ConsumptionUnit-032	PROXI 型	事實不足以書寫（R-VF80 一）	PROXI 型而條文未帶值（無 `If … = [ … ]`，亦無 `receives the value … via signal`）		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-ChargePowerLevel-044	PROXI 型	事實不足以書寫（R-VF80 一）	PROXI 型而條文未帶值（無 `If … = [ … ]`，亦無 `receives the value … via signal`）		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-ChargePowerLevel-045	PROXI 型	事實不足以書寫（R-VF80 一）	PROXI 型而條文未帶值（無 `If … = [ … ]`，亦無 `receives the value … via signal`）		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-EngineOffPowerDelay-044	PROXI 型	事實不足以書寫（R-VF80 一）	PROXI 型而條文未帶值（無 `If … = [ … ]`，亦無 `receives the value … via signal`）		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-RearSeatReminder-053	PROXI 型	事實不足以書寫（R-VF80 一）	PROXI 型而條文未帶值（無 `If … = [ … ]`，亦無 `receives the value … via signal`）		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-EngineOffPowerDelay-045	PROXI 型	事實不足以書寫（R-VF80 一）	PROXI 型而條文未帶值（無 `If … = [ … ]`，亦無 `receives the value … via signal`）		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-RearSeatReminder-054	PROXI 型	事實不足以書寫（R-VF80 一）	PROXI 型而條文未帶值（無 `If … = [ … ]`，亦無 `receives the value … via signal`）		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-EngineOffPowerDelay-047	訊號送出型	事實不足以書寫（R-VF80 一）	條文指名之值 `Forty_Five_Sec] to CarPr` 對不上 `Eng_Off_Pwr_Delay_Req` 之 DBC 值域 ['Five_Min', 'Fourty_Five_Sec', 'Ten_Min', 'Zero'] —— 不臆造		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-101	訊號上行型	事實不足以書寫（R-VF80 一）	訊號上行型 而抽不出 `TELEMATIC_*`／`IPC_*` 訊號名		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-Language-060	PROXI 型	事實不足以書寫（R-VF80 一）	PROXI 型而條文未帶值（無 `If … = [ … ]`，亦無 `receives the value … via signal`）		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-TrailerNumber-065	訊號上行型	事實不足以書寫（R-VF80 一）	「無效值處理」型 —— **既有範例有而資料不支援**：`Trail_Num` 之 DBC 為 2 bit，其四值 ['Four', 'One', 'Three', 'Two'] **全部已定義**，結構上不存在可送之無效 raw；且條文所稱之無效值 `GOOSE`／`FIFTH` 實屬 `SelTrlrStyle`（拖車樣式）而非本訊號（拖車數量）。**不改取他訊號**（R-VF92 二），維持隔離並開 DR		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-TrailerBrakeType032	訊號送出型	事實不足以書寫（R-VF80 一）	條文指名之值 `One. CarPropertyService ` 對不上 `Trail_Brk_Type_Req` 之 DBC 值域 ['Heavy_Electric', 'Heavy_Electric_Over_Hydraulic', 'Light_Electric', 'Light_Electric_Over_Hydraulic'] —— 不臆造		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-TrailerBrakeType033	訊號送出型	事實不足以書寫（R-VF80 一）	條文指名之值 `Two. CarPropertyService ` 對不上 `Trail_Brk_Type_Req` 之 DBC 值域 ['Heavy_Electric', 'Heavy_Electric_Over_Hydraulic', 'Light_Electric', 'Light_Electric_Over_Hydraulic'] —— 不臆造		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-TrailerBrakeType034	訊號送出型	事實不足以書寫（R-VF80 一）	條文指名之值 `Three. CarPropertyServic` 對不上 `Trail_Brk_Type_Req` 之 DBC 值域 ['Heavy_Electric', 'Heavy_Electric_Over_Hydraulic', 'Light_Electric', 'Light_Electric_Over_Hydraulic'] —— 不臆造		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-TrailerBrakeType035	訊號送出型	事實不足以書寫（R-VF80 一）	條文指名之值 `Four. CarPropertyService` 對不上 `Trail_Brk_Type_Req` 之 DBC 值域 ['Heavy_Electric', 'Heavy_Electric_Over_Hydraulic', 'Light_Electric', 'Light_Electric_Over_Hydraulic'] —— 不臆造		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-TrafficSignAssistOffset - NAFTASetting-059	訊號上行型	事實不足以書寫（R-VF80 一）	訊號上行型 而抽不出 `TELEMATIC_*`／`IPC_*` 訊號名		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-TrafficSignAssistOffset - NAFTASetting-072	訊號上行型	事實不足以書寫（R-VF80 一）	訊號上行型 而抽不出 `TELEMATIC_*`／`IPC_*` 訊號名		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-TrafficSignAssistOffset - non-NAFTASetting-093	訊號上行型	事實不足以書寫（R-VF80 一）	訊號上行型 而抽不出 `TELEMATIC_*`／`IPC_*` 訊號名		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-ParkSenseBasedCameraActivation-080	PROXI 型	事實不足以書寫（R-VF80 一）	上游條文與同家族之 `SWE1-VC-ParkSenseBasedCameraActivation-078` **逐字相同**（sha1 8231eb31），其 param／value 亦同 —— 所生之 TC 將與之逐字相同（canon §4.3 FAIL）。**不造區辨 token 消解之**（R-VF92 二）；登記待 DR		須補齊條文所缺之事實，或經裁示其取值法
SWE1-VC-AutoOnDriverComfort-2Option-104	PROXI 型	事實不足以書寫（R-VF80 一）	上游條文與同家族之 `SWE1-VC-AutoOnDriverComfort-2Option-103` **逐字相同**（sha1 3de757c9），其 param／value 亦同 —— 所生之 TC 將與之逐字相同（canon §4.3 FAIL）。**不造區辨 token 消解之**（R-VF92 二）；登記待 DR		須補齊條文所缺之事實，或經裁示其取值法
