swe_id	reqid_list	polarion_ids	section	note
SWE1-VC-ThirdRowHeadrestDump-032	CFTS044-4858995	NRL-61394	1.3.2.1.18	交叉驗證章節一致
SWE1-VC-ThirdRowHeadrestDump-033	CFTS044-4858999	NRL-61395	1.3.2.1.18	交叉驗證章節一致
SWE1-VC-ThirdRowHeadrestDump-034	CFTS044-4859000	NRL-61396	1.3.2.1.18	交叉驗證章節一致
SWE1-VC-ThirdRowHeadrestDump-035	CFTS044-4859001	NRL-61397	1.3.2.1.18	交叉驗證章節一致
SWE1-VC-ThirdRowHeadrestDump-036	CFTS044-4859002	NRL-61398	1.3.2.1.18	交叉驗證章節一致
SWE1-VC-ThirdRowHeadrestDump-037	CFTS044-4859030	NRL-61399	1.3.2.1.22	交叉驗證章節一致
SWE1-VC-ThirdRowHeadrestDump-038	CFTS044-4859031	NRL-61400	1.3.2.1.22	交叉驗證章節一致
SWE1-VC-ThirdRowHeadrestDump-039	CFTS044-4859032	NRL-61401	1.3.2.1.22	交叉驗證章節一致
SWE1-VC-ThirdRowHeadrestDump-040	CFTS044-4859033	NRL-61402	1.3.2.1.22	交叉驗證章節一致
SWE1-VC-ThirdRowHeadrestDump-041	CFTS044-4859034	NRL-61403	1.3.2.1.22	交叉驗證章節一致
SWE1-VC-ThirdRowHeadrestDump-042	CFTS044-4859035	NRL-61404	1.3.2.1.22	交叉驗證章節一致
SWE1-VC-ThirdRowHeadrestDump-043	CFTS044-4859038	NRL-61405	1.3.2.1.22	交叉驗證章節一致
SWE1-VC-ThirdRowHeadrestDump-044	CFTS044-4859039	NRL-61406	1.3.2.1.22	交叉驗證章節一致
SWE1-VC-ThirdRowHeadrestDump-045	CFTS044-4859040	NRL-61407	1.3.2.1.22	交叉驗證章節一致
SWE1-VC-ScreenOFF-047	CFTS044-4859104	NRL-61425	1.3.2.1.29	交叉驗證章節一致
SWE1-VC-ScreenOFF-048	CFTS044-4859105	NRL-61426	1.3.2.1.29	交叉驗證章節一致
SWE1-VC-ScreenOFF-049	CFTS044-4859106	NRL-61427	1.3.2.1.29	交叉驗證章節一致
SWE1-VC-ScreenOFF-050	CFTS044-4859107	NRL-61428	1.3.2.1.29	交叉驗證章節一致
SWE1-VC-ScreenOFF-051	CFTS044-4859108	NRL-61429	1.3.2.1.29	交叉驗證章節一致
SWE1-VC-ScreenOFF-052	CFTS044-4859110	NRL-61430	1.3.2.1.29	交叉驗證章節一致
SWE1-VC-StopStartSystemBehavior-054	CFTS044-4859504	NRL-61573	1.3.3.3.7	交叉驗證章節一致
SWE1-VC-StopStartSystemBehavior-055	CFTS044-4859505	NRL-61574	1.3.3.3.7	交叉驗證章節一致
SWE1-VC-StopStartSystemBehavior-056	CFTS044-4859506	NRL-61575	1.3.3.3.7	交叉驗證章節一致
SWE1-VC-LeftFrontHeatedSeat-003	CFTS044-4858302	NRL-61276	1.3.2.1.3.1	交叉驗證章節一致
SWE1-VC-LeftFrontHeatedSeat-004	CFTS044-4858304;CFTS044-4858334;CFTS044-4858364;CFTS044-4858395	NRL-61277	1.3.2.1.3.1;1.3.2.1.3.2;1.3.2.1.3.3;1.3.2.1.3.4	多值 4（R-VS14 逐一列出，數值升冪）；交叉驗證章節一致
SWE1-VC-LeftFrontHeatedSeat-005	CFTS044-4858307	NRL-61278	1.3.2.1.3.1	交叉驗證章節一致
SWE1-VC-LeftFrontHeatedSeat-006	CFTS044-4858308	NRL-61279	1.3.2.1.3.1	交叉驗證章節一致
SWE1-VC-LeftFrontHeatedSeat-007	CFTS044-4858309	NRL-61280	1.3.2.1.3.1	交叉驗證章節一致
SWE1-VC-LeftFrontHeatedSeat-008	CFTS044-4858310	NRL-61281	1.3.2.1.3.1	交叉驗證章節一致
SWE1-VC-LeftFrontHeatedSeat-009	CFTS044-4858311	NRL-61282	1.3.2.1.3.1	交叉驗證章節一致
SWE1-VC-LeftFrontHeatedSeat-010	CFTS044-4858316	NRL-61283	1.3.2.1.3.1	交叉驗證章節一致
SWE1-VC-LeftFrontHeatedSeat-011	CFTS044-4858317;CFTS044-4858347;CFTS044-4858377;CFTS044-4858408	NRL-61284	1.3.2.1.3.1;1.3.2.1.3.2;1.3.2.1.3.3;1.3.2.1.3.4	多值 4（R-VS14 逐一列出，數值升冪）；交叉驗證章節一致
SWE1-VC-LeftFrontHeatedSeat-012	CFTS044-4858318	NRL-61285	1.3.2.1.3.1	交叉驗證章節一致
SWE1-VC-LeftFrontHeatedSeat-013	CFTS044-4858319	NRL-61286	1.3.2.1.3.1	交叉驗證章節一致
SWE1-VC-LeftFrontHeatedSeat-014	CFTS044-4858320	NRL-61287	1.3.2.1.3.1	交叉驗證章節一致
SWE1-VC-LeftFrontHeatedSeat-015	CFTS044-4858325	NRL-61288	1.3.2.1.3.1	交叉驗證章節一致
SWE1-VC-LeftFrontHeatedSeat-016	CFTS044-4858326	NRL-61289	1.3.2.1.3.1	交叉驗證章節一致
SWE1-VC-LeftFrontHeatedSeat-017	CFTS044-4858327	NRL-61290	1.3.2.1.3.1	交叉驗證章節一致
SWE1-VC-LeftFrontHeatedSeat-018	CFTS044-4858328	NRL-61291	1.3.2.1.3.1	交叉驗證章節一致
SWE1-VC-LeftFrontHeatedSeat-019	CFTS044-4858329	NRL-61292	1.3.2.1.3.1	交叉驗證章節一致
SWE1-VC-RightFrontHeatedSeat-022	CFTS044-4858332	NRL-61295	1.3.2.1.3.2	交叉驗證章節一致
SWE1-VC-RightFrontHeatedSeat-023	CFTS044-4858337	NRL-61296	1.3.2.1.3.2	交叉驗證章節一致
SWE1-VC-RightFrontHeatedSeat-024	CFTS044-4858338	NRL-61297	1.3.2.1.3.2	交叉驗證章節一致
SWE1-VC-RightFrontHeatedSeat-025	CFTS044-4858339	NRL-61298	1.3.2.1.3.2	交叉驗證章節一致
SWE1-VC-RightFrontHeatedSeat-026	CFTS044-4858340	NRL-61299	1.3.2.1.3.2	交叉驗證章節一致
SWE1-VC-RightFrontHeatedSeat-027	CFTS044-4858341	NRL-61300	1.3.2.1.3.2	交叉驗證章節一致
SWE1-VC-RightFrontHeatedSeat-028	CFTS044-4858346	NRL-61301	1.3.2.1.3.2	交叉驗證章節一致
SWE1-VC-RightFrontHeatedSeat-029	CFTS044-4858348	NRL-61302	1.3.2.1.3.2	交叉驗證章節一致
SWE1-VC-RightFrontHeatedSeat-030	CFTS044-4858349	NRL-61303	1.3.2.1.3.2	交叉驗證章節一致
SWE1-VC-RightFrontHeatedSeat-031	CFTS044-4858350	NRL-61304	1.3.2.1.3.2	交叉驗證章節一致
SWE1-VC-RightFrontHeatedSeat-032	CFTS044-4858355	NRL-61305	1.3.2.1.3.2	交叉驗證章節一致
SWE1-VC-RightFrontHeatedSeat-033	CFTS044-4858356	NRL-61306	1.3.2.1.3.2	交叉驗證章節一致
SWE1-VC-RightFrontHeatedSeat-034	CFTS044-4858357	NRL-61307	1.3.2.1.3.2	交叉驗證章節一致
SWE1-VC-RightFrontHeatedSeat-035	CFTS044-4858358	NRL-61308	1.3.2.1.3.2	交叉驗證章節一致
SWE1-VC-RightFrontHeatedSeat-036	CFTS044-4858359	NRL-61309	1.3.2.1.3.2	交叉驗證章節一致
SWE1-VC-OneStageHeatedSeat-039	CFTS044-4859360	NRL-61451	1.3.3.3.1.1	交叉驗證章節一致
SWE1-VC-OneStageHeatedSeat-040	CFTS044-4859361	NRL-61452	1.3.3.3.1.1	交叉驗證章節一致
SWE1-VC-OneStageHeatedSeat-041	CFTS044-4859362	NRL-61453	1.3.3.3.1.1	交叉驗證章節一致
SWE1-VC-OneStageHeatedSeat-042	CFTS044-4859363	NRL-61454	1.3.3.3.1.1	交叉驗證章節一致
SWE1-VC-OneStageHeatedSeat-043	CFTS044-4859364	NRL-61455	1.3.3.3.1.1	交叉驗證章節一致
SWE1-VC-OneStageHeatedSeat-044	CFTS044-4859365	NRL-61456	1.3.3.3.1.1	交叉驗證章節一致
SWE1-VC-OneStageHeatedSeat-045	CFTS044-4859366	NRL-61457	1.3.3.3.1.1	交叉驗證章節一致
SWE1-VC-OneStageHeatedSeat-046	CFTS044-4859367	NRL-61458	1.3.3.3.1.1	交叉驗證章節一致
SWE1-VC-OneStageHeatedSeat-047	CFTS044-4859368	NRL-61459	1.3.3.3.1.1	交叉驗證章節一致
SWE1-VC-OneStageHeatedSeat-048	CFTS044-4859369	NRL-61460	1.3.3.3.1.1	交叉驗證章節一致
SWE1-VC-OneStageHeatedSeat-049	CFTS044-4859370	NRL-61461	1.3.3.3.1.1	交叉驗證章節一致
SWE1-VC-OneStageHeatedSeat-050	CFTS044-4859371	NRL-61462	1.3.3.3.1.1	交叉驗證章節一致
SWE1-VC-OneStageHeatedSeat-051	CFTS044-4859372	NRL-61463	1.3.3.3.1.1	交叉驗證章節一致
SWE1-VC-OneStageHeatedSeat-052	CFTS044-4859373	NRL-61464	1.3.3.3.1.1	交叉驗證章節一致
SWE1-VC-TwoStagesHeatedSeat-055	CFTS044-4859376	NRL-61467	1.3.3.3.2.1	交叉驗證章節一致
SWE1-VC-TwoStagesHeatedSeat-056	CFTS044-4859377;CFTS044-4859378	NRL-61468	1.3.3.3.2.1	多值 2（R-VS14 逐一列出，數值升冪）；交叉驗證章節一致
SWE1-VC-TwoStagesHeatedSeat-057	CFTS044-4859379	NRL-61469	1.3.3.3.2.1	交叉驗證章節一致
SWE1-VC-TwoStagesHeatedSeat-058	CFTS044-4859380	NRL-61470	1.3.3.3.2.1	交叉驗證章節一致
SWE1-VC-TwoStagesHeatedSeat-059	CFTS044-4859381	NRL-61471	1.3.3.3.2.1	交叉驗證章節一致
SWE1-VC-TwoStagesHeatedSeat-060	CFTS044-4859382	NRL-61472	1.3.3.3.2.1	交叉驗證章節一致
SWE1-VC-TwoStagesHeatedSeat-061	CFTS044-4859383	NRL-61473	1.3.3.3.2.1	交叉驗證章節一致
SWE1-VC-TwoStagesHeatedSeat-062	CFTS044-4859384	NRL-61474	1.3.3.3.2.1	交叉驗證章節一致
SWE1-VC-TwoStagesHeatedSeat-063	CFTS044-4859385	NRL-61475	1.3.3.3.2.1	交叉驗證章節一致
SWE1-VC-TwoStagesHeatedSeat-064	CFTS044-4859386	NRL-61476	1.3.3.3.2.1	交叉驗證章節一致
SWE1-VC-TwoStagesHeatedSeat-065	CFTS044-4859387	NRL-61477	1.3.3.3.2.1	交叉驗證章節一致
SWE1-VC-TwoStagesHeatedSeat-066	CFTS044-4859388	NRL-61478	1.3.3.3.2.1	交叉驗證章節一致
SWE1-VC-TwoStagesHeatedSeat-067	CFTS044-4859389	NRL-61479	1.3.3.3.2.1	交叉驗證章節一致
SWE1-VC-TwoStagesHeatedSeat-068	CFTS044-4859390	NRL-61480	1.3.3.3.2.1	交叉驗證章節一致
SWE1-VC-TwoStagesHeatedSeat-069	CFTS044-4859391	NRL-61481	1.3.3.3.2.1	交叉驗證章節一致
SWE1-VC-TwoStagesHeatedSeat-070	CFTS044-4859392	NRL-61482	1.3.3.3.2.1	交叉驗證章節一致
SWE1-VC-TwoStagesHeatedSeat-071	CFTS044-4859393	NRL-61483	1.3.3.3.2.1	交叉驗證章節一致
SWE1-VC-TwoStagesHeatedSeat-072	CFTS044-4859394	NRL-61484	1.3.3.3.2.1	交叉驗證章節一致
SWE1-VC-TwoStagesHeatedSeat-073	CFTS044-4859395	NRL-61485	1.3.3.3.2.1	交叉驗證章節一致
SWE1-VC-TwoStagesHeatedSeat-074	CFTS044-4859396	NRL-61486	1.3.3.3.2.1	交叉驗證章節一致
SWE1-VC-ThreeStagesHeatedSeat-078	CFTS044-4859400	NRL-61490	1.3.3.3.3.1	交叉驗證章節一致
SWE1-VC-ThreeStagesHeatedSeat-079	CFTS044-4859401	NRL-61491	1.3.3.3.3.1	交叉驗證章節一致
SWE1-VC-ThreeStagesHeatedSeat-080	CFTS044-4859402	NRL-61492	1.3.3.3.3.1	交叉驗證章節一致
SWE1-VC-ThreeStagesHeatedSeat-081	CFTS044-4859403	NRL-61493	1.3.3.3.3.1	交叉驗證章節一致
SWE1-VC-ThreeStagesHeatedSeat-082	CFTS044-4859404	NRL-61494	1.3.3.3.3.1	交叉驗證章節一致
SWE1-VC-ThreeStagesHeatedSeat-083	CFTS044-4859405	NRL-61495	1.3.3.3.3.1	交叉驗證章節一致
SWE1-VC-ThreeStagesHeatedSeat-084	CFTS044-4859406	NRL-61496	1.3.3.3.3.1	交叉驗證章節一致
SWE1-VC-ThreeStagesHeatedSeat-085	CFTS044-4859407	NRL-61497	1.3.3.3.3.1	交叉驗證章節一致
SWE1-VC-ThreeStagesHeatedSeat-086	CFTS044-4859408	NRL-61498	1.3.3.3.3.1	交叉驗證章節一致
SWE1-VC-ThreeStagesHeatedSeat-087	CFTS044-4859409	NRL-61499	1.3.3.3.3.1	交叉驗證章節一致
SWE1-VC-ThreeStagesHeatedSeat-088	CFTS044-4859410	NRL-61500	1.3.3.3.3.1	交叉驗證章節一致
SWE1-VC-ThreeStagesHeatedSeat-089	CFTS044-4859413	NRL-61501	1.3.3.3.3.1	交叉驗證章節一致
SWE1-VC-ThreeStagesHeatedSeat-090	CFTS044-4859414	NRL-61502	1.3.3.3.3.1	交叉驗證章節一致
SWE1-VC-ThreeStagesHeatedSeat-091	CFTS044-4859415	NRL-61503	1.3.3.3.3.1	交叉驗證章節一致
SWE1-VC-ThreeStagesHeatedSeat-092	CFTS044-4859416	NRL-61504	1.3.3.3.3.1	交叉驗證章節一致
SWE1-VC-ThreeStagesHeatedSeat-093	CFTS044-4859417	NRL-61505	1.3.3.3.3.1	交叉驗證章節一致
SWE1-VC-ThreeStagesHeatedSeat-094	CFTS044-4859418	NRL-61506	1.3.3.3.3.1	交叉驗證章節一致
SWE1-VC-ThreeStagesHeatedSeat-095	CFTS044-4859419	NRL-61507	1.3.3.3.3.1	交叉驗證章節一致
SWE1-VC-ThreeStagesHeatedSeat-096	CFTS044-4859420	NRL-61508	1.3.3.3.3.1	交叉驗證章節一致
SWE1-VC-ThreeStagesHeatedSeat-097	CFTS044-4859421	NRL-61509	1.3.3.3.3.1	交叉驗證章節一致
SWE1-VC-ThreeStagesHeatedSeat-098	CFTS044-4859422	NRL-61510	1.3.3.3.3.1	交叉驗證章節一致
SWE1-VC-ThreeStagesHeatedSeat-099	CFTS044-4859423	NRL-61511	1.3.3.3.3.1	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheel-003	CFTS044-4858513	NRL-61346	1.3.2.1.3.11	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheel-004	CFTS044-4858516	NRL-61347	1.3.2.1.3.11	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheel-005	CFTS044-4858517	NRL-61348	1.3.2.1.3.11	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheel-006	CFTS044-4858519	NRL-61349	1.3.2.1.3.11	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheel-007	CFTS044-4858521	NRL-61350	1.3.2.1.3.11	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheel-008	CFTS044-4858522	NRL-61351	1.3.2.1.3.11	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheel-009				BLOCKED（R-VS17）—— 037 之 Source Requirement ID 為 SYS-RA-CFTS100（非 CFTS044），即 DR-11
SWE1-VC-HeatedSteeringWheel-010	CFTS044-4858529	NRL-61353	1.3.2.1.3.11	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheel-011	CFTS044-4858530	NRL-61354	1.3.2.1.3.11	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheel-012	CFTS044-4858531	NRL-61355	1.3.2.1.3.11	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheel-013	CFTS044-4858532	NRL-61356	1.3.2.1.3.11	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheel-014	CFTS044-4858537	NRL-61357	1.3.2.1.3.11	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheel-015	CFTS044-4858538	NRL-61358	1.3.2.1.3.11	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheel-016	CFTS044-4858539	NRL-61359	1.3.2.1.3.11	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheel-017	CFTS044-4858540	NRL-61360	1.3.2.1.3.11	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheel-018	CFTS044-4858541	NRL-61361	1.3.2.1.3.11	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheel-019	CFTS044-4858542	NRL-61362	1.3.2.1.3.11	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheel-020	CFTS044-4858543	NRL-61363	1.3.2.1.3.11	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheel-021	CFTS044-4858544	NRL-61364	1.3.2.1.3.11	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheel-022	CFTS044-4858545	NRL-61365	1.3.2.1.3.11	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheelManagement-025	CFTS044-4858296;CFTS044-4859492	NRL-61271;NRL-61561	1.3.2.1.3;1.3.3.3.6.1	多值 2（R-VS14 逐一列出，數值升冪）；交叉驗證章節一致
SWE1-VC-HeatedSteeringWheelManagement-026	CFTS044-4858298;CFTS044-4859493	NRL-61272;NRL-61562	1.3.2.1.3;1.3.3.3.6.1	多值 2（R-VS14 逐一列出，數值升冪）；交叉驗證章節一致
SWE1-VC-HeatedSteeringWheelManagement-027	CFTS044-4858299;CFTS044-4859494	NRL-61273;NRL-61563	1.3.2.1.3;1.3.3.3.6.1	多值 2（R-VS14 逐一列出，數值升冪）；交叉驗證章節一致
SWE1-VC-HeatedSteeringWheelManagement-028	CFTS044-4859495	NRL-61564	1.3.3.3.6.1	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheelManagement-029	CFTS044-4859496	NRL-61565	1.3.3.3.6.1	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheelManagement-030	CFTS044-4859497	NRL-61566	1.3.3.3.6.1	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheelManagement-031	CFTS044-4859498	NRL-61567	1.3.3.3.6.1	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheelManagement-032	CFTS044-4859499	NRL-61568	1.3.3.3.6.1	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheelManagement-033	CFTS044-4859500	NRL-61569	1.3.3.3.6.1	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheelManagement-034	CFTS044-4859501	NRL-61570	1.3.3.3.6.1	交叉驗證章節一致
SWE1-VC-HeatedSteeringWheelManagement-035	CFTS044-4859502	NRL-61571	1.3.3.3.6.1	交叉驗證章節一致
SWE1-VC-LeftFrontVentedSeat-003	CFTS044-4858362	NRL-61312	1.3.2.1.3.3	交叉驗證章節一致
SWE1-VC-LeftFrontVentedSeat-004	CFTS044-4858367	NRL-61313	1.3.2.1.3.3	交叉驗證章節一致
SWE1-VC-LeftFrontVentedSeat-005	CFTS044-4858368	NRL-61314	1.3.2.1.3.3	交叉驗證章節一致
SWE1-VC-LeftFrontVentedSeat-006	CFTS044-4858369	NRL-61315	1.3.2.1.3.3	交叉驗證章節一致
SWE1-VC-LeftFrontVentedSeat-007	CFTS044-4858370	NRL-61316	1.3.2.1.3.3	交叉驗證章節一致
SWE1-VC-LeftFrontVentedSeat-008	CFTS044-4858371	NRL-61317	1.3.2.1.3.3	交叉驗證章節一致
SWE1-VC-LeftFrontVentedSeat-009	CFTS044-4858376	NRL-61318	1.3.2.1.3.3	交叉驗證章節一致
SWE1-VC-LeftFrontVentedSeat-010	CFTS044-4858378	NRL-61319	1.3.2.1.3.3	交叉驗證章節一致
SWE1-VC-LeftFrontVentedSeat-011	CFTS044-4858379	NRL-61320	1.3.2.1.3.3	交叉驗證章節一致
SWE1-VC-LeftFrontVentedSeat-012	CFTS044-4858380	NRL-61321	1.3.2.1.3.3	交叉驗證章節一致
SWE1-VC-LeftFrontVentedSeat-013	CFTS044-4858385	NRL-61322	1.3.2.1.3.3	交叉驗證章節一致
SWE1-VC-LeftFrontVentedSeat-014	CFTS044-4858386	NRL-61323	1.3.2.1.3.3	交叉驗證章節一致
SWE1-VC-LeftFrontVentedSeat-015	CFTS044-4858387	NRL-61324	1.3.2.1.3.3	交叉驗證章節一致
SWE1-VC-LeftFrontVentedSeat-016	CFTS044-4858388	NRL-61325	1.3.2.1.3.3	交叉驗證章節一致
SWE1-VC-LeftFrontVentedSeat-017	CFTS044-4858389	NRL-61326	1.3.2.1.3.3	交叉驗證章節一致
SWE1-VC-RightFrontVentedSeat-020	CFTS044-4858392	NRL-61329	1.3.2.1.3.4	交叉驗證章節一致
SWE1-VC-RightFrontVentedSeat-021	CFTS044-4858398	NRL-61330	1.3.2.1.3.4	交叉驗證章節一致
SWE1-VC-RightFrontVentedSeat-022	CFTS044-4858399	NRL-61331	1.3.2.1.3.4	交叉驗證章節一致
SWE1-VC-RightFrontVentedSeat-023	CFTS044-4858400	NRL-61332	1.3.2.1.3.4	交叉驗證章節一致
SWE1-VC-RightFrontVentedSeat-024	CFTS044-4858401	NRL-61333	1.3.2.1.3.4	交叉驗證章節一致
SWE1-VC-RightFrontVentedSeat-025	CFTS044-4858402	NRL-61334	1.3.2.1.3.4	交叉驗證章節一致
SWE1-VC-RightFrontVentedSeat-026	CFTS044-4858407	NRL-61335	1.3.2.1.3.4	交叉驗證章節一致
SWE1-VC-RightFrontVentedSeat-027	CFTS044-4858409	NRL-61336	1.3.2.1.3.4	交叉驗證章節一致
SWE1-VC-RightFrontVentedSeat-028	CFTS044-4858410	NRL-61337	1.3.2.1.3.4	交叉驗證章節一致
SWE1-VC-RightFrontVentedSeat-029	CFTS044-4858411	NRL-61338	1.3.2.1.3.4	交叉驗證章節一致
SWE1-VC-RightFrontVentedSeat-030	CFTS044-4858416	NRL-61339	1.3.2.1.3.4	交叉驗證章節一致
SWE1-VC-RightFrontVentedSeat-031	CFTS044-4858417	NRL-61340	1.3.2.1.3.4	交叉驗證章節一致
SWE1-VC-RightFrontVentedSeat-032	CFTS044-4858418	NRL-61341	1.3.2.1.3.4	交叉驗證章節一致
SWE1-VC-RightFrontVentedSeat-033	CFTS044-4858419	NRL-61342	1.3.2.1.3.4	交叉驗證章節一致
SWE1-VC-RightFrontVentedSeat-034	CFTS044-4858420	NRL-61343	1.3.2.1.3.4	交叉驗證章節一致
SWE1-VC-TwoStagesVentedSeatsManagement-037	CFTS044-4859438	NRL-61514	1.3.3.3.4.1	交叉驗證章節一致
SWE1-VC-TwoStagesVentedSeatsManagement-038	CFTS044-4859439;CFTS044-4859440	NRL-61515	1.3.3.3.4.1	多值 2（R-VS14 逐一列出，數值升冪）；交叉驗證章節一致
SWE1-VC-TwoStagesVentedSeatsManagement-039	CFTS044-4859441	NRL-61516	1.3.3.3.4.1	交叉驗證章節一致
SWE1-VC-TwoStagesVentedSeatsManagement-040	CFTS044-4859442	NRL-61517	1.3.3.3.4.1	交叉驗證章節一致
SWE1-VC-TwoStagesVentedSeatsManagement-041	CFTS044-4859443	NRL-61518	1.3.3.3.4.1	交叉驗證章節一致
SWE1-VC-TwoStagesVentedSeatsManagement-042	CFTS044-4859444	NRL-61519	1.3.3.3.4.1	交叉驗證章節一致
SWE1-VC-TwoStagesVentedSeatsManagement-043	CFTS044-4859445	NRL-61520	1.3.3.3.4.1	交叉驗證章節一致
SWE1-VC-TwoStagesVentedSeatsManagement-044	CFTS044-4859446	NRL-61521	1.3.3.3.4.1	交叉驗證章節一致
SWE1-VC-TwoStagesVentedSeatsManagement-045	CFTS044-4859447	NRL-61522	1.3.3.3.4.1	交叉驗證章節一致
SWE1-VC-TwoStagesVentedSeatsManagement-046	CFTS044-4859448	NRL-61523	1.3.3.3.4.1	交叉驗證章節一致
SWE1-VC-TwoStagesVentedSeatsManagement-047	CFTS044-4859449	NRL-61524	1.3.3.3.4.1	交叉驗證章節一致
SWE1-VC-TwoStagesVentedSeatsManagement-048	CFTS044-4859450	NRL-61525	1.3.3.3.4.1	交叉驗證章節一致
SWE1-VC-TwoStagesVentedSeatsManagement-049	CFTS044-4859451	NRL-61526	1.3.3.3.4.1	交叉驗證章節一致
SWE1-VC-TwoStagesVentedSeatsManagement-050	CFTS044-4859452	NRL-61527	1.3.3.3.4.1	交叉驗證章節一致
SWE1-VC-TwoStagesVentedSeatsManagement-051	CFTS044-4859453	NRL-61528	1.3.3.3.4.1	交叉驗證章節一致
SWE1-VC-TwoStagesVentedSeatsManagement-052	CFTS044-4859454	NRL-61529	1.3.3.3.4.1	交叉驗證章節一致
SWE1-VC-TwoStagesVentedSeatsManagement-053	CFTS044-4859455	NRL-61530	1.3.3.3.4.1	交叉驗證章節一致
SWE1-VC-TwoStagesVentedSeatsManagement-054	CFTS044-4859456	NRL-61531	1.3.3.3.4.1	交叉驗證章節一致
