tc_name	hmi_name	fip_name	match_type	evidence	tier2_proposal	tier2_evidence
SWITCH 3 Power Mode			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI [21. Aux Switches] > Aux 3 > Power Source (2 radio; Battery, Ignition)（r575）—— Power Mode≟Power Source 待認
SWITCH 4 Power Mode			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI [21. Aux Switches] > Aux 4 > Power Source (2 radio; Battery, Ignition)（r579）—— Power Mode≟Power Source 待認
Suspension Service Mode			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r562 [20. Suspension] Service Mode (On/Off)；FIP 無同名（No.273 為 EPB Service Mode，非此）
Suspension Display Messages		Suspension Display Messages	exact	总控表 No.161		
Tilt Mirror in Reverse		Tilt Mirror in Reverse	exact	总控表 No.163		
Tire Fill Alert		Tire Fill Alert	exact	总控表 No.164		
Ready to Drive Pop-Up	Ready to Drive Pop-Up	Ready to Drive Pop-Up	exact	Settings r347；总控表 No.165		
Auto Fold Mirrors		Auto Fold Mirrors	exact	总控表 No.147		
Driver Easy Exit Seat		Driver Easy Exit Seat	exact	总控表 No.148		
Engine Off Power Delay		Engine Off Power Delay	exact	总控表 No.149		
Hill Start Assist	Hill Start Assist	Hill Start Assist	exact	Settings r342；总控表 No.152		
Headlights with Wipers	Headlights with Wipers	Headlights with Wipers	exact	Settings r486,492；总控表 No.153		
Trailer Name	Trailer Name	Trailer Name	exact	Settings r405,406,422,423,439,440,456,457；总控表 No.201		
Trailer Brake Type		Trailer Brake Type	exact	总控表 No.200		
Automatic Trailer Light Check		Automatic Trailer Light Check	exact	总控表 No.268		
Blind Spot with Trailer Detection		Blind Spot with Trailer Detection	exact	总控表 No.271		
Power Side Step	Power Side Step	Power Side Step	exact	Settings r341；总控表 No.206		
Traffic Sign Assist Offset - NAFTA Setting			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r270 [4.] Traffic Sign Assist Offset（Notes NAFTA; 0-10 mph / 0-15 kph）；FIP No.241 回傳 1
Traffic Sign Assist Offset - non-NAFTA Setting			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	drop	R-VS{live}(4)：非 NAFTA 列移除，不建別名
Warnings for Low Fuel Inverter Shutdown - Visual Warning			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	DR	兩表皆無候選
Warnings for Low Fuel Inverter Shutdown - Audible Warning			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	DR	兩表皆無候選
Enhanced Display Synchronization			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	DR	兩表皆無候選
CHMSL CAMERA DYNAMIC CENTERLINE			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r472 [13. Camera] Cargo Camera Dynamic Centerline (On/Off)；FIP No.194 CHMSL Camere = Always false —— CHMSL≟Cargo 待認
Max Power Level			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	DR	兩表皆無候選
Time and Date Settings			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	DR	HMI 7. Clock 為分類（r355–r375），無單一同名項；FIP 無 —— 疑為分類級引用，待認
Hour Mode			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r359 [7. Clock] Time Format (2 radio; 12 hrs, 24 hrs) —— Hour Mode≟Time Format 待認
Auto Door Locks	Auto Door Locks	Auto Door Locks	exact	Settings r512；总控表 No.113		
Distance Unit		Distance - Unit	exact	总控表 No.115		
Speed Unit		Speed - Unit	exact	总控表 No.118		
Consumption Unit		Consumption - Unit	exact	总控表 No.114		
Unit Energy			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	DR	兩表皆無候選（HMI Units 內未見 Energy）
Temperature Unit		Temperature - Unit	exact	总控表 No.116		
Surround View Camera Delay	Surround View Camera Delay	Surround View Camera Delay	exact	Settings r465；总控表 No.186		
Surround View Camera Guidelines	Surround View Camera Guidelines	Surround View Camera Guidelines	exact	Settings r466；总控表 No.187		
Turn Signal Activated Blind Spot Camera View			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r478 [13. Camera] Turn Signal Activated Blind Spot View (On/Off)；FIP No.122 Blind Spot Alert
Turn Signal Activated Blind Spot Camera View with Trailer Option			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r479 同名 3 radio 變體；FIP No.271 Blind Spot with Trailer Detection
ParkSense Based Camera Activation			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r312 [4.] ParkSense Front Camera Activation (On/Off)；FIP No.243 —— 名稱差「Front」，待認
Park Sense	ParkSense		manual	Settings r12,300,301,303,306（空白不敏感）		
Suspension Auto Entry or Exit			UNRESOLVED	母體無對應；Tier 2 候選見 tier2_proposal 欄	manual	HMI r556 [20. Suspension] Auto Entry/Exit Suspension；FIP No.159 Suspension Auto Entry/Exit
