dropped	dropped_src	kept	kept_seq	kept_src	batch
SWE1-VC-SWITCH2HoldLastState-058	SYS-RA-VF230_V1-2314	SWE1-VC-SWITCH2HoldLastState-022	584	SYS-RA-VF230_V1-2247	vf230_batch07.json
SWE1-VC-SWITCH2HoldLastState-059	SYS-RA-VF230_V1-2315	SWE1-VC-SWITCH2HoldLastState-023	587	SYS-RA-VF230_V1-2248	vf230_batch07.json
SWE1-VC-SWITCH2HoldLastState-060	SYS-RA-VF230_V1-2316	SWE1-VC-SWITCH2HoldLastState-024	589	SYS-RA-VF230_V1-2249	vf230_batch07.json
SWE1-VC-SWITCH3HoldLastState-062	SYS-RA-VF230_V1-2318	SWE1-VC-SWITCH3HoldLastState-026	591	SYS-RA-VF230_V1-2251	vf230_batch07.json
SWE1-VC-SWITCH3HoldLastState-063	SYS-RA-VF230_V1-2319	SWE1-VC-SWITCH3HoldLastState-027	593	SYS-RA-VF230_V1-2252	vf230_batch07.json
SWE1-VC-SWITCH3HoldLastState-064	SYS-RA-VF230_V1-2320	SWE1-VC-SWITCH3HoldLastState-028	595	SYS-RA-VF230_V1-2253	vf230_batch07.json
SWE1-VC-SWITCH4HoldLastState-066	SYS-RA-VF230_V1-2322	SWE1-VC-SWITCH4HoldLastState-030	597	SYS-RA-VF230_V1-2255	vf230_batch07.json
SWE1-VC-SWITCH4HoldLastState-067	SYS-RA-VF230_V1-2323	SWE1-VC-SWITCH4HoldLastState-031	600	SYS-RA-VF230_V1-2256	vf230_batch07.json
SWE1-VC-SWITCH4HoldLastState-068	SYS-RA-VF230_V1-2324	SWE1-VC-SWITCH4HoldLastState-032	602	SYS-RA-VF230_V1-2257	vf230_batch07.json
SWE1-VC-SWITCH1Type-002	SYS-RA-VF230_V1-2227	SWE1-VC-SWITCH1Type-029	639	SYS-RA-VF230_V1-2286	vf230_backfill.json
