token	arch_scope	in_scope_arch	cfts044_include	cfts044_exclude	bus_signal	dbc	lid_values	lid_format	cfts044_other_arch	cfts044_inscope_LEGACY	suspect_prefix	normalized_key
$HSW_StatFailSts$	Atlantis Mid	(無)	Fail_Not_Present|Fail_Present						"{""Atlantis Mid"": [""Fail_Not_Present"", ""Fail_Present""]}"			fail_not_present|fail_present
$HSW_Stat_2$	Atlantis High|CUSW|PowerNet	Atlantis High	Heated steering wheel high / HSW_HI|Heated steering wheel low / HSW_LO|Heated steering wheel medium / HSW_MED|Heated steering wheel off / HSW_OFF		Tri_Level_HSW_StatSts	Heated_steering_wheel_high|Heated_steering_wheel_low|Heated_steering_wheel_medium|Heated_steering_wheel_off|SNA	Heated_steering_wheel_high|Heated_steering_wheel_low|Heated_steering_wheel_medium|Heated_steering_wheel_off|SNA	0 = Heated_steering_wheel_off 1 = Heated_steering_wheel_low 2 = Heated_steering_wheel_medium 3 = Heated_steering_wheel_high 7 = SNA	"{""CUSW"": [""Heated steering wheel high / HSW_HI"", ""Heated steering wheel low / HSW_LO"", ""Heated steering wheel medium / HSW_MED"", ""Heated steering wheel off / HSW_OFF""], ""PowerNet"": [""Heated steering wheel high / HSW_HI"", ""Heated steering wheel low / HSW_LO"", ""Heated steering wheel medium / HSW_MED"", ""Heated steering wheel off / HSW_OFF""]}"	Heated steering wheel high / HSW_HI|Heated steering wheel low / HSW_LO|Heated steering wheel medium / HSW_MED|Heated steering wheel off / HSW_OFF		heated steering wheel high / hsw_hi|heated steering wheel low / hsw_lo|heated steering wheel medium / hsw_med|heated steering wheel off / hsw_off
$HdRstRelRq$	Atlantis High|CUSW|PowerNet	Atlantis High	Not Pressed|Not pressed|Pressed		HDRstRelRq_3rdRow				"{""CUSW"": [""Not Pressed"", ""Not pressed"", ""Pressed""], ""PowerNet"": [""Not Pressed"", ""Not pressed"", ""Pressed""]}"	Not Pressed|Not pressed|Pressed		not pressed|pressed
$HeatedSeatFL$	Atlantis High|Atlantis Mid|CUSW|PowerNet	Atlantis High	0h: Off|1h: Low|3h: High|Heated Seat High / HS_HI|Heated Seat High/HS_HI|Heated Seat Low / HS_LO|Heated Seat Low/HS_LO|Heated Seat Medium / HS_MED|Heated Seat Off / HS_OFF|Heated Seat Off/HS_OFF|Heated_seat_high|Heated_seat_low|Heated_seat_mid|Heated_seat_off		FL_HS_STATFailSts|FL_HS_STATSts	Fail_Not_Present|Fail_Present|Heated_seat_high|Heated_seat_low|Heated_seat_medium|Heated_seat_off	Fail_Not_Present|Fail_Present|Heated_seat_high 1 bit signal (FL_HS_STATFailSts)|Heated_seat_low|Heated_seat_medium|Heated_seat_off	ATLANTIS 2 bit signal (FL_HS_STATSts) 0 = Heated_seat_off 1 = Heated_seat_low 2 = Heated_seat_medium 3 = Heated_seat_high 1 bit signal (FL_HS_STATFailSts) 0 = F	"{""CUSW"": [""0h: Off"", ""1h: Low"", ""3h: High"", ""Heated Seat High/HS_HI"", ""Heated Seat Low/HS_LO"", ""Heated Seat Medium / HS_MED"", ""Heated Seat Off / HS_OFF"", ""Heated Seat Off/HS_OFF""], ""PowerNet"": [""Heated Seat High / HS_HI"", ""Heated Seat Low / HS_LO"", ""Heated Seat Medium / HS_MED"", ""Heated Seat Off / HS_OFF""], ""Atlantis Mid"": [""Heated Seat High / HS_HI"", ""Heated Seat Low / HS_LO"", ""Heated Seat Medium / HS_MED"", ""Heated Seat Off / HS_OFF"", ""Heated_seat_high"", ""Heated_seat_low"", ""Heated_seat_mid"", ""Heated_seat_off""]}"	Heated Seat High / HS_HI|Heated Seat Low / HS_LO|Heated Seat Medium / HS_MED|Heated Seat Off / HS_OFF		0h: off|1h: low|3h: high|heated seat high / hs_hi|heated seat high/hs_hi|heated seat low / hs_lo|heated seat low/hs_lo|heated seat medium / hs_med|heated seat off / hs_off|heated seat off/hs_off|heated_seat_high|heated_seat_low|heated_seat_mid|heated_seat_off
$HeatedSeatFR$	Atlantis High|Atlantis Mid|CUSW|PowerNet	Atlantis High	0h: Off|1h: Low|3h: High|Heated Seat High / HS_HI|Heated Seat High/HS_HI|Heated Seat Low / HS_LO|Heated Seat Low/HS_LO|Heated Seat Medium / HS_MED|Heated Seat Off / HS_OFF|Heated Seat Off/HS_OFF|Heated_seat_high|Heated_seat_low|Heated_seat_mid|Heated_seat_off		FR_HS_STATFailSts|FR_HS_STATSts	Fail_Not_Present|Fail_Present|Heated_seat_high|Heated_seat_low|Heated_seat_medium|Heated_seat_off	Fail_Not_Present|Fail_Present|Heated_seat_high 1 bit signal (FR_HS_STATFailSts)|Heated_seat_low|Heated_seat_medium|Heated_seat_off	ATLANTIS 2 bit signal (FR_HS_STATSts) 0 = Heated_seat_off 1 = Heated_seat_low 2 = Heated_seat_medium 3 = Heated_seat_high 1 bit signal (FR_HS_STATFailSts) 0 = F	"{""CUSW"": [""0h: Off"", ""1h: Low"", ""3h: High"", ""Heated Seat High/HS_HI"", ""Heated Seat Low/HS_LO"", ""Heated Seat Medium / HS_MED"", ""Heated Seat Off / HS_OFF"", ""Heated Seat Off/HS_OFF""], ""PowerNet"": [""Heated Seat High / HS_HI"", ""Heated Seat Low / HS_LO"", ""Heated Seat Medium / HS_MED"", ""Heated Seat Off / HS_OFF""], ""Atlantis Mid"": [""Heated Seat High / HS_HI"", ""Heated Seat Low / HS_LO"", ""Heated Seat Medium / HS_MED"", ""Heated Seat Off / HS_OFF"", ""Heated_seat_high"", ""Heated_seat_low"", ""Heated_seat_mid"", ""Heated_seat_off""]}"	Heated Seat High / HS_HI|Heated Seat Low / HS_LO|Heated Seat Medium / HS_MED|Heated Seat Off / HS_OFF		0h: off|1h: low|3h: high|heated seat high / hs_hi|heated seat high/hs_hi|heated seat low / hs_lo|heated seat low/hs_lo|heated seat medium / hs_med|heated seat off / hs_off|heated seat off/hs_off|heated_seat_high|heated_seat_low|heated_seat_mid|heated_seat_off
$Heated_Seat_Levels$	Atlantis High|Atlantis Mid	Atlantis High	1|2|3|One Level		Heated_Seat_Levels			See Proxi Table	"{""Atlantis Mid"": [""One Level""]}"	1|2|3		1|2|3|one level
$Heated_Seats$	Atlantis High|Atlantis Mid|CUSW	Atlantis High	Front|Front Seats|Front and Rear Seats|Front Seats or Front|Present		Heated_Seats			See Proxi Table	"{""Atlantis Mid"": [""Front Seats"", ""Present""], ""CUSW"": [""Present""]}"	Front and Rear Seats|Present		front|front and rear seats|front seats|front seats or front|present
$Heated_Seats_Levels$	Atlantis Mid	(無)	1	1					"{""Atlantis Mid"": [""1""]}"			1
$Heated_Steats_Levels$	Atlantis Mid	(無)	Three Levels|Two Levels						"{""Atlantis Mid"": [""Three Levels"", ""Two Levels""]}"			three levels|two levels
$Heated_Steering_Levels$	Atlantis High	Atlantis High	1_Level|3 Levels|3_Levels		Heated_Steering_Wheel_Levels		1 Level|2 Levels|3 Levels|Not Used	0 = 1 Level 1 = 2 Levels 2 = 3 Levels # = Not Used		1_Level|3 Levels|3_Levels		1_level|3 levels|3_levels
$Heated_Steering_Wheel$	Atlantis High|Atlantis Mid|CUSW	Atlantis High	Present		Heated_Steering_Wheel			See Proxi Table	"{""Atlantis Mid"": [""Present""], ""CUSW"": [""Present""]}"	Present		present
$Hybrid_Type$	All|Atlantis High|PowerNet	All|Atlantis High	BEV|HEV|HEV OR PHEV OR BSG48 OR BSG12|PHEV|PHEV OR BEV OR HEV|PHEV OR BEV OR REPB OR HEV OR FCEV|Plugin Hybrid Electric Vehicle|[PHEV	[PHEV	Hybrid_Type		12V Belt Start Generator|48V Belt Start Generator|Battery Electric Vehicle|Fuel Cell Electric Vehicle|Hybrid Electric Vehicle|Not Applicable|Not Used|Plugin Hybrid Electric Vehicle|REPB	0 = Not Applicable 1 = Battery Electric Vehicle 2 = Hybrid Electric Vehicle 3 = Plugin Hybrid Electric Vehicle 4 = 48V Belt Start Generator 5 = 12V Belt Start G	"{""PowerNet"": [""[PHEV""]}"	BEV|HEV|HEV OR PHEV OR BSG48 OR BSG12|PHEV|PHEV OR BEV OR HEV|PHEV OR BEV OR REPB OR HEV OR FCEV|Plugin Hybrid Electric Vehicle|[PHEV		[phev|bev|hev|hev or phev or bsg48 or bsg12|phev|phev or bev or hev|phev or bev or repb or hev or fcev|plugin hybrid electric vehicle
$PowerMode$	All|Atlantis High|CUSW|PowerNet	All|Atlantis High	IGN_OFF|IGN_RUN|Ign. off & acc. (4 position switch) / IGN_OFF_ACC|Ignition lock / IGN_LK|Ignition off (5 position switch) / IGN_OFF|Ignition run / IGN_RUN|Ignition start / IGN_START|Ignition lock / IGN_LK|RUN	4h:Ignition run|4h:Ignition run|IGN_RUN|Ignition run|Ignition run	CmdIgnSts	ACC|IGN_LK|Initialization|RUN|SNA|START	ACC|IGN_LK|Initialization|RUN|SNA|START	3 bit signal 0 = Initialization 1 = IGN_LK 3 = ACC 4 = RUN 5 = START 7 = SNA	"{""CUSW"": [""IGN_RUN"", ""Ign. off & acc. (4 position switch) / IGN_OFF_ACC"", ""Ignition lock / IGN_LK"", ""Ignition run / IGN_RUN"", ""Ignition start / IGN_START""], ""PowerNet"": [""IGN_RUN"", ""Ign. off & acc. (4 position switch) / IGN_OFF_ACC"", ""Ignition lock / IGN_LK"", ""Ignition run / IGN_RUN"", ""Ignition start / IGN_START""]}"	IGN_OFF|IGN_RUN|Ign. off & acc. (4 position switch) / IGN_OFF_ACC|Ignition lock / IGN_LK|Ignition off (5 position switch) / IGN_OFF|Ignition run / IGN_RUN|Ignition start / IGN_START|Ignition lock / IGN_LK		ign. off & acc. (4 position switch) / ign_off_acc|ign_off|ign_run|ignition lock / ign_lk|ignition off (5 position switch) / ign_off|ignition run / ign_run|ignition start / ign_start|run
$PrplsnSysAtv$	All|Atlantis High|PowerNet	All|Atlantis High	Active|Not Active|Not Active		PropulsionSystemActive	Active|Not_Active	Active|Not_Active	0 = Not_Active 1 = Active	"{""PowerNet"": [""Not Active"", ""Not Active""]}"	Active|Not Active|Not Active		active|not active
$RVC_SK_PRSNT$	All|Atlantis High|PowerNet	All|Atlantis High	1|Present		Rear_View_Camera|Rear_View_Camera_Soft_Button		Absent|Present	0 = Absent 1 = Present	"{""PowerNet"": [""Present""]}"	Present		1|present
$Stop_And_Start_cfg$	Atlantis High|Atlantis Mid	Atlantis High	Absent|Present		Stop_And_Start		Absent|Present	0 = Absent 1 = Present	"{""Atlantis Mid"": [""Present""]}"	Absent|Present		absent|present
$TGW_DISP_STAT$		(無)			TGW_DISP_STATSts	DTV Camera Video Display|DTV Program Display|DTV fullscreen Video Display|DVD_Setup|DVD_display|DVD_menu|Display_closed|Display_off|Mode_select_display|Normal_mode|On_blanked_screen|Rear Entertainment Full Screen Video |Rear Entertainment HMI|Rear_Camera_Display|SNA|Splashscreen_Display	DTV Camera Video Display|DTV Program Display|DTV fullscreen Video Display|DVD_Setup|DVD_display|DVD_menu|Diplay_closed|Display_off|Mode_select_display|Normal_mode|On_blanked_screen|Rear Entertainment Full Screen Video|Rear Entertainment HMI|Rear_Camera_Display|SNA|Splashscreen_Display	CAN-BH: 0=Display_off 1= Diplay_closed 2=Normal_mode 3=DVD_menu 4=DVD_Setup 5=DVD_display 6=Mode_select_display 7=Rear_Camera_Display 8=On_blanked_screen 9=Spla				
$VC_VEH_LINE$	All|Atlantis High|Atlantis Mid|PowerNet	All|Atlantis High	DS or DJ or D2 or DD or DP or DF or DX|DT|HDCC|JL / VEH_JL|K8 / VEH_K8|M182/M189|M189|M240|M4 OR MP|RU / VEH_RU|VEH_LA OR VEH_LD OR VEH_LX|WL|WS|[WS	LB|M182/M189|M240|WS	Vehicle_Line_Configuration		226 (35 Hex)|327FL (34 Hex)|334 (54 Hex)|338 (57 Hex)|341 (5C Hex)|343 (33 Hex)|356 (5A Hex)|358 (60 Hex)|359 (61 Hex)|520 (55 Hex)|521 (58 Hex)|523 (5F Hex)|551 /M1 (56 Hex)|552/MP (5D Hex)|553/M4 (62 Hex)|556/M6 (63 Hex)|636 VM (59 Hex)|949 (5E Hex)|952 (5B Hex)|Invalid|K8 (64 Hex)|KL/K4 (51 Hex)|Not Used|PF (50 Hex)|UF (52 Hex)|UT (53 Hex)|WL (65 Hex)	0 = Invalid 51 = 343 (33 Hex) 52 = 327FL (34 Hex) 53 = 226 (35 Hex) 80 = PF (50 Hex) 81 = KL/K4 (51 Hex) 82 = UF (52 Hex) 83 = UT (53 Hex) 84 = 334 (54 Hex) 85 	"{""PowerNet"": [""DS or DJ or D2 or DD or DP or DF or DX"", ""VEH_LA OR VEH_LD OR VEH_LX""], ""Atlantis Mid"": [""M189"", ""M240""]}"	DT|HDCC|JL / VEH_JL|K8 / VEH_K8|M182/M189|M189|M4 OR MP|RU / VEH_RU|WL|WS|[WS		[ws|ds or dj or d2 or dd or dp or df or dx|dt|hdcc|jl / veh_jl|k8 / veh_k8|m182/m189|m189|m240|m4 or mp|ru / veh_ru|veh_la or veh_ld or veh_lx|wl|ws
$VentedSeatFL$	Atlantis High|Atlantis Mid|CUSW|PowerNet	Atlantis High	0h: Off|1h: Low|3h: High|Vented Seat High / VS_HI|Vented Seat High/VS_HI|Vented Seat Low / VS_LO|Vented Seat Low/VS_LO|Vented Seat Medium / VS_MED|Vented Seat Off / HS_OFF|Vented Seat Off / VS_OFF|Vented Seat Off/VS_OFF|Vented seat Medium / VS_MED|Vented seat medium / VS_MED|Vented_seat_high|Vented_seat_low|Vented_seat_mid|Vented_seat_off|Vented Seat Off / VS_OFF		FL_VS_STATFailSts|FL_VS_STATSts	Fail_Not_Present|Fail_Present|Vented_seat_high|Vented_seat_low|Vented_seat_medium|Vented_seat_off	Fail Present STATSts|Fail_Not_Present|Vented_seat_high|Vented_seat_low|Vented_seat_medium|Vented_seat_off	STATFailSts 0 = Fail_Not_Present 1= Fail Present STATSts 0 = Vented_seat_off 1 = Vented_seat_low 2 = Vented_seat_medium 3 = Vented_seat_high	"{""CUSW"": [""0h: Off"", ""1h: Low"", ""3h: High"", ""Vented Seat High/VS_HI"", ""Vented Seat Low/VS_LO"", ""Vented Seat Off / VS_OFF"", ""Vented Seat Off/VS_OFF"", ""Vented seat Medium / VS_MED"", ""Vented seat medium / VS_MED""], ""PowerNet"": [""Vented Seat High / VS_HI"", ""Vented Seat Low / VS_LO"", ""Vented Seat Medium / VS_MED"", ""Vented Seat Off / VS_OFF"", ""Vented seat medium / VS_MED""], ""Atlantis Mid"": [""Vented Seat Off / HS_OFF"", ""Vented_seat_high"", ""Vented_seat_low"", ""Vented_seat_mid"", ""Vented_seat_off"", ""Vented Seat Off / VS_OFF""]}"	Vented Seat High / VS_HI|Vented Seat Low / VS_LO|Vented Seat Medium / VS_MED|Vented Seat Off / VS_OFF|Vented seat medium / VS_MED	Vented Seat Off / HS_OFF → VS_	0h: off|1h: low|3h: high|vented seat high / vs_hi|vented seat high/vs_hi|vented seat low / vs_lo|vented seat low/vs_lo|vented seat medium / vs_med|vented seat off / vs_off|vented seat off/vs_off|vented_seat_high|vented_seat_low|vented_seat_mid|vented_seat_off
$VentedSeatFR$	Atlantis High|Atlantis Mid|CUSW|PowerNet	Atlantis High	0h: Off|1h: Low|3h: High|Vented Seat High / HS_HI|Vented Seat High / VS_HI|Vented Seat High/HS_HI|Vented Seat Low / VS_LO|Vented Seat Low / VS_Lo|Vented Seat Low/VS_Lo|Vented Seat Medium / VS_MED|Vented Seat Off / HS_OFF|Vented Seat Off / VS_OFF|Vented Seat Off/VS_OFF|Vented seat Medium / VS_MED|Vented seat medium / VS_MED|Vented_seat_high|Vented_seat_low|Vented_seat_mid|Vented_seat_off		FR_VS_STATFailSts|FR_VS_STATSts	Fail_Not_Present|Fail_Present|Vented_seat_high|Vented_seat_low|Vented_seat_medium|Vented_seat_off	Vented_seat_high|Vented_seat_low|Vented_seat_medium|Vented_seat_off	ATLANTIS 2 bit signal 0 = Vented_seat_off 1 = Vented_seat_low 2 = Vented_seat_medium 3 = Vented_seat_high	"{""CUSW"": [""0h: Off"", ""1h: Low"", ""3h: High"", ""Vented Seat High/HS_HI"", ""Vented Seat Low/VS_Lo"", ""Vented Seat Off / VS_OFF"", ""Vented Seat Off/VS_OFF"", ""Vented seat Medium / VS_MED"", ""Vented seat medium / VS_MED""], ""PowerNet"": [""Vented Seat High / HS_HI"", ""Vented Seat High / VS_HI"", ""Vented Seat Low / VS_LO"", ""Vented Seat Low / VS_Lo"", ""Vented Seat Medium / VS_MED"", ""Vented Seat Off / VS_OFF"", ""Vented seat medium / VS_MED""], ""Atlantis Mid"": [""Vented Seat Off / HS_OFF"", ""Vented Seat Off / VS_OFF"", ""Vented_seat_high"", ""Vented_seat_low"", ""Vented_seat_mid"", ""Vented_seat_off""]}"	Vented Seat High / VS_HI|Vented Seat Low / VS_LO|Vented Seat Low / VS_Lo|Vented Seat Medium / VS_MED|Vented Seat Off / VS_OFF|Vented seat medium / VS_MED	Vented Seat High / HS_HI → VS_|Vented Seat High/HS_HI → VS_|Vented Seat Off / HS_OFF → VS_	0h: off|1h: low|3h: high|vented seat high / vs_hi|vented seat high/vs_hi|vented seat low / vs_lo|vented seat low/vs_lo|vented seat medium / vs_med|vented seat off / vs_off|vented seat off/vs_off|vented_seat_high|vented_seat_low|vented_seat_mid|vented_seat_off
