file	chars	parsed	Fail_Present	STATFailSts	Heated Steering Wheel Icon	Left Side	Right Side
Park Assist with Active Park Braking HMI Logic and Flow R1 SR 24 1A (June 1st  2021).pdf	29303	YES	0	0	0	0	0
Passenger Airbag HMI Logic & Flow R1 SR24 1A (May 28 2021).pdf	9357	YES	0	0	0	0	0
Performance Pages HMI Logic and Flow R1 SR25 Post 2A (Mar 25, 2025).pdf	26592	YES	0	0	0	0	0
Personal Account HMI Logic and Flow R1L-R (February 10 2023).pdf	39173	YES	0	0	0	0	0
Personal Account HMI Logic and Flow R1L-R (February 10 2026).pdf	39176	YES	0	0	0	0	0
Personal Account HMI Logic and Flow R1L-R Change Log(26PI).xlsx	946	YES	0	0	0	0	0
Personal Assistant HMI Logic and Flow R1 SR24 2A CR20893(May 12, 2022).pdf	4330	YES	0	0	0	0	0
Phone HMI Logic and Flow R1 SR24 Post 2A (June 21 2022).pdf	110295	YES	0	0	0	0	0
Phone HMI Logic&Flow R1 Change Log(26PI).xlsx	963	YES	0	0	0	0	0
Phone HMI Logic&Flow R1.pdf	103013	YES	0	0	0	0	0
Pop Up List HMI R1 (26PI).xlsx	479263	YES	0	0	0	0	0
Pop Up List HMI R1 Change Log(26PI).xlsx	950	YES	0	0	0	0	0
Pop Up List HMI R1 SR24 Post 2A (Dec 15, 2023).xlsx	478605	YES	0	0	0	0	0
Power Moding HMI Logic and Flow R1 SR24 2A DCR22412 (January 24 2023) (1).pdf	15319	YES	0	0	0	0	0
Power Moding HMI Logic and Flow R1 SR24 2A DCR22412 (January 24 2023).pdf	15319	YES	0	0	0	0	0
Power Panel HMI Logic and Flow R1 SR24 2A (December 15 2021).pdf	29891	YES	0	0	0	0	0
Power Tailgate HMI Logic and Flow R1 SR24 2A (October 20, 2021).pdf	6677	YES	0	0	0	0	0
Projection Device R1L-R HMI Logic and Flow (February 5 2026).pdf	64972	YES	0	0	0	0	0
R1 - Wi-Fi Hotspot SR24 Post 2A HMI Logic and Flow (Mar 15, 2023).pdf	32006	YES	0	0	0	0	0
R1 Connected Personal Account Setting List.xlsx	99614	YES	0	0	0	0	0
R1 Connected Personal Account Setting List_August2020.xlsx	99489	YES	0	0	0	0	0
R1L VR Command Reference Tables_Stellantis CR 20051.xlsx	19200	YES	0	0	0	0	0
RVC+PAM R1 Low SR24 1A (June 25 2021).pdf	13000	YES	0	0	0	0	0
Rear Seat Alert HMI L&F CR25065 SR24 (October,13, 2023).pdf	13692	YES	0	0	0	0	0
Reconfigurable Head-up Display HMI Logic and Flow R1L SR24 (Mar 04 2026).pdf	21717	YES	0	0	0	0	0
Remote Diagnosis Assistant R1 HMI Logic and Flow SR24 2A (March 11th 2022).pdf	5917	YES	0	0	0	0	0
Reverse Pedestrian AEB HMI Logic and Flow R1 SR24 1A ( June 1st 2021).pdf	10219	YES	0	0	0	0	0
Selectable Tire Fill Assist HMI Logic and Flow R1 SR24 1A (June 1 2021).pdf	3493	YES	0	0	0	0	0
SiriusXM 360L HMI Logic and Flow R1 Change Log.xlsx	1145	YES	0	0	0	0	0
SiriusXM 360L HMI Logic and Flow R1.pdf	305813	YES	0	0	0	0	0
SiriusXM 360L SAT Only HMI Logic and Flow R1 SR24 1A (May 24 2021).pdf	112336	YES	0	0	0	0	0
Software Updates FOTA HMI Logic and Flow R1 SR24 post 2A (Aug 30 2023).pdf	84459	YES	0	0	0	0	0
Sound Generator HMI Logic and Flow R1 SR24 Post 2A (Mar 27, 2023).pdf	11437	YES	0	0	0	0	0
Sound_Generation_EQ_Profiles_v1.9_CR21928.pdf	22498	YES	0	0	0	0	0
Status Bar HMI Logic and Flow R1L-R (Feb 13 2026).pdf	40171	YES	0	0	0	0	0
Status Bar HMI Logic&Flow Change Log(26PI).xlsx	917	YES	0	0	0	0	0
Status Bar HMI Logic&Flow(26PI).pdf	16842	YES	0	0	0	0	0
Steering Wheel Controls HMI Logic and Flow (april 14 2026).xlsx	36633	YES	0	0	0	0	0
Surround view camera for APAC China and Maserati HMI Logic and Flow.pdf	11554	YES	0	0	0	1	1
TBM App-Update Over-the-Air (AOTA) HMI Logic and Flow R1 SR24 1A (May 25 2021).pdf	8018	YES	0	0	0	0	0
TBM Assist Call R1 HMI Logic and Flow SR 24 post 1A (October 11 2021).pdf	15850	YES	0	0	0	0	0
TBM Automatic SOS (Impact, Non-Impact) R1 HMI Logic and Flow SR 24 1A (May 27 2021).pdf	8677	YES	0	0	0	0	0
TBM Errors HMI Logic and Flow R1 SR24 1A (May 27 2021).pdf	4909	YES	0	0	0	0	0
TBM FOTA HMI Logic and Flow R1 SR24 1A (May 05 2021 ).pdf	8747	YES	0	0	0	0	0
TBM HU In Vehicle Messaging R1 HMI Logic and Flow SR 24 post 2A (November, 28th, 2023).pdf	12493	YES	0	0	0	0	0
TBM In-Vehicle Help R1 HMI Logic and Flow SR 24 1A (June 25 2021).pdf	15169	YES	0	0	0	0	0
TBM In-vehicle Activation HMI Logic and Flow R1 SR24 Post 2A (Aug 12th 2022).pdf	43382	YES	0	0	0	0	0
TBM Legislative E-Call HUs behaviours HMI Logic and Flow R1L-R (February 10 2026).pptx	585834	YES	0	0	0	0	0
TBM e-Call HMI Logic and Flow R1 SR24 Post 2A (December 06 2021).pdf	18934	YES	0	0	0	0	0
Teleprompter and Voice Bar HMI Logic and Flow R1 SR24 19413 (Aug 23 2021).pdf	13741	YES	0	0	0	0	0
Trailer Hitch Assist HMI Logic and Flow SR24 2A (January 6 2022).pdf	16462	YES	0	0	0	0	0
Trailer Reverse Steering Control HMI Logic and Flow SR24 2Av3 (April 6 2022).pdf	13448	YES	0	0	0	0	0
Trailer Settings HMI Logic and Flow SR24 2Av2 (February 1 2022).pdf	22300	YES	0	0	0	0	0
Trailer Tow Pages HMI Logic and Flow R2 SR25 v3 (April 8 2024).pdf	13451	YES	0	0	0	0	0
Trip information HMI Logic and Flow R1 SR24 1A (June 01 2021).pdf	14573	YES	0	0	0	0	0
Turn Signal Activated Blind Spot View HMI Logic & Flow R1 SR24 post 2A v3 (November 11, 2022).pdf	12469	YES	0	0	0	0	0
Tutorials HMI Logic and Flow R1 SR24 Post 2A CR22839 (March 20 2023).pdf	5440	YES	0	0	0	0	0
VR Command Reference Tables R1 SR25 CR 24485 (August 9, 2023).xlsx	5076190	YES	0	0	0	0	0
Vehicle Category HMI Logic and Flow R1 SR24 Post 2A (December 27 2023).pdf	18882	YES	0	0	0	0	0
Virtual Wall and Full Virtual Wall HMI Logic and Flow SR24 1A (June 1st 2021).pdf	18383	YES	0	0	0	0	0
WiFi Purchase & Data Management HMI Logic and Flow R1 SR24 1A (June 21 2021).pdf	3666	YES	0	0	0	0	0
