tc_id	swe1_id	field	placeholder	dr_token	source_anchor	class
NR1L-DIAG-023	SWE1-Diagnostics-015	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4939959	TOOL_RESOLVED
NR1L-DIAG-024	SWE1-Diagnostics-016	expected_result	<frequency step of the currently tuned station byte>	DR-DIAG-5	CFTS004-4939949	TOOL_RESOLVED
NR1L-DIAG-026	SWE1-Diagnostics-017	test_procedure	<unsupported DID>	DR-DIAG-6	CFTS004-4939949	TOOL_RESOLVED
NR1L-DIAG-027	SWE1-Diagnostics-018	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4939949	TOOL_RESOLVED
NR1L-DIAG-027	SWE1-Diagnostics-018	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4939949	TOOL_RESOLVED
NR1L-DIAG-028	SWE1-Diagnostics-019	expected_result	<seek status byte>	DR-DIAG-5	CFTS004-4939946	TOOL_RESOLVED
NR1L-DIAG-030	SWE1-Diagnostics-020	test_procedure	<unsupported DID>	DR-DIAG-6	CFTS004-4939946	TOOL_RESOLVED
NR1L-DIAG-031	SWE1-Diagnostics-021	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4939946	TOOL_RESOLVED
NR1L-DIAG-031	SWE1-Diagnostics-021	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4939946	TOOL_RESOLVED
NR1L-DIAG-032	SWE1-Diagnostics-022	expected_result	<signal quality record>	DR-DIAG-5	CFTS004-4939809	TOOL_RESOLVED
NR1L-DIAG-034	SWE1-Diagnostics-023	test_procedure	<unsupported DID>	DR-DIAG-6	CFTS004-4939809	TOOL_RESOLVED
NR1L-DIAG-035	SWE1-Diagnostics-024	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4939809	TOOL_RESOLVED
NR1L-DIAG-035	SWE1-Diagnostics-024	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4939809	TOOL_RESOLVED
NR1L-DIAG-036	SWE1-Diagnostics-025	expected_result	<signal quality record>	DR-DIAG-5	CFTS004-4939822	TOOL_RESOLVED
NR1L-DIAG-038	SWE1-Diagnostics-026	test_procedure	<unsupported DID>	DR-DIAG-6	CFTS004-4939822	TOOL_RESOLVED
NR1L-DIAG-039	SWE1-Diagnostics-027	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4939822	TOOL_RESOLVED
NR1L-DIAG-039	SWE1-Diagnostics-027	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4939822	TOOL_RESOLVED
NR1L-DIAG-040	SWE1-Diagnostics-028	expected_result	<signal quality record>	DR-DIAG-5	CFTS004-4939808	TOOL_RESOLVED
NR1L-DIAG-041	SWE1-Diagnostics-028	expected_result	<signal quality record>	DR-DIAG-5	CFTS004-4939808	TOOL_RESOLVED
NR1L-DIAG-042	SWE1-Diagnostics-028	expected_result	<signal quality record>	DR-DIAG-5	CFTS004-4939808	TOOL_RESOLVED
NR1L-DIAG-043	SWE1-Diagnostics-028	expected_result	<signal quality record>	DR-DIAG-5	CFTS004-4939808	TOOL_RESOLVED
NR1L-DIAG-044	SWE1-Diagnostics-028	expected_result	<signal quality record>	DR-DIAG-5	CFTS004-4939808	TOOL_RESOLVED
NR1L-DIAG-046	SWE1-Diagnostics-029	test_procedure	<unsupported DID>	DR-DIAG-6	CFTS004-4939808	TOOL_RESOLVED
NR1L-DIAG-047	SWE1-Diagnostics-030	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4939808	TOOL_RESOLVED
NR1L-DIAG-047	SWE1-Diagnostics-030	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4939808	TOOL_RESOLVED
NR1L-DIAG-048	SWE1-Diagnostics-031	expected_result	<SDAR station selection byte>	DR-DIAG-5	CFTS004-4940351	TOOL_RESOLVED
NR1L-DIAG-048	SWE1-Diagnostics-031	test_procedure	<controlState for "SDAR station selection">	DR-DIAG-4	CFTS004-4940351	TOOL_RESOLVED
NR1L-DIAG-050	SWE1-Diagnostics-032	test_procedure	<out-of-range controlState>	DR-DIAG-4	CFTS004-4940351	TOOL_RESOLVED
NR1L-DIAG-051	SWE1-Diagnostics-033	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940351	TOOL_RESOLVED
NR1L-DIAG-051	SWE1-Diagnostics-033	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940351	TOOL_RESOLVED
NR1L-DIAG-052	SWE1-Diagnostics-034	test_procedure	<controlState for "invalid station number">	DR-DIAG-4	CFTS004-4940351	TOOL_RESOLVED
NR1L-DIAG-053	SWE1-Diagnostics-035	expected_result	<tuned frequency byte>	DR-DIAG-5	CFTS004-4940337	TOOL_RESOLVED
NR1L-DIAG-053	SWE1-Diagnostics-035	test_procedure	<controlState for "tuned frequency">	DR-DIAG-4	CFTS004-4940337	TOOL_RESOLVED
NR1L-DIAG-054	SWE1-Diagnostics-035	expected_result	<frequency step size of the current band>	DR-DIAG-5	CFTS004-4940337	TOOL_RESOLVED
NR1L-DIAG-054	SWE1-Diagnostics-035	expected_result	<starting frequency of the current band>	DR-DIAG-5	CFTS004-4940337	TOOL_RESOLVED
NR1L-DIAG-054	SWE1-Diagnostics-035	expected_result	<step number sent in the command>	DR-DIAG-4	CFTS004-4940337	TOOL_RESOLVED
NR1L-DIAG-054	SWE1-Diagnostics-035	expected_result	<tuned frequency byte>	DR-DIAG-5	CFTS004-4940337	TOOL_RESOLVED
NR1L-DIAG-054	SWE1-Diagnostics-035	test_procedure	<controlState for "tuned frequency">	DR-DIAG-4	CFTS004-4940337	TOOL_RESOLVED
NR1L-DIAG-056	SWE1-Diagnostics-036	test_procedure	<out-of-range controlState>	DR-DIAG-4	CFTS004-4940337	TOOL_RESOLVED
NR1L-DIAG-057	SWE1-Diagnostics-037	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940337	TOOL_RESOLVED
NR1L-DIAG-057	SWE1-Diagnostics-037	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940337	TOOL_RESOLVED
NR1L-DIAG-058	SWE1-Diagnostics-038	expected_result	<seek status byte>	DR-DIAG-5	CFTS004-4940334	TOOL_RESOLVED
NR1L-DIAG-058	SWE1-Diagnostics-038	test_procedure	<controlState for "seek status">	DR-DIAG-4	CFTS004-4940334	TOOL_RESOLVED
NR1L-DIAG-059	SWE1-Diagnostics-038	expected_result	<seek status byte>	DR-DIAG-5	CFTS004-4940334	TOOL_RESOLVED
NR1L-DIAG-061	SWE1-Diagnostics-039	test_procedure	<out-of-range controlState>	DR-DIAG-4	CFTS004-4940334	TOOL_RESOLVED
NR1L-DIAG-062	SWE1-Diagnostics-040	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940334	TOOL_RESOLVED
NR1L-DIAG-062	SWE1-Diagnostics-040	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940334	TOOL_RESOLVED
NR1L-DIAG-063	SWE1-Diagnostics-041	expected_result	<seek status byte>	DR-DIAG-5	CFTS004-4940333	TOOL_RESOLVED
NR1L-DIAG-063	SWE1-Diagnostics-041	test_procedure	<controlState for "seek status">	DR-DIAG-4	CFTS004-4940333	TOOL_RESOLVED
NR1L-DIAG-065	SWE1-Diagnostics-042	test_procedure	<out-of-range controlState>	DR-DIAG-4	CFTS004-4940333	TOOL_RESOLVED
NR1L-DIAG-066	SWE1-Diagnostics-043	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940333	TOOL_RESOLVED
NR1L-DIAG-066	SWE1-Diagnostics-043	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940333	TOOL_RESOLVED
NR1L-DIAG-067	SWE1-Diagnostics-044	expected_result	<Mode 2 Entertainment audio source byte>	DR-DIAG-5	CFTS004-4939952	TOOL_RESOLVED
NR1L-DIAG-069	SWE1-Diagnostics-045	test_procedure	<unsupported DID>	DR-DIAG-6	CFTS004-4939952	TOOL_RESOLVED
NR1L-DIAG-070	SWE1-Diagnostics-046	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4939952	TOOL_RESOLVED
NR1L-DIAG-070	SWE1-Diagnostics-046	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4939952	TOOL_RESOLVED
NR1L-DIAG-071	SWE1-Diagnostics-047	expected_result	<speaker quadrant byte>	DR-DIAG-5	CFTS004-4939941	TOOL_RESOLVED
NR1L-DIAG-073	SWE1-Diagnostics-048	test_procedure	<unsupported DID>	DR-DIAG-6	CFTS004-4939942	TOOL_RESOLVED
NR1L-DIAG-075	SWE1-Diagnostics-050	expected_result	<Buzzer output status byte>	DR-DIAG-5	CFTS004-4939938	TOOL_RESOLVED
NR1L-DIAG-076	SWE1-Diagnostics-051	expected_result	<Aux input detect switch byte>	DR-DIAG-5	CFTS004-4939923	TOOL_RESOLVED
NR1L-DIAG-077	SWE1-Diagnostics-051	expected_result	<Aux input detect switch byte>	DR-DIAG-5	CFTS004-4939923	TOOL_RESOLVED
NR1L-DIAG-078	SWE1-Diagnostics-052	expected_result	<Cabin EQ Curve Number byte>	DR-DIAG-5	CFTS004-4939689	TOOL_RESOLVED
NR1L-DIAG-079	SWE1-Diagnostics-052	expected_result	<Cabin EQ Curve Number byte>	DR-DIAG-5	CFTS004-4939689	TOOL_RESOLVED
NR1L-DIAG-079	SWE1-Diagnostics-052	test_procedure	<Cabin EQ Curve Number byte>	DR-DIAG-5	CFTS004-4939689	TOOL_RESOLVED
NR1L-DIAG-080	SWE1-Diagnostics-053	expected_result	<Automated Loudness setting byte>	DR-DIAG-5	CFTS004-4939685	TOOL_RESOLVED
NR1L-DIAG-081	SWE1-Diagnostics-053	expected_result	<Automated Loudness setting byte>	DR-DIAG-5	CFTS004-4939685	TOOL_RESOLVED
NR1L-DIAG-081	SWE1-Diagnostics-053	test_procedure	<Automated Loudness setting byte>	DR-DIAG-5	CFTS004-4939685	TOOL_RESOLVED
NR1L-DIAG-082	SWE1-Diagnostics-054	expected_result	<push button status record>	DR-DIAG-5	CFTS004-4939646	TOOL_RESOLVED
NR1L-DIAG-082	SWE1-Diagnostics-054	expected_result	<push button status record>	DR-DIAG-5	CFTS004-4939646	TOOL_RESOLVED
NR1L-DIAG-083	SWE1-Diagnostics-055	expected_result	<push button status record>	DR-DIAG-5	CFTS004-4939646	TOOL_RESOLVED
NR1L-DIAG-084	SWE1-Diagnostics-056	expected_result	<Radio Audio Output Settings byte>	DR-DIAG-5	CFTS004-4939642	TOOL_RESOLVED
NR1L-DIAG-086	SWE1-Diagnostics-058	expected_result	<Mode 2 Entertainment audio source selection byte>	DR-DIAG-5	CFTS004-4940342	TOOL_RESOLVED
NR1L-DIAG-086	SWE1-Diagnostics-058	test_procedure	<controlState for "Mode 2 Entertainment audio source selection">	DR-DIAG-4	CFTS004-4940342	TOOL_RESOLVED
NR1L-DIAG-088	SWE1-Diagnostics-059	test_procedure	<out-of-range controlState>	DR-DIAG-4	CFTS004-4940342	TOOL_RESOLVED
NR1L-DIAG-089	SWE1-Diagnostics-060	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940342	TOOL_RESOLVED
NR1L-DIAG-089	SWE1-Diagnostics-060	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940342	TOOL_RESOLVED
NR1L-DIAG-090	SWE1-Diagnostics-061	expected_result	<Mode 1 Information audio source selection byte>	DR-DIAG-5	CFTS004-4940341	TOOL_RESOLVED
NR1L-DIAG-090	SWE1-Diagnostics-061	test_procedure	<controlState for "Mode 1 Information audio source selection">	DR-DIAG-4	CFTS004-4940341	TOOL_RESOLVED
NR1L-DIAG-092	SWE1-Diagnostics-062	test_procedure	<out-of-range controlState>	DR-DIAG-4	CFTS004-4940341	TOOL_RESOLVED
NR1L-DIAG-093	SWE1-Diagnostics-063	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940341	TOOL_RESOLVED
NR1L-DIAG-093	SWE1-Diagnostics-063	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940341	TOOL_RESOLVED
NR1L-DIAG-094	SWE1-Diagnostics-064	expected_result	<fade control step byte>	DR-DIAG-5	CFTS004-4940326	TOOL_RESOLVED
NR1L-DIAG-094	SWE1-Diagnostics-064	test_procedure	<controlState for "fade control step = 9 front">	DR-DIAG-4	CFTS004-4940326	TOOL_RESOLVED
NR1L-DIAG-095	SWE1-Diagnostics-064	expected_result	<fade control step byte>	DR-DIAG-5	CFTS004-4940326	TOOL_RESOLVED
NR1L-DIAG-095	SWE1-Diagnostics-064	test_procedure	<controlState for "fade control step = 9 rear">	DR-DIAG-4	CFTS004-4940326	TOOL_RESOLVED
NR1L-DIAG-096	SWE1-Diagnostics-064	test_procedure	<controlState for "fade control step = 10 front">	DR-DIAG-4	CFTS004-4940326	TOOL_RESOLVED
NR1L-DIAG-097	SWE1-Diagnostics-064	test_procedure	<controlState for "fade control step = 10 rear">	DR-DIAG-4	CFTS004-4940326	TOOL_RESOLVED
NR1L-DIAG-098	SWE1-Diagnostics-065	expected_result	<fade control step byte>	DR-DIAG-5	CFTS004-4940325	TOOL_RESOLVED
NR1L-DIAG-098	SWE1-Diagnostics-065	test_procedure	<controlState for "fade control step">	DR-DIAG-4	CFTS004-4940325	TOOL_RESOLVED
NR1L-DIAG-099	SWE1-Diagnostics-066	expected_result	<balance control step byte>	DR-DIAG-5	CFTS004-4940322	TOOL_RESOLVED
NR1L-DIAG-099	SWE1-Diagnostics-066	test_procedure	<controlState for "balance control step = 9 left">	DR-DIAG-4	CFTS004-4940322	TOOL_RESOLVED
NR1L-DIAG-100	SWE1-Diagnostics-066	expected_result	<balance control step byte>	DR-DIAG-5	CFTS004-4940322	TOOL_RESOLVED
NR1L-DIAG-100	SWE1-Diagnostics-066	test_procedure	<controlState for "balance control step = 9 right">	DR-DIAG-4	CFTS004-4940322	TOOL_RESOLVED
NR1L-DIAG-101	SWE1-Diagnostics-066	test_procedure	<controlState for "balance control step = 10 left">	DR-DIAG-4	CFTS004-4940322	TOOL_RESOLVED
NR1L-DIAG-102	SWE1-Diagnostics-066	test_procedure	<controlState for "balance control step = 10 right">	DR-DIAG-4	CFTS004-4940322	TOOL_RESOLVED
NR1L-DIAG-103	SWE1-Diagnostics-067	expected_result	<balance control step byte>	DR-DIAG-5	CFTS004-4940321	TOOL_RESOLVED
NR1L-DIAG-103	SWE1-Diagnostics-067	test_procedure	<controlState for "balance control step">	DR-DIAG-4	CFTS004-4940321	TOOL_RESOLVED
NR1L-DIAG-104	SWE1-Diagnostics-068	expected_result	<treble tone control step byte>	DR-DIAG-5	CFTS004-4940318	TOOL_RESOLVED
NR1L-DIAG-104	SWE1-Diagnostics-068	test_procedure	<controlState for "treble tone control step = -9">	DR-DIAG-4	CFTS004-4940318	TOOL_RESOLVED
NR1L-DIAG-105	SWE1-Diagnostics-068	expected_result	<treble tone control step byte>	DR-DIAG-5	CFTS004-4940318	TOOL_RESOLVED
NR1L-DIAG-105	SWE1-Diagnostics-068	test_procedure	<controlState for "treble tone control step = +9">	DR-DIAG-4	CFTS004-4940318	TOOL_RESOLVED
NR1L-DIAG-106	SWE1-Diagnostics-069	expected_result	<treble tone control step byte>	DR-DIAG-5	CFTS004-4940317	TOOL_RESOLVED
NR1L-DIAG-106	SWE1-Diagnostics-069	test_procedure	<controlState for "treble tone control step">	DR-DIAG-4	CFTS004-4940317	TOOL_RESOLVED
NR1L-DIAG-107	SWE1-Diagnostics-070	expected_result	<treble tone control step byte>	DR-DIAG-5	CFTS004-4940316	TOOL_RESOLVED
NR1L-DIAG-107	SWE1-Diagnostics-070	test_procedure	<controlState for "treble tone control step">	DR-DIAG-4	CFTS004-4940316	TOOL_RESOLVED
NR1L-DIAG-109	SWE1-Diagnostics-071	test_procedure	<out-of-range controlState>	DR-DIAG-4	CFTS004-4940316	TOOL_RESOLVED
NR1L-DIAG-110	SWE1-Diagnostics-072	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940316	TOOL_RESOLVED
NR1L-DIAG-110	SWE1-Diagnostics-072	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940316	TOOL_RESOLVED
NR1L-DIAG-111	SWE1-Diagnostics-073	expected_result	<bass tone control step byte>	DR-DIAG-5	CFTS004-4940314	TOOL_RESOLVED
NR1L-DIAG-111	SWE1-Diagnostics-073	test_procedure	<controlState for "bass tone control step = -9">	DR-DIAG-4	CFTS004-4940314	TOOL_RESOLVED
NR1L-DIAG-112	SWE1-Diagnostics-073	expected_result	<bass tone control step byte>	DR-DIAG-5	CFTS004-4940314	TOOL_RESOLVED
NR1L-DIAG-112	SWE1-Diagnostics-073	test_procedure	<controlState for "bass tone control step = +9">	DR-DIAG-4	CFTS004-4940314	TOOL_RESOLVED
NR1L-DIAG-114	SWE1-Diagnostics-074	test_procedure	<out-of-range controlState>	DR-DIAG-4	CFTS004-4940314	TOOL_RESOLVED
NR1L-DIAG-115	SWE1-Diagnostics-075	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940314	TOOL_RESOLVED
NR1L-DIAG-115	SWE1-Diagnostics-075	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940314	TOOL_RESOLVED
NR1L-DIAG-116	SWE1-Diagnostics-076	expected_result	<bass tone control step byte>	DR-DIAG-5	CFTS004-4940313	TOOL_RESOLVED
NR1L-DIAG-116	SWE1-Diagnostics-076	test_procedure	<controlState for "bass tone control step">	DR-DIAG-4	CFTS004-4940313	TOOL_RESOLVED
NR1L-DIAG-118	SWE1-Diagnostics-077	test_procedure	<out-of-range controlState>	DR-DIAG-4	CFTS004-4940313	TOOL_RESOLVED
NR1L-DIAG-119	SWE1-Diagnostics-078	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940313	TOOL_RESOLVED
NR1L-DIAG-119	SWE1-Diagnostics-078	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940313	TOOL_RESOLVED
NR1L-DIAG-120	SWE1-Diagnostics-079	expected_result	<bass tone control step byte>	DR-DIAG-5	CFTS004-4940312	TOOL_RESOLVED
NR1L-DIAG-120	SWE1-Diagnostics-079	test_procedure	<controlState for "bass tone control step">	DR-DIAG-4	CFTS004-4940312	TOOL_RESOLVED
NR1L-DIAG-122	SWE1-Diagnostics-080	test_procedure	<out-of-range controlState>	DR-DIAG-4	CFTS004-4940312	TOOL_RESOLVED
NR1L-DIAG-123	SWE1-Diagnostics-081	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940312	TOOL_RESOLVED
NR1L-DIAG-123	SWE1-Diagnostics-081	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940312	TOOL_RESOLVED
NR1L-DIAG-124	SWE1-Diagnostics-082	expected_result	<volume step byte>	DR-DIAG-5	CFTS004-4940310	TOOL_RESOLVED
NR1L-DIAG-124	SWE1-Diagnostics-082	test_procedure	<controlState for "volume step = 0">	DR-DIAG-4	CFTS004-4940310	TOOL_RESOLVED
NR1L-DIAG-125	SWE1-Diagnostics-082	expected_result	<volume step byte>	DR-DIAG-5	CFTS004-4940310	TOOL_RESOLVED
NR1L-DIAG-125	SWE1-Diagnostics-082	test_procedure	<controlState for "volume step = 38">	DR-DIAG-4	CFTS004-4940310	TOOL_RESOLVED
NR1L-DIAG-127	SWE1-Diagnostics-083	test_procedure	<out-of-range controlState>	DR-DIAG-4	CFTS004-4940310	TOOL_RESOLVED
NR1L-DIAG-128	SWE1-Diagnostics-084	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940310	TOOL_RESOLVED
NR1L-DIAG-128	SWE1-Diagnostics-084	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940310	TOOL_RESOLVED
NR1L-DIAG-129	SWE1-Diagnostics-085	expected_result	<volume step byte>	DR-DIAG-5	CFTS004-4940309	TOOL_RESOLVED
NR1L-DIAG-129	SWE1-Diagnostics-085	test_procedure	<controlState for "volume step">	DR-DIAG-4	CFTS004-4940309	TOOL_RESOLVED
NR1L-DIAG-131	SWE1-Diagnostics-086	test_procedure	<out-of-range controlState>	DR-DIAG-4	CFTS004-4940309	TOOL_RESOLVED
NR1L-DIAG-132	SWE1-Diagnostics-087	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940309	TOOL_RESOLVED
NR1L-DIAG-132	SWE1-Diagnostics-087	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940309	TOOL_RESOLVED
NR1L-DIAG-133	SWE1-Diagnostics-088	expected_result	<volume step byte>	DR-DIAG-5	CFTS004-4940308	TOOL_RESOLVED
NR1L-DIAG-133	SWE1-Diagnostics-088	test_procedure	<controlState for "volume step">	DR-DIAG-4	CFTS004-4940308	TOOL_RESOLVED
NR1L-DIAG-135	SWE1-Diagnostics-089	test_procedure	<out-of-range controlState>	DR-DIAG-4	CFTS004-4940308	TOOL_RESOLVED
NR1L-DIAG-136	SWE1-Diagnostics-090	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940308	TOOL_RESOLVED
NR1L-DIAG-136	SWE1-Diagnostics-090	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940308	TOOL_RESOLVED
NR1L-DIAG-137	SWE1-Diagnostics-091	expected_result	<speaker quadrant byte>	DR-DIAG-5	CFTS004-4940305	TOOL_RESOLVED
NR1L-DIAG-137	SWE1-Diagnostics-091	test_procedure	<controlState for "Rear Right speaker">	DR-DIAG-4	CFTS004-4940305	TOOL_RESOLVED
NR1L-DIAG-139	SWE1-Diagnostics-092	test_procedure	<out-of-range controlState>	DR-DIAG-4	CFTS004-4940305	TOOL_RESOLVED
NR1L-DIAG-140	SWE1-Diagnostics-093	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940305	TOOL_RESOLVED
NR1L-DIAG-140	SWE1-Diagnostics-093	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940305	TOOL_RESOLVED
NR1L-DIAG-141	SWE1-Diagnostics-094	expected_result	<speaker quadrant byte>	DR-DIAG-5	CFTS004-4940304	TOOL_RESOLVED
NR1L-DIAG-141	SWE1-Diagnostics-094	test_procedure	<controlState for "Rear Left speaker">	DR-DIAG-4	CFTS004-4940304	TOOL_RESOLVED
NR1L-DIAG-143	SWE1-Diagnostics-095	test_procedure	<out-of-range controlState>	DR-DIAG-4	CFTS004-4940304	TOOL_RESOLVED
NR1L-DIAG-144	SWE1-Diagnostics-096	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940304	TOOL_RESOLVED
NR1L-DIAG-144	SWE1-Diagnostics-096	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940304	TOOL_RESOLVED
NR1L-DIAG-145	SWE1-Diagnostics-097	test_procedure	<controlState for "speaker output">	DR-DIAG-4	CFTS004-4940297	TOOL_RESOLVED
NR1L-DIAG-147	SWE1-Diagnostics-098	test_procedure	<out-of-range controlState>	DR-DIAG-4	CFTS004-4940300	TOOL_RESOLVED
NR1L-DIAG-148	SWE1-Diagnostics-099	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940300	TOOL_RESOLVED
NR1L-DIAG-148	SWE1-Diagnostics-099	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940300	TOOL_RESOLVED
NR1L-DIAG-149	SWE1-Diagnostics-100	expected_result	<speaker quadrant byte>	DR-DIAG-5	CFTS004-4940303	TOOL_RESOLVED
NR1L-DIAG-149	SWE1-Diagnostics-100	test_procedure	<controlState for "Front Right speaker">	DR-DIAG-4	CFTS004-4940303	TOOL_RESOLVED
NR1L-DIAG-151	SWE1-Diagnostics-101	test_procedure	<out-of-range controlState>	DR-DIAG-4	CFTS004-4940303	TOOL_RESOLVED
NR1L-DIAG-152	SWE1-Diagnostics-102	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940303	TOOL_RESOLVED
