# source_sha256	d9a16eed89203e4c110fd4882f84124c4e6c86654ef3bc2cc6d99732456e2e11	 sheet	Basic Report
ID	Space / Document	Outline Number	Description	SYSRE_HMI_Source ID	Type	_polarion
NRL-168276	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	3.2.2	CNA2.) Audio ducking: While Text Message and Apps TTS are playing, the audio of the currently playing audio source will be muted (if Media it will also be paused).	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_3.2.2	SYSRE_HMI	NR1L/NRL-168276
NRL-168277	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	3.3	Lockouts	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_3.3	SYSRE_HMI	NR1L/NRL-168277
NRL-168278	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	3.3.1	CNL1.) Lockout while in Motion: If a feature or function is locked out while the vehicle is in motion, its access point shall be greyed out, and provide the "Function not available while vehicle is in motion" popup (PU0091) along with rejection tone. An exception to this rule is the messaging button for vehicles with embedded cell, where the messaging button remains available while the vehicle is in motion to provide haptic access to VR SMS dictation (see Phone Logic and Flow).	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_3.3.1	SYSRE_HMI	NR1L/NRL-168278
NRL-168279	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	3.3.2	CNL2.) If a speller is blocked, the button to access to that speller is greyed out while in motion. If the speller is already up while the vehicle is in motion, all speller buttons are greyed out except for close and go/enter. Text shown in previous keyboard area stating "Keyboard unavailable while vehicle is in motion. Press 'OK' to accept current entry". Replace OK in these instructions with label of OK/Enter button.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_3.3.2	SYSRE_HMI	NR1L/NRL-168279
NRL-168280	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	4	Radio Variants	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_4	SYSRE_HMI	NR1L/NRL-168280
NRL-168281	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	4.1	Graphics are examples. Sizes and aspect ratios are not true representations._x000D_\n (image: %E5%9C%96%E7%89%87_2068366350.png) 	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_4.1	SYSRE_HMI	NR1L/NRL-168281
NRL-168282	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	5	General Popup Behavior	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_5	SYSRE_HMI	NR1L/NRL-168282
NRL-168283	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	5.1	Examples of Popups_x000D_\n- See HM/ Popup List Priority Matrix for popup priorities_x000D_\n- See HM/ Popup List for all popup text strings/timeouts/exit conditions/templates/use cases if not covered in a specific feature logic and flow_x000D_\n (image: %E5%9C%96%E7%89%87_318074574.png) 	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_5.1	SYSRE_HMI	NR1L/NRL-168283
NRL-168284	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	5.2	Examples of Items That Are Not A Popup_x000D_\n (image: %E5%9C%96%E7%89%87_947002143.png) 	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_5.2	SYSRE_HMI	NR1L/NRL-168284
NRL-168285	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	5.3	GP1.) The 7" low radio will not have medium popup templates, but all other radio variants will.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_5.3	SYSRE_HMI	NR1L/NRL-168285
NRL-168286	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	5.4	GP2.) For Android Dialogs, to meet CCD requirements for certification, large popup templates are to be used, and have a priority 2. For Android Toasts, small templates should be used and have a priority of 1.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_5.4	SYSRE_HMI	NR1L/NRL-168286
NRL-168287	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	5.5	GP3.) If a button opens a custom pop up (example: Status Bar Temperature/Comfort Controls Popup), pressing the button a second time will close the popup.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_5.5	SYSRE_HMI	NR1L/NRL-168287
NRL-168288	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	5.6	GP4.) Pop-ups can be closed in the following ways: 1) after time-out (timeout is defined in Pop-up List document), 2) after pressing button that opened pop-up again (eg. Tracks popups), 3) when touching screen outside of pop-up 4) after making a selection inside the pop-up (if applicable; exceptions when the popup allows the user to perform more than 1 task- e.g in the search keyboard only X button 'close', any other buttons do not close the popup).	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_5.6	SYSRE_HMI	NR1L/NRL-168288
NRL-168289	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	6	Mute	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_6	SYSRE_HMI	NR1L/NRL-168289
NRL-168290	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	6.1	Mute Table – General_x000D_\nNote | Function | Action_x000D_\nMTG1 | Pressing Mute | Unmute System_x000D_\nMTG2 | Pressing Audio (In Radio/Media screens) | Stay Muted_x000D_\nMTG3 | Changing Audio Settings | Stay Muted_x000D_\nMTG4 | Pressing Power Button Off/On | Unmute System_x000D_\nMTG5 | Ignition Off/On | Unmute System_x000D_\nMTG6 | Traffic Announcement | Stay Muted_x000D_\nMTG? | Adjusting the Volume | Unmute System	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_6.1	SYSRE_HMI	NR1L/NRL-168290
NRL-168291	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	6.2	Mute Table – Navigation_x000D_\nNote | Function | Action_x000D_\nMTN1 | Pressing Navigation (Main Category Control) | Stay Muted	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_6.2	SYSRE_HMI	NR1L/NRL-168291
NRL-168292	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	6.3	Mute Table -Phone_x000D_\nNote | Function | Action_x000D_\nMTP1 | Disconnect Device | Stay Muted_x000D_\nMTP2 | Pressing Phone Domain | Stay Muted_x000D_\nMTP3 | Ending Call that was muted | Unmute System	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_6.3	SYSRE_HMI	NR1L/NRL-168292
NRL-168293	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	6.4	Mute Table -Media_x000D_\nNote | Function | Action_x000D_\nMlM1 | Pressing Seek | Unmute System_x000D_\nMlM2 | Pressing Direct Tune or VR Direct Tune | Unmute System_x000D_\nMlM3 | Turning Tune Knob | Unmute System_x000D_\nMlM4 | Pressing a Preset/Switching Presets | Unmute System_x000D_\nMlM5 | Selecting Item from Browse Menu (within Radio/Media) | Unmute System_x000D_\nMlM6 | Entering in to Radio Browse/Menu Browse.... | Stay Muted_x000D_\nMlM7 | Scrolling in Browse with Tune knob | Stay Muted_x000D_\nMlM8 | Press Play (while audio is paused) | Unmute System_x000D_\nMlM9 | Using the Slider to Fast Forward/Rewind | Unmute System_x000D_\nMlM10 | Pressing Fast Forward/Rewind | Unmute System_x000D_\nMlM11 | Instant Replay | Unmute System_x000D_\nMlM12 | DVD Functions | TBD_x000D_\nMlM13 | Listen In (RSE) | Unmute System_x000D_\nMlM14 | Source Changing/Using VR to Change Source | Unmute System_x000D_\nMlM15 | Pressing Repeat | Stay Muted_x000D_\nMlM16 | Pressing Shuffle | Stay Muted_x000D_\nMlM17 | Selecting from Track List | Unmute System_x000D_\nMlM18 | Adjusting Tune from Song/Artist Alert | Unmute System_x000D_\nMlM19 | Adjusting Tune from Gamezone Alert | Unmute System_x000D_\nMlM20 | Starting a Music App (Pandora, iHeart, etc.) (using VR or through head unit) | Unmute System	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_6.4	SYSRE_HMI	NR1L/NRL-168293
NRL-168294	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	6.5	M1.) The Action column in this table represents what will happen when the button, steering wheel control, or soft control for the stated function on the left is pressed while the system is MUTED.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_6.5	SYSRE_HMI	NR1L/NRL-168294
NRL-168295	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	6.6	M2.) Mute does not mute Phone, VR, Navigation Turn by Turn (Orr-board Nav & CP/AA), or E-Call/R-Call	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_6.6	SYSRE_HMI	NR1L/NRL-168295
NRL-168296	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	6.7	M3.) When Mute is activated an icon is displayed in the Status Bar, once mute is deactivated the icon will be removed.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_6.7	SYSRE_HMI	NR1L/NRL-168296
NRL-168297	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	6.8	Mute applies to the following audio sources: Tuner, Media, Apps. If Media is the active source, the current track is paused when MUTE is activated and unpaused when MUTE is deactivated. See Mute Table for what actions will deactivate Mute._x000D_\n (image: %E5%9C%96%E7%89%87_1488352540.png) 	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_6.8	SYSRE_HMI	NR1L/NRL-168297
NRL-168298	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	6.9	AO1.) When pressing the Mute hard control, audio is muted, a symbol will be displayed in the Status-Alert Box in the Status Bar and the text, "Audio Muted" is displayed. No other screen changes will be made. Pressing the mute hard control again to unmute does not display a pop-up or message. If in player mode (except AUX) the music will also pause when mute is activated, same with Replay mode for SAT radio.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_6.9	SYSRE_HMI	NR1L/NRL-168298
NRL-168299	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	6.10	AO2.) While in an active phone call, if mute is pressed it will act the same as pressing the soft control and highlight the mute button. 	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_6.10	SYSRE_HMI	NR1L/NRL-168299
NRL-168300	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	6.10.1	AO2.1) If the phone microphone is muted during an active native HFP phone call (not applicable for projection calls - AA/CP), display the muted microphone symbol in place of the profile image in the call timer area in the status bar. The contact name and call timer will stay in the same location. This area is pressable and follows the same highlighting strategy as an active call. Pressing this area takes the user to the phone Current Call screen	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_6.10.1	SYSRE_HMI	NR1L/NRL-168300
NRL-168301	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	6.11	AO3.) If the user makes an action while muted, the table will indicate whether the system will unmute the audio or continue i7 the mute state.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_6.11	SYSRE_HMI	NR1L/NRL-168301
NRL-168302	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	6.12	AO4.) When the system becomes unmuted, the mute icon will be removed from the Status Bar. The system will begin playing audio and return to previous volume, except when Mute status is exited by turning the volume knob clockwise or counterclockwise. The user will then begin at volume +1 or-1 of their previous volume, respectively. 	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_6.12	SYSRE_HMI	NR1L/NRL-168302
NRL-168303	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	6.13	AO5.) Audio adjustments such as bass, treble, bal, and fade are able to be altered while mute is active.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_6.13	SYSRE_HMI	NR1L/NRL-168303
NRL-168304	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	6.14	AO6.) For use cases where audio is not available (FM station not available or SXM Acquiring Signal) or audio cannot be played (File error for Media, active source is not connected) volume is not able to be adjusted. Turning the volume knob will not effect the system and will display PU1529, <X> or timeout will close the popup.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_6.14	SYSRE_HMI	NR1L/NRL-168304
NRL-168305	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	6.15	AO7.) User will not be placed in mute status if turning the volume down to zero. The music will not be paused.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_6.15	SYSRE_HMI	NR1L/NRL-168305
NRL-168306	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	6.16	AO8.) If receiving an incoming call and the user presses mute on the hard control or in the touch screen, the ringtone will be muted and the Mute button will be highlighted. If the user answers the call, the call will not be muted.	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_6.16	SYSRE_HMI	NR1L/NRL-168306
NRL-168307	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	6.17	AO9.) Head unit will mute when launching app via Off Road+ or SRT (ADR) hard control from Power Button Off state (idle mode).	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_6.17	SYSRE_HMI	NR1L/NRL-168307
NRL-168308	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	7	Swipe - Gestures for Lists (up/down)	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_7	SYSRE_HMI	NR1L/NRL-168308
NRL-168309	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	7.1	Basic Description: 	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_7.1	SYSRE_HMI	NR1L/NRL-168309
NRL-168310	Requirements / SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)	7.1.1	User can swipe lists up/down or left/right	SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A_(February_2_2023)_7.1.1	SYSRE_HMI	NR1L/NRL-168310
