# source_sha256	d9a16eed89203e4c110fd4882f84124c4e6c86654ef3bc2cc6d99732456e2e11	 sheet	_polarion
					
					
Type	Label	ID	Field		
NR1L/NRL-168320	10259	b1d54f4a841c1886f211b6c41a2e872703d76858	3		0
NR1L/NRL-168321	10259	ed987d8338d7d8c18a4c0dfb97e79a7710968398	0		0
NR1L/NRL-168322	10259	aef24d9c85d1d05f950a7fb70b8956f564790255	1		0
NR1L/NRL-168323	10259	80f2848523f4d18812d597c7553b1b67bb65a7e4	2		0
NR1L/NRL-168324	10259	89786643d328463c58a6346baca805f949059198	1		0
NR1L/NRL-168325	10259	be523417051411bcf55644c7b591511aed6ac173	2		0
NR1L/NRL-168326	10259	3f391411b5e347893b0a8bdc2c1dfaca7f981755	2		0
NR1L/NRL-168327	10259	2eb1290d59222d55329995dd00027de5b1ad1f0d	1		0
NR1L/NRL-168328	10259	2b391034ee3dc7d592ff4d9d4474b01882c6ad21	1		0
NR1L/NRL-168329	10259	d992942fa00c4014de2eda4a4e1333495d9d8a8f	1		0
NR1L/NRL-168330	10259	00b73c17d280f3ca549ef6784f4294d52a5700ea	2		0
NR1L/NRL-168331	10259	3a1cf4a69fa0681236c7467043264a9f93e34c9c	3		0
NR1L/NRL-168332	10259	29646b5d96489868e38d6b1981894dd73afc1a18	3		0
NR1L/NRL-168333	10259	66bdd0753d8db4d9ff64427ddd9a2f94b951fb68	3		0
NR1L/NRL-168334	10259	364233a2f5f493c5ccf03955c1500d00abaa5472	0		0
NR1L/NRL-168335	10259	8e50fd996192649bf48c70a01b4cce08b414afa6	1		0
NR1L/NRL-168336	10259	d727d6664d620dd49a6e54290b6ae6dd0d7c5f20	2		0
NR1L/NRL-168337	10259	3636ad84b392f4f8d3cd06ba7e6ccc64fa272c50	1		0
NR1L/NRL-168338	10259	774f2e8cab494d47db4330dd82a1b1801e0f3211	2		0
NR1L/NRL-168339	10259	8e9c9e271775996366e03b9f0a8911ae4e03e74d	2		0
NR1L/NRL-168340	10259	e129ffaab0499c16d8bd59e25b7ed0a1537d6a91	2		0
NR1L/NRL-168341	10259	d354a48b8cb4a8dec3e1eaaa815b1cb943e562ce	1		0
NR1L/NRL-168342	10259	634657036702b254993c7b8da0b79f662df35055	2		0
NR1L/NRL-168343	10259	2a62cba239b429ad4db4927e7e7e97b777574229	2		0
NR1L/NRL-168344	10259	a41fdc9f2726ea91584cd091856941c1f1299076	2		0
NR1L/NRL-168345	10259	79d57e8c586cec9c3e8cfae8ae7befab371f2e1f	0		0
NR1L/NRL-168346	10259	7c633d54351152e72f54343d72ffcabad3b67488	1		0
NR1L/NRL-168347	10259	ec06a522d25b00b62081ea1b2e794dddb567c761	2		0
NR1L/NRL-168348	10259	23c2da7f805d16ef31142679e0ce5443d81cef97	1		0
NR1L/NRL-168349	10259	964eb25e851ae50279a0549bec9f928dccf9d295	1		0
NR1L/NRL-168350	10259	66b4336787cf29c605e1073978d3c8a0f788ae05	2		0
NR1L/NRL-168351	10259	62249737ee0ca320412a9fac9fbf5f30339d50b9	2		0
NR1L/NRL-168352	10259	7ad0909c5b222638c5b90377aca652eb12f67afd	2		0
NR1L/NRL-168353	10259	de8f3c141406e6f1667dfe5ee90afb9521359466	2		0
NR1L/NRL-168354	10259	0acabac72719437a409eedb711c307673129a26b	0		0
NR1L/NRL-168355	10259	9229b34dda7afe00219fc21fa2658993d5639a71	1		0
NR1L/NRL-168356	10259	65f765eb873f545acec00ad140b26c09f7fbfa13	1		0
NR1L/NRL-168357	10259	2a116977ef9caee3fac6e97a460b855840eb1081	1		0
NR1L/NRL-168358	10259	1c3c647e43edf2a25e2856a5f13ac50c1b18f836	1		0
NR1L/NRL-168359	10259	548404a47411eed73360a645220d9218c320e0fa	1		0
NR1L/NRL-168360	10259	db8df3b5a9fbc646432b23cff9c7f8e497dd440b	1		0
NR1L/NRL-168361	10259	1ae4f77c474b4655cb0b7274c963339708e9e0cf	1		0
NR1L/NRL-168362	10259	fbd78c875182fad60d23bed51e639db3bc645226	1		0
NR1L/NRL-168363	10259	d484d43999afaced0bdba273c71efb0ab346d4d5	1		0
NR1L/NRL-168364	10259	8615391a531904ed2bbd046b34b1ef47022e0bda	0		0
NR1L/NRL-168365	10259	0271c3e975eb2583fcf2919f493a7c6fe4219d1d	1		0
NR1L/NRL-168366	10259	5d0cc7965f239779a2a21884aa6077d9262b24e7	2		0
NR1L/NRL-168367	10259	4a39998532ff5b6abac8191e6a3f4e5b874e19b4	2		0
NR1L/NRL-168368	10259	c0b96c11ffac456c913b176b92040e8cc7ceaede	1		0
NR1L/NRL-168369	10259	16f65793f0acc05f2a72eb94ab79ff840b92f4ad	1		0
NR1L/NRL-168370	10259	84e4ce6bc58ba124234b3c09198b13c4c0448eea	0		0
NR1L/NRL-168371	10259	2cafe45acad59b6b4d2287dfa53415c57e3b1ae6	1		0
NR1L/NRL-168372	10259	32f055955a2fd7eab3ca5f220bdbeafe12fc0586	1		0
NR1L/NRL-168373	10259	61d472c670a640911226078e84e9596b4abc2a87	2		0
NR1L/NRL-168374	10259	67dc628711e25b6251ea97ce6289e68321f7e057	1		0
NR1L/NRL-168375	10259	09465fe09c128de290ce919f8c38d99f4470112d	0		0
NR1L/NRL-168376	10259	6061f891f73fd8061b14b4b338653f52657a30dd	1		0
NR1L/NRL-168377	10259	7441b3342ffceffd01edb4b82e9a1d52c0395770	1		0
NR1L/NRL-168378	10259	2ab0372553d5e1e39679059d6f006333b28d04ec	1		0
NR1L/NRL-168379	10259	8ce591cd18990663a3f52f68d173de2f272bbbeb	1		0
NR1L/NRL-168380	10259	26b43b2da206bb7c5837194128c298e40ebbcff4	1		0
NR1L/NRL-168381	10259	bb8b847e4690fde2e65a3b73ee4d431914ef66f0	2		0
NR1L/NRL-168382	10259	7d9b7e0cbad51d5dd7d688983d92975138bddc02	2		0
NR1L/NRL-168383	10259	aba7b55a1b49d2a93315b7cd3057c92de50db279	2		0
NR1L/NRL-168384	10259	607f63fb39cd58c55071688b7f08269352ee73ea	1		0
NR1L/NRL-168385	10259	89f3dcb8da1f8dc53505e430b167a09b128b89c4	1		0
NR1L/NRL-168386	10259	d6e579e300307570daa2495c205050a6a39f8408	1		0
NR1L/NRL-168387	10259	bc62ef8015450f8771432141785e1dd4fc6e79b8	1		0
NR1L/NRL-168388	10259	683ac84989c850d1a4f59348e390bd37d2f69400	1		0
NR1L/NRL-168389	10259	dd1bfdaae62a087b6ca3d559e098710d90ab4dd1	1		0
NR1L/NRL-168390	10259	92051b812304d0a6639e52bc0095cf5568448317	1		0
NR1L/NRL-168391	10259	4f8e714a8c622b29103ea9c4c95ae7cc2b26ac07	1		0
NR1L/NRL-168392	10259	85cf988d804ac13752066825ce569b6eff550174	1		0
NR1L/NRL-168393	10259	600b8c39d38ea5b197a1f58afbb56905a8a1f471	2		0
NR1L/NRL-168394	10259	b111fc254bea0cc4bef32c67d701243e1d6e3f35	2		0
NR1L/NRL-168395	10259	e5491824fa05bfb4b0206b81939ed4953337b8a8	1		0
NR1L/NRL-168396	10259	d4a56ff1fe50dc02692a17d35789e6b4faf62d0d	2		0
NR1L/NRL-168397	10259	2010a13dd0b32596a436324010ecd5c89a7622e4	2		0
NR1L/NRL-168398	10259	393c42ad973075a1261facc55d966ff83b518de4	2		0
NR1L/NRL-168399	10259	a0ede0a4c7ddbdee180206035cb27a3a9f9af992	2		0
NR1L/NRL-168400	10259	50f48c9a2244a06b6c88e5c8af3be4648047514d	2		0
NR1L/NRL-168401	10259	bb5e1f17fa4cec52e722a872612a41e6fef0128c	1		0
NR1L/NRL-168402	10259	a102078e4c726477cd2b1bbecdbef20b93fd7532	1		0
NR1L/NRL-168403	10259	f359d07bcff6df35abf3aaa1f534181df1262681	1		0
NR1L/NRL-168404	10259	50ac91c057998233aef5b1e11cf837ea52920aa2	1		0
NR1L/NRL-168405	10259	c980d9fa461aebf4f86c880cdb3513e079759308	1		0
NR1L/NRL-168406	10259	c3bb399854fef611170bbc7c6a048d04c7e59bb3	0		0
NR1L/NRL-168407	10259	9bea26dc49646390304fa419d06233df806655d0	1		0
NR1L/NRL-168408	10259	46a8df11634503a113bb0cb6f489620b4cc030dd	1		0
NR1L/NRL-168409	10259	e4e4bf1df35e11514026233784d26ff2a24b4c5f	1		0
NR1L/NRL-168410	10259	552625a0544b03390fc30d51acc3fabfff412ad9	1		0
NR1L/NRL-168411	10259	ab2f7802c3ecc073e973eda10d862b2ad1305018	2		0
NR1L/NRL-168412	10259	6ff0d57bf1cc0b97fb047ced312227c5eaf76b5e	1		0
NR1L/NRL-168413	10259	d6f620cb64c410e8ee24581a50d49baa1e286def	1		0
					
Property	Value				
project.id	NR1L				
testRun	false				
module.location	Requirements/SYS1_HMI_Core_HMI_Logic_and_Flow_R1_SR24_Post_2A__February_2_2023_				
allowDocumentStructureChanges	false				
editableFields					
