tc_name	hmi_candidates(row [category] parent > item (template; options))	fip_candidates	tier2_proposal	tier2_evidence
Park Sense Front Volume	r14 [1. KeySense (only disp]Front ParkSense Volume* (3 radio buttons; Low , Med , High) | r310 [4. Safety & Driving As]Front ParkSense Volume* (3 radio buttons; Low , Med , High)	No.243 Park sense event based camera view setting | No.94 Front Blower	manual	HMI r310 [4.] Front ParkSense Volume* (3 radio; Low, Med, High)
Auto On Driver Comfort - 3 Option	r96 [1. My Profile (only di]Auto-On Comfort (Auto_On_Comfort_Remote; None) | r97 [1. My Profile (only di]Auto-On Comfort (Auto_On_Comfort_No_Remote; None)	No.145 Auto on Driver Comfort | No.133 Auto on Comfort	manual	HMI r96 Auto-On Comfort (Auto_On_Comfort_Remote)；FIP No.145 回傳 2（Remote_Start Present）
Auto On Driver Comfort - 2 Option	r96 [1. My Profile (only di]Auto-On Comfort (Auto_On_Comfort_Remote; None) | r97 [1. My Profile (only di]Auto-On Comfort (Auto_On_Comfort_No_Remote; None)	No.145 Auto on Driver Comfort | No.133 Auto on Comfort	manual	HMI r97 Auto-On Comfort (Auto_On_Comfort_No_Remote)；FIP No.145 回傳 1（Remote_Start Absent）
Rearview Camera Dynamic Guidelines	r466 [13. Camera]Surround View Camera Guidelines (On/Off Checkbox; None) | r472 [13. Camera]Cargo Camera Dynamic Centerline (On/Off Checkbox; None)	No.236 Backup Camera Dynamic Guidelines | No.185 Backup Camera Guidelines	manual	FIP No.236 Backup Camera Dynamic Guidelines；HMI 13. Camera 無 "Dynamic Guidelines" 同名列，路徑段待認
Pedestrian Emergency Braking or Warning & Active Braking	r256 [4. Safety & Driving As]> Automatic Emergency Braking* > Pedestrian Emergency Braking (2 radio buttons; Off / Warning + Active Braking) | r257 [4. Safety & Driving As]Forward Collision Warning / Pedestrian Emergency Braking (On/Off Checkbox; None)	No.143 Pedestrian Emergency Braking / Warning & Active Braking | No.111 Side Distance Warning	manual	HMI r256 [4.] > Automatic Emergency Braking* > Pedestrian Emergency Braking (2 radio; Off / Warning + Active Braking)；FIP No.143
Rain Sensing Wipers	r483 [14. Mirrors & Wipers]Rain Sensing Auto Wipers* (On/Off Checkbox; None) | r484 [14. Mirrors & Wipers]Rain Sensing Auto Wipers* (None; 1/2/3/4)	No.112 Rain Sensor | No.153 Headlights with Wipers	manual	HMI r483 [14.] Rain Sensing Auto Wipers* (On/Off)；FIP No.112 Rain Sensor
Pressure Unit	r36 [1. My Profile (only di]Pressure (Unit_Pressure; None) | r167 [2. Display]> Units > Pressure (3 radio buttons; psi , kPa , bar)	No.117 Tyre Pressure - Unit | No.257 Tire Pressure	manual	HMI r167 [2. Display] > Units > Pressure (3 radio; psi, kPa, bar)；FIP No.117 Tyre Pressure - Unit
Power Liftgate/Tailgate Alert	r528 [17. Doors & Locks]Power Liftgate Alert (On/Off Checkbox; None) | r529 [17. Doors & Locks]Power Tailgate (2 radio buttons; Power / Manual)	No.157 Power Liftgate Alert | No.266 Power Tailgate	manual	HMI r528 [17.] Power Liftgate Alert (On/Off)；FIP No.157 Power Liftgate Alert（co-open: No.266 Power Tailgate，同 CAN node 82）
Traffic Sign Warning	r267 [4. Safety & Driving As]Traffic Sign Assist Warning* (3 radio buttons; Off / Visual / Visual + Chime) | r271 [4. Safety & Driving As]Traffic Sign* (>; None)	No.135 Traffic Sign Assist Warning | No.134 Traffic Sign Recognition	manual	HMI r267 [4.] Traffic Sign Assist Warning* (3 radio; Off / Visual / Visual + Chime)；FIP No.135
Charge Power Level	r533 [17. Doors & Locks]Power Trunk Roof Level (>; Level 1 - Roof Level / Level 2 - Lower Intermediate / Level 3 - Upper Intermediate / Level 4 - Full Open / Custom) | r38 [1. My Profile (only di]Power (Unit_Power; None)	No.141 Power - Unit | No.266 Power Tailgate	DR	兩表皆無候選
Rear Seat Reminder	r259 [4. Safety & Driving As]Rear Seat Alert (On/Off Checkbox; None) | r245 [3. Entertainment Scree]Rear Seat Screen Permissions (None; None)	No.240 Rear Seat Reminder Alert | No.92 Rear Mode	manual	HMI r259 [4.] Rear Seat Alert (On/Off)；FIP No.240 Rear Seat Reminder Alert
Trailer Number	r405 [12. Trailer]> Trailer 1 > Trailer Name (>; None) | r422 [12. Trailer]> Trailer 2 > Trailer Name (>; None)	No.201 Trailer Name | No.202 Trailer Selected	manual	HMI r392 起 [12. Trailer] Trailer 1/Trailer 2…；FIP No.201 Trailer Name / No.202 Trailer Selected —— 對應物待認
SWITCH 2 Type	r566 [21. Aux Switches]Type (2 radio buttons; Latching, Momentary) | r570 [21. Aux Switches]Type (2 radio buttons; Latching, Momentary)	No.267 AUX SWITCH Type | No.264 IPC type	manual	HMI r566/r570/… [21. Aux Switches] > Aux n > Type (2 radio; Latching, Momentary)
SWITCH 3 Type	r566 [21. Aux Switches]Type (2 radio buttons; Latching, Momentary) | r570 [21. Aux Switches]Type (2 radio buttons; Latching, Momentary)	No.267 AUX SWITCH Type | No.264 IPC type	manual	HMI r566/r570/… [21. Aux Switches] > Aux n > Type (2 radio; Latching, Momentary)
SWITCH 4 Type	r566 [21. Aux Switches]Type (2 radio buttons; Latching, Momentary) | r570 [21. Aux Switches]Type (2 radio buttons; Latching, Momentary)	No.267 AUX SWITCH Type | No.264 IPC type	manual	HMI r566/r570/… [21. Aux Switches] > Aux n > Type (2 radio; Latching, Momentary)
SWITCH 1 Hold Last State	r568 [21. Aux Switches]Recall Last State (On/Off Checkbox; None) | r572 [21. Aux Switches]Recall Last State (On/Off Checkbox; None)	No.267 AUX SWITCH Type | No.137 Auto Hold	manual	HMI r568/r572/… [21. Aux Switches] > Aux n > Recall Last State (On/Off)
SWITCH 2 Hold Last State	r568 [21. Aux Switches]Recall Last State (On/Off Checkbox; None) | r572 [21. Aux Switches]Recall Last State (On/Off Checkbox; None)	No.267 AUX SWITCH Type | No.137 Auto Hold	manual	HMI r568/r572/… [21. Aux Switches] > Aux n > Recall Last State (On/Off)
SWITCH 3 Hold Last State	r568 [21. Aux Switches]Recall Last State (On/Off Checkbox; None) | r572 [21. Aux Switches]Recall Last State (On/Off Checkbox; None)	No.267 AUX SWITCH Type | No.137 Auto Hold	manual	HMI r568/r572/… [21. Aux Switches] > Aux n > Recall Last State (On/Off)
SWITCH 4 Hold Last State	r568 [21. Aux Switches]Recall Last State (On/Off Checkbox; None) | r572 [21. Aux Switches]Recall Last State (On/Off Checkbox; None)	No.267 AUX SWITCH Type | No.137 Auto Hold	manual	HMI r568/r572/… [21. Aux Switches] > Aux n > Recall Last State (On/Off)
Suspension Default Ride Height	r563 [20. Suspension]Default Ride Height (2 radio buttons; Normal, Aero) | r86 [1. My Profile (only di]HUD Height (HUD_Height; None)	No.274 Suspension Default Ride Heigh | No.159 Suspension Auto Entry/Exit	manual	HMI r563 [20. Suspension] Default Ride Height (2 radio; Normal, Aero)；FIP No.274 "Suspension Default Ride Heigh"（FIP 原文缺字母）
AUX Switches	r565 [21. Aux Switches]Aux 1 (None; None) | r569 [21. Aux Switches]Aux 2 (None; None)	No.267 AUX SWITCH Type | No.5 Aux Camera 1	manual	HMI 分類 21. Aux Switches；FIP No.267
4 AUX Switches	r577 [21. Aux Switches]Aux 4 (None; None) | r565 [21. Aux Switches]Aux 1 (None; None)	No.267 AUX SWITCH Type | No.5 Aux Camera 1	manual	HMI r565–r580 Aux 1–Aux 4；FIP No.267 AUX SWITCH Type（Type1 → 4）
SWITCH 1 Power Mode	r38 [1. My Profile (only di]Power (Unit_Power; None) | r169 [2. Display]> Units > Power (3 radio buttons; HP (US) , HP (UK) , kW)	No.141 Power - Unit | No.266 Power Tailgate	manual	HMI [21. Aux Switches] > Aux 1 > Power Source (2 radio; Battery, Ignition)（r567）—— Power Mode≟Power Source 待認
SWITCH 2 Power Mode	r38 [1. My Profile (only di]Power (Unit_Power; None) | r169 [2. Display]> Units > Power (3 radio buttons; HP (US) , HP (UK) , kW)	No.141 Power - Unit | No.266 Power Tailgate	manual	HMI [21. Aux Switches] > Aux 2 > Power Source (2 radio; Battery, Ignition)（r571）—— Power Mode≟Power Source 待認
SWITCH 3 Power Mode	r38 [1. My Profile (only di]Power (Unit_Power; None) | r169 [2. Display]> Units > Power (3 radio buttons; HP (US) , HP (UK) , kW)	No.141 Power - Unit | No.266 Power Tailgate	manual	HMI [21. Aux Switches] > Aux 3 > Power Source (2 radio; Battery, Ignition)（r575）—— Power Mode≟Power Source 待認
SWITCH 4 Power Mode	r38 [1. My Profile (only di]Power (Unit_Power; None) | r169 [2. Display]> Units > Power (3 radio buttons; HP (US) , HP (UK) , kW)	No.141 Power - Unit | No.266 Power Tailgate	manual	HMI [21. Aux Switches] > Aux 4 > Power Source (2 radio; Battery, Ignition)（r579）—— Power Mode≟Power Source 待認
Suspension Service Mode	r562 [20. Suspension]Service Mode (On/Off Checkbox; None) | r510 [16. Brakes (Only show ]Brake Service (>; None)	No.273 EPB Service Mode | No.160 Suspension Tire Jack Mode	manual	HMI r562 [20. Suspension] Service Mode (On/Off)；FIP 無同名（No.273 為 EPB Service Mode，非此）
Traffic Sign Assist Offset - NAFTA Setting	r269 [4. Safety & Driving As]Traffic Sign Assist Offset (-/+ selector with value in middle; 0-10 (kph) / 0-5 (mph)) | r270 [4. Safety & Driving As]Traffic Sign Assist Offset (-/+ selector with value in middle; 0-10 (mph) / 0-15 (kph))	No.241 Traffic Sign Assist Offset | No.135 Traffic Sign Assist Warning	manual	HMI r270 [4.] Traffic Sign Assist Offset（Notes NAFTA; 0-10 mph / 0-15 kph）；FIP No.241 回傳 1
Traffic Sign Assist Offset - non-NAFTA Setting	r269 [4. Safety & Driving As]Traffic Sign Assist Offset (-/+ selector with value in middle; 0-10 (kph) / 0-5 (mph)) | r270 [4. Safety & Driving As]Traffic Sign Assist Offset (-/+ selector with value in middle; 0-10 (mph) / 0-15 (kph))	No.241 Traffic Sign Assist Offset | No.135 Traffic Sign Assist Warning	drop	R-VS{live}(4)：非 NAFTA 列移除，不建別名
Warnings for Low Fuel Inverter Shutdown - Visual Warning	r20 [1. KeySense (only disp]Earlier Low Fuel Alert (On/Off Checkbox; None) | r6 [1. KeySense (only disp]> Automatic Emergency Braking* > Forward Collision Warning* (2 radio buttons; Only Warning, Warning + Active Braking)	No.251 Fuel Level Low | No.227 Key Sense Early Fuel Warning	DR	兩表皆無候選
Warnings for Low Fuel Inverter Shutdown - Audible Warning	r20 [1. KeySense (only disp]Earlier Low Fuel Alert (On/Off Checkbox; None) | r284 [4. Safety & Driving As]> LaneSense* > LaneSense Warning* (3 radio buttons; Early , Med, Late)	No.251 Fuel Level Low | No.227 Key Sense Early Fuel Warning	DR	兩表皆無候選
Enhanced Display Synchronization	r24 [1. My Profile (only di]Display Mode (Display_Mode; None) | r148 [2. Display]Display Mode (2 radio buttons; Auto , Manual)	No.161 Suspension Display Messages | No.207 Fuel Saver Display	DR	兩表皆無候選
CHMSL CAMERA DYNAMIC CENTERLINE	r472 [13. Camera]Cargo Camera Dynamic Centerline (On/Off Checkbox; None) | r466 [13. Camera]Surround View Camera Guidelines (On/Off Checkbox; None)	No.236 Backup Camera Dynamic Guidelines | No.194 CHMSL Camere	manual	HMI r472 [13. Camera] Cargo Camera Dynamic Centerline (On/Off)；FIP No.194 CHMSL Camere = Always false —— CHMSL≟Cargo 待認
Max Power Level	r533 [17. Doors & Locks]Power Trunk Roof Level (>; Level 1 - Roof Level / Level 2 - Lower Intermediate / Level 3 - Upper Intermediate / Level 4 - Full Open / Custom) | r38 [1. My Profile (only di]Power (Unit_Power; None)	No.141 Power - Unit | No.266 Power Tailgate	DR	兩表皆無候選
Time and Date Settings	r375 [7. Clock]Show Time and Date During Screen Off (On/Off Checkbox; None) | r88 [1. My Profile (only di]Time Format (Time_Format; None)	No.4 Audio Settings | No.41 Settings	DR	HMI 7. Clock 為分類（r355–r375），無單一同名項；FIP 無 —— 疑為分類級引用，待認
Hour Mode	r28 [1. My Profile (only di]Theme Mode (None; None) | r153 [2. Display]Theme Mode (3 radio buttons; Light / Dark /Auto)	No.92 Rear Mode | No.204 Transport Mode	manual	HMI r359 [7. Clock] Time Format (2 radio; 12 hrs, 24 hrs) —— Hour Mode≟Time Format 待認
Unit Energy	r354 [6. Drive Theme]Sound Generator (On/Off Checkbox; None) | r244 [3. Entertainment Scree]Uconnect Theater (On/Off Checkbox; None)	No.242 Unit Set | No.229 Initial Year	DR	兩表皆無候選（HMI Units 內未見 Energy）
Turn Signal Activated Blind Spot Camera View	r478 [13. Camera]Turn Signal Activated Blind Spot View (On/Off Checkbox; None) | r479 [13. Camera]Turn Signal Activated Blind Spot View (3 radio buttons; Off / On / Only with Trailer)	No.122 Blind Spot Alert | No.225 Key Sense Blind Spot Alert	manual	HMI r478 [13. Camera] Turn Signal Activated Blind Spot View (On/Off)；FIP No.122 Blind Spot Alert
Turn Signal Activated Blind Spot Camera View with Trailer Option	r478 [13. Camera]Turn Signal Activated Blind Spot View (On/Off Checkbox; None) | r479 [13. Camera]Turn Signal Activated Blind Spot View (3 radio buttons; Off / On / Only with Trailer)	No.271 Blind Spot with Trailer Detection | No.182 Trailer Length for Blind Spot Alert	manual	HMI r479 同名 3 radio 變體；FIP No.271 Blind Spot with Trailer Detection
ParkSense Based Camera Activation	r312 [4. Safety & Driving As]ParkSense Front Camera Activation (On/Off Checkbox; None) | r307 [4. Safety & Driving As]> ParkSense* > ParkSense Mode* (2 radio buttons; Sound / Sound + Display)	No.243 Park sense event based camera view setting | No.195 TRG  Camera	manual	HMI r312 [4.] ParkSense Front Camera Activation (On/Off)；FIP No.243 —— 名稱差「Front」，待認
Suspension Auto Entry or Exit	r546 [19. Key Off Options]Auto Entry/Exit Suspension (On/Off Checkbox; None) | r556 [20. Suspension]Auto Entry/Exit Suspension (On/Off Checkbox; None)	No.159 Suspension Auto Entry/Exit | No.127 Auto Unlock on Exit	manual	HMI r556 [20. Suspension] Auto Entry/Exit Suspension；FIP No.159 Suspension Auto Entry/Exit
