para_idx	text
120	Used to require the Hour Mode setting
121	Minute1_Setting.Req
122	Used to require the first value of Minute setting
123	Minute2_Setting.Req
124	Used to require the second value of Minute setting
125	Month1_Setting.Req
126	Used to require the first value of  Month setting
127	Month2_Setting.Req
128	Used to require the second value of  Month setting
129	Rain_Sensor_Level_Setting.Req
130	Used to require the Rain Sensor Level setting
131	Speed_Lock_Door_Enable.Req
132	Used to require the Speed Lock Door feature setup
133	TLM_Vehicle_Setup_Menu.Info
134	Used to give information about the Vehicle Setup Menu to the display
135	TemperatureUnit
136	Used to give information about the temperature unit selected
137	Temperature_Unit_Setting.Req
138	Used to require the Temperature Unit setting
139	Year1_Setting.Req
140	Used to require the first value of Year setting
141	Year2_Setting.Req
142	Used to require the second value of Year setting
143	Year3_Setting.Req
144	Used to require the third value of Year setting
145	Year4_Setting.Req
146	Used to require the fourth value of Year setting
147	Day1_Setting.Info
148	Used to give information about the first value of Day set
149	Day2_Setting.Info
150	Used to give information about the second value of Day set
151	GPS_Automatic_Time_Adj_Setup.Info
152	Used to give information about the GPS Automatic Time Adjustment setup
153	Hour1_Setting.Info
154	Used to give information about the first value of Hour set
155	Hour2_Setting.Info
156	Used to give information about the second value of Hour set
157	Minute1_Setting.Info
158	Used to give information about the first value of Minute set
159	Minute2_Setting.Info
160	Used to give information about the second value of Minute set
161	Month1_Setting.Info
162	Used to give information about the first value of  Month set
163	Month2_Setting.Info
164	Used to give information about the second value of  Month set
165	Year1_Setting.Info
166	Used to give information about the first value of Year set
167	Year2_Setting.Info
168	Used to give information about the second value of Year set
169	Year3_Setting.Info
170	Used to give information about the third value of Year set
171	Year4_Setting.Info
172	Used to give information about the fourth value of Year set
173	Language_Setting.Req
174	Used to require the Language setting 
175	LTM_OperationalModeSts.Info
176	Used by the LTM to indicate the operational mode status.
177	Time_Date_Setting_Feedback.Info
178	Used to give a feedback about Time and Date value set
179	LTM_CmdIgnSts.Info
180	Used by the LTM to indicate the key selector position.
181	GreetingLights_Enable.Req
182	Used to require the Greeting Light feature setup
183	Blind_Spot_Detection_Setting.Req
184	Used to require the Blind Spot Detection setting
185	NavigationRepetition.Info
186	Used to give information about the Poup Navigation feature status
187	PhoneRepetition.Info
188	Used to give information about the Poup Phone feature status
189	Passive_Entry_Enable.Req
190	Remote_Door_Unlock_Setting.Req
191	Sound_Horn_Lock_Setting.Req
192	Auto_Park_Brake_Enable.Req
193	AudioRepetition.Info
194	Sdw_Setting.Req
195	Flash_Light_With_Lock_Enable.Req
196	LDW_Intensity_Setting.Req
197	LDW_Sensibility_Setting.Req
198	Maintenance_Mode_Enable.Req
199	Units_Settings.Req
200	Auto_High_Beam_Enable.Req
201	Audio_Repetition_Setting.Req
202	FSCWPlus_Activation_Mode_Setting.Req
203	FSCWPlus_Setting.Req
204	Pam_AlertMode_Setting.Req
205	Pam_Chime_Volume_Front_Setting.Req
206	Pam_Chime_Volume_Rear_Setting.Req
207	Auto_Unlock_Door_Exit_Enable.Req
208	Tyre_Pressure_Unit_Setting.Req
209	TSR_Enable.Req
210	App_ClearPersonalData_Enable.Req
211	App_PrivacyMode_Enable.Req
212	App_RestoreApp_Enable.Req
213	App_RestoreDefaultSetting_Enable.Req
214	ClearPersonalData.Info
215	ClearPersonalData_Enable.Req
216	PrivacyMode.Info
217	RestoreApp.Info
218	RestoreApp_Enable.Req
219	RestoreDefaultSetting.Info
220	RestoreDefaultSetting_Enable.Req
221	TBM_CmdIgnSts.Info
222	TBM_OperationalModeSts.Info
223	Geolocation_Enable.Req
224	FOTA_State.Info
225	DynamicGrid.Req
226	Drowsy_Driver_Alert_Enable.Req
227	New_Spd_Zone_Ind_Setting.Req
228	Sign_Capture_Mode_Setting.Req
229	Speed_Unit_Setting.Req
230	Traffic_Sign_Warn_Setting.Req
231	ConsumptionUnit
232	Trailer_Length_Blind_Spot.Req
233	Consumption_Unit_Setting.Req
234	DRL_Enable.Req
235	Dynamic_Grid_Setting.Req
236	Sound_Horn_Remote_Start_Enable.Req
237	TLM_SettingChange.Info
238	TLM_ProfileLevel.Info
239	SVC_Gridlines.Req
240	Headlights_Off_Delay_Setting.Req
241	PassiveEntrySelection.Req
242	HeadlampOnWithWiperEnable.Req
243	B/BH-CAN
244	IPC_VEHICLE_SETUP.CorneringEnable
245	This signal is used to give information about the Cornering Lights selected
246	IPC_VEHICLE_SETUP.DistanceUnit
247	This signal is used to give information about the Distance Unit selected
248	IPC_VEHICLE_SETUP.ExternalLightSensorLevel
249	This signal is used to give information about the External Light Sensor Level selected
250	IPC_VEHICLE_SETUP.HourMode
251	This signal is used to give information about the Hour Mode selected.
252	IPC_VEHICLE_SETUP.RainSensorLevel
253	This signal is used to give information about the Rain Sensor Level selected
254	IPC_VEHICLE_SETUP.SpeedLockDoorEnable
255	This signal is used to give information about the Autoclose feature selected
256	IPC_VEHICLE_SETUP.TemperatureUnit
257	This signal is used to give information about the Temperature Unit selected
258	IPC_VEHICLE_SETUP.LanguageSelection
259	This signal is used to give information about the Language selected
260	IPC_VEHICLE_SETUP.BSDEnable
261	This signal is used to give information about the Blind Spot Alert feature selected
262	TELEMATIC_VEHICLE_SETUP.BSDEnable_Req
263	This signal is managed when the driver requests a setting of Blind Spot Alert
264	TELEMATIC_VEHICLE_SETUP.CorneringEnable_Req
265	This signal is managed when the driver requests a setting of Cornering Lights
266	TELEMATIC_VEHICLE_SETUP.DistanceUnit_Req
267	This signal is managed when the driver requests a setting of Distance Unit
268	TELEMATIC_VEHICLE_SETUP.ExternalLightSensorLevel_Req
269	This signal is managed when the driver requests a setting of External Light Sensor Level
270	TELEMATIC_VEHICLE_SETUP.HourMode_Req
271	This signal is managed when the driver requests a setting of Hour Mode
272	TELEMATIC_VEHICLE_SETUP.LanguageSelection_Req
273	This signal is managed when the driver requests a setting of Language
274	TELEMATIC_VEHICLE_SETUP.RainSensorLevel_Req
275	This signal is managed when the driver requests a setting of Rain Sensor Level
276	TELEMATIC_VEHICLE_SETUP.SpeedLockDoorEnable_Req
277	This signal is managed when the driver requests a setting of Auto Door Locks
278	TELEMATIC_VEHICLE_SETUP.TemperatureUnit_Req
279	This signal is managed when the driver requests a setting of Temperature Unit
280	IPC_VEHICLE_SETUP.TelematicSetupACK
281	Used to give information about the acknowledge of the requested setup changes by telematic module.
282	IPC_VEHICLE_SETUP.AutoParkBrake
283	This signal is used to give information about the Auto Park Brake selected
284	IPC_VEHICLE_SETUP.PassiveEntry
285	This signal is used to give information about the Passive Entry selected
286	IPC_VEHICLE_SETUP.RemoteDoorUnlock
287	This signal is used to give information about the Remote Door Unlock selected
288	IPC_VEHICLE_SETUP.SoundHornLock
289	This signal is used to give information about the Sound Horn with Lock selected
290	TELEMATIC_VEHICLE_SETUP.AutoParkBrake_Req
291	This signal is managed when the driver requests a setting of the Auto Park Brake
292	TELEMATIC_VEHICLE_SETUP.PassiveEntry_Req
293	This signal is managed when the driver requests a setting of the Passive Entry
294	TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock_Req
295	This signal is managed when the driver requests a setting of the Remote Door Unlock
296	TELEMATIC_VEHICLE_SETUP.SoundHornLock_Req
297	This signal is managed when the driver requests a setting of the Sound Horn with Unlock
298	IPC_VEHICLE_SETUP.AudioRepetition
299	This signal is used to give information about the Audio Repetition selected
300	IPC_VEHICLE_SETUP.Sdw
301	This signal is used to give information about the Side Distance Warning feature selected
302	TELEMATIC_VEHICLE_SETUP.Sdw_Req
303	This signal is managed when the driver request a  setting of the Sdw
304	IPC_VEHICLE_SETUP.PhoneRepetition
305	This signal is used to give information about the Phone Repetition selected
306	IPC_VEHICLE_SETUP.PamAlertMode
307	This signal is used to give information about the PAM Alert Mode selected
308	IPC_VEHICLE_SETUP2.AutoUnlockDoorExit
309	This signal is used to give information about the Auto Unlock Door on Exit feature selected
310	IPC_VEHICLE_SETUP2.EPB_MaintenanceMode
311	This signal is used to give information about the Maintenance Mode feature selected
312	IPC_VEHICLE_SETUP2.FlashLightWLock
313	This signal is used to give information about the Flash Light With Lock selected
314	IPC_VEHICLE_SETUP2.LDW_Intensity
315	This signal is used to give information about the LDW Intensity selected
316	IPC_VEHICLE_SETUP2.LDW_Sensibility
317	This signal is used to give information about the LDW Sensibility selected
318	IPC_VEHICLE_SETUP2.TyrePressureUnit
319	This signal is used to give information about the Tyre Pressure Unit selected
320	TELEMATIC_VEHICLE_SETUP.PamAlertMode_Req
321	This signal is managed when the driver requests a setting of the PAM Alert Mode
322	TELEMATIC_VEHICLE_SETUP2.AutoUnlockDoorExit_Req
323	This signal is managed when the driver request a setting of  Auto Unlock Door On Exit
324	TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req
325	This signal is managed when the driver request a setting of  Maintenance Mode
326	TELEMATIC_VEHICLE_SETUP2.FlashLightWLock_Req
327	This signal is managed when the driver request a setting of  Flash Light With Lock
328	TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req
329	This signal is managed when the driver requests a setting of the LDW Intensity
330	TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req
331	This signal is managed when the driver requests a setting of  the LDW Sensibility
332	TELEMATIC_VEHICLE_SETUP2.TyrePressureUnit_Req
333	This signal is managed when the driver requests a setting of  the Tyre Pressure Unit
334	IPC_VEHICLE_SETUP.NavRepetition
335	This signal is used to give information about the Navigation Repetition selected
336	IPC_VEHICLE_SETUP.AutoHighBeamEnable
337	This signal is used to give information about the Auto High Beam feature selected
338	TELEMATIC_VEHICLE_SETUP.AutoHighBeamEnable_Req
339	This signal is managed when the driver requests a setting of  the Auto High Beam feature
340	IPC_VEHICLE_SETUP.PamChimeVolumeFront
341	This signal is used to give information about the PAM  Chime Volume selected
342	IPC_VEHICLE_SETUP.PamChimeVolumeRear
343	This signal is used to give information about the PAM 8Ch Chime Volume selected
344	IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk
345	It indicates the HMI state of the EPB Functionality for the Maintenance Procedure
346	TELEMATIC_VEHICLE_SETUP.PamChimeVolumeFront_Req
347	This signal is managed when the driver request a  setting of the of Chime Volume  of the PAM
348	TELEMATIC_VEHICLE_SETUP.PamChimeVolumeRear_Req
349	This signal is managed when the driver request a  setting of the of Chime Volume  of the PAM  8  Channels
350	STATUS_CCAN3.VehicleSpeedVSOSig
351	It is the average vehicle speed calculated.
352	STATUS_CCAN3.VehicleSpeedVSOSigFailSts
353	It is the average vehicle speed fail status.
354	IPC_VEHICLE_SETUP2.FSFCWPlusActivationMode
355	This signal is used to give information about the FSFCW Activation Mode setting
356	IPC_VEHICLE_SETUP2.FSFCWPlusSetting
357	This signal is used to give information about the FSFCW setting
358	TELEMATIC_VEHICLE_SETUP2.FSFCWPlusActivationMode_Req
359	This signal is managed when the driver request a  setting of FSFCW
360	TELEMATIC_VEHICLE_SETUP2.FSFCWPlusSetting_Req
361	This signal is managed when the driver request a  setting of FSFCW
362	IPC_VEHICLE_SETUP2.TSREnable
363	This signal will be used to indicate if the Traffic Sign Recognition function has been activated via Menu
364	TELEMATIC_VEHICLE_SETUP2.TSREnableReq
365	This signal is managed when the driver requests a setting of the TSR feature
366	SERVICE_SETUP.ClearPersonalData
367	It is used to give information about the Clear Personal Data functionality.
368	SERVICE_SETUP.PrivacyMode
369	It is used to give information about  the Privacy Mode functionality.
370	SERVICE_SETUP.RestoreApp
371	It is used to give information about the Restore App functionality.
372	SERVICE_SETUP.RestoreDefaultSetting
373	It is used to give information about the Restore Default Setting functionality.
374	SERVICE_SETUP.TelematicSetupAck
375	It is used to give information about the acknowledge of the requested setup changes by telematic module.
376	TELEMATIC_SERVICE_SETUP.ClearPersonalDataReq
377	It is managed when the driver requests a setting of Clear Personal Data.
378	TELEMATIC_SERVICE_SETUP.PrivacyModeReq
379	It is managed when the driver requests a setting of Privacy Mode.
380	TELEMATIC_SERVICE_SETUP.RestoreAppReq
381	It is managed when the driver requests a setting of  Restore App.
382	TELEMATIC_SERVICE_SETUP.RestoreDefaultSettingReq
383	It is managed when the driver requests a setting of  Restore Default Setting.
384	IPC_VEHICLE_SETUP3.Drowsy_Driver_Alert
385	Drowsy Driver Alert setting
386	IPC_VEHICLE_SETUP3.Speed_Unit
387	Speed Unit setting
388	IPC_VEHICLE_SETUP4.New_Spd_Zone_Ind
389	New Speed Zone Indication setting
390	IPC_VEHICLE_SETUP4.SignCaptureMode
391	Intelligent Speed Mode setting
392	IPC_VEHICLE_SETUP4.Traffic_Sign_Warn
393	Traffic Sign Warning setting
394	TELEMATIC_VEHICLE_SETUP3.Drowsy_Driver_Alert_Req
395	Drowsy Driver Alert setting request
396	TELEMATIC_VEHICLE_SETUP3.Speed_Unit_Req
397	Speed Unit setting request
398	TELEMATIC_VEHICLE_SETUP4.New_Spd_Zone_Ind_Req
399	New Speed Zone Indication setting request
400	TELEMATIC_VEHICLE_SETUP4.SignCaptureModeReq
401	Intelligent Speed Mode setting request
402	TELEMATIC_VEHICLE_SETUP4.Traffic_Sign_Warn_Req
403	Traffic Sign Warning setting request
404	TELEMATIC_VEHICLE_SETUP2.Trlr_Lnth_Blind_Spot_Req
405	Trailer Length for Blind Spot Alert setting request
406	IPC_VEHICLE_SETUP2.Trlr_Lnth_Blind_Spot
407	Trailer Length for Blind Spot Alert setting
408	IPC_VEHICLE_SETUP4.GreetingLightsLevel
409	This signal is used to give information about the Greeting Lights selected
410	IPC_VEHICLE_SETUP.ConsumptionUnit
411	This signal is used to give information about the Consumption Unit selected
412	IPC_VEHICLE_SETUP.DRLEnable
413	This signal is used to give information about the DRL feature selected
414	IPC_VEHICLE_SETUP.SoundHornRemoteStart
415	This signal is used to give information about the Sound Horn with Remote Start selected
416	IPC_VEHICLE_SETUP2.HeadlightsOffDelay
417	This signal is used to give information about the Headlights Off Delay selected
418	STATUS_TTM.TrailerConnectionSts
419	Connection status of TTM
420	TELEMATIC_VEHICLE_SETUP.ConsumptionUnit_Req
421	This signal is managed when the driver requests a setting of Consumption Unit
422	TELEMATIC_VEHICLE_SETUP.DRLEnable_Req
423	This signal is managed when the driver requests a setting of the DRL feature
424	TELEMATIC_VEHICLE_SETUP.SoundHornRemoteStart_Req
425	This signal is managed when the driver requests a setting of the Sound Horn with Remote Start
426	TELEMATIC_VEHICLE_SETUP2.HeadlightsOffDelay_Req
427	This signal is managed when the driver requests a setting of the Headligts Off Delay
428	Surround View Camera Guidelines setting
429	TELEMATIC_VEHICLE_SETUP4.GreetingLightsLevel_Req
430	TELEMATIC_VEHICLE_SETUP3.SVC_Guidelines_Req
431	Surround View Camera Guidelines setting request
432	IPC_VEHICLE_SETUP2.PassiveEntrySelection
433	This signal is used to select Passive Entry options
434	TELEMATIC_VEHICLE_SETUP2.PassiveEntrySelection_Req
435	This signal is used to select Passive Entry options
436	IPC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable
437	Automatic headlamp activation with wiper on
438	TELEMATIC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable_Req
439	Setting request for Automatic headlamp activation with wiper on
440	C-CAN
441	LIN
442	C-CAN1
443	BRAKE1.VehicleSpeedVSOSig
444	It is the average vehicle speed calculated.
445	BRAKE1.VehicleSpeedVSOSigFailSts
446	It is the average vehicle speed fail status.
447	PROXI Parameters
448	The characteristics of the "PROXI" Parameters and their related values are
449	defined in the "PROXI requirements" specific for the vehicle project.
450	Auto_Close_Menu
451	Cluster_Display_Type
452	Cornering_Light
453	Country_Code
454	External_Temperature_Sensor
455	Fuel_Type
456	GPS_Presence
457	Odo_Units_Change
458	Rain_Sensor
459	Twilight_Sensor
460	Language_Selection
461	AHBM_Feature_Menu
462	Additional Languages
463	Auto_Door_Unlock_Menu
464	Auto_Park_Brake_Menu
465	CAN node 24 (PAM)
466	EPB_Maintenance_Menu
467	Flash_Light_With_Lock_Menu
468	Forward_Collision_Mitigation
469	Half_HMI_Setting
470	Half_Torque_Sensibility
471	PAM_Configuration
472	Passive_Entry_Menu
473	Remote_Door_Unlock_Menu
474	Side_Distance_Warning
475	Horn_Chirp_Menu
476	Tyre_Pressure_Unit_Menu
477	Audio_Repetition
478	NAV_Presence
479	Headlamp_Delay_Feature
480	CAN node 35 (TBM/FTM)
481	Geolocation_Menu
482	Greeting_Lights_Menu
483	Hybrid_Type
484	Intelligent_Speed_Function_Menu
485	Rear_View_Camera
486	CAN node 51 (LBSS)
487	CAN node 52 (RBSS)
488	CAN node 63 (TTM)
489	RRM_VP_LEVEL
490	DRL_Menu_Enable
491	Driver_Drowsy_Alert
492	Traffic_Sign_Recognition_Menu
493	Surround_View_Camera
494	Sound_Horn_Remote_Start_Menu
495	Passive_Entry_Types
496	Headlamp_On_With_Wiper
497	Indication
498	Working Conditions
499	Ignition Working Conditions Table
500	Ignition Working Conditions
501	Active Sub Function Names
502	Reference Paragraphs
503	Ignition Off
504	--
505	--
506	Ignition ACC
507	--
508	--
509	Ignition On
510	--
511	--
512	Ignition Pre Start
513	--
514	--
515	Ignition Start
516	--
517	--
518	Ignition Cranking
519	--
520	--
521	Ignition On Engine On
522	--
523	--
524	Ignition Pre ACC
525	--
526	--
527	Ignition Pre Off
528	--
529	--
530	
531	Functional Working Conditions Table
532	Functional Working Conditions
533	Functional Requirements
534	Reference Paragraphs
535	Temporization After Ignition Off
536	No
537	N.A.
538	Automatic Cranking (S&S) 
539	No
540	N.A.
541	Automatic Stop (S&S)
542	No
543	N.A.
544	Low Battery
545	No
546	N.A.
547	Plant/Emission Mode
548	No
549	N.A.
550	Logistic Mode
551	No
552	N.A.
553	
554	Functional Requirements
555	TLM Vehicle setup management 
556	TLM Algorithm Requirements
557	In the following Ignition Working Conditions:
558	Ignition On
559	Ignition Start
560	Ignition On Engine On
561	the user can manage  the vehicle setup menu through TLM_Display.GUI.
562	WHEN the Ignition Working Conditions switches from "Ignition On" OR "Ignition Start" OR "Ignition On Engine On" to  the following Ignition Working Condition:
563	Ignition Off
564	THEN TLM shall store the last setup settings.
565	WHEN the Ignition Working Conditions switches from "Ignition Off" to  the following Ignition Working Condition:
566	Ignition On or 
567	Ignition On Engine On
568	THEN TLM shall wait to receive the "IPC_VEHICLE_SETUP" AND  "IPC_VEHICLE_SETUP2 AND IPC_VEHICLE_SETUP3 AND IPC_VEHICLE_SETUP4" message
569	WHEN TLM receive the first "IPC_VEHICLE_SETUP" message in "Ignition On" OR "Ignition On Engine On" Ignition Working Condition
570	THEN TLM shall:
571	Update the "TELEMATIC_VEHICLE_SETUP" message to the "IPC_VEHICLE_SETUP" message ( as defined in each item menu paragraph);
572	send "TELEMATIC_VEHICLE_SETUP" BH-CAN message.
573	
574	WHEN TLM receive the first "IPC_VEHICLE_SETUP2" message in "Ignition On" OR "IgnitionOn Engine On Ignition" Working Condition 
575	THEN TLM shall:
576	Update the "TELEMATIC_VEHICLE_SETUP2" message to the "IPC_VEHICLE_SETUP2" message ( as defined in each item menu paragraph);
577	send "TELEMATIC_VEHICLE_SETUP2" BH-CAN message.
578	WHEN TLM receive the first "IPC_VEHICLE_SETUP3" message in "Ignition On" OR "IgnitionOn Engine On Ignition" Working Condition 
579	THEN TLM shall:
580	Update the "TELEMATIC_VEHICLE_SETUP3" message to the "IPC_VEHICLE_SETUP3" message ( as defined in each item menu paragraph);
581	send "TELEMATIC_VEHICLE_SETUP3" BH-CAN message.
582	
583	WHEN TLM receive the first "IPC_VEHICLE_SETUP4" message in "Ignition On" OR "Ignition On Engine On" Ignition Working Condition
584	THEN TLM shall:
585	Update the "TELEMATIC_VEHICLE_SETUP4" message to the "IPC_VEHICLE_SETUP4" message ( as defined in each item menu paragraph);
586	send "TELEMATIC_VEHICLE_SETUP4" BH-CAN message.
587	
588	In the following Ignition Working Conditions:
589	Ignition Off
590	Ignition On
591	Ignition Start
592	Ignition On Engine On
593	the user can manage  the service setup menu and the Power Level menu through TLM_Display.GUI.
594	The items menu are as follows:
595	Cornering Lights
596	IF"Cornering_Light" PROXI parameter is equal to "absent"
597	THENTLM shall not display the Cornering Light menu item and the user can not perform any setting.
598	IF"Cornering_Light" PROXI parameter is equal to "present" 
599	THENTLM shall display the Cornering Light menu item and the user can perform setting.
600	IFthe user sets "Cornering_Enable.Req" internal signals to "Enable"
601	THENTLM shall set "TELEMATIC_VEHICLE_SETUP.CorneringEnable_Req" B-CAN signal equal to "True" and sends this signal to IPC
602	IFthe user sets "Cornering_Enable.Req" internal signals as "Not_Enable"
603	THENTLM shall set "TELEMATIC_VEHICLE_SETUP.CorneringEnable_Req" B-CAN signal equal to "False" and sends this signal to IPC
604	WHEN TLM receives "IPC_VEHICLE_SETUP.CorneringEnable" message
605	THEN TLM updates the Cornering information on its display through "TLM_Vehicle_Setup_Menu.Info" internal signal
606	For more details refer to VF230 and VF033
607	Greeting Lights
608	IF"Greeting_Lights_Menù" PROXI parameter is equal to "Absent"
609	THENTLM shall not display the Greeting Light menu item and the user can not perform any setting.
610	IF"Greeting_Lights_Menù" PROXI parameter is equal to "Present" 
611	THENTLM shall display the Greeting Light menu item and the user can perform setting.
612	IFthe user sets "GreetingLights_Enable.Req" internal signals to "0 sec"
613	THENTLM shall set "TELEMATIC_VEHICLE_SETUP4.GreetingLightsLevel_Req" B-CAN signal equal to "0 sec" and sends this signal to IPC
614	IFthe user sets "GreetingLights_Enable.Req" internal signals to "30 sec"
615	THENTLM shall set "TELEMATIC_VEHICLE_SETUP4.GreetingLightsLevel_Req" B-CAN signal equal to "30 sec" and sends this signal to IPC
616	IFthe user sets "GreetingLights_Enable.Req" internal signals to "60 sec"
617	THENTLM shall set "TELEMATIC_VEHICLE_SETUP4.GreetingLightsLevel_Req" B-CAN signal equal to "60 sec" and sends this signal to IPC
618	IFthe user sets "GreetingLights_Enable.Req" internal signals to "90 sec"
619	THENTLM shall set "TELEMATIC_VEHICLE_SETUP4.GreetingLightsLevel_Req" B-CAN signal equal to "90 sec" and sends this signal to IPC
620	WHEN TLM receives "IPC_VEHICLE_SETUP4.GreetingLightsLevel" message
621	THEN TLM updates the Greeting Lights information on its display through "TLM_Vehicle_Setup_Menu.Info" internal signal
622	Lane Sense Warning
623	IF           "Half_Torque_Sensibility" PROXI parameter is equal to "Level 3"
624	THENTLM shall display the " Lanse Sense Warning 1 "   menu item and the user can perform setting with the following options:
625	Early, Late
626	IF       the user sets "LDW_Sensibility_Setting.Req" internal signals to "Early"
627	THEN    TLM shall set "TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req" B-CAN signal equal to "Early" and sends this signal to IPC
628	
629	
630	IF       the user sets "LDW_Sensibility_Setting.Req" internal signals to "Late"
631	THEN    TLM shall set "TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req" B-CAN signal equal to "Late" and sends this signal to IPC
632	
633	WHEN TLM receives "IPC_VEHICLE_SETUP2.LDW_Sensibility" message
634	THEN TLM updates the LDW Sensibility information on its display through "TLM_Vehicle_Setup_Menu.Info" internal signal
635	
636	IF           "Half_Torque_Sensibility" PROXI parameter is equal to "Level 2"
637	THENTLM shall display the " Lanse Sense Warning 2"    menu item and the user can perform setting  with the following options:
638	Early, Med,  Late
639	
640	IF       the user sets "LDW_Sensibility_Setting.Req" internal signals to "Early"
641	THEN    TLM shall set "TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req" B-CAN signal equal to "Early" and sends this signal to IPC
642	
643	IF       the user sets "LDW_Sensibility_Setting.Req" internal signals to "Med"
644	THEN    TLM shall set "TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req" B-CAN signal equal to "Med" and sends this signal to IPC
645	
646	IF       the user sets "LDW_Sensibility_Setting.Req" internal signals to "Late"
647	THEN    TLM shall set "TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req" B-CAN signal equal to "Late" and sends this signal to IPC
648	
649	WHEN TLM receives "IPC_VEHICLE_SETUP2.LDW_Sensibility" message
650	THEN TLM updates the LDW Sensibility information on its display through "TLM_Vehicle_Setup_Menu.Info" internal signal
651	Lane Sense Strenght 
652	IF           "Half_HMI_Setting" PROXI parameter is equal to "Level 3"
653	THENTLM shall display the " Lanse Sense Strenght 1 "    menu item and the user can perform setting  with the following options:
654	Low, High 
655	
656	IF       the user sets "LDW_Intensity_Setting.Req" internal signals to "Low"
657	THEN    TLM shall set "TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req" B-CAN signal equal to "Low" and sends this signal to IPC
