swe	row037	src	objid	parent	l3	did	kind	cat	region	harman
SWE1-Diagnostics-013	20	SYS-RA-DIAG-013	4939959	R/W	$500C - SDAR Station Selection (Read)	$500C	positive	Functional Requirement	NAFTA	Accepted
SWE1-Diagnostics-014	21	SYS-RA-DIAG-013	4939959	R/W	$500C - SDAR Station Selection (Read)	$500C	negative	Functional Requirement	NAFTA	Accepted
SWE1-Diagnostics-015	22	SYS-RA-DIAG-013	4939959	R/W	$500C - SDAR Station Selection (Read)	$500C	unsupported	Functional Requirement	NAFTA	Accepted
SWE1-Diagnostics-016	23	SYS-RA-DIAG-023	4939949	R/W	$5009 - Frequency Step Selection (Read)	$5009	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-017	24	SYS-RA-DIAG-023	4939949	R/W	$5009 - Frequency Step Selection (Read)	$5009	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-018	25	SYS-RA-DIAG-023	4939949	R/W	$5009 - Frequency Step Selection (Read)	$5009	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-019	26	SYS-RA-DIAG-026	4939946	R/W	$5008 - Seek Status (Read)	$5008	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-020	27	SYS-RA-DIAG-026	4939946	R/W	$5008 - Seek Status (Read)	$5008	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-021	28	SYS-RA-DIAG-026	4939946	R/W	$5008 - Seek Status (Read)	$5008	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-022	29	SYS-RA-DIAG-119	4939809	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	positive	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-023	30	SYS-RA-DIAG-119	4939809	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	negative	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-024	31	SYS-RA-DIAG-119	4939809	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	unsupported	Functional Requirement	NAFTA	Need Rework
SWE1-Diagnostics-025	32	SYS-RA-DIAG-120	4939822	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-026	33	SYS-RA-DIAG-120	4939822	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-027	34	SYS-RA-DIAG-120	4939822	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-028	35	SYS-RA-DIAG-121	4939808	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-029	36	SYS-RA-DIAG-121	4939808	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-030	37	SYS-RA-DIAG-121	4939808	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	$2841	unsupported	Functional Requirement	NAFTA	
SWE1-Diagnostics-031	38	SYS-RA-DIAG-268	4940351	I/O	$500C - SDAR Station Selection	$500C	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-032	39	SYS-RA-DIAG-268	4940351	I/O	$500C - SDAR Station Selection	$500C	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-033	40	SYS-RA-DIAG-268	4940351	I/O	$500C - SDAR Station Selection	$500C	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-034	41	SYS-RA-DIAG-270	4940352	I/O	$500C - SDAR Station Selection	$500C	negative	Functional Requirement	All	
SWE1-Diagnostics-035	42	SYS-RA-DIAG-283	4940337	I/O	$5009 - Frequency Step Selection	$5009	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-036	43	SYS-RA-DIAG-283	4940337	I/O	$5009 - Frequency Step Selection	$5009	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-037	44	SYS-RA-DIAG-283	4940337	I/O	$5009 - Frequency Step Selection	$5009	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-038	45	SYS-RA-DIAG-286	4940334	I/O	$5008 - Seek Status	$5008	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-039	46	SYS-RA-DIAG-286	4940334	I/O	$5008 - Seek Status	$5008	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-040	47	SYS-RA-DIAG-286	4940334	I/O	$5008 - Seek Status	$5008	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-041	48	SYS-RA-DIAG-287	4940333	I/O	$5008 - Seek Status	$5008	positive	Functional Requirement	All	
SWE1-Diagnostics-042	49	SYS-RA-DIAG-287	4940333	I/O	$5008 - Seek Status	$5008	negative	Functional Requirement	All	
SWE1-Diagnostics-043	50	SYS-RA-DIAG-287	4940333	I/O	$5008 - Seek Status	$5008	unsupported	Functional Requirement	All	
SWE1-Diagnostics-044	51	SYS-RA-DIAG-021	4939952	R/W	$500A - Mode Selection (Read)	$500A	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-045	52	SYS-RA-DIAG-021	4939952	R/W	$500A - Mode Selection (Read)	$500A	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-046	53	SYS-RA-DIAG-021	4939952	R/W	$500A - Mode Selection (Read)	$500A	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-047	54	SYS-RA-DIAG-029	4939942	R/W	$5001 - Speaker Quadrant Selection (Read)	$5001	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-048	55	SYS-RA-DIAG-029	4939942	R/W	$5001 - Speaker Quadrant Selection (Read)	$5001	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-049	56	SYS-RA-DIAG-031	4939943	R/W	$5001 - Speaker Quadrant Selection (Read)	$5001	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-050	57	SYS-RA-DIAG-033	4939939	R/W	$5000 - Buzzer Control (Read)	$5000	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-051	58	SYS-RA-DIAG-042	4939923	R/W	$2870 - Media Hub Config (Read)	$2870	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-052	59	SYS-RA-DIAG-189	4939689	R/W	$280C - ECU Current Internal Settings (Read/Write)	$280C	positive	Functional Requirement	All	
SWE1-Diagnostics-053	60	SYS-RA-DIAG-190	4939685	R/W	$280C - ECU Current Internal Settings (Read/Write)	$280C	positive	Functional Requirement	All	
SWE1-Diagnostics-054	61	SYS-RA-DIAG-218	4939646	R/W	$1820 - Push Button Control Interface (Read)	$1820	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-055	62	SYS-RA-DIAG-220	4939647	R/W	$1820 - Push Button Control Interface (Read)	$1820	positive	Functional Requirement	All	
SWE1-Diagnostics-056	63	SYS-RA-DIAG-222	4939643	R/W	$180C - Radio Audio Output Settings	$180C	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-057	64	SYS-RA-DIAG-248	4940710	R/W	$1801 - Screen Test Pattern (Read/Write)	$1801	positive	Out of  Scope	(空)	Need Clarification
SWE1-Diagnostics-058	65	SYS-RA-DIAG-279	4940342	I/O	$500A - Mode Selection	$500A	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-059	66	SYS-RA-DIAG-279	4940342	I/O	$500A - Mode Selection	$500A	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-060	67	SYS-RA-DIAG-279	4940342	I/O	$500A - Mode Selection	$500A	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-061	68	SYS-RA-DIAG-280	4940341	I/O	$500A - Mode Selection	$500A	positive	Functional Requirement	All	
SWE1-Diagnostics-062	69	SYS-RA-DIAG-280	4940341	I/O	$500A - Mode Selection	$500A	negative	Functional Requirement	All	
SWE1-Diagnostics-063	70	SYS-RA-DIAG-280	4940341	I/O	$500A - Mode Selection	$500A	unsupported	Functional Requirement	All	
SWE1-Diagnostics-064	71	SYS-RA-DIAG-294	4940326	I/O	$5006 - Fade Settings	$5006	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-065	72	SYS-RA-DIAG-295	4940325	I/O	$5006 - Fade Settings	$5006	positive	Functional Requirement	All	
SWE1-Diagnostics-066	73	SYS-RA-DIAG-298	4940322	I/O	$5005 - Balance Settings	$5005	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-067	74	SYS-RA-DIAG-299	4940321	I/O	$5005 - Balance Settings	$5005	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-068	75	SYS-RA-DIAG-302	4940318	I/O	$5004 - Treble Settings	$5004	positive	Functional Requirement	All	
SWE1-Diagnostics-069	76	SYS-RA-DIAG-303	4940317	I/O	$5004 - Treble Settings	$5004	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-070	77	SYS-RA-DIAG-304	4940316	I/O	$5004 - Treble Settings	$5004	positive	Functional Requirement	All	
SWE1-Diagnostics-071	78	SYS-RA-DIAG-304	4940316	I/O	$5004 - Treble Settings	$5004	negative	Functional Requirement	All	
SWE1-Diagnostics-072	79	SYS-RA-DIAG-304	4940316	I/O	$5004 - Treble Settings	$5004	unsupported	Functional Requirement	All	
SWE1-Diagnostics-073	80	SYS-RA-DIAG-306	4940314	I/O	$5003 - Bass Settings	$5003	positive	Functional Requirement	All	
SWE1-Diagnostics-074	81	SYS-RA-DIAG-306	4940314	I/O	$5003 - Bass Settings	$5003	negative	Functional Requirement	All	
SWE1-Diagnostics-075	82	SYS-RA-DIAG-306	4940314	I/O	$5003 - Bass Settings	$5003	unsupported	Functional Requirement	All	
SWE1-Diagnostics-076	83	SYS-RA-DIAG-307	4940313	I/O	$5003 - Bass Settings	$5003	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-077	84	SYS-RA-DIAG-307	4940313	I/O	$5003 - Bass Settings	$5003	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-078	85	SYS-RA-DIAG-307	4940313	I/O	$5003 - Bass Settings	$5003	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-079	86	SYS-RA-DIAG-308	4940312	I/O	$5003 - Bass Settings	$5003	positive	Functional Requirement	All	
SWE1-Diagnostics-080	87	SYS-RA-DIAG-308	4940312	I/O	$5003 - Bass Settings	$5003	negative	Functional Requirement	All	
SWE1-Diagnostics-081	88	SYS-RA-DIAG-308	4940312	I/O	$5003 - Bass Settings	$5003	unsupported	Functional Requirement	All	
SWE1-Diagnostics-082	89	SYS-RA-DIAG-310	4940310	I/O	$5002 - Radio Volume	$5002	positive	Functional Requirement	All	
SWE1-Diagnostics-083	90	SYS-RA-DIAG-310	4940310	I/O	$5002 - Radio Volume	$5002	negative	Functional Requirement	All	
SWE1-Diagnostics-084	91	SYS-RA-DIAG-310	4940310	I/O	$5002 - Radio Volume	$5002	unsupported	Functional Requirement	All	
SWE1-Diagnostics-085	92	SYS-RA-DIAG-311	4940309	I/O	$5002 - Radio Volume	$5002	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-086	93	SYS-RA-DIAG-311	4940309	I/O	$5002 - Radio Volume	$5002	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-087	94	SYS-RA-DIAG-311	4940309	I/O	$5002 - Radio Volume	$5002	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-088	95	SYS-RA-DIAG-312	4940308	I/O	$5002 - Radio Volume	$5002	positive	Functional Requirement	All	
SWE1-Diagnostics-089	96	SYS-RA-DIAG-312	4940308	I/O	$5002 - Radio Volume	$5002	negative	Functional Requirement	All	
SWE1-Diagnostics-090	97	SYS-RA-DIAG-312	4940308	I/O	$5002 - Radio Volume	$5002	unsupported	Functional Requirement	All	
SWE1-Diagnostics-091	98	SYS-RA-DIAG-314	4940305	I/O	$5001 - Speaker Quadrant Selection	$5001	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-092	99	SYS-RA-DIAG-314	4940305	I/O	$5001 - Speaker Quadrant Selection	$5001	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-093	100	SYS-RA-DIAG-314	4940305	I/O	$5001 - Speaker Quadrant Selection	$5001	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-094	101	SYS-RA-DIAG-315	4940304	I/O	$5001 - Speaker Quadrant Selection	$5001	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-095	102	SYS-RA-DIAG-315	4940304	I/O	$5001 - Speaker Quadrant Selection	$5001	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-096	103	SYS-RA-DIAG-315	4940304	I/O	$5001 - Speaker Quadrant Selection	$5001	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-097	104	SYS-RA-DIAG-316	4940300	I/O	$5001 - Speaker Quadrant Selection	$5001	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-098	105	SYS-RA-DIAG-316	4940300	I/O	$5001 - Speaker Quadrant Selection	$5001	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-099	106	SYS-RA-DIAG-316	4940300	I/O	$5001 - Speaker Quadrant Selection	$5001	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-100	107	SYS-RA-DIAG-317	4940303	I/O	$5001 - Speaker Quadrant Selection	$5001	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-101	108	SYS-RA-DIAG-317	4940303	I/O	$5001 - Speaker Quadrant Selection	$5001	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-102	109	SYS-RA-DIAG-317	4940303	I/O	$5001 - Speaker Quadrant Selection	$5001	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-103	110	SYS-RA-DIAG-318	4940302	I/O	$5001 - Speaker Quadrant Selection	$5001	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-104	111	SYS-RA-DIAG-318	4940302	I/O	$5001 - Speaker Quadrant Selection	$5001	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-105	112	SYS-RA-DIAG-318	4940302	I/O	$5001 - Speaker Quadrant Selection	$5001	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-106	113	SYS-RA-DIAG-320	4940306	I/O	$5001 - Speaker Quadrant Selection	$5001	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-107	114	SYS-RA-DIAG-320	4940306	I/O	$5001 - Speaker Quadrant Selection	$5001	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-108	115	SYS-RA-DIAG-320	4940306	I/O	$5001 - Speaker Quadrant Selection	$5001	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-109	116	SYS-RA-DIAG-322	4940298	I/O	$5000 - Buzzer Control	$5000	positive	Functional Requirement	All	
SWE1-Diagnostics-110	117	SYS-RA-DIAG-322	4940298	I/O	$5000 - Buzzer Control	$5000	negative	Functional Requirement	All	
SWE1-Diagnostics-111	118	SYS-RA-DIAG-322	4940298	I/O	$5000 - Buzzer Control	$5000	unsupported	Functional Requirement	All	
SWE1-Diagnostics-112	119	SYS-RA-DIAG-323	4940297	I/O	$5000 - Buzzer Control	$5000	positive	Functional Requirement	All	
SWE1-Diagnostics-113	120	SYS-RA-DIAG-323	4940297	I/O	$5000 - Buzzer Control	$5000	negative	Functional Requirement	All	
SWE1-Diagnostics-114	121	SYS-RA-DIAG-323	4940297	I/O	$5000 - Buzzer Control	$5000	unsupported	Functional Requirement	All	
SWE1-Diagnostics-115	122	SYS-RA-DIAG-324	4940296	I/O	$5000 - Buzzer Control	$5000	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-116	123	SYS-RA-DIAG-324	4940296	I/O	$5000 - Buzzer Control	$5000	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-117	124	SYS-RA-DIAG-324	4940296	I/O	$5000 - Buzzer Control	$5000	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-118	125	SYS-RA-DIAG-325	4940294	I/O	$5000 - Buzzer Control	$5000	positive	Functional Requirement	All	
SWE1-Diagnostics-119	126	SYS-RA-DIAG-325	4940294	I/O	$5000 - Buzzer Control	$5000	negative	Functional Requirement	All	
SWE1-Diagnostics-120	127	SYS-RA-DIAG-325	4940294	I/O	$5000 - Buzzer Control	$5000	unsupported	Functional Requirement	All	
SWE1-Diagnostics-121	128	SYS-RA-DIAG-329	4940292	I/O	$5000 - Buzzer Control	$5000	positive	Functional Requirement	All	
SWE1-Diagnostics-122	129	SYS-RA-DIAG-329	4940292	I/O	$5000 - Buzzer Control	$5000	negative	Functional Requirement	All	
SWE1-Diagnostics-123	130	SYS-RA-DIAG-329	4940292	I/O	$5000 - Buzzer Control	$5000	unsupported	Functional Requirement	All	
SWE1-Diagnostics-124	131	SYS-RA-DIAG-330	4940291	I/O	$5000 - Buzzer Control	$5000	positive	Functional Requirement	All	
SWE1-Diagnostics-125	132	SYS-RA-DIAG-330	4940291	I/O	$5000 - Buzzer Control	$5000	negative	Functional Requirement	All	
SWE1-Diagnostics-126	133	SYS-RA-DIAG-330	4940291	I/O	$5000 - Buzzer Control	$5000	unsupported	Functional Requirement	All	
SWE1-Diagnostics-127	134	SYS-RA-DIAG-331	4940290	I/O	$5000 - Buzzer Control	$5000	positive	Functional Requirement	All	
SWE1-Diagnostics-128	135	SYS-RA-DIAG-331	4940290	I/O	$5000 - Buzzer Control	$5000	negative	Functional Requirement	All	
SWE1-Diagnostics-129	136	SYS-RA-DIAG-331	4940290	I/O	$5000 - Buzzer Control	$5000	unsupported	Functional Requirement	All	
SWE1-Diagnostics-130	137	SYS-RA-DIAG-332	4940289	I/O	$5000 - Buzzer Control	$5000	positive	Functional Requirement	All	
SWE1-Diagnostics-131	138	SYS-RA-DIAG-332	4940289	I/O	$5000 - Buzzer Control	$5000	negative	Functional Requirement	All	
SWE1-Diagnostics-132	139	SYS-RA-DIAG-332	4940289	I/O	$5000 - Buzzer Control	$5000	unsupported	Functional Requirement	All	
SWE1-Diagnostics-133	140	SYS-RA-DIAG-333	4940285	I/O	$5000 - Buzzer Control	$5000	positive	Functional Requirement	All	
SWE1-Diagnostics-134	141	SYS-RA-DIAG-333	4940285	I/O	$5000 - Buzzer Control	$5000	negative	Functional Requirement	All	
SWE1-Diagnostics-135	142	SYS-RA-DIAG-333	4940285	I/O	$5000 - Buzzer Control	$5000	unsupported	Functional Requirement	All	
SWE1-Diagnostics-136	143	SYS-RA-DIAG-334	4940288	I/O	$5000 - Buzzer Control	$5000	positive	Functional Requirement	All	
SWE1-Diagnostics-137	144	SYS-RA-DIAG-334	4940288	I/O	$5000 - Buzzer Control	$5000	negative	Functional Requirement	All	
SWE1-Diagnostics-138	145	SYS-RA-DIAG-334	4940288	I/O	$5000 - Buzzer Control	$5000	unsupported	Functional Requirement	All	
SWE1-Diagnostics-139	146	SYS-RA-DIAG-335	4940287	I/O	$5000 - Buzzer Control	$5000	positive	Functional Requirement	All	
SWE1-Diagnostics-140	147	SYS-RA-DIAG-335	4940287	I/O	$5000 - Buzzer Control	$5000	negative	Functional Requirement	All	
SWE1-Diagnostics-141	148	SYS-RA-DIAG-335	4940287	I/O	$5000 - Buzzer Control	$5000	unsupported	Functional Requirement	All	
SWE1-Diagnostics-142	149	SYS-RA-DIAG-336	4940286	I/O	$5000 - Buzzer Control	$5000	positive	Functional Requirement	All	
SWE1-Diagnostics-143	150	SYS-RA-DIAG-336	4940286	I/O	$5000 - Buzzer Control	$5000	negative	Functional Requirement	All	
SWE1-Diagnostics-144	151	SYS-RA-DIAG-336	4940286	I/O	$5000 - Buzzer Control	$5000	unsupported	Functional Requirement	All	
SWE1-Diagnostics-145	152	SYS-RA-DIAG-337	4940295	I/O	$5000 - Buzzer Control	$5000	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-146	153	SYS-RA-DIAG-337	4940295	I/O	$5000 - Buzzer Control	$5000	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-147	154	SYS-RA-DIAG-337	4940295	I/O	$5000 - Buzzer Control	$5000	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-148	155	SYS-RA-DIAG-360	4940485	Routine	$031B - Audio Measure AC	$031B	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-149	156	SYS-RA-DIAG-360	4940485	Routine	$031B - Audio Measure AC	$031B	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-150	157	SYS-RA-DIAG-360	4940485	Routine	$031B - Audio Measure AC	$031B	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-151	158	SYS-RA-DIAG-363	4940473	Routine	$0312 - AV Signal Detection	$0312	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-152	159	SYS-RA-DIAG-363	4940473	Routine	$0312 - AV Signal Detection	$0312	negative	Functional Requirement	All	Need Rework
SWE1-Diagnostics-153	160	SYS-RA-DIAG-363	4940473	Routine	$0312 - AV Signal Detection	$0312	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-154	161	SYS-RA-DIAG-367	4940482	Routine	$0312 - AV Signal Detection	$0312	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-155	162	SYS-RA-DIAG-369	4940477	Routine	$0312 - AV Signal Detection	$0312	positive	Functional Requirement	All	Accepted
SWE1-Diagnostics-156	163	SYS-RA-DIAG-369	4940477	Routine	$0312 - AV Signal Detection	$0312	negative	Functional Requirement	All	Accepted
SWE1-Diagnostics-157	164	SYS-RA-DIAG-369	4940477	Routine	$0312 - AV Signal Detection	$0312	unsupported	Functional Requirement	All	Accepted
SWE1-Diagnostics-158	165	SYS-RA-DIAG-370	4940474	Routine	$0312 - AV Signal Detection	$0312	positive	Functional Requirement	All	Need Rework
SWE1-Diagnostics-159	166	SYS-RA-DIAG-370	4940474	Routine	$0312 - AV Signal Detection	$0312	unsupported	Functional Requirement	All	Need Rework
SWE1-Diagnostics-160	167	SYS-RA-DIAG-371	4940476	Routine	$0312 - AV Signal Detection	$0312	positive	Functional Requirement	All	
SWE1-Diagnostics-161	168	SYS-RA-DIAG-104	4939836	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-162	169	SYS-RA-DIAG-104	4939836	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-163	170	SYS-RA-DIAG-105	4939838	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-164	171	SYS-RA-DIAG-105	4939838	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-165	172	SYS-RA-DIAG-106	4939835	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-166	173	SYS-RA-DIAG-106	4939835	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-167	174	SYS-RA-DIAG-107	4939837	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-168	175	SYS-RA-DIAG-107	4939837	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-169	176	SYS-RA-DIAG-108	4939834	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-170	177	SYS-RA-DIAG-108	4939834	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-171	178	SYS-RA-DIAG-109	4939827	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-172	179	SYS-RA-DIAG-109	4939827	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-173	180	SYS-RA-DIAG-110	4939833	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-174	181	SYS-RA-DIAG-110	4939833	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-175	182	SYS-RA-DIAG-111	4939830	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-176	183	SYS-RA-DIAG-111	4939830	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-177	184	SYS-RA-DIAG-112	4939832	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-178	185	SYS-RA-DIAG-112	4939832	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-179	186	SYS-RA-DIAG-113	4939829	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-180	187	SYS-RA-DIAG-113	4939829	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	negative	Functional Requirement	NAFTA	
SWE1-Diagnostics-181	188	SYS-RA-DIAG-114	4939831	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	positive	Functional Requirement	NAFTA	
SWE1-Diagnostics-182	189	SYS-RA-DIAG-114	4939831	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	$2842	negative	Functional Requirement	NAFTA	
