src_id_raw	src_id_strip	n_037_rows	resolved	cfts004_row	object_id	anchor	cat	l3
SYS-RA-DIAG-131	SYS-RA-DIAG-131	2	Y	132	4939815	CFTS004-4939815	Functional Requirement	$2841 - X65 Signal Quality Diagnostics (Read)
SYS-RA-DIAG-132	SYS-RA-DIAG-132	2	Y	133	4939814	CFTS004-4939814	Functional Requirement	$2841 - X65 Signal Quality Diagnostics (Read)
SYS-RA-DIAG-133	SYS-RA-DIAG-133	2	Y	134	4939813	CFTS004-4939813	Functional Requirement	$2841 - X65 Signal Quality Diagnostics (Read)
SYS-RA-DIAG-134	SYS-RA-DIAG-134	2	Y	135	4939812	CFTS004-4939812	Functional Requirement	$2841 - X65 Signal Quality Diagnostics (Read)
SYS-RA-DIAG-138	SYS-RA-DIAG-138	2	Y	139	4939803	CFTS004-4939803	Functional Requirement	$2840 - X65 Antenna Status Diagnostics (Read)
SYS-RA-DIAG-139	SYS-RA-DIAG-139	2	Y	140	4939800	CFTS004-4939800	Functional Requirement	$2840 - X65 Antenna Status Diagnostics (Read)
SYS-RA-DIAG-140	SYS-RA-DIAG-140	2	Y	141	4939802	CFTS004-4939802	Functional Requirement	$2840 - X65 Antenna Status Diagnostics (Read)
SYS-RA-DIAG-142	SYS-RA-DIAG-142	2	Y	143	4939804	CFTS004-4939804	Functional Requirement	$2840 - X65 Antenna Status Diagnostics (Read)
SYS-RA-DIAG-143	SYS-RA-DIAG-143	2	Y	144	4939801	CFTS004-4939801	Functional Requirement	$2840 - X65 Antenna Status Diagnostics (Read)
SYS-RA-DIAG-146	SYS-RA-DIAG-146	3	Y	147	4939794	CFTS004-4939794	Functional Requirement	$283F - Camera Level Brightness (Read/Write)
SYS-RA-DIAG-147	SYS-RA-DIAG-147	3	Y	148	4939793	CFTS004-4939793	Functional Requirement	$283F - Camera Level Brightness (Read/Write)
SYS-RA-DIAG-154	SYS-RA-DIAG-154	3	Y	155	4939727	CFTS004-4939727	Functional Requirement	$2812 - GPS Signal Data 1 (Read)
SYS-RA-DIAG-155	SYS-RA-DIAG-155	3	Y	156	4939720	CFTS004-4939720	Functional Requirement	$2812 - GPS Signal Data 1 (Read)
SYS-RA-DIAG-156	SYS-RA-DIAG-156	3	Y	157	4939719	CFTS004-4939719	Functional Requirement	$2812 - GPS Signal Data 1 (Read)
SYS-RA-DIAG-157	SYS-RA-DIAG-157	3	Y	158	4939718	CFTS004-4939718	Functional Requirement	$2812 - GPS Signal Data 1 (Read)
SYS-RA-DIAG-158	SYS-RA-DIAG-158	3	Y	159	4939724	CFTS004-4939724	Functional Requirement	$2812 - GPS Signal Data 1 (Read)
SYS-RA-DIAG-159	SYS-RA-DIAG-159	3	Y	160	4939728	CFTS004-4939728	Functional Requirement	$2812 - GPS Signal Data 1 (Read)
SYS-RA-DIAG-160	SYS-RA-DIAG-160	3	Y	161	4939722	CFTS004-4939722	Functional Requirement	$2812 - GPS Signal Data 1 (Read)
SYS-RA-DIAG-161	SYS-RA-DIAG-161	3	Y	162	4939721	CFTS004-4939721	Functional Requirement	$2812 - GPS Signal Data 1 (Read)
SYS-RA-DIAG-162	SYS-RA-DIAG-162	3	Y	163	4939725	CFTS004-4939725	Functional Requirement	$2812 - GPS Signal Data 1 (Read)
SYS-RA-DIAG-163	SYS-RA-DIAG-163	3	Y	164	4939723	CFTS004-4939723	Functional Requirement	$2812 - GPS Signal Data 1 (Read)
SYS-RA-DIAG-165	SYS-RA-DIAG-165	3	Y	166	4939726	CFTS004-4939726	Functional Requirement	$2812 - GPS Signal Data 1 (Read)
SYS-RA-DIAG-166	SYS-RA-DIAG-166	1	Y	167	4939715	CFTS004-4939715	Functional Requirement	$2812 - GPS Signal Data 1 (Read)
SYS-RA-DIAG-186	SYS-RA-DIAG-186	2	Y	187	4939688	CFTS004-4939688	Functional Requirement	$280C - ECU Current Internal Settings (Read/Write)
SYS-RA-DIAG-188	SYS-RA-DIAG-188	2	Y	189	4939684	CFTS004-4939684	Functional Requirement	$280C - ECU Current Internal Settings (Read/Write)
SYS-RA-DIAG-189	SYS-RA-DIAG-189	1	Y	190	4939689	CFTS004-4939689	Functional Requirement	$280C - ECU Current Internal Settings (Read/Write)
SYS-RA-DIAG-190	SYS-RA-DIAG-190	1	Y	191	4939685	CFTS004-4939685	Functional Requirement	$280C - ECU Current Internal Settings (Read/Write)
SYS-RA-DIAG-192	SYS-RA-DIAG-192	2	Y	193	4939687	CFTS004-4939687	Functional Requirement	$280C - ECU Current Internal Settings (Read/Write)
SYS-RA-DIAG-214	SYS-RA-DIAG-214	2	Y	215	4939651	CFTS004-4939651	Functional Requirement	$1821 - Steering Wheel Module Interface (Read)
SYS-RA-DIAG-215	SYS-RA-DIAG-215	3	Y	216	4939650	CFTS004-4939650	Functional Requirement	$1821 - Steering Wheel Module Interface (Read)
SYS-RA-DIAG-218	SYS-RA-DIAG-218	1	Y	219	4939646	CFTS004-4939646	Functional Requirement	$1820 - Push Button Control Interface (Read)
SYS-RA-DIAG-220	SYS-RA-DIAG-220	1	Y	221	4939647	CFTS004-4939647	Functional Requirement	$1820 - Push Button Control Interface (Read)
SYS-RA-DIAG-222	SYS-RA-DIAG-222	1	Y	223	4939643	CFTS004-4939643	Functional Requirement	$180C - Radio Audio Output Settings
SYS-RA-DIAG-238	SYS-RA-DIAG-238	3	Y	239	4939626	CFTS004-4939626	Functional Requirement	$1801 - Screen Test Pattern (Read/Write)
SYS-RA-DIAG-248	SYS-RA-DIAG-248	1	Y	249	4940710	CFTS004-4940710	Out of  Scope	$1801 - Screen Test Pattern (Read/Write)
SYS-RA-DIAG-261	SYS-RA-DIAG-261	1	Y	262	4940358	CFTS004-4940358	Functional Requirement	$5100 - Video Input
SYS-RA-DIAG-262	SYS-RA-DIAG-262	2	Y	263	4940359	CFTS004-4940359	Functional Requirement	$5100 - Video Input
SYS-RA-DIAG-264	SYS-RA-DIAG-264	2	Y	265	4940355	CFTS004-4940355	Functional Requirement	$500D - Video Input Settings
SYS-RA-DIAG-268	SYS-RA-DIAG-268	3	Y	269	4940351	CFTS004-4940351	Functional Requirement	$500C - SDAR Station Selection
SYS-RA-DIAG-270	SYS-RA-DIAG-270	1	Y	271	4940352	CFTS004-4940352	Functional Requirement	$500C - SDAR Station Selection
SYS-RA-DIAG-272	SYS-RA-DIAG-272	3	Y	273	4940346	CFTS004-4940346	Functional Requirement	$500B - In Motion Menu Control
SYS-RA-DIAG-273	SYS-RA-DIAG-273	2	Y	274	4940347	CFTS004-4940347	Functional Requirement	$500B - In Motion Menu Control
SYS-RA-DIAG-276	SYS-RA-DIAG-276	1	Y	277	4940348	CFTS004-4940348	Functional Requirement	$500B - In Motion Menu Control
SYS-RA-DIAG-279	SYS-RA-DIAG-279	3	Y	280	4940342	CFTS004-4940342	Functional Requirement	$500A - Mode Selection
SYS-RA-DIAG-280	SYS-RA-DIAG-280	3	Y	281	4940341	CFTS004-4940341	Functional Requirement	$500A - Mode Selection
SYS-RA-DIAG-283	SYS-RA-DIAG-283	3	Y	284	4940337	CFTS004-4940337	Functional Requirement	$5009 - Frequency Step Selection
SYS-RA-DIAG-286	SYS-RA-DIAG-286	3	Y	287	4940334	CFTS004-4940334	Functional Requirement	$5008 - Seek Status
SYS-RA-DIAG-287	SYS-RA-DIAG-287	3	Y	288	4940333	CFTS004-4940333	Functional Requirement	$5008 - Seek Status
SYS-RA-DIAG-294	SYS-RA-DIAG-294	1	Y	295	4940326	CFTS004-4940326	Functional Requirement	$5006 - Fade Settings
SYS-RA-DIAG-295	SYS-RA-DIAG-295	1	Y	296	4940325	CFTS004-4940325	Functional Requirement	$5006 - Fade Settings
SYS-RA-DIAG-298	SYS-RA-DIAG-298	1	Y	299	4940322	CFTS004-4940322	Functional Requirement	$5005 - Balance Settings
SYS-RA-DIAG-299	SYS-RA-DIAG-299	1	Y	300	4940321	CFTS004-4940321	Functional Requirement	$5005 - Balance Settings
SYS-RA-DIAG-302	SYS-RA-DIAG-302	1	Y	303	4940318	CFTS004-4940318	Functional Requirement	$5004 - Treble Settings
SYS-RA-DIAG-303	SYS-RA-DIAG-303	1	Y	304	4940317	CFTS004-4940317	Functional Requirement	$5004 - Treble Settings
SYS-RA-DIAG-304	SYS-RA-DIAG-304	3	Y	305	4940316	CFTS004-4940316	Functional Requirement	$5004 - Treble Settings
SYS-RA-DIAG-306	SYS-RA-DIAG-306	3	Y	307	4940314	CFTS004-4940314	Functional Requirement	$5003 - Bass Settings
SYS-RA-DIAG-307	SYS-RA-DIAG-307	3	Y	308	4940313	CFTS004-4940313	Functional Requirement	$5003 - Bass Settings
SYS-RA-DIAG-308	SYS-RA-DIAG-308	3	Y	309	4940312	CFTS004-4940312	Functional Requirement	$5003 - Bass Settings
SYS-RA-DIAG-310	SYS-RA-DIAG-310	3	Y	311	4940310	CFTS004-4940310	Functional Requirement	$5002 - Radio Volume
SYS-RA-DIAG-311	SYS-RA-DIAG-311	3	Y	312	4940309	CFTS004-4940309	Functional Requirement	$5002 - Radio Volume
SYS-RA-DIAG-312	SYS-RA-DIAG-312	3	Y	313	4940308	CFTS004-4940308	Functional Requirement	$5002 - Radio Volume
SYS-RA-DIAG-314	SYS-RA-DIAG-314	3	Y	315	4940305	CFTS004-4940305	Functional Requirement	$5001 - Speaker Quadrant Selection
SYS-RA-DIAG-315   	SYS-RA-DIAG-315	3	Y	316	4940304	CFTS004-4940304	Functional Requirement	$5001 - Speaker Quadrant Selection
SYS-RA-DIAG-316	SYS-RA-DIAG-316	3	Y	317	4940300	CFTS004-4940300	Functional Requirement	$5001 - Speaker Quadrant Selection
SYS-RA-DIAG-317	SYS-RA-DIAG-317	3	Y	318	4940303	CFTS004-4940303	Functional Requirement	$5001 - Speaker Quadrant Selection
SYS-RA-DIAG-318	SYS-RA-DIAG-318	3	Y	319	4940302	CFTS004-4940302	Functional Requirement	$5001 - Speaker Quadrant Selection
SYS-RA-DIAG-320	SYS-RA-DIAG-320	3	Y	321	4940306	CFTS004-4940306	Functional Requirement	$5001 - Speaker Quadrant Selection
SYS-RA-DIAG-322	SYS-RA-DIAG-322	3	Y	323	4940298	CFTS004-4940298	Functional Requirement	$5000 - Buzzer Control
SYS-RA-DIAG-323	SYS-RA-DIAG-323	3	Y	324	4940297	CFTS004-4940297	Functional Requirement	$5000 - Buzzer Control
SYS-RA-DIAG-324	SYS-RA-DIAG-324	3	Y	325	4940296	CFTS004-4940296	Functional Requirement	$5000 - Buzzer Control
SYS-RA-DIAG-325	SYS-RA-DIAG-325	3	Y	326	4940294	CFTS004-4940294	Functional Requirement	$5000 - Buzzer Control
SYS-RA-DIAG-329	SYS-RA-DIAG-329	3	Y	330	4940292	CFTS004-4940292	Functional Requirement	$5000 - Buzzer Control
SYS-RA-DIAG-330	SYS-RA-DIAG-330	3	Y	331	4940291	CFTS004-4940291	Functional Requirement	$5000 - Buzzer Control
SYS-RA-DIAG-331	SYS-RA-DIAG-331	3	Y	332	4940290	CFTS004-4940290	Functional Requirement	$5000 - Buzzer Control
SYS-RA-DIAG-332	SYS-RA-DIAG-332	3	Y	333	4940289	CFTS004-4940289	Functional Requirement	$5000 - Buzzer Control
SYS-RA-DIAG-333	SYS-RA-DIAG-333	3	Y	334	4940285	CFTS004-4940285	Functional Requirement	$5000 - Buzzer Control
SYS-RA-DIAG-334	SYS-RA-DIAG-334	3	Y	335	4940288	CFTS004-4940288	Functional Requirement	$5000 - Buzzer Control
SYS-RA-DIAG-335	SYS-RA-DIAG-335	3	Y	336	4940287	CFTS004-4940287	Functional Requirement	$5000 - Buzzer Control
SYS-RA-DIAG-336	SYS-RA-DIAG-336	3	Y	337	4940286	CFTS004-4940286	Functional Requirement	$5000 - Buzzer Control
SYS-RA-DIAG-337	SYS-RA-DIAG-337	3	Y	338	4940295	CFTS004-4940295	Functional Requirement	$5000 - Buzzer Control
SYS-RA-DIAG-360	SYS-RA-DIAG-360	3	Y	361	4940485	CFTS004-4940485	Functional Requirement	$031B - Audio Measure AC
SYS-RA-DIAG-363	SYS-RA-DIAG-363	3	Y	364	4940473	CFTS004-4940473	Functional Requirement	$0312 - AV Signal Detection
SYS-RA-DIAG-367	SYS-RA-DIAG-367	1	Y	368	4940482	CFTS004-4940482	Functional Requirement	$0312 - AV Signal Detection
SYS-RA-DIAG-369	SYS-RA-DIAG-369	3	Y	370	4940477	CFTS004-4940477	Functional Requirement	$0312 - AV Signal Detection
SYS-RA-DIAG-370	SYS-RA-DIAG-370	2	Y	371	4940474	CFTS004-4940474	Functional Requirement	$0312 - AV Signal Detection
SYS-RA-DIAG-371	SYS-RA-DIAG-371	1	Y	372	4940476	CFTS004-4940476	Functional Requirement	$0312 - AV Signal Detection
SYS-RA-DIAG-373	SYS-RA-DIAG-373	1	Y	374	4940469	CFTS004-4940469	Functional Requirement	$030A - Clear Key Sense PIN
SYS-RA-DIAG-375	SYS-RA-DIAG-375	2	Y	376	4940463	CFTS004-4940463	Functional Requirement	$0309 - X65 MPFA Select Routine
SYS-RA-DIAG-376	SYS-RA-DIAG-376	2	Y	377	4940462	CFTS004-4940462	Functional Requirement	$0309 - X65 MPFA Select Routine
SYS-RA-DIAG-377	SYS-RA-DIAG-377	2	Y	378	4940464	CFTS004-4940464	Functional Requirement	$0309 - X65 MPFA Select Routine
SYS-RA-DIAG-379	SYS-RA-DIAG-379	1	Y	380	4940466	CFTS004-4940466	Functional Requirement	$0309 - X65 MPFA Select Routine
SYS-RA-DIAG-380	SYS-RA-DIAG-380	1	Y	381	4940465	CFTS004-4940465	Functional Requirement	$0309 - X65 MPFA Select Routine
SYS-RA-DIAG-385	SYS-RA-DIAG-385	1	Y	386	4940452	CFTS004-4940452	Functional Requirement	$0307 - X65 MPFA Validate Routine
SYS-RA-DIAG-386	SYS-RA-DIAG-386	1	Y	387	4940451	CFTS004-4940451	Functional Requirement	$0307 - X65 MPFA Validate Routine
SYS-RA-DIAG-387	SYS-RA-DIAG-387	1	Y	388	4940453	CFTS004-4940453	Functional Requirement	$0307 - X65 MPFA Validate Routine
SYS-RA-DIAG-390	SYS-RA-DIAG-390	1	Y	391	4940455	CFTS004-4940455	Functional Requirement	$0307 - X65 MPFA Validate Routine
SYS-RA-DIAG-391	SYS-RA-DIAG-391	1	Y	392	4940454	CFTS004-4940454	Functional Requirement	$0307 - X65 MPFA Validate Routine
