swe	row037	src	did	parent	l3	kind	l2_no	l2_candidate
SWE1-Diagnostics-044	51	SYS-RA-DIAG-021	$500A	R/W	$500A - Mode Selection (Read)	positive	16	Mode Selection
SWE1-Diagnostics-045	52	SYS-RA-DIAG-021	$500A	R/W	$500A - Mode Selection (Read)	negative	16	Mode Selection
SWE1-Diagnostics-046	53	SYS-RA-DIAG-021	$500A	R/W	$500A - Mode Selection (Read)	unsupported	16	Mode Selection
SWE1-Diagnostics-047	54	SYS-RA-DIAG-029	$5001	R/W	$5001 - Speaker Quadrant Selection (Read)	positive	13	Speaker Quadrant Selection
SWE1-Diagnostics-048	55	SYS-RA-DIAG-029	$5001	R/W	$5001 - Speaker Quadrant Selection (Read)	negative	13	Speaker Quadrant Selection
SWE1-Diagnostics-049	56	SYS-RA-DIAG-031	$5001	R/W	$5001 - Speaker Quadrant Selection (Read)	negative	13	Speaker Quadrant Selection
SWE1-Diagnostics-050	57	SYS-RA-DIAG-033	$5000	R/W	$5000 - Buzzer Control (Read)	positive	12	Buzzer Control
SWE1-Diagnostics-051	58	SYS-RA-DIAG-042	$2870	R/W	$2870 - Media Hub Config (Read)	positive	8	Media Hub Config
SWE1-Diagnostics-052	59	SYS-RA-DIAG-189	$280C	R/W	$280C - ECU Current Internal Settings (Read/Write)	positive	7	ECU Internal Settings
SWE1-Diagnostics-053	60	SYS-RA-DIAG-190	$280C	R/W	$280C - ECU Current Internal Settings (Read/Write)	positive	7	ECU Internal Settings
SWE1-Diagnostics-054	61	SYS-RA-DIAG-218	$1820	R/W	$1820 - Push Button Control Interface (Read)	positive	9	Button Interfaces
SWE1-Diagnostics-055	62	SYS-RA-DIAG-220	$1820	R/W	$1820 - Push Button Control Interface (Read)	positive	9	Button Interfaces
SWE1-Diagnostics-056	63	SYS-RA-DIAG-222	$180C	R/W	$180C - Radio Audio Output Settings	positive	11	Audio Output Settings
SWE1-Diagnostics-057	64	SYS-RA-DIAG-248	$1801	R/W	$1801 - Screen Test Pattern (Read/Write)	positive	10	Screen Test Pattern
SWE1-Diagnostics-058	65	SYS-RA-DIAG-279	$500A	I/O	$500A - Mode Selection	positive	16	Mode Selection
SWE1-Diagnostics-059	66	SYS-RA-DIAG-279	$500A	I/O	$500A - Mode Selection	negative	16	Mode Selection
SWE1-Diagnostics-060	67	SYS-RA-DIAG-279	$500A	I/O	$500A - Mode Selection	unsupported	16	Mode Selection
SWE1-Diagnostics-061	68	SYS-RA-DIAG-280	$500A	I/O	$500A - Mode Selection	positive	16	Mode Selection
SWE1-Diagnostics-062	69	SYS-RA-DIAG-280	$500A	I/O	$500A - Mode Selection	negative	16	Mode Selection
SWE1-Diagnostics-063	70	SYS-RA-DIAG-280	$500A	I/O	$500A - Mode Selection	unsupported	16	Mode Selection
SWE1-Diagnostics-064	71	SYS-RA-DIAG-294	$5006	I/O	$5006 - Fade Settings	positive	14	Audio Tone Settings
SWE1-Diagnostics-065	72	SYS-RA-DIAG-295	$5006	I/O	$5006 - Fade Settings	positive	14	Audio Tone Settings
SWE1-Diagnostics-066	73	SYS-RA-DIAG-298	$5005	I/O	$5005 - Balance Settings	positive	14	Audio Tone Settings
SWE1-Diagnostics-067	74	SYS-RA-DIAG-299	$5005	I/O	$5005 - Balance Settings	positive	14	Audio Tone Settings
SWE1-Diagnostics-068	75	SYS-RA-DIAG-302	$5004	I/O	$5004 - Treble Settings	positive	14	Audio Tone Settings
SWE1-Diagnostics-069	76	SYS-RA-DIAG-303	$5004	I/O	$5004 - Treble Settings	positive	14	Audio Tone Settings
SWE1-Diagnostics-070	77	SYS-RA-DIAG-304	$5004	I/O	$5004 - Treble Settings	positive	14	Audio Tone Settings
SWE1-Diagnostics-071	78	SYS-RA-DIAG-304	$5004	I/O	$5004 - Treble Settings	negative	14	Audio Tone Settings
SWE1-Diagnostics-072	79	SYS-RA-DIAG-304	$5004	I/O	$5004 - Treble Settings	unsupported	14	Audio Tone Settings
SWE1-Diagnostics-073	80	SYS-RA-DIAG-306	$5003	I/O	$5003 - Bass Settings	positive	14	Audio Tone Settings
SWE1-Diagnostics-074	81	SYS-RA-DIAG-306	$5003	I/O	$5003 - Bass Settings	negative	14	Audio Tone Settings
SWE1-Diagnostics-075	82	SYS-RA-DIAG-306	$5003	I/O	$5003 - Bass Settings	unsupported	14	Audio Tone Settings
SWE1-Diagnostics-076	83	SYS-RA-DIAG-307	$5003	I/O	$5003 - Bass Settings	positive	14	Audio Tone Settings
SWE1-Diagnostics-077	84	SYS-RA-DIAG-307	$5003	I/O	$5003 - Bass Settings	negative	14	Audio Tone Settings
SWE1-Diagnostics-078	85	SYS-RA-DIAG-307	$5003	I/O	$5003 - Bass Settings	unsupported	14	Audio Tone Settings
SWE1-Diagnostics-079	86	SYS-RA-DIAG-308	$5003	I/O	$5003 - Bass Settings	positive	14	Audio Tone Settings
SWE1-Diagnostics-080	87	SYS-RA-DIAG-308	$5003	I/O	$5003 - Bass Settings	negative	14	Audio Tone Settings
SWE1-Diagnostics-081	88	SYS-RA-DIAG-308	$5003	I/O	$5003 - Bass Settings	unsupported	14	Audio Tone Settings
SWE1-Diagnostics-082	89	SYS-RA-DIAG-310	$5002	I/O	$5002 - Radio Volume	positive	14	Audio Tone Settings
SWE1-Diagnostics-083	90	SYS-RA-DIAG-310	$5002	I/O	$5002 - Radio Volume	negative	14	Audio Tone Settings
SWE1-Diagnostics-084	91	SYS-RA-DIAG-310	$5002	I/O	$5002 - Radio Volume	unsupported	14	Audio Tone Settings
SWE1-Diagnostics-085	92	SYS-RA-DIAG-311	$5002	I/O	$5002 - Radio Volume	positive	14	Audio Tone Settings
SWE1-Diagnostics-086	93	SYS-RA-DIAG-311	$5002	I/O	$5002 - Radio Volume	negative	14	Audio Tone Settings
SWE1-Diagnostics-087	94	SYS-RA-DIAG-311	$5002	I/O	$5002 - Radio Volume	unsupported	14	Audio Tone Settings
SWE1-Diagnostics-088	95	SYS-RA-DIAG-312	$5002	I/O	$5002 - Radio Volume	positive	14	Audio Tone Settings
SWE1-Diagnostics-089	96	SYS-RA-DIAG-312	$5002	I/O	$5002 - Radio Volume	negative	14	Audio Tone Settings
SWE1-Diagnostics-090	97	SYS-RA-DIAG-312	$5002	I/O	$5002 - Radio Volume	unsupported	14	Audio Tone Settings
SWE1-Diagnostics-091	98	SYS-RA-DIAG-314	$5001	I/O	$5001 - Speaker Quadrant Selection	positive	13	Speaker Quadrant Selection
SWE1-Diagnostics-092	99	SYS-RA-DIAG-314	$5001	I/O	$5001 - Speaker Quadrant Selection	negative	13	Speaker Quadrant Selection
SWE1-Diagnostics-093	100	SYS-RA-DIAG-314	$5001	I/O	$5001 - Speaker Quadrant Selection	unsupported	13	Speaker Quadrant Selection
SWE1-Diagnostics-094	101	SYS-RA-DIAG-315	$5001	I/O	$5001 - Speaker Quadrant Selection	positive	13	Speaker Quadrant Selection
SWE1-Diagnostics-095	102	SYS-RA-DIAG-315	$5001	I/O	$5001 - Speaker Quadrant Selection	negative	13	Speaker Quadrant Selection
SWE1-Diagnostics-096	103	SYS-RA-DIAG-315	$5001	I/O	$5001 - Speaker Quadrant Selection	unsupported	13	Speaker Quadrant Selection
SWE1-Diagnostics-097	104	SYS-RA-DIAG-316	$5001	I/O	$5001 - Speaker Quadrant Selection	positive	13	Speaker Quadrant Selection
SWE1-Diagnostics-098	105	SYS-RA-DIAG-316	$5001	I/O	$5001 - Speaker Quadrant Selection	negative	13	Speaker Quadrant Selection
SWE1-Diagnostics-099	106	SYS-RA-DIAG-316	$5001	I/O	$5001 - Speaker Quadrant Selection	unsupported	13	Speaker Quadrant Selection
SWE1-Diagnostics-100	107	SYS-RA-DIAG-317	$5001	I/O	$5001 - Speaker Quadrant Selection	positive	13	Speaker Quadrant Selection
SWE1-Diagnostics-101	108	SYS-RA-DIAG-317	$5001	I/O	$5001 - Speaker Quadrant Selection	negative	13	Speaker Quadrant Selection
SWE1-Diagnostics-102	109	SYS-RA-DIAG-317	$5001	I/O	$5001 - Speaker Quadrant Selection	unsupported	13	Speaker Quadrant Selection
SWE1-Diagnostics-103	110	SYS-RA-DIAG-318	$5001	I/O	$5001 - Speaker Quadrant Selection	positive	13	Speaker Quadrant Selection
SWE1-Diagnostics-104	111	SYS-RA-DIAG-318	$5001	I/O	$5001 - Speaker Quadrant Selection	negative	13	Speaker Quadrant Selection
SWE1-Diagnostics-105	112	SYS-RA-DIAG-318	$5001	I/O	$5001 - Speaker Quadrant Selection	unsupported	13	Speaker Quadrant Selection
SWE1-Diagnostics-106	113	SYS-RA-DIAG-320	$5001	I/O	$5001 - Speaker Quadrant Selection	positive	13	Speaker Quadrant Selection
SWE1-Diagnostics-107	114	SYS-RA-DIAG-320	$5001	I/O	$5001 - Speaker Quadrant Selection	negative	13	Speaker Quadrant Selection
SWE1-Diagnostics-108	115	SYS-RA-DIAG-320	$5001	I/O	$5001 - Speaker Quadrant Selection	unsupported	13	Speaker Quadrant Selection
SWE1-Diagnostics-109	116	SYS-RA-DIAG-322	$5000	I/O	$5000 - Buzzer Control	positive	12	Buzzer Control
SWE1-Diagnostics-110	117	SYS-RA-DIAG-322	$5000	I/O	$5000 - Buzzer Control	negative	12	Buzzer Control
SWE1-Diagnostics-111	118	SYS-RA-DIAG-322	$5000	I/O	$5000 - Buzzer Control	unsupported	12	Buzzer Control
SWE1-Diagnostics-112	119	SYS-RA-DIAG-323	$5000	I/O	$5000 - Buzzer Control	positive	12	Buzzer Control
SWE1-Diagnostics-113	120	SYS-RA-DIAG-323	$5000	I/O	$5000 - Buzzer Control	negative	12	Buzzer Control
SWE1-Diagnostics-114	121	SYS-RA-DIAG-323	$5000	I/O	$5000 - Buzzer Control	unsupported	12	Buzzer Control
SWE1-Diagnostics-115	122	SYS-RA-DIAG-324	$5000	I/O	$5000 - Buzzer Control	positive	12	Buzzer Control
SWE1-Diagnostics-116	123	SYS-RA-DIAG-324	$5000	I/O	$5000 - Buzzer Control	negative	12	Buzzer Control
SWE1-Diagnostics-117	124	SYS-RA-DIAG-324	$5000	I/O	$5000 - Buzzer Control	unsupported	12	Buzzer Control
SWE1-Diagnostics-118	125	SYS-RA-DIAG-325	$5000	I/O	$5000 - Buzzer Control	positive	12	Buzzer Control
SWE1-Diagnostics-119	126	SYS-RA-DIAG-325	$5000	I/O	$5000 - Buzzer Control	negative	12	Buzzer Control
SWE1-Diagnostics-120	127	SYS-RA-DIAG-325	$5000	I/O	$5000 - Buzzer Control	unsupported	12	Buzzer Control
SWE1-Diagnostics-121	128	SYS-RA-DIAG-329	$5000	I/O	$5000 - Buzzer Control	positive	12	Buzzer Control
SWE1-Diagnostics-122	129	SYS-RA-DIAG-329	$5000	I/O	$5000 - Buzzer Control	negative	12	Buzzer Control
SWE1-Diagnostics-123	130	SYS-RA-DIAG-329	$5000	I/O	$5000 - Buzzer Control	unsupported	12	Buzzer Control
SWE1-Diagnostics-124	131	SYS-RA-DIAG-330	$5000	I/O	$5000 - Buzzer Control	positive	12	Buzzer Control
SWE1-Diagnostics-125	132	SYS-RA-DIAG-330	$5000	I/O	$5000 - Buzzer Control	negative	12	Buzzer Control
SWE1-Diagnostics-126	133	SYS-RA-DIAG-330	$5000	I/O	$5000 - Buzzer Control	unsupported	12	Buzzer Control
SWE1-Diagnostics-127	134	SYS-RA-DIAG-331	$5000	I/O	$5000 - Buzzer Control	positive	12	Buzzer Control
SWE1-Diagnostics-128	135	SYS-RA-DIAG-331	$5000	I/O	$5000 - Buzzer Control	negative	12	Buzzer Control
SWE1-Diagnostics-129	136	SYS-RA-DIAG-331	$5000	I/O	$5000 - Buzzer Control	unsupported	12	Buzzer Control
SWE1-Diagnostics-130	137	SYS-RA-DIAG-332	$5000	I/O	$5000 - Buzzer Control	positive	12	Buzzer Control
SWE1-Diagnostics-131	138	SYS-RA-DIAG-332	$5000	I/O	$5000 - Buzzer Control	negative	12	Buzzer Control
SWE1-Diagnostics-132	139	SYS-RA-DIAG-332	$5000	I/O	$5000 - Buzzer Control	unsupported	12	Buzzer Control
SWE1-Diagnostics-133	140	SYS-RA-DIAG-333	$5000	I/O	$5000 - Buzzer Control	positive	12	Buzzer Control
SWE1-Diagnostics-134	141	SYS-RA-DIAG-333	$5000	I/O	$5000 - Buzzer Control	negative	12	Buzzer Control
SWE1-Diagnostics-135	142	SYS-RA-DIAG-333	$5000	I/O	$5000 - Buzzer Control	unsupported	12	Buzzer Control
SWE1-Diagnostics-136	143	SYS-RA-DIAG-334	$5000	I/O	$5000 - Buzzer Control	positive	12	Buzzer Control
SWE1-Diagnostics-137	144	SYS-RA-DIAG-334	$5000	I/O	$5000 - Buzzer Control	negative	12	Buzzer Control
SWE1-Diagnostics-138	145	SYS-RA-DIAG-334	$5000	I/O	$5000 - Buzzer Control	unsupported	12	Buzzer Control
SWE1-Diagnostics-139	146	SYS-RA-DIAG-335	$5000	I/O	$5000 - Buzzer Control	positive	12	Buzzer Control
SWE1-Diagnostics-140	147	SYS-RA-DIAG-335	$5000	I/O	$5000 - Buzzer Control	negative	12	Buzzer Control
SWE1-Diagnostics-141	148	SYS-RA-DIAG-335	$5000	I/O	$5000 - Buzzer Control	unsupported	12	Buzzer Control
SWE1-Diagnostics-142	149	SYS-RA-DIAG-336	$5000	I/O	$5000 - Buzzer Control	positive	12	Buzzer Control
SWE1-Diagnostics-143	150	SYS-RA-DIAG-336	$5000	I/O	$5000 - Buzzer Control	negative	12	Buzzer Control
SWE1-Diagnostics-144	151	SYS-RA-DIAG-336	$5000	I/O	$5000 - Buzzer Control	unsupported	12	Buzzer Control
SWE1-Diagnostics-145	152	SYS-RA-DIAG-337	$5000	I/O	$5000 - Buzzer Control	positive	12	Buzzer Control
SWE1-Diagnostics-146	153	SYS-RA-DIAG-337	$5000	I/O	$5000 - Buzzer Control	negative	12	Buzzer Control
SWE1-Diagnostics-147	154	SYS-RA-DIAG-337	$5000	I/O	$5000 - Buzzer Control	unsupported	12	Buzzer Control
SWE1-Diagnostics-148	155	SYS-RA-DIAG-360	$031B	Routine	$031B - Audio Measure AC	positive	20	Audio Measure AC
SWE1-Diagnostics-149	156	SYS-RA-DIAG-360	$031B	Routine	$031B - Audio Measure AC	negative	20	Audio Measure AC
SWE1-Diagnostics-150	157	SYS-RA-DIAG-360	$031B	Routine	$031B - Audio Measure AC	unsupported	20	Audio Measure AC
SWE1-Diagnostics-151	158	SYS-RA-DIAG-363	$0312	Routine	$0312 - AV Signal Detection	positive	19	AV Signal Detection
SWE1-Diagnostics-152	159	SYS-RA-DIAG-363	$0312	Routine	$0312 - AV Signal Detection	negative	19	AV Signal Detection
SWE1-Diagnostics-153	160	SYS-RA-DIAG-363	$0312	Routine	$0312 - AV Signal Detection	unsupported	19	AV Signal Detection
SWE1-Diagnostics-154	161	SYS-RA-DIAG-367	$0312	Routine	$0312 - AV Signal Detection	positive	19	AV Signal Detection
SWE1-Diagnostics-155	162	SYS-RA-DIAG-369	$0312	Routine	$0312 - AV Signal Detection	positive	19	AV Signal Detection
SWE1-Diagnostics-156	163	SYS-RA-DIAG-369	$0312	Routine	$0312 - AV Signal Detection	negative	19	AV Signal Detection
SWE1-Diagnostics-157	164	SYS-RA-DIAG-369	$0312	Routine	$0312 - AV Signal Detection	unsupported	19	AV Signal Detection
SWE1-Diagnostics-158	165	SYS-RA-DIAG-370	$0312	Routine	$0312 - AV Signal Detection	positive	19	AV Signal Detection
SWE1-Diagnostics-159	166	SYS-RA-DIAG-370	$0312	Routine	$0312 - AV Signal Detection	unsupported	19	AV Signal Detection
SWE1-Diagnostics-160	167	SYS-RA-DIAG-371	$0312	Routine	$0312 - AV Signal Detection	positive	19	AV Signal Detection
SWE1-Diagnostics-161	168	SYS-RA-DIAG-104	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-162	169	SYS-RA-DIAG-104	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-163	170	SYS-RA-DIAG-105	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-164	171	SYS-RA-DIAG-105	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-165	172	SYS-RA-DIAG-106	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-166	173	SYS-RA-DIAG-106	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-167	174	SYS-RA-DIAG-107	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-168	175	SYS-RA-DIAG-107	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-169	176	SYS-RA-DIAG-108	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-170	177	SYS-RA-DIAG-108	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-171	178	SYS-RA-DIAG-109	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-172	179	SYS-RA-DIAG-109	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-173	180	SYS-RA-DIAG-110	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-174	181	SYS-RA-DIAG-110	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-175	182	SYS-RA-DIAG-111	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-176	183	SYS-RA-DIAG-111	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-177	184	SYS-RA-DIAG-112	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-178	185	SYS-RA-DIAG-112	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-179	186	SYS-RA-DIAG-113	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-180	187	SYS-RA-DIAG-113	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-181	188	SYS-RA-DIAG-114	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-182	189	SYS-RA-DIAG-114	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-183	190	SYS-RA-DIAG-115	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-184	191	SYS-RA-DIAG-115	$2842	R/W	$2842 - X65 Overlay Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-185	192	SYS-RA-DIAG-122	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-186	193	SYS-RA-DIAG-122	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-187	194	SYS-RA-DIAG-123	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-188	195	SYS-RA-DIAG-123	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-189	196	SYS-RA-DIAG-124	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-190	197	SYS-RA-DIAG-124	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-191	198	SYS-RA-DIAG-125	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-192	199	SYS-RA-DIAG-125	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-193	200	SYS-RA-DIAG-126	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-194	201	SYS-RA-DIAG-126	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-195	202	SYS-RA-DIAG-127	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-196	203	SYS-RA-DIAG-127	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
SWE1-Diagnostics-197	204	SYS-RA-DIAG-128	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	positive	2	SXM Signal Quality
SWE1-Diagnostics-198	205	SYS-RA-DIAG-128	$2841	R/W	$2841 - X65 Signal Quality Diagnostics (Read)	negative	2	SXM Signal Quality
