cfts004_row	nrl_id	src_id	object_id	anchor	parent	l3	region	harman_status	description
197	NRL-1537	SYS-RA-DIAG-196	4939680	CFTS004-4939680	Read/Write DID Requirements	$280B - SCL/PCL/Sales Code Configuration (Read)	All	Accepted	The Sales Code shall be readable from this DID. The Sales Code reports the radio's three-character sales code.
198	NRL-1538	SYS-RA-DIAG-197	4939679	CFTS004-4939679	Read/Write DID Requirements	$280B - SCL/PCL/Sales Code Configuration (Read)	All	Accepted	The PCL shall be readable from this DID. The PCL reports the radio's PCL.
203	NRL-1543	SYS-RA-DIAG-202	4939674	CFTS004-4939674	Read/Write DID Requirements	$2805 - Cabin Equalization Document Version (Read)	All	Accepted	Byte 4 shall contain the minor version.
204	NRL-1544	SYS-RA-DIAG-203	4939673	CFTS004-4939673	Read/Write DID Requirements	$2805 - Cabin Equalization Document Version (Read)	All	Accepted	Byte 3 shall contain the major version.
206	NRL-1546	SYS-RA-DIAG-205	4939659	CFTS004-4939659	Read/Write DID Requirements	$1823 - Internal Temperature (Read)	All	Accepted	When requested by this DID, the radio shall report the internal temperature as measured by an internal thermistor.
210	NRL-1550	SYS-RA-DIAG-209	4939656	CFTS004-4939656	Read/Write DID Requirements	$1822 - ECU Functional Status (Read)	All	Accepted	When requested by this DID, the radio shall report the Standby status. The Standby status indicates if the radio is in standby mode with either True or False. See {VF169} for power state details.
211	NRL-1551	SYS-RA-DIAG-210	4939655	CFTS004-4939655	Read/Write DID Requirements	$1822 - ECU Functional Status (Read)	All	Accepted	When requested by this DID, the radio shall report the Key status. The Key status indicates the ignition status as received over the CAN bus. See {VF169} for power state details.
228	NRL-1568	SYS-RA-DIAG-227	4939638	CFTS004-4939638	Read/Write DID Requirements	$1806 - Current Frequency Settings (Read)	All		The Actual SW Frequency shall be readable from this DID. The Actual SW Frequency is the current radio tuned SW band frequency.
229	NRL-1569	SYS-RA-DIAG-228	4939636	CFTS004-4939636	Read/Write DID Requirements	$1806 - Current Frequency Settings (Read)	All	Accepted	The Actual MW Frequency shall be readable from this DID. The Actual MW Frequency is the current radio tuned MW or AM band frequency.
230	NRL-1570	SYS-RA-DIAG-229	4939635	CFTS004-4939635	Read/Write DID Requirements	$1806 - Current Frequency Settings (Read)	All		The Actual LW Frequency shall be readable from this DID. The Actual LW Frequency is the current radio tuned LW band frequency.
231	NRL-1571	SYS-RA-DIAG-230	4939637	CFTS004-4939637	Read/Write DID Requirements	$1806 - Current Frequency Settings (Read)	All	Accepted	The Actual FM Frequency shall be readable from this DID. The Actual FM Frequency is the current radio tuned FM band frequency.
232	NRL-1572	SYS-RA-DIAG-231	4939640	CFTS004-4939640	Read/Write DID Requirements	$1806 - Current Frequency Settings (Read)	All		The Actual DAB Channel shall be readable from this DID. The Actual DAB Channel is the current radio tuned DAB Channel.
235	NRL-1575	SYS-RA-DIAG-234	4939630	CFTS004-4939630	Read/Write DID Requirements	$1803, $1808- Tuner Signal Strength (Read)	All	Accepted	The AM/FM tuner signal strength shall be readable from this DID in units of dBuV.
236	NRL-1576	SYS-RA-DIAG-235	4939631	CFTS004-4939631	Read/Write DID Requirements	$1803, $1808- Tuner Signal Strength (Read)	All		Each DID description shall contain the corresponding tuner identification.
238	NRL-1578	SYS-RA-DIAG-237	4939625	CFTS004-4939625	Read/Write DID Requirements	$1801 - Screen Test Pattern (Read/Write)	All	Accepted	When requested, this DID shall report the currently displayed test pattern.
267	NRL-1607	SYS-RA-DIAG-266	4940356	CFTS004-4940356	I/O Control DID Requirements	$500D - Video Input Settings	All		"If the new input is not compatible with the radio, the radio shall return a ""Request Out of Range"" negative response, code $31."
291	NRL-1631	SYS-RA-DIAG-290	4940330	CFTS004-4940330	I/O Control DID Requirements	$5007 - Mid-Range Settings	All	Need Rework	Valid values for mid-range tone control step shall be from -9 to +9, including neutral.
292	NRL-1632	SYS-RA-DIAG-291	4940329	CFTS004-4940329	I/O Control DID Requirements	$5007 - Mid-Range Settings	All		The radio shall change the current mid-range tone control step to the new value provided using this DID.
320	NRL-1660	SYS-RA-DIAG-319	4940301	CFTS004-4940301	I/O Control DID Requirements	$5001 - Speaker Quadrant Selection	All		The following speaker outputs shall be selectable using this DID:
350	NRL-1690	SYS-RA-DIAG-349	4939449	CFTS004-4939449	I/O Control DID Requirements		All		The HU shall implement each diagnostic requirements for enabling and disabling diagnostics as defined in [CS-11736] or [TFO 09009] or [CS.00052] or [CS.00099] as applicable.
353	NRL-1693	SYS-RA-DIAG-352	4939465	CFTS004-4939465	I/O Control DID Requirements		All	Accepted	Unless otherwise specified, all ECUs implementing DTCs shall support data polling periods at a maximum period of 1/10 of the mature or de-mature time (whichever is smaller). This means, for example, that a DTC checking for a voltage level on a specific pin that matures and de-matures after 5 seconds shall check the voltage level at a period of 0.5 seconds.
369	NRL-1709	SYS-RA-DIAG-368	4940478	CFTS004-4940478	Diagnostic Routine ID Requirements	$0312 - AV Signal Detection	All	Accepted	"The expected video test pattern shall be the ""Screen 3: 10 step"" screen as defined in the document ""CIP Screen Test Patterns."""
384	NRL-1724	SYS-RA-DIAG-383	4940459	CFTS004-4940459	Diagnostic Routine ID Requirements	$0308 - X65 MPFA Query Routine	NAFTA - Mexico, NAFTA - United States, NAFTA - Canada, NAFTA	Accepted	If requested to start, stop or return results for this routine, the HU shall send a negative response indicating the function is not supported.
394	NRL-1734	SYS-RA-DIAG-393	4940447	CFTS004-4940447	Diagnostic Routine ID Requirements	$0303 - Power Down	All	Accepted	When commanded to perform this routine, the radio shall enter the IDLE (or Screen Off + Muted if there is no power button) as described in CFTS_009.
395	NRL-1735	SYS-RA-DIAG-394	4940448	CFTS004-4940448	Diagnostic Routine ID Requirements	$0303 - Power Down	All	Accepted	When commanded to perform this routine, the radio shall enable the following user interface controls: hard keys, touchscreen controls, Steering Wheel controls, and Voice Recognition commands.
398	NRL-1738	SYS-RA-DIAG-397	4940443	CFTS004-4940443	Diagnostic Routine ID Requirements	$0302 - Power on and Disable User Inputs	All	Accepted	When commanded to perform this routine, the radio shall enter the FULL_OPERATION state as described in CFTS_009.
399	NRL-1739	SYS-RA-DIAG-398	4940444	CFTS004-4940444	Diagnostic Routine ID Requirements	$0302 - Power on and Disable User Inputs	All	Accepted	When commanded to perform this routine, the radio shall disable the following user interface controls: hard keys, touchscreen controls, Steering Wheel controls, and Voice Recognition commands.
402	NRL-1742	SYS-RA-DIAG-401	4940440	CFTS004-4940440	Diagnostic Routine ID Requirements	$0301 - Reset Parameters to Default	All	Rejected	"When commanded to perform this routine, the radio shall apply the ""Battery Reset Behavior"" settings described in the document ""CIP Default Settings."""
405	NRL-403250	SYS-RA-DIAG-404	5529522	CFTS004-5529522	Diagnostic Routine ID Requirements	$0301 - Reset Parameters to Default	All	Need Clarification	The objective of this DID is to trigger a commcheck on the HU and return the result of this commcheck over the diagnostic tool.
