tc_id	req_id	row	batch	test_set	bus_class	final_verdict_mode
newR1L-BLM-079	SWE1-HMI-BLM-010-01	88	B4	Cluster Feedback	B	目視
newR1L-BLM-080	SWE1-HMI-BLM-010-02	89	B4	Cluster Feedback	B	目視
newR1L-BLM-081	SWE1-HMI-BLM-012-01	90	B4	Cluster Feedback	B	可聽
newR1L-BLM-082	SWE1-HMI-BLM-012-02	91	B4	Cluster Feedback	B	可聽
newR1L-BLM-083	SWE1-HMI-BLM-033-01	92	B4	Cluster Feedback	B	目視
newR1L-BLM-084	SWE1-HMI-BLM-033-02	93	B4	Cluster Feedback	B	目視
newR1L-BLM-085	SWE1-HMI-BLM-033-03	94	B4	Cluster Feedback	B	目視
newR1L-BLM-086	SWE1-HMI-BLM-034-01	95	B4	Cluster Feedback	B	目視
newR1L-BLM-087	SWE1-HMI-BLM-034-02	96	B4	Cluster Feedback	B	目視
newR1L-BLM-088	SWE1-HMI-BLM-034-03	97	B4	Cluster Feedback	B	目視
newR1L-BLM-089	SWE1-HMI-BLM-008-01	98	B5	HU Feedback	B	目視
newR1L-BLM-090	SWE1-HMI-BLM-008-02	99	B5	HU Feedback	B	目視
newR1L-BLM-091	SWE1-HMI-BLM-008-03	100	B5	HU Feedback	B	目視
newR1L-BLM-092	SWE1-HMI-BLM-008-04	101	B5	HU Feedback	B	目視
newR1L-BLM-093	SWE1-HMI-BLM-008-05	102	B5	HU Feedback	B	目視
newR1L-BLM-094	SWE1-HMI-BLM-026-01	103	B5	HU Feedback	A	訊號
newR1L-BLM-095	SWE1-HMI-BLM-026-02	104	B5	HU Feedback	A	訊號
newR1L-BLM-096	SWE1-HMI-BLM-026-03	105	B5	HU Feedback	B	目視
newR1L-BLM-097	SWE1-HMI-BLM-026-04	106	B5	HU Feedback	B	目視
newR1L-BLM-098	SWE1-HMI-BLM-026-05	107	B5	HU Feedback	B	目視
newR1L-BLM-099	SWE1-HMI-BLM-026-06	108	B5	HU Feedback	B	目視
newR1L-BLM-100	SWE1-HMI-BLM-031-01	109	B5	HU Feedback	B	目視
newR1L-BLM-101	SWE1-HMI-BLM-031-02	110	B5	HU Feedback	B	目視
newR1L-BLM-102	SWE1-HMI-BLM-031-03	111	B5	HU Feedback	B	目視
newR1L-BLM-103	SWE1-HMI-BLM-032-01	112	B5	HU Feedback	B	目視
newR1L-BLM-104	SWE1-HMI-BLM-032-02	113	B5	HU Feedback	B	目視
newR1L-BLM-105	SWE1-HMI-BLM-032-03	114	B5	HU Feedback	B	目視
newR1L-BLM-106	SWE1-HMI-BLM-036-01	115	B5	HU Feedback	B	目視
newR1L-BLM-107	SWE1-HMI-BLM-036-02	116	B5	HU Feedback	B	目視
newR1L-BLM-108	SWE1-HMI-BLM-036-03	117	B5	HU Feedback	B	目視
newR1L-BLM-109	SWE1-HMI-BLM-004-01	118	B6	Feature Entry	C	目視
newR1L-BLM-110	SWE1-HMI-BLM-004-02	119	B6	Feature Entry	C	目視
newR1L-BLM-111	SWE1-HMI-BLM-004-03	120	B6	Feature Entry	C	目視
newR1L-BLM-112	SWE1-HMI-BLM-004-04	121	B6	Feature Entry	C	目視
newR1L-BLM-113	SWE1-HMI-BLM-004-05	122	B6	Feature Entry	C	目視
newR1L-BLM-114	SWE1-HMI-BLM-004-06	123	B6	Feature Entry	C	目視
newR1L-BLM-115	SWE1-HMI-BLM-018-01	124	B6	Feature Entry	C	目視
newR1L-BLM-116	SWE1-HMI-BLM-018-02	125	B6	Feature Entry	C	目視
newR1L-BLM-117	SWE1-HMI-BLM-018-03	126	B6	Feature Entry	A	訊號
newR1L-BLM-118	SWE1-HMI-BLM-018-04	127	B6	Feature Entry	A	訊號
newR1L-BLM-119	SWE1-HMI-BLM-019-01	128	B6	Feature Entry	C	目視
newR1L-BLM-120	SWE1-HMI-BLM-019-02	129	B6	Feature Entry	C	目視
newR1L-BLM-121	SWE1-HMI-BLM-019-03	130	B6	Feature Entry	C	目視
newR1L-BLM-122	SWE1-HMI-BLM-019-04	131	B6	Feature Entry	C	目視
newR1L-BLM-123	SWE1-HMI-BLM-025-01	132	B6	Feature Entry	C	目視
newR1L-BLM-124	SWE1-HMI-BLM-025-02	133	B6	Feature Entry	C	目視
newR1L-BLM-125	SWE1-HMI-BLM-025-03	134	B6	Feature Entry	C	目視
newR1L-BLM-126	SWE1-HMI-BLM-025-04	135	B6	Feature Entry	C	目視
newR1L-BLM-127	SWE1-HMI-BLM-028-01	136	B6	Feature Entry	C	目視
newR1L-BLM-128	SWE1-HMI-BLM-028-02	137	B6	Feature Entry	C	目視
newR1L-BLM-129	SWE1-HMI-BLM-028-03	138	B6	Feature Entry	C	目視
newR1L-BLM-130	SWE1-HMI-BLM-029-01	139	B6	Feature Entry	C	目視
newR1L-BLM-131	SWE1-HMI-BLM-029-02	140	B6	Feature Entry	C	目視
newR1L-BLM-132	SWE1-HMI-BLM-029-03	141	B6	Feature Entry	C	目視
newR1L-BLM-133	SWE1-HMI-BLM-029-04	142	B6	Feature Entry	C	目視
newR1L-BLM-134	SWE1-HMI-BLM-030-01	143	B6	Feature Entry	C	目視
newR1L-BLM-135	SWE1-HMI-BLM-030-02	144	B6	Feature Entry	C	目視
newR1L-BLM-136	SWE1-HMI-BLM-030-03	145	B6	Feature Entry	C	目視
newR1L-BLM-137	SWE1-HMI-BLM-039-01	146	B6	Feature Entry	C	目視
newR1L-BLM-138	SWE1-HMI-BLM-039-02	147	B6	Feature Entry	C	目視
newR1L-BLM-139	SWE1-HMI-BLM-039-03	148	B6	Feature Entry	C	目視
newR1L-BLM-140	SWE1-HMI-BLM-013-01	149	B7	Display Legibility + Access Ergonomics	C	目視
newR1L-BLM-141	SWE1-HMI-BLM-013-02	150	B7	Display Legibility + Access Ergonomics	C	目視
newR1L-BLM-142	SWE1-HMI-BLM-013-03	151	B7	Display Legibility + Access Ergonomics	C	目視
newR1L-BLM-143	SWE1-HMI-BLM-014-01	152	B7	Display Legibility + Access Ergonomics	C	目視
newR1L-BLM-144	SWE1-HMI-BLM-014-02	153	B7	Display Legibility + Access Ergonomics	C	目視
newR1L-BLM-145	SWE1-HMI-BLM-014-03	154	B7	Display Legibility + Access Ergonomics	C	目視
newR1L-BLM-146	SWE1-HMI-BLM-015-01	155	B7	Display Legibility + Access Ergonomics	C	目視
newR1L-BLM-147	SWE1-HMI-BLM-015-02	156	B7	Display Legibility + Access Ergonomics	C	目視
newR1L-BLM-148	SWE1-HMI-BLM-015-03	157	B7	Display Legibility + Access Ergonomics	C	目視
newR1L-BLM-149	SWE1-HMI-BLM-016-01	158	B7	Display Legibility + Access Ergonomics	C	目視
newR1L-BLM-150	SWE1-HMI-BLM-016-02	159	B7	Display Legibility + Access Ergonomics	C	目視
newR1L-BLM-151	SWE1-HMI-BLM-016-03	160	B7	Display Legibility + Access Ergonomics	C	目視
