tc_id	req_id	test_set	priority	design_method	row
newR1L-BLM-061	SWE1-HMI-BLM-021-02	Lowering Operation	P1	State Transition	70
newR1L-BLM-062	SWE1-HMI-BLM-021-03	Lowering Operation	P1	State Transition	71
newR1L-BLM-063	SWE1-HMI-BLM-035-01	Lowering Operation	P1	Functional Based	72
newR1L-BLM-064	SWE1-HMI-BLM-035-02	Lowering Operation	P1	State Transition	73
newR1L-BLM-065	SWE1-HMI-BLM-035-03	Lowering Operation	P1	Functional Based	74
newR1L-BLM-066	SWE1-HMI-BLM-035-04	Lowering Operation	P1	Negative / Invalid	75
newR1L-BLM-067	SWE1-HMI-BLM-040-01	Lowering Operation	P1	Functional Based	76
newR1L-BLM-068	SWE1-HMI-BLM-040-02	Lowering Operation	P1	Functional Based	77
newR1L-BLM-069	SWE1-HMI-BLM-040-03	Lowering Operation	P1	Functional Based	78
newR1L-BLM-070	SWE1-HMI-BLM-040-04	Lowering Operation	P2	Functional Based	79
newR1L-BLM-071	SWE1-HMI-BLM-041-01	Lowering Operation	P1	State Transition	80
newR1L-BLM-072	SWE1-HMI-BLM-041-02	Lowering Operation	P1	State Transition	81
newR1L-BLM-073	SWE1-HMI-BLM-041-03	Lowering Operation	P1	Scenario / Use Case	82
newR1L-BLM-074	SWE1-HMI-BLM-041-04	Lowering Operation	P1	Equivalence Partitioning	83
newR1L-BLM-075	SWE1-HMI-BLM-041-05	Lowering Operation	P1	Negative / Invalid	84
newR1L-BLM-076	SWE1-HMI-BLM-041-06	Lowering Operation	P2	Functional Based	85
newR1L-BLM-077	SWE1-HMI-BLM-009-01	Cluster Feedback	P1	Functional Based	86
newR1L-BLM-078	SWE1-HMI-BLM-009-02	Cluster Feedback	P2	Functional Based	87
newR1L-BLM-079	SWE1-HMI-BLM-010-01	Cluster Feedback	P2	Functional Based	88
newR1L-BLM-080	SWE1-HMI-BLM-010-02	Cluster Feedback	P2	State Transition	89
newR1L-BLM-081	SWE1-HMI-BLM-012-01	Cluster Feedback	P1	Functional Based	90
newR1L-BLM-082	SWE1-HMI-BLM-012-02	Cluster Feedback	P1	Functional Based	91
newR1L-BLM-083	SWE1-HMI-BLM-033-01	Cluster Feedback	P1	Functional Based	92
newR1L-BLM-084	SWE1-HMI-BLM-033-02	Cluster Feedback	P2	Functional Based	93
newR1L-BLM-085	SWE1-HMI-BLM-033-03	Cluster Feedback	P1	Functional Based	94
newR1L-BLM-086	SWE1-HMI-BLM-034-01	Cluster Feedback	P2	State Transition	95
newR1L-BLM-087	SWE1-HMI-BLM-034-02	Cluster Feedback	P2	Functional Based	96
newR1L-BLM-088	SWE1-HMI-BLM-034-03	Cluster Feedback	P2	Functional Based	97
newR1L-BLM-089	SWE1-HMI-BLM-008-01	HU Feedback	P2	Functional Based	98
newR1L-BLM-090	SWE1-HMI-BLM-008-02	HU Feedback	P2	Functional Based	99
newR1L-BLM-091	SWE1-HMI-BLM-008-03	HU Feedback	P2	Functional Based	100
newR1L-BLM-092	SWE1-HMI-BLM-008-04	HU Feedback	P2	State Transition	101
newR1L-BLM-093	SWE1-HMI-BLM-008-05	HU Feedback	P2	Functional Based	102
newR1L-BLM-094	SWE1-HMI-BLM-026-01	HU Feedback	P1	Functional Based	103
newR1L-BLM-095	SWE1-HMI-BLM-026-02	HU Feedback	P1	State Transition	104
newR1L-BLM-096	SWE1-HMI-BLM-026-03	HU Feedback	P1	Functional Based	105
newR1L-BLM-097	SWE1-HMI-BLM-026-04	HU Feedback	P2	Functional Based	106
newR1L-BLM-098	SWE1-HMI-BLM-026-05	HU Feedback	P2	Functional Based	107
newR1L-BLM-099	SWE1-HMI-BLM-026-06	HU Feedback	P2	Functional Based	108
newR1L-BLM-100	SWE1-HMI-BLM-031-01	HU Feedback	P2	Equivalence Partitioning	109
newR1L-BLM-101	SWE1-HMI-BLM-031-02	HU Feedback	P2	Functional Based	110
newR1L-BLM-102	SWE1-HMI-BLM-031-03	HU Feedback	P2	Functional Based	111
newR1L-BLM-103	SWE1-HMI-BLM-032-01	HU Feedback	P2	Functional Based	112
newR1L-BLM-104	SWE1-HMI-BLM-032-02	HU Feedback	P2	State Transition	113
newR1L-BLM-105	SWE1-HMI-BLM-032-03	HU Feedback	P2	Functional Based	114
newR1L-BLM-106	SWE1-HMI-BLM-036-01	HU Feedback	P1	Functional Based	115
newR1L-BLM-107	SWE1-HMI-BLM-036-02	HU Feedback	P1	State Transition	116
newR1L-BLM-108	SWE1-HMI-BLM-036-03	HU Feedback	P1	State Transition	117
newR1L-BLM-109	SWE1-HMI-BLM-004-01	Feature Entry	P2	Functional Based	118
newR1L-BLM-110	SWE1-HMI-BLM-004-02	Feature Entry	P2	Functional Based	119
newR1L-BLM-111	SWE1-HMI-BLM-004-03	Feature Entry	P2	Functional Based	120
newR1L-BLM-112	SWE1-HMI-BLM-004-04	Feature Entry	P2	Functional Based	121
newR1L-BLM-113	SWE1-HMI-BLM-004-05	Feature Entry	P2	Equivalence Partitioning	122
newR1L-BLM-114	SWE1-HMI-BLM-004-06	Feature Entry	P2	Negative / Invalid	123
newR1L-BLM-115	SWE1-HMI-BLM-018-01	Feature Entry	P2	Functional Based	124
newR1L-BLM-116	SWE1-HMI-BLM-018-02	Feature Entry	P2	Functional Based	125
newR1L-BLM-117	SWE1-HMI-BLM-018-03	Feature Entry	P1	Functional Based	126
newR1L-BLM-118	SWE1-HMI-BLM-018-04	Feature Entry	P1	Functional Based	127
newR1L-BLM-119	SWE1-HMI-BLM-019-01	Feature Entry	P2	Functional Based	128
newR1L-BLM-120	SWE1-HMI-BLM-019-02	Feature Entry	P2	Functional Based	129
newR1L-BLM-121	SWE1-HMI-BLM-019-03	Feature Entry	P2	Functional Based	130
newR1L-BLM-122	SWE1-HMI-BLM-019-04	Feature Entry	P2	Functional Based	131
newR1L-BLM-123	SWE1-HMI-BLM-025-01	Feature Entry	P2	Functional Based	132
newR1L-BLM-124	SWE1-HMI-BLM-025-02	Feature Entry	P2	Functional Based	133
newR1L-BLM-125	SWE1-HMI-BLM-025-03	Feature Entry	P2	Functional Based	134
newR1L-BLM-126	SWE1-HMI-BLM-025-04	Feature Entry	P2	Functional Based	135
newR1L-BLM-127	SWE1-HMI-BLM-028-01	Feature Entry	P2	Functional Based	136
newR1L-BLM-128	SWE1-HMI-BLM-028-02	Feature Entry	P2	Functional Based	137
newR1L-BLM-129	SWE1-HMI-BLM-028-03	Feature Entry	P2	Functional Based	138
newR1L-BLM-130	SWE1-HMI-BLM-029-01	Feature Entry	P2	Functional Based	139
newR1L-BLM-131	SWE1-HMI-BLM-029-02	Feature Entry	P2	Functional Based	140
newR1L-BLM-132	SWE1-HMI-BLM-029-03	Feature Entry	P2	State Transition	141
newR1L-BLM-133	SWE1-HMI-BLM-029-04	Feature Entry	P2	Functional Based	142
newR1L-BLM-134	SWE1-HMI-BLM-030-01	Feature Entry	P2	State Transition	143
newR1L-BLM-135	SWE1-HMI-BLM-030-02	Feature Entry	P2	State Transition	144
newR1L-BLM-136	SWE1-HMI-BLM-030-03	Feature Entry	P2	Functional Based	145
newR1L-BLM-137	SWE1-HMI-BLM-039-01	Feature Entry	P2	Functional Based	146
newR1L-BLM-138	SWE1-HMI-BLM-039-02	Feature Entry	P2	Functional Based	147
newR1L-BLM-139	SWE1-HMI-BLM-039-03	Feature Entry	P1	Functional Based	148
newR1L-BLM-140	SWE1-HMI-BLM-013-01	Display Legibility + Access Ergonomics	P2	Functional Based	149
newR1L-BLM-141	SWE1-HMI-BLM-013-02	Display Legibility + Access Ergonomics	P2	Functional Based	150
newR1L-BLM-142	SWE1-HMI-BLM-013-03	Display Legibility + Access Ergonomics	P2	Functional Based	151
newR1L-BLM-143	SWE1-HMI-BLM-014-01	Display Legibility + Access Ergonomics	P2	Functional Based	152
newR1L-BLM-144	SWE1-HMI-BLM-014-02	Display Legibility + Access Ergonomics	P2	Functional Based	153
newR1L-BLM-145	SWE1-HMI-BLM-014-03	Display Legibility + Access Ergonomics	P2	Functional Based	154
newR1L-BLM-146	SWE1-HMI-BLM-015-01	Display Legibility + Access Ergonomics	P2	Functional Based	155
newR1L-BLM-147	SWE1-HMI-BLM-015-02	Display Legibility + Access Ergonomics	P2	Functional Based	156
newR1L-BLM-148	SWE1-HMI-BLM-015-03	Display Legibility + Access Ergonomics	P2	Equivalence Partitioning	157
newR1L-BLM-149	SWE1-HMI-BLM-016-01	Display Legibility + Access Ergonomics	P2	Functional Based	158
newR1L-BLM-150	SWE1-HMI-BLM-016-02	Display Legibility + Access Ergonomics	P2	Functional Based	159
newR1L-BLM-151	SWE1-HMI-BLM-016-03	Display Legibility + Access Ergonomics	P2	Equivalence Partitioning	160
