# spec_id_to_outline.tsv — SYS1 Polarion outline mapping
# spec_reference format: Home Screen HMI Logic and Flow R1 SR24 Post 2A (March 17 2023)_{outline}
spec_id	outline	desc
HSS4	9.5	HSS4.) User is able to select a separate edit button on the Shortcut w
HSS4.1	9.5.1	HSS4.1) When in editing Shortcuts widget screen selecting “Done” will 
HSS4.2	9.5.2	HSS4.2) When in editing Shortcuts widget screen selecting “Cancel” wil
HSS4.3	9.5.3	HSS4.3) If user is on editing Shortcuts widget screen and navigates to
HSS4.4	9.5.4	HSS4.4) Shortcut Layout edit screen is not available and button is gre
HSS5	9.6	HSS5.) Grey out a shortcut if it is not available.
HSS6	9.7	HSS6.) User is not able to set the same shortcut within the same Short
HSS6.1	9.7.1	HSS6.1) For Controls, Apps, Seats & Wheel, Media, grey out any individ
HSS6.2	9.7.2	HSS6.2) If a user chooses AA/CP shortcut from either Media or Apps, re
HSS7	9.8	HSS7.) Any control, app, or comfort control can be a short cut
HSS8	9.9	HSS8.) Widget title for this feature is “Shortcuts”
HSS9	9.10	HSS9.) If a user has added any CP/AA Shortcut and CP/AA is disconnecte
HSS10	9.11	HSS10.) If a user deletes a downloaded app that they added as a shortc
SW7	9.12	SW7.) Actions for Shortcuts - any shortcut not included in the table b
-	10	R1 High Setting Navigation Shortcuts
-	10.1	Please refer to the diagram_x000D_  (image: %E5%9C%96%E7%89%87_1227211
SNS1	10.2	SNS1.) Navigation widgets allow the user to quickly start a route to a
SNS2	10.3	SNS2.) The location selection will have Home and Work on the top of th
SNS3	10.4	SNS3.) If Home or Work addresses have not been previously saved, user 
SNS3.1	10.4.1	SNS3.1) The user can go back to the home screen shortcuts widget and m
SNS5	10.5	SNS5.) Once a shortcut is set, pressing it will start the route and pr
SNS6	10.6	SNS6.) If there is already a route, the notification will tell the cus
SNS7	10.7	SNS7.) Home or work shortcuts will always use the saved home and work 
SNS8	10.8	SNS8.) Home and work have specific icons. All other shortcuts use the 
SNS9	10.9	SNS9.) See Navigation supplier specifications for naming of shortcuts.
SNS10	10.10	SNS10.) See Navigation supplier specifications for errors notification
-	11	Brand Specific Pages
-	11.1	Please refer to the diagram_x000D_  (image: Image_164.jpeg)  (image: I
BSP1	11.2	BSP1.) Widgets will be in pairs of 50/50 sizes only.
BSP2	11.3	BSP2.) If a brand specific widget in designated pairing isn't availabl
BSP3	11.4	BSP3.) If multiple Default Pages are available in a vehicle, multiple 
BSP4	11.5	BSP4.) The first home screen should be the Default Home Screen (HSD1) 
