name	kind	sources	seg1_n	seg1	seg2	seg3	result	result_detail	loose_n	loose
IPC_VEHICLE_SETUP.ExternalLightSensorLevel	CAN	037_desc;diagram;spec_paras	1	LID/CAN Mapping/Z751=IPC_VEHICLE_SETUP.ExternalLightSensorLev[逐字]	IPC_VEHICLE_SETUP.ExternalLightSensorLevel		未解得(止於段2)		30	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.HourMode	CAN	diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP.HourMode	IPC_VEHICLE_SETUP.HourMode->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.LanguageSelection	CAN	diagram;spec_paras	1	LID/CAN Mapping/Z1111=IPC_VEHICLE_SETUP.LanguageSelection[逐字]	IPC_VEHICLE_SETUP.LanguageSelection	IPC_VEHICLE_SETUP.LanguageSelection->PDT27_E2A_R1_FDCAN8.dbc	解得	三段皆過	30	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.NavRepetition	CAN	037_desc;diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP.NavRepetition	IPC_VEHICLE_SETUP.NavRepetition->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.PamAlertMode	CAN	037_desc;spec_paras	1	LID/CAN Mapping/Z1293=IPC_VEHICLE_SETUP.PamAlertMode[逐字]	IPC_VEHICLE_SETUP.PamAlertMode		未解得(止於段2)		30	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.PamAlertModeSERVICE_SETUP	CAN	diagram	0	(無嚴格命中)	IPC_VEHICLE_SETUP.PamAlertModeSERVICE_SETUP		未解得(止於段2)		31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.PamChimeVolumeFront	CAN	037_desc;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP.PamChimeVolumeFront	IPC_VEHICLE_SETUP.PamChimeVolumeFront->PDT27_E2A_R1_BHCAN2.dbc;PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.PamChimeVolumeFrontSERVICE_SETUP	CAN	diagram	0	(無嚴格命中)	IPC_VEHICLE_SETUP.PamChimeVolumeFrontSERVICE_SETUP		未解得(止於段2)		31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.PamChimeVolumeRear	CAN	037_desc;diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP.PamChimeVolumeRear	IPC_VEHICLE_SETUP.PamChimeVolumeRear->PDT27_E2A_R1_BHCAN2.dbc;PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.PassiveEntry	CAN	diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP.PassiveEntry	IPC_VEHICLE_SETUP.PassiveEntry->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.PhoneRepetition	CAN	diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP.PhoneRepetition	IPC_VEHICLE_SETUP.PhoneRepetition->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.RainSensorLevel	CAN	037_desc;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP.RainSensorLevel	IPC_VEHICLE_SETUP.RainSensorLevel->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.RainSensorLevelAudioRepetition	CAN	diagram	0	(無嚴格命中)	IPC_VEHICLE_SETUP.RainSensorLevelAudioRepetition		未解得(止於段2)		31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.RemoteDoorUnlock	CAN	diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP.RemoteDoorUnlock	IPC_VEHICLE_SETUP.RemoteDoorUnlock->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.Sdw	CAN	037_desc;diagram;spec_paras	1	LID/CAN Mapping/Z1660=IPC_VEHICLE_SETUP.Sdw[逐字]	IPC_VEHICLE_SETUP.Sdw		未解得(止於段2)		30	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.SdwChimeVolume	CAN	037_desc	1	LID/CAN Mapping/Z1669=IPC_VEHICLE_SETUP.SdwChimeVolume[逐字]	IPC_VEHICLE_SETUP.SdwChimeVolume		未解得(止於段2)		30	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.SoundHornLock	CAN	diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP.SoundHornLock	IPC_VEHICLE_SETUP.SoundHornLock->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.SoundHornRemoteStart	CAN	diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP.SoundHornRemoteStart	IPC_VEHICLE_SETUP.SoundHornRemoteStart->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.SpeedLockDoorEnable	CAN	diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP.SpeedLockDoorEnable	IPC_VEHICLE_SETUP.SpeedLockDoorEnable->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.TelematicSetupACK	CAN	diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP.TelematicSetupACK	IPC_VEHICLE_SETUP.TelematicSetupACK->PDT27_E2A_R1_FDCAN8.dbc	解得	段1未命中；段2=規格原名已為 MESSAGE.Signal 形，段3 DBC 逐字查得	31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP.TemperatureUnit	CAN	diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP.TemperatureUnit		未解得(止於段2)		31	LID/CAN Mapping/Z71=IPC_VEHICLE_SETUP.AmbientLightingL ; LID/CAN Mapping/Z387=IPC_VEHICLE_SETUP.ConsumptionUnit ; LID/CAN Mapping/Z415=IPC_VEHICLE_SETUP.DC_PwrLev ; LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch
IPC_VEHICLE_SETUP2.AutoUnlockDoorExit	CAN	diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP2.AutoUnlockDoorExit	IPC_VEHICLE_SETUP2.AutoUnlockDoorExit->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	3	LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch ; LID/CAN Mapping/Z731=IPC_Vehicle_Setup2.Creep ; LID/CAN Mapping/Z1580=IPC_VEHICLE_SETUP2.RemStNrmlStEnbl
IPC_VEHICLE_SETUP2.EPB_MaintenanceMode	CAN	037_desc;diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP2.EPB_MaintenanceMode	IPC_VEHICLE_SETUP2.EPB_MaintenanceMode->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	3	LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch ; LID/CAN Mapping/Z731=IPC_Vehicle_Setup2.Creep ; LID/CAN Mapping/Z1580=IPC_VEHICLE_SETUP2.RemStNrmlStEnbl
IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk	CAN	037_desc;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk		未解得(止於段2)		3	LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch ; LID/CAN Mapping/Z731=IPC_Vehicle_Setup2.Creep ; LID/CAN Mapping/Z1580=IPC_VEHICLE_SETUP2.RemStNrmlStEnbl
IPC_VEHICLE_SETUP2.FSFCWPlusActivationMode	CAN	diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP2.FSFCWPlusActivationMode	IPC_VEHICLE_SETUP2.FSFCWPlusActivationMode->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	3	LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch ; LID/CAN Mapping/Z731=IPC_Vehicle_Setup2.Creep ; LID/CAN Mapping/Z1580=IPC_VEHICLE_SETUP2.RemStNrmlStEnbl
IPC_VEHICLE_SETUP2.FSFCWPlusSetting	CAN	spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP2.FSFCWPlusSetting	IPC_VEHICLE_SETUP2.FSFCWPlusSetting->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	3	LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch ; LID/CAN Mapping/Z731=IPC_Vehicle_Setup2.Creep ; LID/CAN Mapping/Z1580=IPC_VEHICLE_SETUP2.RemStNrmlStEnbl
IPC_VEHICLE_SETUP2.FSFCWPlusSettingSERVICE_SETUP	CAN	diagram	0	(無嚴格命中)	IPC_VEHICLE_SETUP2.FSFCWPlusSettingSERVICE_SETUP		未解得(止於段2)		3	LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch ; LID/CAN Mapping/Z731=IPC_Vehicle_Setup2.Creep ; LID/CAN Mapping/Z1580=IPC_VEHICLE_SETUP2.RemStNrmlStEnbl
IPC_VEHICLE_SETUP2.FlashLightWLock	CAN	diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP2.FlashLightWLock	IPC_VEHICLE_SETUP2.FlashLightWLock->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	3	LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch ; LID/CAN Mapping/Z731=IPC_Vehicle_Setup2.Creep ; LID/CAN Mapping/Z1580=IPC_VEHICLE_SETUP2.RemStNrmlStEnbl
IPC_VEHICLE_SETUP2.HeadlightsOffDelay	CAN	diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP2.HeadlightsOffDelay	IPC_VEHICLE_SETUP2.HeadlightsOffDelay->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	3	LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch ; LID/CAN Mapping/Z731=IPC_Vehicle_Setup2.Creep ; LID/CAN Mapping/Z1580=IPC_VEHICLE_SETUP2.RemStNrmlStEnbl
IPC_VEHICLE_SETUP2.LDW_Intensity	CAN	diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP2.LDW_Intensity	IPC_VEHICLE_SETUP2.LDW_Intensity->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	3	LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch ; LID/CAN Mapping/Z731=IPC_Vehicle_Setup2.Creep ; LID/CAN Mapping/Z1580=IPC_VEHICLE_SETUP2.RemStNrmlStEnbl
IPC_VEHICLE_SETUP2.LDW_Sensibility	CAN	spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP2.LDW_Sensibility	IPC_VEHICLE_SETUP2.LDW_Sensibility->PDT27_E2A_R1_FDCAN8.dbc	訊息名不符(R-13)	段1未命中；SG_ 查得而其 BO_ 與規格訊息名不符	3	LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch ; LID/CAN Mapping/Z731=IPC_Vehicle_Setup2.Creep ; LID/CAN Mapping/Z1580=IPC_VEHICLE_SETUP2.RemStNrmlStEnbl
IPC_VEHICLE_SETUP2.LDW_SensibilityRestoreDefaultSetting	CAN	diagram	0	(無嚴格命中)	IPC_VEHICLE_SETUP2.LDW_SensibilityRestoreDefaultSetting		未解得(止於段2)		3	LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch ; LID/CAN Mapping/Z731=IPC_Vehicle_Setup2.Creep ; LID/CAN Mapping/Z1580=IPC_VEHICLE_SETUP2.RemStNrmlStEnbl
IPC_VEHICLE_SETUP2.PassiveEntrySelection	CAN	diagram;spec_paras;spec_tables	0	(無嚴格命中)	IPC_VEHICLE_SETUP2.PassiveEntrySelection		未解得(止於段2)		3	LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch ; LID/CAN Mapping/Z731=IPC_Vehicle_Setup2.Creep ; LID/CAN Mapping/Z1580=IPC_VEHICLE_SETUP2.RemStNrmlStEnbl
IPC_VEHICLE_SETUP2.TSREnable	CAN	037_desc;diagram;spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP2.TSREnable		未解得(止於段2)		3	LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch ; LID/CAN Mapping/Z731=IPC_Vehicle_Setup2.Creep ; LID/CAN Mapping/Z1580=IPC_VEHICLE_SETUP2.RemStNrmlStEnbl
IPC_VEHICLE_SETUP2.Trlr_Lnth_Blind_Spot	CAN	spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP2.Trlr_Lnth_Blind_Spot		未解得(止於段2)		3	LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch ; LID/CAN Mapping/Z731=IPC_Vehicle_Setup2.Creep ; LID/CAN Mapping/Z1580=IPC_VEHICLE_SETUP2.RemStNrmlStEnbl
IPC_VEHICLE_SETUP2.Trlr_Lnth_Blind_SpotTELEMATIC_SERVICE_SETUP	CAN	diagram	0	(無嚴格命中)	IPC_VEHICLE_SETUP2.Trlr_Lnth_Blind_SpotTELEMATIC_SERVICE_SETUP		未解得(止於段2)		3	LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch ; LID/CAN Mapping/Z731=IPC_Vehicle_Setup2.Creep ; LID/CAN Mapping/Z1580=IPC_VEHICLE_SETUP2.RemStNrmlStEnbl
IPC_VEHICLE_SETUP2.TyrePressureUnit	CAN	spec_paras	0	(無嚴格命中)	IPC_VEHICLE_SETUP2.TyrePressureUnit		未解得(止於段2)		3	LID/CAN Mapping/Z454=IPC_VEHICLE_SETUP2.Display_Synch ; LID/CAN Mapping/Z731=IPC_Vehicle_Setup2.Creep ; LID/CAN Mapping/Z1580=IPC_VEHICLE_SETUP2.RemStNrmlStEnbl
