spec_name	message	signal	msg_id	GenSigSendType	GenSigStartValue	其他BA_屬性
TELEMATIC_VEHICLE_SETUP4.SignCaptureModeReq	TELEMATIC_VEHICLE_SETUP4	SignCaptureModeReq	163	1	0	Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP4.SignCaptureMode	IPC_VEHICLE_SETUP4	SignCaptureMode	1485	3	1	Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP4.New_Spd_Zone_Ind_Req	TELEMATIC_VEHICLE_SETUP4	New_Spd_Zone_Ind_Req	163	1	1	Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP4.New_Spd_Zone_Ind	IPC_VEHICLE_SETUP4	New_Spd_Zone_Ind	1485	3	1	Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP3.SVC_Guidelines	IPC_VEHICLE_SETUP3	SVC_Guidelines	1294	3	0	Event trans.=0;GenSigInactiveValue=0
TELEMATIC_SERVICE_SETUP.ClearPersonalDataReq	TELEMATIC_SERVICE_SETUP	ClearPersonalDataReq	170	1	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_SERVICE_SETUP.RestoreDefaultSettingReq	TELEMATIC_SERVICE_SETUP	RestoreDefaultSettingReq	170	1	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP.Sdw_Req	TELEMATIC_VEHICLE_SETUP	Sdw_Req	158	1	2	Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.Sdw	IPC_VEHICLE_SETUP	Sdw	1468	3	2	Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP.RainSensorLevel_Req	TELEMATIC_VEHICLE_SETUP	RainSensorLevel_Req	158	1	1	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.RainSensorLevel	IPC_VEHICLE_SETUP	RainSensorLevel	1468	3	1	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP.DistanceUnit_Req	IPC_VEHICLE_SETUP	DistanceUnit	1468	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.DistanceUnit	IPC_VEHICLE_SETUP	DistanceUnit	1468	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP.ConsumptionUnit_Req	IPC_VEHICLE_SETUP	ConsumptionUnit	1468	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.ConsumptionUnit	IPC_VEHICLE_SETUP	ConsumptionUnit	1468	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP.ExternalLightSensorLevel_Req	IPC_VEHICLE_SETUP	ExternalLightSensorLevel	1468	3	1	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.ExternalLightSensorLevel	IPC_VEHICLE_SETUP	ExternalLightSensorLevel	1468	3	1	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP2.EPB_MaintenanceMode_Req	TELEMATIC_VEHICLE_SETUP2	EPB_MaintenanceMode_Req	162	1	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP2.EPB_MaintenanceMode	IPC_VEHICLE_SETUP2	EPB_MaintenanceMode	1486	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk	IPC_VEHICLE_SETUP2	EPB_Maintenance_Fdbk	1486	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
STATUS_CCAN3.VehicleSpeedVSOSig	STATUS_CCAN3	VehicleSpeedVSOSig	994	7	0	Event trans.=1;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.NavRepetition	IPC_VEHICLE_SETUP	NavRepetition	1468	3	0	Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.AudioRepetition	IPC_VEHICLE_SETUP	AudioRepetition	1468	3	0	Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP2.PassiveEntrySelection	IPC_VEHICLE_SETUP2	PassiveEntrySelection	1486	3	2	Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP2.PassiveEntrySelection_Req	TELEMATIC_VEHICLE_SETUP2	PassiveEntrySelection_Req	162	1	2	Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable	IPC_VEHICLE_SETUP4	HeadlampOnWithWiperEnable	1485	3	0	Event trans.=0;GenSigInactiveValue=0
PrivacyMode.Info	SERVICE_SETUP	PrivacyMode	1446	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.CorneringEnable	IPC_VEHICLE_SETUP	CorneringEnable	1468	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.HourMode	IPC_VEHICLE_SETUP	HourMode	1468	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.SpeedLockDoorEnable	IPC_VEHICLE_SETUP	SpeedLockDoorEnable	1468	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.TemperatureUnit	IPC_VEHICLE_SETUP	TemperatureUnit	1468	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.LanguageSelection	IPC_VEHICLE_SETUP	LanguageSelection	1468	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.BSDEnable	IPC_VEHICLE_SETUP	BSDEnable	1468	3	2	Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP.BSDEnable_Req	TELEMATIC_VEHICLE_SETUP	BSDEnable_Req	158	1	2	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP.CorneringEnable_Req	TELEMATIC_VEHICLE_SETUP	CorneringEnable_Req	158	1	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP.HourMode_Req	TELEMATIC_VEHICLE_SETUP	HourMode_Req	158	1	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP.LanguageSelection_Req	TELEMATIC_VEHICLE_SETUP	LanguageSelection_Req	158	1	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP.SpeedLockDoorEnable_Req	TELEMATIC_VEHICLE_SETUP	SpeedLockDoorEnable_Req	158	1	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP.TemperatureUnit_Req	IPC_VEHICLE_SETUP	TemperatureUnit	1468	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.TelematicSetupACK	IPC_VEHICLE_SETUP	TelematicSetupACK	1468	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.AutoParkBrake	IPC_VEHICLE_SETUP	AutoParkBrake	1468	3	0	Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.RemoteDoorUnlock	IPC_VEHICLE_SETUP	RemoteDoorUnlock	1468	3	1	Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.SoundHornLock	IPC_VEHICLE_SETUP	SoundHornLock	1468	3	1	Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP.AutoParkBrake_Req	TELEMATIC_VEHICLE_SETUP	AutoParkBrake_Req	158	1	0	Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP.RemoteDoorUnlock_Req	TELEMATIC_VEHICLE_SETUP	RemoteDoorUnlock_Req	158	1	1	Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP.SoundHornLock_Req	TELEMATIC_VEHICLE_SETUP	SoundHornLock_Req	158	1	1	Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.PhoneRepetition	IPC_VEHICLE_SETUP	PhoneRepetition	1468	3	0	Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP2.AutoUnlockDoorExit	IPC_VEHICLE_SETUP2	AutoUnlockDoorExit	1486	3	1	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP2.FlashLightWLock	IPC_VEHICLE_SETUP2	FlashLightWLock	1486	3	1	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP2.LDW_Intensity	IPC_VEHICLE_SETUP2	LDW_Intensity	1486	3	2	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP2.LDW_Sensibility	IPC_VEHICLE_SETUP2	LDW_Sensibility	1486	3	2	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP2.TyrePressureUnit	IPC_VEHICLE_SETUP2	TyrePressureUnit	1486	3	2	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP2.AutoUnlockDoorExit_Req	TELEMATIC_VEHICLE_SETUP2	AutoUnlockDoorExit_Req	162	1	1	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP2.FlashLightWLock_Req	TELEMATIC_VEHICLE_SETUP2	FlashLightWLock_Req	162	1	1	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP2.LDW_Intensity_Req	TELEMATIC_VEHICLE_SETUP2	LDW_Intensity_Req	162	1	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP2.LDW_Sensibility_Req	TELEMATIC_VEHICLE_SETUP2	LDW_Sensibility_Req	162	1	3	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP2.TyrePressureUnit_Req	TELEMATIC_VEHICLE_SETUP2	TyrePressureUnit_Req	162	1	2	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
STATUS_CCAN3.VehicleSpeedVSOSigFailSts	STATUS_CCAN3	VehicleSpeedVSOSigFailSts	994	7	0	Event trans.=1;GenSigInactiveValue=0
IPC_VEHICLE_SETUP2.FSFCWPlusActivationMode	IPC_VEHICLE_SETUP2	FSFCWPlusActivationMode	1486	3	1	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP2.FSFCWPlusSetting	IPC_VEHICLE_SETUP2	FSFCWPlusSetting	1486	3	3	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP2.FSFCWPlusActivationMode_Req	TELEMATIC_VEHICLE_SETUP2	FSFCWPlusActivationMode_Req	162	1	1	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP2.FSFCWPlusSetting_Req	TELEMATIC_VEHICLE_SETUP2	FSFCWPlusSetting_Req	162	1	3	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
SERVICE_SETUP.ClearPersonalData	SERVICE_SETUP	ClearPersonalData	1446	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
SERVICE_SETUP.PrivacyMode	SERVICE_SETUP	PrivacyMode	1446	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
SERVICE_SETUP.RestoreApp	SERVICE_SETUP	RestoreApp	1446	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
SERVICE_SETUP.RestoreDefaultSetting	SERVICE_SETUP	RestoreDefaultSetting	1446	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
SERVICE_SETUP.TelematicSetupAck	SERVICE_SETUP	TelematicSetupAck	1446	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_SERVICE_SETUP.RestoreAppReq	TELEMATIC_SERVICE_SETUP	RestoreAppReq	170	1	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP3.Drowsy_Driver_Alert	IPC_VEHICLE_SETUP3	Drowsy_Driver_Alert	1294	3	1	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP3.Speed_Unit	IPC_VEHICLE_SETUP	DistanceUnit	1468	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP3.Drowsy_Driver_Alert_Req	TELEMATIC_VEHICLE_SETUP3	Drowsy_Driver_Alert_Req	1291	1	1	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP3.Speed_Unit_Req	IPC_VEHICLE_SETUP	DistanceUnit	1468	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP2.Trlr_Lnth_Blind_Spot_Req	TELEMATIC_VEHICLE_SETUP2	Trlr_Lnth_Blind_Spot_Req	162	1	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP2.Trlr_Lnth_Blind_Spot	IPC_VEHICLE_SETUP2	Trlr_Lnth_Blind_Spot	1486	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP4.GreetingLightsLevel	IPC_VEHICLE_SETUP4	GreetingLightsLevel	1485	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.DRLEnable	IPC_VEHICLE_SETUP	DRLEnable	1468	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP.SoundHornRemoteStart	IPC_VEHICLE_SETUP	SoundHornRemoteStart	1468	3	0	Event trans.=0;GenSigInactiveValue=0
IPC_VEHICLE_SETUP2.HeadlightsOffDelay	IPC_VEHICLE_SETUP2	HeadlightsOffDelay	1486	3	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
STATUS_TTM.TrailerConnectionSts	STATUS_TTM	TrailerConnectionSts	1464	7	0	Event trans.=1;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP.DRLEnable_Req	TELEMATIC_VEHICLE_SETUP	DRLEnable_Req	158	1	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP.SoundHornRemoteStart_Req	TELEMATIC_VEHICLE_SETUP	SoundHornRemoteStart_Req	158	1	0	Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP2.HeadlightsOffDelay_Req	TELEMATIC_VEHICLE_SETUP2	HeadlightsOffDelay_Req	162	1	0	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP4.GreetingLightsLevel_Req	TELEMATIC_VEHICLE_SETUP4	GreetingLightsLevel_Req	163	1	0	Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP3.SVC_Guidelines_Req	TELEMATIC_VEHICLE_SETUP3	SVC_Guidelines_Req	1291	1	0	Event trans.=0;GenSigInactiveValue=0
TELEMATIC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable_Req	TELEMATIC_VEHICLE_SETUP4	HeadlampOnWithWiperEnable_Req	163	1	0	Event trans.=0;GenSigInactiveValue=0
Country_Code	META_DATA	ADAS_Meta_CountryCode	1865	7	0	Accuracy=-;Event trans.=1;GenSigInactiveValue=0
External_Light_Sensor_Level.Req	IPC_VEHICLE_SETUP	ExternalLightSensorLevel	1468	3	1	Accuracy=-;Event trans.=0;GenSigInactiveValue=0
