swe_id	source_req_id	requirement_title	categorization	sub_categorization	verification_method	source_file	tc_status	sysra_hit	sysra_category	sysra_chapter_for_vf	sysra_ee_architecture	sysra_doc_id	remarks
SWE1-VC-RearParkSenseVolume/ParkSenseVolume-011	Sys-RA-VF665_V42_VSM-799	Rear Park Sense Volume/ ParkSense Volume	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.29			
SWE1-VC-RearParkSenseVolume/ParkSenseVolume-012	Sys-RA-VF665_V42_VSM-800	Rear Park Sense Volume/ ParkSense Volume	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.29			
SWE1-VC-RearParkSenseVolume/ParkSenseVolume-013	Sys-RA-VF665_V42_VSM-801	Rear Park Sense Volume/ ParkSense Volume	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.29			
SWE1-VC-FrontParkSenseVolume-014	Sys-RA-VF665_V42_VSM-802	Front Park Sense Volume	Heading			parksense	No TC — Heading	hit	Information	01.11.01.01.29			
SWE1-VC-FrontParkSenseVolume-015	Sys-RA-VF665_V42_VSM-803	Front Park Sense Volume	Functional Requirement	Vehicle Setting Management (VSM)	1. Software Validation 2. System Validation 3. Integration test.	parksense	leaf	hit	Functional Requirement	01.11.01.01.29			
SWE1-VC-FrontParkSenseVolume-016	Sys-RA-VF665_V42_VSM-804	Front Park Sense Volume	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.29			
SWE1-VC-FrontParkSenseVolume-017	Sys-RA-VF665_V42_VSM-805	Front Park Sense Volume	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.29			
SWE1-VC-FrontParkSenseVolume-018	Sys-RA-VF665_V42_VSM-806	Front Park Sense Volume	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.29			
SWE1-VC-FrontParkSenseVolume-019	Sys-RA-VF665_V42_VSM-807	Front Park Sense Volume	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.29			
SWE1-VC-FrontParkSenseVolume-020	Sys-RA-VF665_V42_VSM-808	Front Park Sense Volume	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.29			
SWE1-VC-FrontParkSenseVolume-021	Sys-RA-VF665_V42_VSM-809	Front Park Sense Volume	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.29			
SWE1-VC-AutoHighBeam-022	Sys-RA-VF665_V42_VSM-810	Auto High Beam	Heading			parksense	No TC — Heading	hit	Heading	01.11.01.01.30			
SWE1-VC-AutoHighBeam-023	Sys-RA-VF665_V42_VSM-811	Auto High Beam	Functional Requirement	Vehicle Setting Management (VSM)	1. Software Validation 2. System Validation 3. Integration test.	parksense	leaf	hit	Functional Requirement	01.11.01.01.30			
SWE1-VC-AutoHighBeam-024	Sys-RA-VF665_V42_VSM-812	Auto High Beam	Functional Requirement	Vehicle Setting Management (VSM)	1. Software Validation 2. System Validation 3. Integration test.	parksense	leaf	hit	Functional Requirement	01.11.01.01.30			
SWE1-VC-AutoHighBeam-025	Sys-RA-VF665_V42_VSM-813	Auto High Beam	Functional Requirement		1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.30			
SWE1-VC-AutoHighBeam-026	Sys-RA-VF665_V42_VSM-814	Auto High Beam	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.30			
SWE1-VC-AutoHighBeam-027	Sys-RA-VF665_V42_VSM-815	Auto High Beam	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.30			
SWE1-VC-DynamicGridlines-028	Sys-RA-VF665_V42_VSM-816	Dynamic Gridlines	Heading			parksense	No TC — Heading	hit	Heading	01.11.01.01.31			
SWE1-VC-DynamicGridlines-029	Sys-RA-VF665_V42_VSM-817	Dynamic Gridlines	Functional Requirement	Vehicle Setting Management (VSM)	1. Software Validation 2. System Validation 3. Integration test.	parksense	leaf	hit	Functional Requirement	01.11.01.01.31			
SWE1-VC-DynamicGridlines-030	Sys-RA-VF665_V42_VSM-818	Dynamic Gridlines	Functional Requirement	Vehicle Setting Management (VSM)	1. Software Validation 2. System Validation 3. Integration test.	parksense	leaf	hit	Functional Requirement	01.11.01.01.31			
SWE1-VC-DynamicGridlines-031	Sys-RA-VF665_V42_VSM-819	Dynamic Gridlines	Functional Requirement	Vehicle Setting Management (VSM)	1. Software Validation 2. System Validation 3. Integration test.	parksense	leaf	hit	Functional Requirement	01.11.01.01.31			
SWE1-VC-DynamicGridlines-032	Sys-RA-VF665_V42_VSM-820	Dynamic Gridlines	Functional Requirement	Vehicle Setting Management (VSM)	1. Software Validation 2. System Validation 3. Integration test.	parksense	leaf	hit	Functional Requirement	01.11.01.01.31			
SWE1-VC-TrafficSignRecognition-033	Sys-RA-VF665_V42_VSM-821	Traffic Sign Recognition	Heading			parksense	No TC — Heading	hit	Heading	01.11.01.01.32			
SWE1-VC-TrafficSignRecognition-034	Sys-RA-VF665_V42_VSM-822	Traffic Sign Recognition	Functional Requirement	Vehicle Setting Management (VSM)	1. Software Validation 2. System Validation 3. Integration test.	parksense	leaf	hit	Functional Requirement	01.11.01.01.32			
SWE1-VC-TrafficSignRecognition-035	Sys-RA-VF665_V42_VSM-823	Traffic Sign Recognition	Functional Requirement	Vehicle Setting Management (VSM)	1. Software Validation 2. System Validation 3. Integration test.	parksense	leaf	hit	Functional Requirement	01.11.01.01.32			
SWE1-VC-TrafficSignRecognition-036	Sys-RA-VF665_V42_VSM-824	Traffic Sign Recognition	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.32			
SWE1-VC-TrafficSignRecognition-037	Sys-RA-VF665_V42_VSM-825	Traffic Sign Recognition	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.32			
SWE1-VC-TrafficSignRecognition-038	Sys-RA-VF665_V42_VSM-826	Traffic Sign Recognition	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.32			
SWE1-VC-TrafficSignAssistWarning-039	Sys-RA-VF665_V42_VSM-827	Traffic Sign Assist Warning	Heading			parksense	No TC — Heading	hit	Heading	01.11.01.01.33			
SWE1-VC-TrafficSignAssistWarning-040	Sys-RA-VF665_V42_VSM-828	Traffic Sign Assist Warning	Functional Requirement	Vehicle Setting Management (VSM)	1. Software Validation 2. System Validation 3. Integration test.	parksense	leaf	hit	Functional Requirement	01.11.01.01.33			
SWE1-VC-TrafficSignAssistWarning-041	Sys-RA-VF665_V42_VSM-829	Traffic Sign Assist Warning	Functional Requirement	Vehicle Setting Management (VSM)	1. Software Validation 2. System Validation 3. Integration test.	parksense	leaf	hit	Functional Requirement	01.11.01.01.33			
SWE1-VC-TrafficSignAssistWarning-042	Sys-RA-VF665_V42_VSM-830	Traffic Sign Assist Warning	Functional Requirement	Vehicle Setting Management (VSM)	1. Software Validation 2. System Validation 3. Integration test.	parksense	leaf	hit	Functional Requirement	01.11.01.01.33			
SWE1-VC-TrafficSignAssistWarning-043	Sys-RA-VF665_V42_VSM-831	Traffic Sign Assist Warning	Functional Requirement	Vehicle Setting Management (VSM)	1. Software Validation 2. System Validation 3. Integration test.	parksense	leaf	hit	Functional Requirement	01.11.01.01.33			
SWE1-VC-TrafficSignAssistWarning-044	Sys-RA-VF665_V42_VSM-832	Traffic Sign Assist Warning	Functional Requirement	Vehicle Setting Management (VSM)	1. Software Validation 2. System Validation 3. Integration test.	parksense	leaf	hit	Functional Requirement	01.11.01.01.33			
SWE1-VC-TrafficSignAssistWarning-045	Sys-RA-VF665_V42_VSM-833	Traffic Sign Assist Warning	Functional Requirement		1. Software Validation 2. System Validation 3. Integration test.	parksense	leaf	hit	Functional Requirement	01.11.01.01.33			
SWE1-VC-IntelligentSpeedLimiterwithConfirmation-046	Sys-RA-VF665_V42_VSM-840	Intelligent Speed Limiter with Confirmation	Heading			parksense	No TC — Heading	hit	Heading	01.11.01.01.35			
SWE1-VC-IntelligentSpeedLimiterwithConfirmation-047	Sys-RA-VF665_V42_VSM-841	Intelligent Speed Limiter with Confirmation	Functional Requirement	Vehicle Setting Management (VSM)	1. Software Validation 2. System Validation 3. Integration test.	parksense	leaf	hit	Functional Requirement	01.11.01.01.35			
SWE1-VC-IntelligentSpeedLimiterwithConfirmation-048	Sys-RA-VF665_V42_VSM-842	Intelligent Speed Limiter with Confirmation	Functional Requirement	Vehicle Setting Management (VSM)	1. Software Validation 2. System Validation 3. Integration test.	parksense	leaf	hit	Functional Requirement	01.11.01.01.35			
SWE1-VC-IntelligentSpeedLimiterwithConfirmation-049	Sys-RA-VF665_V42_VSM-843	Intelligent Speed Limiter with Confirmation	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.35			
SWE1-VC-IntelligentSpeedLimiterwithConfirmation-050	Sys-RA-VF665_V42_VSM-844	Intelligent Speed Limiter with Confirmation	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.35			
SWE1-VC-IntelligentSpeedLimiterwithConfirmation-051	Sys-RA-VF665_V42_VSM-845	Intelligent Speed Limiter with Confirmation	(空)		1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	UNCATEGORIZED	hit	Functional Requirement	01.11.01.01.35			A-VL5：Categorization 空，UNCATEGORIZED —— 不入母體、亦不排除；待 DR-VL2(a)
SWE1-VC-NewSpeedZone-052	Sys-RA-VF665_V42_VSM-846	New Speed Zone	Heading			parksense	No TC — Heading	hit	Heading	01.11.01.01.36			
SWE1-VC-NewSpeedZone-053	Sys-RA-VF665_V42_VSM-847	New Speed Zone	Functional Requirement	Vehicle Setting Management (VSM)	1. Software Validation 2. System Validation 3. Integration test.	parksense	leaf	hit	Functional Requirement	01.11.01.01.36			
SWE1-VC-NewSpeedZone-054	Sys-RA-VF665_V42_VSM-848	New Speed Zone	Functional Requirement	Vehicle Setting Management (VSM)	1. Software Validation 2. System Validation 3. Integration test.	parksense	leaf	hit	Functional Requirement	01.11.01.01.36			
SWE1-VC-NewSpeedZone-055	Sys-RA-VF665_V42_VSM-849	New Speed Zone	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.36			
SWE1-VC-NewSpeedZone-056	Sys-RA-VF665_V42_VSM-850	New Speed Zone	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.36			
SWE1-VC-NewSpeedZone-057	Sys-RA-VF665_V42_VSM-851	New Speed Zone	Functional Requirement		1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.36			
SWE1-VC-NewSpeedZone-058	Sys-RA-VF665_V42_VSM-852	New Speed Zone	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.36			
SWE1-VC-PersonalProfileManagement-059	Sys-RA-VF665_V42_VSM-853	Personal Profile Management	Heading			parksense	No TC — Heading	hit	Heading	01.11.01.01.37			
SWE1-VC-PersonalProfileManagement-060	Sys-RA-VF665_V42_VSM-854	Personal Profile Management	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.37			
SWE1-VC-PersonalProfileManagement-061	Sys-RA-VF665_V42_VSM-855	Personal Profile Management	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.37			
SWE1-VC-PersonalProfileManagement-062	Sys-RA-VF665_V42_VSM-856	Personal Profile Management	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.37			
SWE1-VC-SurroundCameraGridlines-063	Sys-RA-VF665_V42_VSM-857	Surround Camera Gridlines	Functional Requirement	Vehicle Setting Management (VSM)		parksense	leaf	hit	Heading	01.11.01.01.38			A-VL7：入母體（037 為需求單位之權威，R-VL4）；其 Source ID 於 SYSRA 為 Heading，待 DR-VL2(c)
SWE1-VC-SurroundCameraGridlines-064	Sys-RA-VF665_V42_VSM-858	Surround Camera Gridlines	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.38			
SWE1-VC-SurroundCameraGridlines-065	Sys-RA-VF665_V42_VSM-859	Surround Camera Gridlines	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.38			
SWE1-VC-SurroundCameraGridlines-066	Sys-RA-VF665_V42_VSM-860	Surround Camera Gridlines	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.38			
SWE1-VC-SurroundCameraGridlines-067	Sys-RA-VF665_V42_VSM-861	Surround Camera Gridlines	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.38			
SWE1-VC-SurroundCameraGridlines-068	Sys-RA-VF665_V42_VSM-862	Surround Camera Gridlines	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.38			
SWE1-VC-Geolocation-069	Sys-RA-VF665_V42_VSM-863	Geolocation	Heading			parksense	No TC — Heading	hit	Heading	01.11.01.01.39			
SWE1-VC-Geolocation-070	Sys-RA-VF665_V42_VSM-864	Geolocation	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.39			
SWE1-VC-Geolocation-071	Sys-RA-VF665_V42_VSM-865	Geolocation	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.39			
SWE1-VC-Geolocation-072	Sys-RA-VF665_V42_VSM-866	Geolocation	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.39			
SWE1-VC-Geolocation-073	Sys-RA-VF665_V42_VSM-867	Geolocation	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.39			
SWE1-VC-Geolocation-074	Sys-RA-VF665_V42_VSM-868	Geolocation	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.39			
SWE1-VC-ClearPersonalData-075	Sys-RA-VF665_V42_VSM-869	Clear Personal Data	Heading			parksense	No TC — Heading	hit	Heading	01.11.01.01.40			
SWE1-VC-ClearPersonalData-076	Sys-RA-VF665_V42_VSM-870	Clear Personal Data	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.40			
SWE1-VC-ClearPersonalData-077	Sys-RA-VF665_V42_VSM-871	Clear Personal Data	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.40			
SWE1-VC-ClearPersonalData-078	Sys-RA-VF665_V42_VSM-872	Clear Personal Data	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.40			
SWE1-VC-RestoreDefaultSetting-079	Sys-RA-VF665_V42_VSM-873	Restore Default Setting	Heading			parksense	No TC — Heading	hit	Heading	01.11.01.01.41			
SWE1-VC-RestoreDefaultSetting-080	Sys-RA-VF665_V42_VSM-874	Restore Default Setting	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.41			
SWE1-VC-RestoreDefaultSetting-081	Sys-RA-VF665_V42_VSM-875	Restore Default Setting	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.41			
SWE1-VC-RestoreDefaultSetting-082	Sys-RA-VF665_V42_VSM-876	Restore Default Setting	Functional Requirement	Vehicle Setting Management (VSM)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	parksense	leaf	hit	Functional Requirement	01.11.01.01.41			
SWE1-VC-SideDistanceWarning-001	Sys-RA-VF665_V42_VSM-566	Side Distance Warning	Heading			sdw	No TC — Heading	hit	Heading	01.11.01.01.04	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-SideDistanceWarning-002	Sys-RA-VF665_V42_VSM-567	Side Distance Warning	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.04	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-SideDistanceWarning-003	Sys-RA-VF665_V42_VSM-568	Side Distance Warning	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.04	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-SideDistanceWarning-004	Sys-RA-VF665_V42_VSM-570	Side Distance Warning	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.05	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-SideDistanceWarning-005	Sys-RA-VF665_V42_VSM-571	Side Distance Warning	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.05	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-SideDistanceWarning-006	Sys-RA-VF665_V42_VSM-572	Side Distance Warning	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.05	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-SideDistanceWarning-007	Sys-RA-VF665_V42_VSM-573	Side Distance Warning	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.05	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-SideDistanceWarning-008	Sys-RA-VF665_V42_VSM-575	Side Distance Warning	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.05	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-SideDistanceWarning-009	Sys-RA-VF665_V42_VSM-576	Side Distance Warning	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.06	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-SideDistanceWarning-010	Sys-RA-VF665_V42_VSM-577	Side Distance Warning	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.06	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-SideDistanceWarning-011	Sys-RA-VF665_V42_VSM-578	Side Distance Warning	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.06	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-RainSensor-012	Sys-RA-VF665_V42_VSM-597	Rain Sensor	Heading			sdw	No TC — Heading	hit	Heading	01.11.01.01.07	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-RainSensor-013	Sys-RA-VF665_V42_VSM-598	Rain Sensor	Functional Requirement	Display (including HAL)	1. Software Validation 2. System Validation 3. Integration test.	sdw	leaf	hit	Functional Requirement	01.11.01.01.07	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-RainSensor-014	Sys-RA-VF665_V42_VSM-599	Rain Sensor	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.07	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-RainSensor-015	Sys-RA-VF665_V42_VSM-600	Rain Sensor	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.08	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-RainSensor-016	Sys-RA-VF665_V42_VSM-601	Rain Sensor	Functional Requirement	Display (including HAL)	1. Software Validation 2. System Validation 3. Integration test.	sdw	leaf	hit	Functional Requirement	01.11.01.01.08.01	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-RainSensor-017	Sys-RA-VF665_V42_VSM-602	Rain Sensor	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.08.01	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-Units-018	Sys-RA-VF665_V42_VSM-645	Units	Heading			sdw	No TC — Heading	hit	Heading	01.11.01.01.10.01	ATL-Mi	VF665_V42_P637MCA	
SWE1-VC-Units-019	Sys-RA-VF665_V42_VSM-646	Units	Functional Requirement	Display (including HAL)	1. Peer review 2. Unit test 3. Integration test 4. *SW validation 5. System Validation	sdw	leaf	hit	Functional Requirement	01.11.01.01.10.01	ATL-Mi	VF665_V42_P637MCA	
