name	kind	sources	seg1_atl_n	seg1_atlh_n	seg1_atl	seg1_atlh	seg1_other	seg2_atlantis	seg2_atlantis_high	can_atl	can_atlh	seg3_637	seg3_side_high	result	note
IPC_VEHICLE_SETUP.HourMode	CAN	spec_paras	1	1	LID/CAN Mapping/r407cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r407cP/Atlantis Signal Name/R1 逐字		IPC_VEHICLE_SETUP.HourMode	TELEMATIC_FD_10.DateTmFormat		FD	IPC_VEHICLE_SETUP.HourMode → BO_1468 IPC_VEHICLE_SETUP / SG_ HourMode / VAL_ 有 2 項	IPC_VEHICLE_SETUP.HourMode->PDT27_E2A_R1_FDCAN8.dbc	解得	架構差異(Atlantis≠Atlantis High)
IPC_VEHICLE_SETUP.LanguageSelection	CAN	spec_paras	3	3	LID/CAN Mapping/r1111cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r1111cP/Atlantis Signal Name/R1 逐字 ; LID/CAN Mapping/r1111cZ/Atlantis High Signal Name/R1 逐字	LID/CAN Mapping/r1111cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r1111cP/Atlantis Signal Name/R1 逐字 ; LID/CAN Mapping/r1111cZ/Atlantis High Signal Name/R1 逐字	PROXI/Format/r616cF/R4 R2 去 MESSAGE. 前綴+底線/大小寫	IPC_VEHICLE_SETUP.LanguageSelection	IPC_VEHICLE_SETUP.LanguageSelection		CAN-B	IPC_VEHICLE_SETUP.LanguageSelection → BO_1468 IPC_VEHICLE_SETUP / SG_ LanguageSelection / VAL_ 有 23 項	IPC_VEHICLE_SETUP.LanguageSelection->PDT27_E2A_R1_FDCAN8.dbc	解得	
IPC_VEHICLE_SETUP.NavRepetition	CAN	037_desc;spec_paras					PROXI/Format/r545cF/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; PROXI/Format/r580cF/R5 R2 去 MESSAGE. 前綴+去_Menu/_Setting	IPC_VEHICLE_SETUP.NavRepetition				IPC_VEHICLE_SETUP.NavRepetition → BO_1468 IPC_VEHICLE_SETUP / SG_ NavRepetition / VAL_ 有 2 項	IPC_VEHICLE_SETUP.NavRepetition->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP.PamAlertMode	CAN	037_desc;spec_paras	2	2	LID/CAN Mapping/r1293cP/Atlantis Signal Name/R1 逐字 ; LID/CAN Mapping/r1293cZ/Atlantis High Signal Name/R1 逐字	LID/CAN Mapping/r1293cP/Atlantis Signal Name/R1 逐字 ; LID/CAN Mapping/r1293cZ/Atlantis High Signal Name/R1 逐字		IPC_VEHICLE_SETUP.PamAlertMode	IPC_VEHICLE_SETUP.PamAlertMode		CAN-B	IPC_VEHICLE_SETUP.PamAlertMode → BO_1468 IPC_VEHICLE_SETUP / SG_ PamAlertMode / VAL_ 有 3 項		解得	
IPC_VEHICLE_SETUP.PamChimeVolumeFront	CAN	037_desc;spec_paras	1	1	LID/CAN Mapping/r1301cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r1301cP/Atlantis Signal Name/R1 逐字		IPC_VEHICLE_SETUP.PamChimeVolumeFront				IPC_VEHICLE_SETUP.PamChimeVolumeFront → BO_1468 IPC_VEHICLE_SETUP / SG_ PamChimeVolumeFront / VAL_ 有 3 項	IPC_VEHICLE_SETUP.PamChimeVolumeFront->PDT27_E2A_R1_BHCAN2.dbc;PDT27_E2A_R1_FDCAN8.dbc	解得	
IPC_VEHICLE_SETUP.PamChimeVolumeRear	CAN	037_desc;spec_paras	1	1	LID/CAN Mapping/r1302cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r1302cP/Atlantis Signal Name/R1 逐字		IPC_VEHICLE_SETUP.PamChimeVolumeRear				IPC_VEHICLE_SETUP.PamChimeVolumeRear → BO_1468 IPC_VEHICLE_SETUP / SG_ PamChimeVolumeRear / VAL_ 有 3 項	IPC_VEHICLE_SETUP.PamChimeVolumeRear->PDT27_E2A_R1_BHCAN2.dbc;PDT27_E2A_R1_FDCAN8.dbc	解得	
IPC_VEHICLE_SETUP.PassiveEntry	CAN	spec_paras	2	2	LID/CAN Mapping/r1105cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; LID/CAN Mapping/r1588cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫	LID/CAN Mapping/r1105cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; LID/CAN Mapping/r1588cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫	PROXI/Format/r298cF/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; PROXI/Format/r575cF/R5 R2 去 MESSAGE. 前綴+去_Menu/_Setting	RFHUB3.RFReq	BCM_FD_9.RFReq;RFHUB_FD_1.RFReq		FD	查無：RFHUB3.RFReq	RFHUB3.RFReq->PDT27_E2A_R1_FDCAN8.dbc	未解得(止於段3)	架構差異(Atlantis≠Atlantis High)；R-VL16(c)：LID 對映指向 RFHUB3.RFReq（他 ECU），本 DBC 查無；不臆測不代入，P4 遭遇時 PENDING
IPC_VEHICLE_SETUP.PhoneRepetition	CAN	spec_paras					PROXI/Format/r546cF/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; PROXI/Format/r581cF/R5 R2 去 MESSAGE. 前綴+去_Menu/_Setting	IPC_VEHICLE_SETUP.PhoneRepetition				IPC_VEHICLE_SETUP.PhoneRepetition → BO_1468 IPC_VEHICLE_SETUP / SG_ PhoneRepetition / VAL_ 有 2 項	IPC_VEHICLE_SETUP.PhoneRepetition->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP.RainSensorLevel	CAN	037_desc;spec_paras						IPC_VEHICLE_SETUP.RainSensorLevel				IPC_VEHICLE_SETUP.RainSensorLevel → BO_1468 IPC_VEHICLE_SETUP / SG_ RainSensorLevel / VAL_ 有 2 項	IPC_VEHICLE_SETUP.RainSensorLevel->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP.RemoteDoorUnlock	CAN	spec_paras					PROXI/Format/r576cF/R5 R2 去 MESSAGE. 前綴+去_Menu/_Setting	IPC_VEHICLE_SETUP.RemoteDoorUnlock				IPC_VEHICLE_SETUP.RemoteDoorUnlock → BO_1468 IPC_VEHICLE_SETUP / SG_ RemoteDoorUnlock / VAL_ 有 2 項	IPC_VEHICLE_SETUP.RemoteDoorUnlock->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP.Sdw	CAN	037_desc;spec_paras	2	2	LID/CAN Mapping/r1660cP/Atlantis Signal Name/R1 逐字 ; LID/CAN Mapping/r1660cZ/Atlantis High Signal Name/R1 逐字	LID/CAN Mapping/r1660cP/Atlantis Signal Name/R1 逐字 ; LID/CAN Mapping/r1660cZ/Atlantis High Signal Name/R1 逐字		IPC_VEHICLE_SETUP.Sdw	IPC_VEHICLE_SETUP.Sdw		CAN-B	IPC_VEHICLE_SETUP.Sdw → BO_1468 IPC_VEHICLE_SETUP / SG_ Sdw / VAL_ 有 3 項		解得	
IPC_VEHICLE_SETUP.SdwChimeVolume	CAN	037_desc	4	4	LID/CAN Mapping/r1669cA/Logical Identifier/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; LID/CAN Mapping/r1669cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; LID/CAN Mapping/r1669cP/Atlantis Signal Name/R1 逐字 ; LID/CAN Mapping/r1669cZ/Atlantis High Signal Name/R1 逐字	LID/CAN Mapping/r1669cA/Logical Identifier/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; LID/CAN Mapping/r1669cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; LID/CAN Mapping/r1669cP/Atlantis Signal Name/R1 逐字 ; LID/CAN Mapping/r1669cZ/Atlantis High Signal Name/R1 逐字		IPC_VEHICLE_SETUP.SdwChimeVolume	IPC_VEHICLE_SETUP.SdwChimeVolume		CAN-B	查無：IPC_VEHICLE_SETUP.SdwChimeVolume		未解得(止於段3)	
IPC_VEHICLE_SETUP.SoundHornLock	CAN	spec_paras						IPC_VEHICLE_SETUP.SoundHornLock				IPC_VEHICLE_SETUP.SoundHornLock → BO_1468 IPC_VEHICLE_SETUP / SG_ SoundHornLock / VAL_ 有 3 項	IPC_VEHICLE_SETUP.SoundHornLock->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP.SoundHornRemoteStart	CAN	spec_paras					PROXI/Format/r577cF/R5 R2 去 MESSAGE. 前綴+去_Menu/_Setting	IPC_VEHICLE_SETUP.SoundHornRemoteStart				IPC_VEHICLE_SETUP.SoundHornRemoteStart → BO_1468 IPC_VEHICLE_SETUP / SG_ SoundHornRemoteStart / VAL_ 有 2 項	IPC_VEHICLE_SETUP.SoundHornRemoteStart->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP.SpeedLockDoorEnable	CAN	spec_paras						IPC_VEHICLE_SETUP.SpeedLockDoorEnable				IPC_VEHICLE_SETUP.SpeedLockDoorEnable → BO_1468 IPC_VEHICLE_SETUP / SG_ SpeedLockDoorEnable / VAL_ 有 2 項	IPC_VEHICLE_SETUP.SpeedLockDoorEnable->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP.TelematicSetupACK	CAN	spec_paras						IPC_VEHICLE_SETUP.TelematicSetupACK				IPC_VEHICLE_SETUP.TelematicSetupACK → BO_1468 IPC_VEHICLE_SETUP / SG_ TelematicSetupACK / VAL_ 有 3 項	IPC_VEHICLE_SETUP.TelematicSetupACK->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP.TemperatureUnit	CAN	spec_paras	3	3	LID/CAN Mapping/r2070cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r2070cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; LID/CAN Mapping/r2070cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r2070cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r2070cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; LID/CAN Mapping/r2070cP/Atlantis Signal Name/R1 逐字		IPC_VEHICLE_SETUP.TemperatureUnit	IPC_VEHICLE_SETUP.Temp_Unit		FD	IPC_VEHICLE_SETUP.TemperatureUnit → BO_1468 IPC_VEHICLE_SETUP / SG_ TemperatureUnit / VAL_ 有 2 項		解得	架構差異(Atlantis≠Atlantis High)
IPC_VEHICLE_SETUP2.AutoUnlockDoorExit	CAN	spec_paras						IPC_VEHICLE_SETUP2.AutoUnlockDoorExit				IPC_VEHICLE_SETUP2.AutoUnlockDoorExit → BO_1486 IPC_VEHICLE_SETUP2 / SG_ AutoUnlockDoorExit / VAL_ 有 2 項	IPC_VEHICLE_SETUP2.AutoUnlockDoorExit->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP2.EPB_MaintenanceMode	CAN	037_desc;spec_paras						IPC_VEHICLE_SETUP2.EPB_MaintenanceMode				IPC_VEHICLE_SETUP2.EPB_MaintenanceMode → BO_1486 IPC_VEHICLE_SETUP2 / SG_ EPB_MaintenanceMode / VAL_ 有 2 項	IPC_VEHICLE_SETUP2.EPB_MaintenanceMode->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk	CAN	037_desc;spec_paras						IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk				IPC_VEHICLE_SETUP2.EPB_Maintenance_Fdbk → BO_1486 IPC_VEHICLE_SETUP2 / SG_ EPB_Maintenance_Fdbk / VAL_ 有 2 項		解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP2.FSFCWPlusActivationMode	CAN	spec_paras						IPC_VEHICLE_SETUP2.FSFCWPlusActivationMode				IPC_VEHICLE_SETUP2.FSFCWPlusActivationMode → BO_1486 IPC_VEHICLE_SETUP2 / SG_ FSFCWPlusActivationMode / VAL_ 有 3 項	IPC_VEHICLE_SETUP2.FSFCWPlusActivationMode->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP2.FSFCWPlusSetting	CAN	spec_paras						IPC_VEHICLE_SETUP2.FSFCWPlusSetting				IPC_VEHICLE_SETUP2.FSFCWPlusSetting → BO_1486 IPC_VEHICLE_SETUP2 / SG_ FSFCWPlusSetting / VAL_ 有 5 項	IPC_VEHICLE_SETUP2.FSFCWPlusSetting->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP2.FlashLightWLock	CAN	spec_paras						IPC_VEHICLE_SETUP2.FlashLightWLock				IPC_VEHICLE_SETUP2.FlashLightWLock → BO_1486 IPC_VEHICLE_SETUP2 / SG_ FlashLightWLock / VAL_ 有 2 項	IPC_VEHICLE_SETUP2.FlashLightWLock->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP2.HeadlightsOffDelay	CAN	spec_paras						IPC_VEHICLE_SETUP2.HeadlightsOffDelay				IPC_VEHICLE_SETUP2.HeadlightsOffDelay → BO_1486 IPC_VEHICLE_SETUP2 / SG_ HeadlightsOffDelay / VAL_ 有 4 項	IPC_VEHICLE_SETUP2.HeadlightsOffDelay->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP2.LDW_Intensity	CAN	spec_paras						IPC_VEHICLE_SETUP2.LDW_Intensity				IPC_VEHICLE_SETUP2.LDW_Intensity → BO_1486 IPC_VEHICLE_SETUP2 / SG_ LDW_Intensity / VAL_ 有 3 項	IPC_VEHICLE_SETUP2.LDW_Intensity->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP2.LDW_Sensibility	CAN	spec_paras						IPC_VEHICLE_SETUP2.LDW_Sensibility				IPC_VEHICLE_SETUP2.LDW_Sensibility → BO_1486 IPC_VEHICLE_SETUP2 / SG_ LDW_Sensibility / VAL_ 有 3 項	IPC_VEHICLE_SETUP2.LDW_Sensibility->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP2.PassiveEntrySelection	CAN	spec_paras;spec_tables						IPC_VEHICLE_SETUP2.PassiveEntrySelection				IPC_VEHICLE_SETUP2.PassiveEntrySelection → BO_1486 IPC_VEHICLE_SETUP2 / SG_ PassiveEntrySelection / VAL_ 有 3 項		解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP2.TSREnable	CAN	037_desc;spec_paras						IPC_VEHICLE_SETUP2.TSREnable				IPC_VEHICLE_SETUP2.TSREnable → BO_1486 IPC_VEHICLE_SETUP2 / SG_ TSREnable / VAL_ 有 2 項		解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP2.Trlr_Lnth_Blind_Spot	CAN	spec_paras						IPC_VEHICLE_SETUP2.Trlr_Lnth_Blind_Spot				IPC_VEHICLE_SETUP2.Trlr_Lnth_Blind_Spot → BO_1486 IPC_VEHICLE_SETUP2 / SG_ Trlr_Lnth_Blind_Spot / VAL_ 有 2 項		解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP2.TyrePressureUnit	CAN	spec_paras					PROXI/Format/r583cF/R5 R2 去 MESSAGE. 前綴+去_Menu/_Setting	IPC_VEHICLE_SETUP2.TyrePressureUnit				IPC_VEHICLE_SETUP2.TyrePressureUnit → BO_1486 IPC_VEHICLE_SETUP2 / SG_ TyrePressureUnit / VAL_ 有 3 項		解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP3.Drowsy_Driver_Alert	CAN	spec_paras						IPC_VEHICLE_SETUP3.Drowsy_Driver_Alert				IPC_VEHICLE_SETUP3.Drowsy_Driver_Alert → BO_1294 IPC_VEHICLE_SETUP3 / SG_ Drowsy_Driver_Alert / VAL_ 有 2 項	IPC_VEHICLE_SETUP3.Drowsy_Driver_Alert->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP3.SVC_Guidelines	CAN	037_desc;spec_paras						IPC_VEHICLE_SETUP3.SVC_Guidelines				IPC_VEHICLE_SETUP3.SVC_Guidelines → BO_1294 IPC_VEHICLE_SETUP3 / SG_ SVC_Guidelines / VAL_ 有 2 項	IPC_VEHICLE_SETUP3.SVC_Guidelines->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP3.Speed_Unit	CAN	spec_paras	2	2	LID/CAN Mapping/r1737cA/Logical Identifier/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; LID/CAN Mapping/r1737cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫	LID/CAN Mapping/r1737cA/Logical Identifier/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; LID/CAN Mapping/r1737cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫		IPC_VEHICLE_SETUP.DistanceUnit;IPC_VEHICLE_SETUP.Speed_Unit	IPC_VEHICLE_SETUP.Speed_Unit		FD	IPC_VEHICLE_SETUP.DistanceUnit → BO_1468 IPC_VEHICLE_SETUP / SG_ DistanceUnit / VAL_ 有 2 項 ; IPC_VEHICLE_SETUP.Speed_Unit → SG_ Speed_Unit 在 BO_ IPC_VEHICLE_SETUP3（與規格訊息名 IPC_VEHICLE_SETUP 不符）	IPC_VEHICLE_SETUP.Speed_Unit->PDT27_E2A_R1_FDCAN8.dbc	解得	架構差異(Atlantis≠Atlantis High)
IPC_VEHICLE_SETUP4.GreetingLightsLevel	CAN	spec_paras						IPC_VEHICLE_SETUP4.GreetingLightsLevel				IPC_VEHICLE_SETUP4.GreetingLightsLevel → BO_1485 IPC_VEHICLE_SETUP4 / SG_ GreetingLightsLevel / VAL_ 有 4 項		解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable	CAN	spec_paras;spec_tables						IPC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable				IPC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable → BO_1485 IPC_VEHICLE_SETUP4 / SG_ HeadlampOnWithWiperEnable / VAL_ 有 2 項		解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP4.New_Spd_Zone_Ind	CAN	037_desc;spec_paras						IPC_VEHICLE_SETUP4.New_Spd_Zone_Ind				IPC_VEHICLE_SETUP4.New_Spd_Zone_Ind → BO_1485 IPC_VEHICLE_SETUP4 / SG_ New_Spd_Zone_Ind / VAL_ 有 4 項	IPC_VEHICLE_SETUP4.New_Spd_Zone_Ind->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP4.SignCaptureMode	CAN	037_desc;spec_paras						IPC_VEHICLE_SETUP4.SignCaptureMode				IPC_VEHICLE_SETUP4.SignCaptureMode → BO_1485 IPC_VEHICLE_SETUP4 / SG_ SignCaptureMode / VAL_ 有 2 項		解得	段1不適用(R-VL12(c))
IPC_VEHICLE_SETUP4.Traffic_Sign_Warn	CAN	037_desc;spec_paras						IPC_VEHICLE_SETUP4.Traffic_Sign_Warn				IPC_VEHICLE_SETUP4.Traffic_Sign_Warn → BO_1485 IPC_VEHICLE_SETUP4 / SG_ Traffic_Sign_Warn / VAL_ 有 3 項	IPC_VEHICLE_SETUP4.Traffic_Sign_Warn->PDT27_E2A_R1_FDCAN8.dbc	解得	段1不適用(R-VL12(c))
